<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0233.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0233.txt </filename>
<title>자연과 씨름하는  사람들 : 지구촌의 이색풍속도 '중국대륙편'</title>
<author>김능화  </author>
<date>1993  </date>
<publisher>간경도감  </publisher>
<kdc>380.912  </kdc>
<ddc>390.09517  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
한반도의	한반도/nq+의/jcm
.	./sf
이런	이렇/pad+ㄴ/etm
사정을	사정/ncn+을/jco
알게	알/pvg+게/ecx
된	되/px+ㄴ/etm
구매이야는	구매이야/nq+는/jxc
하는	하/pvg+는/etm
수	수/nbn
없이	없/paa+이/xsa
어디론가	어디론가/mag
도망가서	도망가/pvg+서/ecs
숨어사는	숨/pvg+어/ecs+살/pvg+는/etm
태양과	태양/ncn+과/jcj
달을	달/ncn+을/jco
찾기로	찾/pvg+기/etn+로/jca
하고	하/pvg+고/ecc
제비떼를	제비/ncn+떼/ncn+를/jco
불러	불/pvg+러/ecs
수색을	수색/ncn+을/jco
부탁한다	부탁/ncpa+하/xsv+ㄴ다/ef
.	./sf
며칠	며칠/ncn
후	후/ncn
수색을	수색/ncn+을/jco
마친	마치/pvg+ㄴ/etm
우두무리	우두무리/ncn
제비는	제비/ncn+는/jxc
"	"/sl
태양과	태양/nq+과/jcj
달이	달/ncn+이/jcs
동쪽	동쪽/ncn
지평선	지평/ncn+선/ncn
끝에	끝/ncn+에/jca
있는	있/px+는/etm
큰	크/paa+ㄴ/etm
바위동굴	바위/ncn+동굴/ncn
속에	속/ncn+에/jca
숨어	숨/pvg+어/ecx
있다	있/px+다/ef
"	"/sr
며	며/ecc
태양과	태양/ncn+과/jcj
달의	달/ncn+의/jcm
소재를	소재/ncn+를/jco
알려주었다	알리/pvg+어/ecx+주/px+었/ep+다/ef
.	./sf
이윽고	이윽고/mag
창조신은	창조/ncn+신/ncn+은/jxc
수	수/nbn
많은	많/paa+은/etm
짐승들을	짐승/ncn+들/xsn+을/jco
소집하여	소집/ncpa+하/xsv+어/ecs
어떤	어떻/pad+ㄴ/etm
고난이	고난/ncn+이/jcs
있더라도	있/paa+더/ep+라도/ecs
태양과	태양/ncn+과/jcj
달을	달/ncn+을/jco
데리고	데리/pvg+고/ecx
오자고	오/px+자/ef+고/jcr
경의하였다	경의하/pvg+었/ep+다/ef
.	./sf
그런데	그런데/maj
아토마	아토마/nq
(	(/sl
검은	검/paa+은/etm
머리	머리/nbn
산비둘기	산/ncn+비둘기/ncn
)	)/sr
와	와/jcj
이지미쿠리	이지미쿠리/nq
(	(/sl
흰머리	nq[희/paa+머리/ncn
산비둘기	산/ncn+비둘기/ncn]nq
)	)/sr
는	는/jxc
꽁무니를	꽁무니/ncn+를/jco
슬슬	슬슬/mag
빼는	빼/pvg+는/etm
것이었다	것/nbn+이/jp+었/ep+다/ef
.	./sf
궁둥이가	궁둥이/ncn+가/jcs
붉은	붉/pvg+은/etm
아토마는	아토마/nq+는/jxc
"	"/sl
나는	나/npp+는/jxc
태어날	태어나/pvg+ㄹ/etm
때부터	때/ncn+부터/jxc
항상	항상/mag
배가	배/ncn+가/jcs
아파서	아파/paa+서/ecs
잘	잘/mag
날지	날/pvg+지/ecx
못합니다	못하/px+ㅂ니다/ef
.	./sf
보십시오	보/pvg+십시오/ef
.	./sf
궁둥이에서	궁둥이/ncn+에서/jca
붉은	붉/pvg+은/etm
변이	변/ncn+이/jcs
흐르지	흐르/pvg+지/ecx
않습니까	않/px+습니까/ef
..."	./sf+./sf+./sf+"/sl
라며	라며/ecs
엄살을	엄살/ncn+을/jco
피우기	피우/pvg+기/etn
시작했다	시작/ncpa+하/xsv+었/ep+다/ef
.	./sf
모든	모든/mma
동물들이	동물/ncn+들/xsn+이/jcs
모인	모이/pvg+ㄴ/etm
자리에서	자리/ncn+에서/jca
산비둘기	산/ncn+비둘기/ncn
이지미쿠리도	이지미쿠리도/nq
아토마의	아토마/nq+의/jcm
꾀병	꾀병/ncn
시늉에	시늉/ncn+에/jca
이어	잇/pvg+어/ecs
동물들	동물/ncn+들/xsn
앞에	앞/ncn+에/jca
나와서는	나오/pvg+아서는/ecs
억지로	억지/ncn+로/jca
눈물을	눈물/ncn+을/jco
글썽이며	글썽/ncn+이/jp+며/ecs
"	"/sl
저는	저/npp+는/jxc
불과	불과/mag
며칠	며칠/ncn
전	전/ncn
양친을	양친/ncn+을/jco
모두	모두/mag
잃었습니다	잃/pvg+었/ep+습니다/ef
.	./sf
상주된	상주/ncpa+되/xsv+ㄴ/etm
몸으로	몸/ncn+으로/jca
어떻게	어떻/pad+게/ecx
멀리까지	멀리/ncn+까지/jca
갈	가/pvg+ㄹ/etm
수	수/nbn
있겠습니다	있/paa+겠/ep+습니다/ef
...'	./sf+./sf+./sf+'/sl
라며	라며/ecs
통사정	통사정/ncn
하는	하/pvg+는/etm
것이었다	것/nbn+이/jp+었/ep+다/ef
.	./sf
이때부터	이/npd+때/ncn+부터/jxc
두	두/nnc
산비둘기는	산/ncn+비둘기/ncn+는/jxc
뭇	뭇/mma
짐승들의	짐승/ncn+들/xsn+의/jcm
미움을	미움/ncn+을/jco
사게	사/pvg+게/ecx
되었고	되/px+었/ep+고/ecc
틈만	틈/ncn+만/jxc
있으면	있/paa+으면/ecs
습격을	습격/ncn+을/jco
당했다	당하/pvg+었/ep+다/ef
.	./sf
그래서	그래서/maj
산비둘기는	산/ncn+비둘기/ncn+는/jxc
다른	다르/paa+ㄴ/etm
날짐승들에	날짐승/ncn+들/xsn+에/jca
비해	비하/pvg+어/ecs
자손이	자손/ncn+이/jcs
귀하다고	귀/ncps+하/xsm+다/ef+고/jcr
한다	하/px+ㄴ다/ef
.	./sf
옛부터	옛/mma+부터/jxc
중국인들은	중국/nq+인/xsn+들/xsn+은/jxc
상대가	상대/ncn+가/jcs
마음에	마음/ncn+에/jca
안드는	안들/pvg+는/etm
경우에는	경우/ncn+에/jca+는/jxc
산비둘기에	산비둘기/ncn+에/jca
빗대어	빗대/pvg+어/ecx
표현하고	표현/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
한편	한편/maj
용감한	용감/ncps+하/xsm+ㄴ/etm
동물	동물/ncn
일행은	일행/ncn+은/jxc
태양과	태양/ncn+과/jcj
달이	달/ncn+이/jcs
숨어사는	숨/pvg+어/ecs+살/pvg+는/etm
동굴을	동굴/ncn+을/jco
향해	향하/pvg+어/ecx
출발했는데	출발/ncpa+하/xsv+었/ep+는데/ecs
제비떼가	제비/ncn+떼/ncn+가/jcs
길을	길/ncn+을/jco
안내하고	안내/ncpa+하/xsv+고/ecc
반딧불이	반딧불/ncn+이/jcs
어둠을	어둠/ncn+을/jco
밝혔다	밝히/pvg+었/ep+다/ef
.	./sf
그리고	그리고/maj
창조신	창조/ncn+신/ncn
구매이야는	구매이야/nq+는/jxc
자신이	자신/ncn+이/jcs
나타나면	나타나/pvg+면/ecs
태양과	태양/ncn+과/jcj
달이	달/ncn+이/jcs
두려움을	두렵/paa+ㅁ/etn+을/jco
느껴	느끼/pvg+어/ecs
동굴	동굴/ncn
밖으로	밖/ncn+으로/jca
나오지	나오/pvg+지/ecx
않을	않/px+을/etm
것으로	것/nbn+으로/jca
판단하고	판단/ncpa+하/xsv+고/ecc
좌중을	좌중/ncn+을/jco
잘	잘/mag
웃기고	웃/pvg+기/etn+고/jcr
,	,/sp
말재간이	말재간/ncn+이/jcs
있는	있/paa+는/etm
장닭을	장닭/ncn+을/jco
특별히	특별히/mag
동행시켰다	동행/ncpa+시키/xsv+었/ep+다/ef
.	./sf
동굴	동굴/ncn
속에	속/ncn+에/jca
숨어있는	숨/pvg+어/ecx+있/px+는/etm
태양과	태양/ncn+과/jcj
달은	달/ncn+은/jxc
이미	이미/mag
금슬좋은	금슬/ncn+좋/paa+은/jxc
부부가	부부/ncn+가/jcc
되어	되/pvg+어/ecx
있었고	있/px+었/ep+고/ecc
오랫동안	오랫동안/ncn
굶주려	굶주리/pvg+어/ecs
힘이	힘/ncn+이/jcs
빠진	빠지/pvg+ㄴ/etm
채	채/nbn
지쳐	지치/pvg+어/ecx
있었다	있/px+었/ep+다/ef
.	./sf
마침내	마침내/mag
동굴에	동굴/ncn+에/jca
도착한	도착/ncpa+하/xsv+ㄴ/etm
동물일행은	동물/ncn+일행/ncn+은/jxc
말솜씨가	말/ncn+솜씨/ncn+가/jcs
능숙한	능숙/ncps+하/xsm+ㄴ/etm
장닭을	장닭/ncn+을/jco
동굴	동굴/ncn
안으로	안/ncn+으로/jca
들여	들이/pvg+어/ecx
보냈다	보내/pvg+었/ep+다/ef
.	./sf
동굴안에	동굴/ncn+안/ncn+에/jca
들어간	들/pvg+어/ecx+가/px+ㄴ/etm
장닭은	장닭/nbn+은/jxc
"	"/sl
장열의	장열/ncn+의/jcm
햇님	햇님/ncn
!	!/sf
아름다운	아름답/paa+ㄴ/etm
달님	달/ncn+님/xsn
!	!/sf
아무런	아무렇/pad+ㄴ/etm
걱정	걱정/ncn
마시고	마시/pvg+고/ecc
동굴	동굴/ncn
밖으로	밖/ncn+으로/jca
나와서	나오/pvg+아서/ecs
마음껏	마음껏/mag
천지를	천지/ncn+를/jco
비춰주세요	비추/pvg+어/ecx+주/px+시/ep+어/ef+요/jxf
"	"/sl
라며	라며/ecs
간청하였다	간청/ncpa+하/xsv+었/ep+다/ef
.	./sf
그러나	그러나/maj
태양과	태양/ncn+과/jcj
달은	달/ncn+은/jxc
단호한	단호/ncps+하/xsm+ㄴ/etm
어조로	어조/ncn+로/jca
"	"/sl
우리는	우리/npp+는/jxc
구매이야의	구매이야/nq+의/jcm
화살에	화살/ncn+에/jca
맞아	맞/pvg+아/ecx
죽기보다는	죽/pvg+기/etn+보다/jca+는/jxc
차라리	차라리/mag
동굴	동굴/ncn
속에서	속/ncn+에서/jca
굶어	굶/pvg+어/ecx
죽겠다	죽/pvg+겠/ep+다/ef
"	"/sr
며	며/ecc
장닭의	장닭/ncn+의/jcm
제안을	제안/ncn+을/jco
거부했다	거부/ncpa+하/xsv+었/ep+다/ef
.	./sf
장닭의	장닭/ncn+의/jcm
제안을	제안/ncn+을/jco
거부했다	거부/ncpa+하/xsv+었/ep+다/ef
.	./sf
장락의	장락/ncn+의/jcm
설득은	설득/ncn+은/jxc
계속됐다	계속/ncpa+되/xsv+었/ep+다/ef
.	./sf
"	"/sl
그렇다면	그렇다면/maj
제가	제/npp+가/jcs
꼬끼오하고	꼬끼오/ii+하/xsv+고/ecc
부를	부르/pvg+ㄹ/etm
때만	때/ncn+만/jxc
나오세요	나오/pvg+세/ef+요/jxf
.	./sf
제가	제/npp+가/jcs
모든	모든/mma
것을	것/nbn+을/jco
책임질테니까요	책임/ncn+지/pvg+ㄹ테니까/ef+요/jxf
...'	./sf+./sf+./sf+'/sl
마침네	마침네/maj
태양과	태양/ncn+과/jct
달은	달/ncn+은/jxc
장닭이	장닭/ncn+이/jcs
울음소리에	울음소리/ncn+에/jca
맞춰	맞추/pvg+어/ecs
하늘에	하늘/ncn+에/jca
나타나게	나타나/pvg+게/ecx
되었다고	되/px+었/ep+다/ef+고/jcr
한다	하/px+ㄴ다/ef
.	./sf
하지만	하지만/maj
겁이	겁/ncn+이/jcs
많은	많/paa+은/etm
신부	신부/ncn
태양은	태양/ncn+은/jxc
밤이	밤/ncn+이/jcs
두려워	두렵/paa+어/ecs
낮에만	낮/ncn+에/jca+만/jxc
,	,/sp
그리고	그리고/maj
신랑인	신랑/ncn+이/jp+ㄴ/etm
달은	달/ncn+은/jxc
밤에만	밤/ncn+에/jca+만/jxc
나가기로	나가/pvg+기/etn+로/jca
장닭과	장닭/ncn+과/jcj
약속했고	약속/ncpa+하/xsv+었/ep+고/ecc
,	,/sp
그	그/mmd
약속이	약속/ncn+이/jcs
지금껏	지금껏/mag
계속되고	계속/ncpa+되/xsv+고/ecc
있다고	있/paa+다고/ecs
신화는	신화/ncn+는/jxc
전하고	전하/pvg+고/ecx
있다	있/px+다/ef
.	./sf
이같은	이/pad+같/paa+은/etm
내용의	내용/ncn+의/jcm
푸랑족	푸랑족/nq
창세신화는	창세/ncn+신화/ncn+는/jxc
중국의	중국/nq+의/jcm
대표적인	대표/ncn+적/xsn+이/jp+ㄴ/etm
건국신화인	건국/ncn+신화/ncn+이/jp+ㄴ/etm
반고신화	반고/ncn+신화/ncn
(	(/sl
盤古神話	盤古神話/ncn
)	)/sr
와	와/jct
엇비슷하다	엇비슷/ncps+하/xsm+다/ef
.	./sf
특히	특히/mag
특정	특정/ncn
동물의	동물/ncn+의/jcm
각	각/mma
부위를	부위/ncn+를/jco
가지고	가지/pvg+고/ecc
일월	일월/ncn
(	(/sl
日月	日月/ncn
)	)/sr
등	등/nbn
천지를	천지/ncn+를/jco
창조했다는	창조/ncpa+하/xsv+었/ep+다/ef+는/etm
점은	점/ncn+은/jxc
거의	거의/mag
같다	같/paa+다/ef
.	./sf
그리고	그리고/maj
강열했다는	강열/ncpa+하/xsv+었/ep+다/ef+는/etm
햇볕이	햇볕/ncn+이/jcs
지금에	지금/ncn+에/jca
이른	이르/pvg+ㄴ/etm
것은	것/nbn+은/jxc
태양이	태양/ncn+이/jcs
태고적에	태고/ncn+적/xsn+에/jca
동굴속에	동굴/ncn+속/ncn+에/jca
숨어	숨/pvg+어/ecx
살면서	살/pvg+면서/ecc
신랑인	신랑/ncn+이/jp+ㄴ/etm
달과	달/ncn+과/jct
동거	동거/ncn
,	,/sp
너무	너무/mag
정력을	정력/ncn+을/jco
낭비한	낭비/ncpa+하/xsv+ㄴ/etm
데서	데/nbn+서/jca
약해졌다는	약하/pvg+어/ecx+지/px+었/ep+다/ef+는/etm
등의	등/nbn+의/jcm
이야기는	이야기/ncn+는/jxc
남방민족의	남방/ncn+민족/ncn+의/jcm
신화에도	신화/ncn+에/jca+도/jxc
단골로	단골/ncn+로/jca
등장한다	등장/ncpa+하/xsv+ㄴ다/ef
.	./sf
몽골	몽골/nq
비사	비사/nq
(	(/sl
秘史	秘史/nq
)	)/sr
원래	원래/ncn
몽골민족의	몽골/nq+민족/ncn+의/jcm
조상은	조상/ncn+은/jxc
북동	북동/mag
아시아	아시아/nq
산림지대와	산림/ncn+지대/ncn+와/jcj
시베리아의	시베리아/nq+의/jcm
초원지대가	초원/ncn+지대/ncn+가/jcs
맞물린	맞물리/pvg+ㄴ/etm
산간지역에서	산간/ncn+지역/ncn+에서/jca
수렵과	수렵/ncn+과/jcj
유목생활을	유목/ncn+생활/ncn+을/jco
해	하/pvg+어/ecx
왔으며	오/px+았/ep+으며/ecs
13	13/nnc
세기초	세기/nbu+초/ncn
징기스칸	징기스칸/nq
(	(/sl
成	成/nq
思	思/ncn
)	)/sr
이	이/jcs
이끄는	이끌/pvg+는/etm
한	한/nnc
부족집단이	부족/ncn+집단/ncn+이/jcs
몽골	몽골/nq
고원지역을	고원/ncn+지역/ncn+을/jco
정복	정복/ncn
,	,/sp
유라시아대륙의	유라시아대륙/nq+의/jcm
대부분을	대부분/ncn+을/jco
지배하는	지배/ncpa+하/xsv+는/etm
대제국을	대/xp+제국/ncn+을/jco
건설한	건설/ncpa+하/xsv+ㄴ/etm
데서	데/nbn+서/jca
단일민족으로	단일/ncn+민족/ncn+으로/jca
형성되었다	형성/ncpa+되/xsv+었/ep+다/ef
.	./sf
이들	이/npd+들/xsn
민족은	민족/ncn+은/jxc
원래	원래/ncn
조령숭배	조령/ncn+숭배/ncn
(	(/sl
祖靈崇拜	祖靈崇拜/ncn
)	)/sr
의	의/jcm
샤머니즘을	샤머니즘/ncn+을/jco
유일한	유일/ncpa+하/xsv+ㄴ/etm
민족	민족/ncn
종교로	종교/ncn+로/jca
숭배하였으나	숭배/ncpa+하/xsv+었/ep+으나/ecs
13	13/nnc
세기	세기/nbu
중반	중반/ncn
불교가	불교/nq+가/jcs
전파되어	전파/ncpa+되/xsv+어/ecx
샤머니즘과	샤머니즘/ncn+과/jct
함께	함께/mag
자리잡아	자리/ncn+잡/pvg+아/ecx
왔다	오/px+았/ep+다/ef
.	./sf
그	그/mmd
후	후/ncn
16	16/nnc
세기초	세기/nbu+초/ncn
티베트의	티베트/nq+의/jcm
라마교가	라마교/nq+가/jcs
본격적으로	본격/ncn+적/xsn+으로/jca
전파됨으로써	전파/ncpa+되/xsv+ㅁ/etn+으로써/jca
이들	이/npd+들/xsn
민족의	민족/ncn+의/jcm
문화와	문화/ncn+와/jcj
생활에	생활/ncn+에/jca
큰	크/paa+ㄴ/etm
영향을	영향/ncn+을/jco
가져다	가지/pvg+어다/ecs
주었다	주/px+었/ep+다/ef
.	./sf
이에	이/npd+에/jca
따라	따르/pvg+아/ecs
이들	이/npd+들/xsn
민족의	민족/ncn+의/jcm
신화와	신화/ncn+와/jcj
전설	전설/ncn
역시	역시/mag
야머니즘과	야머니즘/ncn+과/jcj
라마료의	라마료/nq+의/jcm
세계관에	세계/ncn+관/xsn+에/jca
의해	의하/pvg+어/ecx
형성된	형성/ncpa+되/xsv+ㄴ/etm
것들이	것/nbn+들/xsn+이/jcs
대부분이며	대부분/ncn+이/jp+며/ecc
특히	특히/mag
이들	이/npd+들/xsn
조상들이	조상/ncn+들/xsn+이/jcs
고대	고대/ncn
유목시절부터	유목/ncn+시절/ncn+부터/jxc
거주해온	거주/ncpa+하/xsv+어/ecx+오/px+ㄴ/etm
중앙아시아의	중앙아시아/nq+의/jcm
바이칼호	바이칼호/nq
주변에서	주변/ncn+에서/jca
구전되고	구전/ncpa+되/xsv+고/ecx
있는	있/px+는/etm
신화	신화/ncn
전설	전설/ncn
설화	설화/ncn
영웅서사시	영웅/ncn+서사/ncn+시/ncn
또는	또는/maj
민화	민화/ncn
등이	등/ncn+이/jcs
종종	종종/mag
있기는	있/px+기/etn+는/jxc
하지만	하지만/maj
이것들은	이것/npd+들/xsn+은/jxc
체계적으로	체계/ncn+적/xsn+으로/jca
정리된	정리/ncpa+되/xsv+ㄴ/etm
자료가	자료/ncn+가/jcs
없어	없/paa+어/ecs
올바르게	올바르/paa+게/ecx
소개할	소개/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
점이	점/ncn+이/jcs
무척	무척/mag
아쉽다고	아쉽/paa+다/ef+고/jcr
하겠다	하/pvg+겠/ep+다/ef
.	./sf
그러나	그러나/maj
몽골계	몽골/nq+계/xsn
민족이	민족/ncn+이/jcs
단일민족으로	단일/ncn+민족/ncn+으로/jca
지구상에	지구/ncn+상/xsn+에/jca
알려진	알리/pvg+어/ecx+지/px+ㄴ/etm
13	13/nnc
세기경	세기/nbu+경/xsn
처음으로	처음/ncn+으로/jca
몽골어로	몽골/nq+어/xsn+로/jca
쓰여진	쓰이/pvg+어/ecx+지/px+ㄴ/etm
몽골	몽골/nq
비사	비사/nq
(	(/sl
秘史	秘史/nq
)	)/sr
라는	라/ef+는/etm
신화가	신화/ncn+가/jcs
있어	있/paa+어/ecs
흥미를	흥미/ncn+를/jco
끈다	끌/pvg+ㄴ다/ef
.	./sf
이	이/mmd
신화에는	신화/ncn+에/jca+는/jxc
숫이리	숫이리/ncn
(	(/sl
)	)/sr
와	와/jcj
암사슴이	암사슴/ncn+이/jcs
부부가	부부/ncn+가/jcs
되어	되/pvg+어/ecx
대대로	대대로/mag
살다가	살/pvg+다가/ecs
중국에는	중국/nq+에/jca+는/jxc
사람	사람/ncn
(	(/sl
여자	여자/ncn
)	)/sr
과	과/jct
결혼해	결혼/ncpa+하/xsv+어/ecx
살게된다는	살/pvg+게/ecx+되/px+ㄴ다/ef+는/etm
내용을	내용/ncn+을/jco
담고	담/pvg+고/ecx
있다	있/px+다/ef
.	./sf
그런데	그런데/maj
나중에	나중/ncn+에/jca
이리와	이리/ncn+와/jct
살게	살/pvg+게/ecx
된	되/px+ㄴ/etm
여자는	여자/ncn+는/jxc
어느	어느/mmd
날	날/ncn
이리	이리/ncn
형제에	형제/ncn+에/jca
흘려	흘리/pvg+어/ecx
불행하게	불행/ncpa+하/xsv+게/ecx
억지로	억지/ncn+로/jca
짐승의	짐승/ncn+의/jcm
아내가	아내/ncn+가/jcc
된	되/pvg+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이는	이/npd+는/jxc
몽골족이	몽골/nq+족/xsn+이/jcs
민족	민족/ncn
영웅으로	영웅/ncn+으로/jca
떠받드는	떠받들/pvg+는/etm
징기스칸의	징기스칸/nq+의/jcm
결혼	결혼/ncn
스토리와	스토리/ncn+와/jcj
유사하다	유사/ncpa+하/xsv+다/ef
.	./sf
즉	즉/mag
징기스칸은	징기스칸/nq+은/jxc
남의	남/npp+의/jcm
아내를	아내/ncn+를/jco
강제로	강제/ncn+로/jca
끌어다가	끌/pvg+어다가/ecs
자기	자기/npp
아내로	아내/ncn+로/jca
삼았으며	삼/pvg+았/ep+으며/ecs
자기	자기/npp
아버지도	아버지/ncn+도/jxc
그와	그/npp+와/jct
같은	같/paa+은/etm
방법으로	방법/ncn+으로/jca
결혼했었다	결혼/ncpa+하/xsv+었었/ep+다/ef
.	./sf
그럼	그렇/pad+ㅁ/etn
몽골족이	몽골/nq+족/xsn+이/jcs
널리	널리/mag
소개하는	소개/ncpa+하/xsv+는/etm
몽골비사를	몽골비사/nq+를/jco
엮길로	엮길/ncn+로/jca
한다	하/pvg+ㄴ다/ef
.	./sf
태고적	태고/ncn+적/xsn
몽골고원에	몽골/nq+고원/ncn+에/jca
어느	어느/mmd
날	날/ncn
천신인	천신/nq+이/jp+ㄴ/etm
텡그리의	텡그리/nq+의/jcm
명령을	명령/ncn+을/jco
받고	받/pvg+고/ecx
태어난	태어나/pvg+ㄴ/etm
회색의	회색/ncn+의/jcm
큰	크/paa+ㄴ/etm
이리	이리/ncn
한마리가	한/nnc+마리/ncn+가/jcs
쓸쓸히	쓸쓸히/mag
살고	살/pvg+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf
그는	그/npp+는/jxc
외로움을	외롭/paa+ㅁ/etn+을/jco
달래기	달래/pvg+기/etn
위해	위하/pvg+어/ecs
천신에게	천신/nq+에게/jca
아내를	아내/ncn+를/jco
보내	보내/pvg+어/ecx
달라고	달라/px+고/ecc
매일	매일/ncn
같이	같이/mag
기원했다	기원/ncpa+하/xsv+었/ep+다/ef
.	./sf
천신인	천신/nq+이/jp+ㄴ/etm
텡그리	텡그리/nq
부인도	부인/ncn+도/jxc
없이	없/paa+이/xsa
외롭게	외롭/paa+게/ecx
지내는	지내/pvg+는/etm
이리를	이리/ncn+를/jco
위해	위하/pvg+어/ecs
성품이	성품/ncn+이/jcs
온화한	온화/ncps+하/xsm+ㄴ/etm
희	희/nq
암사슴에게	암사슴/ncn+에게/jca
이리와	이리/ncn+와/jcj
부부연을	부부연/ncn+을/jco
맺도록	맺/pvg+도록/ecs
권했다	권하/pvg+었/ep+다/ef
.	./sf
이리하여	이리하/pvg+어/ecs
부부가	부부/ncn+가/jcc
된	되/pvg+ㄴ/etm
이리와	이리/ncn+와/jcj
사슴은	사슴/ncn+은/jxc
먼	멀/paa+ㄴ/etm
바다를	바다/ncn+를/jco
건너	건너/mag
볼항할딩이란	볼항할딩/nq+이/jp+란/etm
산악지대로	산악/ncn+지대/ncn+로/jca
거처를	거처/ncn+를/jco
옮겨	옮기/pvg+어/ecx
생활을	생활/ncn+을/jco
시작했다	시작/ncpa+하/xsv+었/ep+다/ef
.	./sf
이들	이/npd+들/xsn
부부는	부부/ncn+는/jxc
매일	매일/mag
호랑이	호랑이/ncn
,	,/sp
사자	사자/ncn
등	등/ncn
맹수들의	맹수/ncn+들/xsn+의/jcm
습격을	습격/ncn+을/jco
받았지만	받/pvg+았/ep+지만/ecs
그때마다	그/npd+때/ncn+마다/jxc
천신의	천신/nq+의/jcm
가호로	가호/ncn+로/jca
위기를	위기/ncn+를/jco
넘기며	넘기/pvg+며/ecc
금슬좋은	금슬/ncn+좋/paa+은/etm
부부로	부부/ncn+로/jca
한평생	한평생/ncn
살았다	살/pvg+았/ep+다/ef
.	./sf
세월은	세월/ncn+은/jxc
흘러	흐르/pvg+어/ecs
이리와	이리/ncn+와/jcj
사슴부부의	사슴/ncn+부부/ncn+의/jcm
10	10/nnc
대	대/nbu
후손까지	후손/ncn+까지/jca
이르러	이르/pvg+어/ecs
몽골고원에는	몽골/nq+고원/ncn+에/jca+는/jxc
도아소홀	도아소홀/nq
도봉멜겡	도봉멜겡/nq
두	두/nnc
현제	현제/ncn
이리가	이리/ncn+가/jcs
터전을	터전/ncn+을/jco
잡고	잡/pvg+고/ecx
살게된다	살/pvg+게/ecx+되/px+ㄴ다/ef
.	./sf
형인	형/ncn+이/jp+ㄴ/etm
도아소홀은	도아소홀/nq+은/jxc
이상하게도	이상/ncps+하/xsm+게도/jxc
태아날	태/pvg+아/ecx+나/px+ㄹ/etm
때부터	때/ncn+부터/jxc
한가운데	한가운데/ncn
한눈만을	한눈/ncn+만/jxc+을/jco
가진	가지/pvg+ㄴ/etm
불구로	불구/ncn+로/jca
태어났다	태어나/pvg+았/ep+다/ef
.	./sf
그렇지만	그렇지만/maj
그	그/mmd
눈은	눈/ncn+은/jxc
쉬지	쉬/pvg+지/ecx
않고	않/px+고/ecc
3	3/nnc
일을	일/ncn+을/jco
가야	가/pvg+야/ef
하는	하/pvg+는/etm
먼	멀/paa+ㄴ/etm
거리를	거리/ncn+를/jco
볼	보/pvg+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
정도의	정도/ncn+의/jcm
천리안	천리안/ncn
(	(/sl
千里眼	千里眼/ncn
)	)/sr
이었다	이/jp+었/ep+다/ef
.	./sf
어느	어느/mmd
날	날/ncn
이들	이/npd+들/xsn
형제는	형제/ncn+는/jxc
멀리	멀리/mag
여행을	여행/ncn+을/jco
떠났다	떠나/pvg+았/ep+다/ef
.	./sf
여행도중	여행/ncn+도중/ncn
산마루에	산마루/ncn+에/jca
앉아	앉/pvg+아/ecs
잠시	잠시/mag
쉬고	쉬/pvg+고/ecx
있던	있/px+던/etm
터에	터/nbn+에/jca
형인	형/ncn+이/jp+ㄴ/etm
도아소홀이	도아소홀/ncn+이/jcs
먼	멀/paa+ㄴ/etm
지평선에서	지평/ncn+선/ncn+에서/jca
수많은	수많/paa+은/etm
사람들	사람/ncn+들/xsn
사이에	사이/ncn+에/jca
둘러	둘러/mag
쌓인	쌓이/pvg+ㄴ/etm
채	채/nbn
가마를	가마/ncn+를/jco
탄	타/pvg+ㄴ/etm
예쁜	예쁘/paa+ㄴ/etm
낭자를	낭자/ncn+를/jco
발견했다	발견/ncpa+하/xsv+었/ep+다/ef
.	./sf
즉시	즉시/ncn
형은	형/ncn+은/jxc
동생	동생/ncn
도봉멜겡을	도봉멜겡/nq+을/jco
향해	향하/pvg+어/ecs
"	"/sl
저	저/mmd
멀리	멀리/mag
어떤	어떻/pad+ㄴ/etm
낭자가	낭자/ncn+가/jcs
가마에	가마/ncn+에/jca
타서	타/pvg+서/ecs
가고	가/pvg+고/ecx
있는데	있/px+는데/ecs
너의	너/npp+의/jcm
아내로	아내/ncn+로/jca
삼으면	삼/pvg+으면/ecs
어떨까	어떠/pad+ㄹ까/ef
"	"/sr
하고	하/pvg+고/ecc
의중을	의중/ncn+을/jco
물어보았다	묻/pvg+어/ecx+보/px+았/ep+다/ef
.	./sf
"	"/sl
아니야	아니/paa+야/ef
나보다	나/npp+보다/jca
형이	형/ncn+이/jcs
좋으면	좋/paa+으면/ecs
형수로	형수/ncn+로/jca
맞았으면	맞/pvg+았/ep+으면/ecs
