<tdmsfile>
<tdmsfile>
Han1.hwp  2차 수정(박현이)
신한국당	신한국당/nq
대선을	대선/ncn+을/jco
치를	치르/pvg+ㄹ/etm
것으로	것/nbn+으로/jca
단정하기란	단정/ncpa+하/xsv+기/etn+란/jxc
힘들다.	힘/ncn+들/pvg+다/ef+./sf
청와대	청와대/nq
안에서도	안/ncn+에서/jca+도/jxc
적절한	적절/ncps+하/xsm+ㄴ/etm
시점을	시점/ncn+을/jco
계기로	계기/ncn+로/jca
기존의	기존/ncn+의/jcm
입장을	입장/ncn+을/jco
수정할	수정/ncpa+하/xsv+ㄹ/etm
필요가	필요/ncn+가/jcs
있다는	있/paa+다/ef+는/etm
지적이	지적/ncn+이/jcs
제기되고	제기/ncpa+되/xsv+고/ecx
있다.	있/px+다/ef+./sf
최근	최근/ncn
김	김/nq
대통령이	대통령/ncn+이/jcs
종교계를	종교/ncn+계/xsn+를/jco
비롯한	비롯/ncpa+하/xsv+ㄴ/etm
각계	각계/ncn
원로급	원로/ncn+급/ncn
지도자들과	지도/ncn+자/xsn+들/xsn+과/jct
잇따라	잇따르/pvg+아/ecs
만나고	만나/pvg+고/ecx
있는	있/px+는/etm
것도	것/nbn+도/jxc
정국현안에	정국/ncn+현안/ncn+에/jca
대한	대하/pvg+ㄴ/etm
여론청취	여론/ncn+청취/ncn
목적뿐	목적/ncn+뿐/nbn
아니라	아니/paa+라/ecs
탈당의	탈당/ncn+의/jcm
명분축적	명분/ncn+축적/ncn
성격도	성격/ncn+도/jxc
있는	있/paa+는/etm
것으로	것/nbn+으로/jca
보인다.	보이/pvg+ㄴ다/ef+./sf
다만	다만/mag
탈당을	탈당/ncn+을/jco
하더라도	하/pvg+더라도/ecs
그	그/mmd
시기는	시기/ncn+는/jxc
신한국당의	신한국당/nq+의/jcm
내분	내분/ncn
사태나	사태/ncn+나/jcj
국민신당의	국민신당/nq+의/jcm
창당작업	창당/ncn+작업/ncn
등	등/nbn
여권의	여권/ncn+의/jcm
세력재편	세력/ncn+재편/ncn
작업이	작업/ncn+이/jcs
어느	어느/mmd
정도	정도/ncn
가닥을	가닥/ncn+을/jco
잡은	잡/pvg+은/etm
이후가	이후/ncn+가/jcs
될	되/pvg+ㄹ/etm
듯하다.	듯하/px+다/ef+./sf
여권	여권/ncn
일각에서는	일각/ncn+에서/jca+는/jxc
국회회기가	국회/ncn+회기/ncn+가/jcs
끝나는	끝/ncn+나/pvg+는/etm
오는	오/pvg+는/etm
18일	18/nno+일/nbu
전후를	전후/ncn+를/jco
점치는	점/ncn+치/pvg+는/etm
사람도	사람/ncn+도/jxc
있다.	있/paa+다/ef+./sf
이회창	이회창/nq
신한국당	신한국당/nq
총재가	총재/ncn+가/jcs
이인제	이인제/nq
전	전/mma
경기지사와는	경기/nq+지사/ncn+와/jct+는/jxc
연대할	연대/ncpa+하/xsv+ㄹ/etm
뜻이	뜻/ncn+이/jcs
없음을	없/paa+음/etn+을/jco
밝히자	밝히/pvg+자/ecs
`정권창출을	`/sl+정권/ncn+창출/ncn+을/jco
위한	위하/pvg+ㄴ/etm
국민연대'를	국민/ncn+연대/ncn+'/sr+를/jco
추진해온	추진/ncpa+하/xsv+어/ecx+오/px+ㄴ/etm
비주류	비/xp+주류/ncn
진영	진영/ncn
안에서	안/ncn+에서/jca
탈당	탈당/ncn
기운이	기운/ncn+이/jcs
확산되고	확산/ncpa+되/xsv+고/ecx
있다.	있/px+다/ef+./sf
그러나	그러나/maj
이	이/nq
총재는	총재/ncn+는/jxc
지난	지나/pvg+ㄴ/etm
1일	1/nno+일/nbu
이한동	이한동/nq
대표와	대표/ncn+와/jcj
3인	3/nnc+인/nbu
공동선대위원장이	공동/ncn+선대위/ncn+원장/ncn+이/jcs
모인	모이/pvg+ㄴ/etm
당	당/ncn
지도부	지도/ncn+부/xsn
5인회의에서	5/nnc+인/nbu+회의/ncn+에서/jca
이	이/nq
전	전/mma
지사와는	지사/ncn+와/jct+는/jxc
후보단일화를	후보/ncn+단일/ncn+화/xsn+를/jco
추진할	추진/ncpa+하/xsv+ㄹ/etm
용의가	용의/ncn+가/jcs
없음을	없/paa+음/etn+을/jco
밝혔으며,	밝히/pvg+었/ep+으며/ecc+,/sp
3일	3/nno+일/nbu
기자회견에서도	기자/ncn+회견/ncn+에서/jca+도/jxc
이를	이/npd+를/jco
다시한번	다시/mag+한/nnc+번/nbu
밝힐	밝히/pvg+ㄹ/etm
것으로	것/nbn+으로/jca
알려졌다.	알리/pvg+어/ecx+지/px+었/ep+다/ef+./sf
또	또/maj
이한동	이한동/nq
대표와	대표/ncn+와/jcj
김윤환	김윤환/nq
선대위원장	선대위/ncn+원장/ncn
진영	진영/ncn
등	등/nbn
민정계쪽의	민정/ncn+계/xsn+쪽/nbn+의/jcm
국민연대	국민/ncn+연대/ncn
동참	동참/ncn
여부	여부/ncn
역시	역시/mag
여전히	여전/ncn+히/xsa
불투명한	불/xp+투명/ncps+하/xsm+ㄴ/etm
상태다.	상태/ncn+다/ef+./sf
국민신당(가칭)이	국민신당/nq+(/sl+가칭/ncn+)/sr+이/jcs
조만간	조만간/mag
입당하거나	입당/ncpa+하/xsv+거나/ecc
이미	이미/mag
입당한	입당/ncpa+하/xsv+ㄴ/etm
현역	현역/ncn
의원들을	의원/ncn+들/xsn+을/jco
중심으로	중심/ncn+으로/jca
당직	당직/ncn
인선	인선/ncn
구상을	구상/ncn+을/jco
가다듬고	가다듬/pvg+고/ecx
있다.	있/px+다/ef+./sf
국민신당은	국민신당/nq+은/jxc
우선	우선/mag
당	당/ncn
총재로	총재/ncn+로/jca
이만섭	이만섭/nq
전	전/mma
국회의장을	국회/ncn+의장/ncn+을/jco
사실상	사실/ncn+상/xsn
확정한	확정/ncpa+하/xsv+ㄴ/etm
것으로	것/nbn+으로/jca
알려졌다.	알리/pvg+어/ecx+지/px+었/ep+다/ef+./sf
대표최고위원제로	대표/ncn+최고/ncn+위원/ncn+제/xsn+로/jca
되어	되/pvg+어/ecx
있는	있/px+는/etm
당헌은	당헌/ncn+은/jxc
총재로	총재/ncn+로/jca
바꾸기로	바꾸/pvg+기/etn+로/jca
했으며,	하/px+었/ep+으며/ecc+,/sp
이수성	이수성/nq
신한국당	신한국당/nq
고문은	고문/ncn+은/jxc
입당	입당/ncn
자체가	자체/ncn+가/jcs
불투명해짐에	불/xp+투명/ncps+하/xsm+어/ecx+지/px+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
거리가	거리/ncn+가/jcs
멀어졌다.	멀/paa+어/ecx+지/px+었/ep+다/ef+./sf
5~7명	5/nnc+~/sd+7/nnc+명/nbu
둘	두/pvg+ㄹ/etm
예정인	예정/ncn+이/jp+ㄴ/etm
최고위원은	최고/ncn+위원/ncn+은/jxc
장을병	장을병/nq
창당준비위원장만을	창당/ncn+준비/ncn+위원/ncn+장/xsn+만/jxc+을/jco
우선	우선/mag
선출하고,	선출/ncpa+하/xsv+고/ecc+,/sp
나머지는	나머지/ncn+는/jxc
영입이	영입/ncn+이/jcs
성사되는	성사/ncpa+되/xsv+는/etm
대로	대로/nbn
채워갈	채우/pvg+어/ecx+가/px+ㄹ/etm
방침이다.	방침/ncn+이/jp+다/ef+./sf
사무총장에는	사무/ncn+총장/ncn+에/jca+는/jxc
김운환	김운환/nq
의원,	의원/ncn+,/sp
정책위의장	정책위/ncn+의장/ncn
한이헌	한이헌/nq
의원,	의원/ncn+,/sp
후보비서실장	후보/ncn+비서/ncn+실장/ncn
김학원	김학원/nq
의원	의원/ncn
등이	등/nbn+이/jcs
거론되고	거론/ncpa+되/xsv+고/ecx
있다.	있/px+다/ef+./sf
그러나	그러나/maj
당직	당직/ncn
인선에는	인선/ncn+에/jca+는/jxc
가변성도	가변/ncn+성/xsn+도/jxc
있다.	있/paa+다/ef+./sf
민주계인	민주/ncn+계/xsn+이/jp+ㄴ/etm
자신이	자신/ncn+이/jcs
핵심당직인	핵심/ncn+당직/ncn+이/jp+ㄴ/etm
사무총장을	사무/ncn+총장/ncn+을/jco
맡을	맡/pvg+을/etm
경우	경우/ncn
`김영삼	`/sl+김영삼/nq
신당'	신당/ncn+'/sr
이미지가	이미지/ncn+가/jcs
굳어질	굳/paa+어/ecx+지/px+ㄹ/etm
가능성을	가능/ncn+성/xsn+을/jco
우려한다는	우려/ncpa+하/xsv+ㄴ다/ef+는/etm
것이다.	것/nbn+이/jp+다/ef+./sf
대안으로는	대안/ncn+으로/jca+는/jxc
제정구	제정구/nq
의원(민주당)이나	의원/ncn+(/sl+민주당/nq+)/sr+이나/jcj
이철	이철/nq
전	전/mma
의원의	의원/ncn+의/jcm
입당	입당/ncn
뒤	뒤/ncn
기용	기용/ncn
가능성이	가능/ncn+성/xsn+이/jcs
점쳐지고	점/ncn+치/pvg+어/ecx+지/px+고/ecx
있다.	있/px+다/ef+./sf
현역	현역/ncn
의원	의원/ncn
입당과	입당/ncn+과/jct
함께	함께/mag
무게중심이	무게/ncn+중심/ncn+이/jcs
`원내파'쪽으로	`/sl+원내/ncn+파/ncn+'/sr+쪽/nbn+으로/jca
옮아가는	옮/pvg+아/ecs+가/pvg+는/etm
듯한	듯하/px+다/ef+./sf
기류도	기류/ncn+도/jxc
흥미롭다.	흥미/ncps+롭/xsm+다/ef+./sf
지난	지나/pvg+ㄴ/etm
1일에는	1/nno+일/nbu+에/jca+는/jxc
이인제	이인제/nq
전	전/mma
경기지사와	경기/nq+지사/ncn+와/jcj
이만섭	이만섭/nq
전	전/mma
국회의장,	국회/ncn+의장/ncn+,/sp
김운환	김운화/nq
박범진	박범진/nq
이용삼	이용삼/nq
한이헌	한이헌/nq
김학원	김학원/nq
원유철	원유철/nq
의원	의원/ncn
등	등/nbn
8인이	8/nnc+인/nbu+이/jcs
모여	모이/pvg+어/ecs
대표최고위원	대표/ncn+최고/ncn+위원/ncn
중심으로	중심/ncn+으로/jca
결정된	결정/ncpa+되/xsv+ㄴ/etm
당헌을	당헌/ncn+을/jco
총재	총재/ncn
중심으로	중심/ncn+으로/jca
바꾸기로	바꾸/pvg+기/etn+로/jca
했다.	하/px+었/ep+다/ef+./sf
이	이/nq
전	전/mma
지사와	지사/ncn+와/jct
동반	동반/ncn
탈당했던	탈당/ncpa+하/xsv+었/ep+던/etm
원외	원외/ncn
지구당위원장	지구/ncn+당/ncn+위원/ncn+장/xsn
13명	13/nnc+명/nbu
중심의	중심/ncn+의/jcm
창당준비위원회	창당/ncn+준비/ncn+위원/ncn+회/xsn
결정사항이	결정/ncn+사항/ncn+이/jcs
간단히	간단/ncn+히/xsa
뒤집힌	뒤집히/pvg+ㄴ/etm
것이다.	것/nbn+이/jp+다/ef+./sf
이	이/mmd
자리에선	자리/ncn+에서/jca+ㄴ/jxc
이	이/nq
전	전/mma
의장이	의장/ncn+이/jcs
우회적으로	우회/ncn+적/xsn+으로/jca
`총재직'에	`/sl+총재/ncn+직/xsn+'/sr+에/jca
대한	대하/pvg+ㄴ/etm
희망을	희망/ncn+을/jco
비친	비치/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
알려졌다.	알리/pvg+어/ecx+지/px+었/ep+다/ef+./sf
80년	80/nno+년/nbu
신군부의	신/xp+군부/ncn+의/jcm
군사쿠데타로	군사/ncn+쿠데타/ncn+로/jca
5공정권이	5/nno+공/ncn+정권/ncn+이/jcs
들어선	들/pvg+어/ecs+서/pvg+ㄴ/etm
이후	이후/ncn
`국민대화합'을	`/sl+국민/ncn+대/xp+화합/ncn+'/sr+을/jco
명분으로	명분/ncn+으로/jca
한	하/pvg+ㄴ/etm
대대적인	대대적/ncn+이/jp+ㄴ/etm
사면조처는	사면/ncn+조처/ncn+는/jxc
수차례	수차례/ncn
이뤄져왔다.	이루/pvg+어/ecx+지/px+어/ecx+오/px+았/ep+다/ef+./sf
대상자	대상/ncn+자/xsn
가운데는	가운데/ncn+는/jxc
이른바	이른바/maj
국가보안법	국가/ncn+보안/ncn+법/ncn
위반사범도	위반/ncn+사범/ncn+도/jxc
대거	대거/mag
포함했다.	포함/ncpa+하/xsv+었/ep+다/ef+./sf
최근	최근/ncn
일고	일/pvg+고/ecx
있는	있/px+는/etm
양심수	양심/ncn+수/xsn
논란과	논란/ncn+과/jct
관련해	관련/ncpa+하/xsv+어/ecs
신한국당과	신한국당/nq+과/jcj
법무부의	법무부/nq+의/jcm
시각으로	시각/ncn+으로/jca
본다면	보/pvg+ㄴ다/ef+면/ecs
결코	결코/mag
양심수가	양심/ncn+수/xsn+가/jcs
될	되/pvg+ㄹ/etm
수	수/nbn
없으며	없/paa+으며/ecs
사면받을	사면/ncn+받/xsv+을/etm
수	수/nbn
없었던	없/paa+었/ep+던/etm
사람들이다.	사람/ncn+들/xsn+이/jp+다/ef+./sf
물론	물론/mag
이들	이/npp+들/xsn
가운데	가운데/ncn
상당수는	상당/ncn+수/ncn+는/jxc
현재	현재/ncn
야당뿐만	야당/ncn+뿐/jxc+만/jxc
아니라	아니/paa+라/ecs
신한국당에서	신한국당/nq+에서/jca
활동하고	활동/ncpa+하/xsv+고/ecx
있다.	있/px+다/ef+./sf
김영삼	김영삼/nq
대통령은	대통령/ncn+은/jxc
93년	93/nno+년/nbu
3월6일	3/nno+월/nbu+6/nno+일/nbu
대통령에	대통령/ncn+에/jca
취임한	취임/ncpa+하/xsv+ㄴ/etm
직후	직후/ncn
대사면을	대/xp+사면/ncn+을/jco
단행했다.	단행/ncpa+하/xsv+었/ep+다/ef+./sf
</tdmsfile>
</tdmsfile>
