<tdmsfile>
<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0006.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0006.txt </filename>
<title>허공의 몸을 찾아서 </title>
<author>석지명  </author>
<date>1993  </date>
<publisher>불교시대사  </publisher>
<kdc>223  </kdc>
<ddc>294.38  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
법구경은	법구경/nq+은/jxc
누구나가	누구나/npd+가/jcs
될	되/pvg+ㄹ/etm
수	수/nbn
있다	있/pvg+다/ef
.	./sf
그러면	그러면/maj
석가보살이	석가/nq+보살/ncn+이/jcs
훌륭한	훌륭하/paa+ㄴ/etm
말로	말/ncn+로/jca
화신하여	화신/ncpa+하/xsv+여/ecs
보살행을	보살행/ncn+을/jco
한	하/pvg+ㄴ/etm
이야기를	이야기/ncn+를/jco
살펴보자	살피/pvg+어/ecx+보/px+자/ef
.	./sf
이	이/mmd
이야기는	이야기/ncn+는/jxc
부처님이	부처/ncn+님/xsn+이/jcs
제타바나에	제타바나/nq+에/jca
계셨을	계시/paa+었/ep+을/etm
때	때/ncn
비구들에게	비구/ncn+들/xsn+에게/jca
용맹정진을	용맹/ncn+정진/ncn+을/jco
가르치기	가르치/pvg+기/etn
위해서	위하/pvg+어서/ecs
설한	설하/pvg+ㄴ/etm
것이라고	것/nbn+이/jp+라고/ecs
서론은	서론/ncn+은/jxc
밝히고	밝히/pvg+고/ecc
있다	있/paa+다/ef
.	./sf
옛날	옛날/ncn
바라나시에	바라나시/nq+에/jca
한	한/nnc
완이	완/ncn+이/jcs
있었는데	있/pvg+었/ep+는데/ecs
석가보살은	석가/nq+보살/ncn+은/jxc
한	한/nnc
마리의	마리/nbu+의/jcm
명마로서	명마/ncn+로서/jca
왕궁에서	왕궁/ncn+에서/jca
지냈다	지내/pvg+었/ep+다/ef
.	./sf
그런데	그런데/maj
주변국	주변/ncn+국/xsn
왕들이	왕/ncn+들/xsn+이/jcs
바라나국을	바라나국/nq+을/jco
탐내고	탐/ncn+내/pvg+고/ecc
전쟁을	전쟁/ncn+을/jco
걸어	걸/pvg+어/ecx
왔다	오/px+았/ep+다/ef
.	./sf
일곱	일곱/nnc
명의	명/nbu+의/jcm
왕들이	왕/ncn+들/xsn+이/jcs
한꺼번에	한꺼번에/mag
군사들을	군사/ncn+들/xsn+을/jco
몰고	몰/pvg+고/ecc
온	오/pvg+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
왕은	왕/ncn+은/jxc
장수들을	장수/ncn+들/xsn+을/jco
불러서	부르/pvg+어서/ecs
이	이/mmd
전쟁에	전쟁/ncn+에/jca
대한	대하/pvg+ㄴ/etm
대처방안을	대처/ncn+방안/ncn+을/jco
상의했다	상의/ncpa+하/xsv+었/ep+다/ef
.	./sf
그중	그/npp+중/nbn
한	한/nnc
용감한	용감/ncps+하/xsm+ㄴ/etm
기사가	기사/ncn+가/jcs
석가보살의	석가/nq+보살/ncn+의/jcm
화신인	화신/ncn+이/jp+ㄴ/etm
명마를	명마/ncn+를/jco
데리고	데리/pvg+고/ecc
전쟁에	전쟁/ncn+에/jca
나간다면	나가/pvg+ㄴ다면/ecs
일곱왕과	일곱/nnc+왕/ncn+과/jcj
그들의	그/npp+들/xsn+의/jcm
군사들을	군사/ncn+들/xsn+을/jco
무찌르는	무찌르/pvg+는/etm
것은	것/nbn+은/jxc
쉬운	쉽/paa+ㄴ/etm
일이라고	일/ncn+이/jp+라고/ecs
말했다	말/ncpa+하/xsv+었/ep+다/ef
.	./sf
그	그/mmd
용감한	용감/ncps+하/xsm+ㄴ/etm
기사는	기사/ncn+는/jxc
그	그/mmd
보살명마를	보살/ncn+명마/ncn+를/jco
타고	타/pvg+고/ecc
번개불의	번개/ncn+불/ncn+의/jcm
속도로	속도/ncn+로/jca
달려가서	달리/pvg+어/ecs+가/pvg+서/ecs
첫번째	첫/nno+번째/nbu
진영을	진영/ncn+을/jco
쳐부수고	쳐부수/pvg+고/ecc
왕을	왕/ncn+을/jco
생포해서	생포/ncpa+하/xsv+어서/ecs
끌고	끌/pvg+고/ecs
와서는	오/pvg+아서/ecs+는/jxc
성안의	성안/ncn+의/jcm
군대에게	군대/ncn+에게/jca
넘겨	넘기/pvg+어/ecx
주었다	주/px+었/ep+다/ef
.	./sf
그	그/mmd
기사와	기사/ncn+와/jcj
보살명마는	보살/ncn+명마/ncn+는/jxc
첫번째와	첫/nno+번째/nbu+와/jcj
마찬가지로	마찬가지/ncn+로/jca
반복해서	반복/ncpa+하/xsv+어서/ecs
다섯	다섯/nnc
명의	명/nbu+의/jcm
왕들을	왕/ncn+들/xsn+을/jco
모두	모두/mag
생포해	생포/ncpa+하/xsv+어/ecs
왔다	오/pvg+았/ep+다/ef
.	./sf
여섯번째의	여섯/nno+번째/nbu+의/jcm
왕을	왕/ncn+을/jco
쳐부셨을	쳐부수/pvg+었/ep+을/etm
때	때/ncn
그	그/mmd
보살명마는	보살/ncn+명마/ncn+는/jxc
부상을	부상/ncn+을/jco
입게	입/pvg+게/ecs
되었다	되/pvg+었/ep+다/ef
.	./sf
몸과	몸/ncn+과/jcj
발에서는	발/ncn+에서/jca+는/jxc
많은	많/paa+은/etm
양의	양/ncn+의/jcm
피가	피/ncn+가/jcs
흘러내렸고	흐르/pvg+어/ecs+내리/pvg+었/ep+고/ecc
이루	이루/mag
말할	말/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
아픔이	아픔/ncn+이/jcs
보살명마를	보살/ncn+명마/ncn+를/jco
괴롭혔다	괴롭히/pvg+었/ep+다/ef
.	./sf
보살명마는	보살/ncn+명마/ncn+는/jco
몸을	몸/ncn+을/jco
길게	길/paa+게/ecs
늘이고	늘이/pvg+고/ecc
누워	눕/pvg+어/ecs
헐떡거리면서	헐떡거리/pvg+면서/ecs
눈을	눈/ncn+을/jco
껌벅였다	껌벅이/pvg+었/ep+다/ef
.	./sf
그러는	그러/pvd+는/etm
중에도	중/nbn+에/jca+도/jxc
생각에	생각/ncn+에/jca
잠겼다	잠기/pvg+었/ep+다/ef
.	./sf
이	이/mmd
기사가	기사/ncn+가/jcs
용감하기는	용감/ncps+하/xsm+기/etn+는/jxc
하지만	하/px+지만/ecs
내가	내/npp+가/jcs
아닌	아니/paa+ㄴ/etm
다른	다르/paa+ㄴ/etm
말을	말/ncn+을/jco
데리고	데리/pvg+고/ecc
나가서는	나가/pvg+서/ecs+는/jxc
일곱번째	일곱/nno+번째/nbu
나라의	나라/ncn+의/jcm
군대를	군대/ncn+를/jco
쳐부수고	쳐부수/pvg+고/ecc
왕을	왕/ncn+을/jco
사로잡아	사로잡/pvg+아/ecs
오지	오/pvg+지/ecx
못할	못하/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그렇게	그렇/pad+게/ecs
되면	되/pvg+면/ecs
내가	나/npp+가/jcs
한	하/pvg+ㄴ/etm
일은	일/ncn+은/jxc
헛수고가	헛수고/ncn+가/jcs
되고	되/pvg+고/ecc
저	저/npd
용감한	용감/ncps+하/xsm+ㄴ/etm
기사마저	기사/ncn+마저/jxc
목숨을	목숨/ncn+을/jco
잃게	잃/pvg+게/ecs
될지도	되/pvg+ㄹ지도/ecs
모른다	모르/pvg+ㄴ다/ef
.	./sf
바라나국	바라나국/nq
왕도	왕/ncn+도/jxc
적에게	적/ncn+에게/jca
항복하고	항복/ncpa+하/xsv+고/ecc
말	말/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
일곱번째	일곱/nno+번째/nbu
왕을	왕/ncn+을/jco
무찌를	무찌르/pvg+ㄹ/etm
수	수/nbn
있는	있/px+는/etm
말은	말/ncn+은/jxc
나밖에	나/npp+밖에/jxc
없다	없/paa+다/ef
.	./sf
보살명마는	보살/ncn+명마/ncn+는/jxc
부상한	부상/ncpa+하/xsv+ㄴ/etm
나머지	나머지/ncn
천근만근으로	천/nnc+근/nbu+만/nnc+근/nbu+으로/jca
느껴지는	느끼/pvg+어/ecx+지/ecx+는/etm
몸을	몸/ncn+을/jco
일으켰다	일으키/pvg+었/ep+다/ef
.	./sf
그	그/mmd
용감한	용감/ncps+하/xsm+ㄴ/etm
기사를	기사/ncn+를/jco
태우고	태우/pvg+고/ecc
일곱번째	일곱/nnc+번째/nbu
진영을	진영/ncn+을/jco
쳐부셨다	치/pvg+어/ecs+부수/pvg+었/ep+다/ef
.	./sf
사람들은	사람/ncn+들/xsn+은/jxc
보살명마를	보살/ncn+명마/ncn+를/jco
왕궁으로	왕궁/ncn+으로/jca
데리고	데리/pvg+고/ecs
왔다	오/pvg+았/ep+다/ef
.	./sf
보살명마는	보살/ncn+명마/ncn+는/jxc
왕에게	왕/ncn+에게/jca
말했다	말/ncpa+하/xsv+었/ep+다/ef
.	./sf
대왕이시여	대왕/ncn+이/jp+시/ep+여/jcv
!	!/sf
일곱	일곱/nnc
명의	명/nbu+의/etm
왕을	왕/ncn+을/jco
죽이지	죽이/pvg+지/ecx
말고	말/px+고/ecc
다시	다시/mag
전쟁을	전쟁/ncn+을/jco
걸어	걸/pvg+어/ecx
오지	오/px+지/ecx
않겠다고	않/px+겠/ep+다고/ecs
맹세하게	맹세/ncpa+하/xsv+게/ecx
한	하/px+ㄴ/etm
후	후/ncn
풀어	풀/pvg+어/ecx
주십시오	주/px+십시오/ef
.	./sf
그리고	그리고/maj
공을	공/ncn+을/jco
세운	세우/pvg+ㄴ/etm
저	저/npd
용감한	용감/ncps+하/xsm+ㄴ/etm
기사도	기사/ncn+도/jxc
잘	잘/mag
보상해	보상/ncpa+하/xsv+어/ecx
주십시오	주/px+십시오/ef
.	./sf
왕께서도	왕/ncn+께서/jcs+도/jxc
보시를	보시/ncn+를/jco
행하고	행하/pvg+고/ecc
도덕을	도덕/ncn+을/jco
지키십시오	지키/pvg+십시오/ef
.	./sf
또	또/mag
공정하고	공정/ncps+하/xsm+고/ecc
평등하게	평등/ncps+하/xsm+게/ecs
왕국을	왕국/ncn+을/jco
다스려	다스리/pvg+어/ecx
주십시오	주/px+십시오/ef
.	./sf
이	이/mmd
말을	말/ncn+을/jco
마치고	마치/pvg+고/ecc
보살명마는	보살/ncn+명마/ncn+는/jxc
숨을	숨/ncn+을/jco
거두었다	거두/pvg+었/ep+다/ef
.	./sf
보살명마의	보살/ncn+명마/ncn+의/jcm
부탁대로	부탁/ncn+대로/jxc
왕은	왕/ncn+은/jxc
공정하고	공정/ncps+하/xsm+고/ecc
평등하게	평등/ncps+하/xsm+게/ecs
왕국을	왕국/ncn+을/jco
잘	잘/mag
다스렸다	다스리/pvg+었/ep+다/ef
.	./sf
모든	모든/mma
백성들이	백성/ncn+들/xsn+이/jcs
행복해	행복/ncps+하/xsm+어/ecx
했다	하/px+었/ep+다/ef
.	./sf
그	그/mmd
왕은	왕/ncn+은/jxc
목숨을	목숨/ncn+을/jco
마칠	마치/pvg+ㄹ/etm
때에	때/ncn+에/jca
자신의	자신/ncn+의/jcm
업보에	업보/ncn+에/jca
따라	따르/pvg+아/ecx
세상을	세상/ncn+을/jco
떠났다	떠나/pvg+았/ep+다/ef
.	./sf
부처님은	부처/ncn+님/xsn+은/jxc
이	이/npd
이야기를	이야기/ncn+를/jco
마치고	마치/pvg+고/ecc
비구들에게	비구/ncn+들/xsn+에게/ecs
말씀하신다	말씀/ncpa+하/xsv+시/ep+ㄴ다/ef
.	./sf
비구들아	비구/ncn+들/xsn+아/jcv
,	,/sp
과거의	과거/ncn+의/jcm
구도자들은	구도/ncn+자/xsn+들/xsn+은/jxc
절망의	절망/ncn+의/jcm
상태에	상태/ncn+에/jca
놓일	놓이/pvg+ㄹ/etm
경우에도	경우/ncn+에/jca+도/jxc
용맹정진을	용맹/ncn+정진/ncn+을/jco
실천하였다	실천/ncpa+하/xsv+었/ep+다/ef
.	./sf
나의	나/npp+의/jcm
전생몸인	전생/ncn+몸/ncn+이/jp+ㄴ/etm
저	저/npd
보살명마는	보살/ncn+명마/ncn+는/jxc
심한	심하/paa+ㄴ/etm
부상을	부상/ncn+을/jco
입으면서도	입/pvg+으면서/ecs+도/jxc
체념한	체념/ncpa+하/xsv+ㄴ/etm
적이	적/nbn+이/jcs
없었다	없/paa+었/ep+다/ef
.	./sf
그런데	그런데/maj
그대들은	그대/npp+들/xsn+은/jxc
생사를	생사/ncn+를/jco
여의기	여의/paa+기/etn
위해서	위하/pvg+어서/ecs
출가했으면서도	출가/ncpa+하/xsv+었/ep+으면서/ecs+도/jxc
어찌하여	어찌하/pvd+여/ecs
용맹정진할	용맹/ncn+정진/ncpa+하/xsv+ㄹ/etm
마음을	마음/ncn+을/jco
내지	내/pvg+지/ecx
않느냐	않/px+느냐/ef
?	?/sf
이어서	잇/pvg+어서/ecs
부처님은	부처/ncn+님/xsn+은/jxc
사성제를	사성제/ncn+를/jco
설하신다	설하/pvg+시/ep+ㄴ다/ef
.	./sf
그리고	그리고/maj
부처님은	부처/ncn+님/xsn+은/jxc
이야기의	이야기/ncn+의/jcm
끝을	끝/ncn+을/jco
맺기	맺/pvg+기/etn
위해서	위하/pvg+어서/ecs
수행시절의	수행/ncn+시절/ncn+의/jcm
전생과	전생/ncn+과/jcj
현재를	현재/ncn+를/jco
설명하셨다	설명/ncpa+하/xsv+시/ep+었/ep+다/ef
.	./sf
"	"/sl
그때	그/mmd+때/ncn
국왕은	국왕/ncn+은/jxc
지금의	지금/ncn+의/jcm
아난이었다	아난/nq+이/jp+었/ep+다/ef
.	./sf
그때의	그/mmd+때/ncn+의/jcm
용감한	용감/ncps+하/xsm+ㄴ/etm
기사는	기사/ncn+는/jxc
사리불이었고	사리불/nq+이/jp+었/ep+고/ecc
보살명마는	보살/ncn+명마/ncn+는/jxc
바로	바로/mag
지금의	지금/ncn+의/jcm
나였느니라	나/npp+이/jp+었/ep+느니라/ef
."	./sf+"/sr
보살의	보살/ncn+의/jcm
전생이야기	전생/ncn+이야기/ncn
중에서	중/nbn+에서/jca
중요한	중요/ncps+하/xsm+ㄴ/etm
역할을	역할/ncn+을/jco
하는	하/pvg+는/etm
세	세/nnc
명	명/nbu
,	,/sp
즉	즉/mag
보살명마	보살/ncn+명마/ncn
,	,/sp
용감한	용감/ncps+하/xsm+ㄴ/etm
기사	기사/ncn
,	,/sp
국왕은	국왕/ncn+은/jxc
부처님	부처/ncn+님/xsn
설법시의	설법/ncn+시/nbn+의/jcm
중요한	중요/ncps+하/xsm+ㄴ/etm
인물	인물/ncn
세	세/nnc
명과	명/nbu+과/jct
관련된다	관련/ncpa+되/xsv+ㄴ다/ef
.	./sf
이	이/mmd
본생경	본생경/nq
의	의/jcm
이야기에서	이야기/ncn+에서/jca
석가보살이	석가/nq+보살/ncn+이/jcs
화신으로	화신/ncn+으로/jca
몸을	몸/ncn+을/jco
받은	받/pvg+은/etm
명마는	명마/ncn+는/jxc
용맹정진력을	용맹/ncn+정진/ncn+력/xsn+을/jco
투철하게	투철하/paa+게/ecs
실천하다	실천/ncpa+하/xsv+다/ef
.	./sf
한	한/nnc
왕국을	왕국/ncn+을/jco
일곱	일곱/nnc
나라의	나라/ncn+의/jcm
왕이	왕/ncn+이/jcs
침략해왔음에도	침략/ncpa+하/xsv+어/ecx+오/px+았/ep+음/etn+에/jca+도/jxc
불구하고	불구/ncpa+하/xsv+고/ecc
명마인	명마/ncn+이/jp+ㄴ/etm
석가보살이	석가/nq+보살/ncn+이/jcs
전광석화와	전광석화/ncn+와/jct
같이	같이/jca
달려서	달리/pvg+어서/ecs
왕을	왕/ncn+을/jco
잡아	잡/pvg+아/ecs
오곤	오/pvg+곤/ecs
한다	하/pvg+ㄴ다/ef
.	./sf
말이라는	말/ncn+이/jp+라는/etm
이미지	이미지/ncn
자체가	자체/ncn+가/jcs
힘찬	힘차/paa+ㄴ/etm
인상	인상/ncn
,	,/sp
즉	즉/mag
용맹심을	용맹/ncn+심/xsn+을/jco
보여주는데	보이/pvg+어/ecx+주/px+는데/ecs
번개불처럼	번개불/ncn+처럼/jca
달려가서	달리/pvg+어/ecs+가/pvg+서/ecs
적국의	적국/ncn+의/jcm
왕을	왕/ncn+을/jco
채어	채/pvg+어/ecx
가지고	가지/px+고/ecc
돌아오는	돌/pvg+아/ecs+오/pvg+는/etm
구도	구도/ncn
또한	또한/mag
용맹심을	용맹/ncn+심/xsn+을/jco
상상하게	상상/ncpa+하/xsv+게/ecx
만든다	만들/px+ㄴ다/ef
.	./sf
그런데	그런데/mag
이야기	이야기/ncn
중에서	중/nbn+에서/jca
용맹심의	용맹/ncn+심/xsn+의/jcm
극치는	극치/ncn+는/jxc
여섯번째	여섯/nno+번째/nbu
왕을	왕/ncn+을/jco
잡아들이면서	잡/pvg+아/ecx+들이/px+면서/ecs
석가보살인	석가/nq+보살/ncn+이/jp+ㄴ/etm
명마가	명마/ncn+가/jcs
부상을	부상/ncn+을/jco
입고	입/pvg+고/ecc
숨을	숨/ncn+을/jco
몰아	몰/pvg+아/ecs
쉬며	쉬/pvg+며/ecs
누워서	눕/pvg+어서/ecs
눈을	눈/ncn+을/jco
껌벅이며	껌벅이/pvg+며/ecs
생각하는	생각/ncpa+하/xsv+는/etm
장면이다	장면/ncn+이/jp+다/ef
.	./sf
다른	다르/paa+ㄴ/etm
말이	말/ncn+이/jcs
나서가지고는	나서/pvg+어/ecx+가지/px+고/ecs+는/jxc
일곱번째의	일곱/nnc+번째/nbu+의/jcm
왕을	왕/ncn+을/jco
칠	치/pvg+ㄹ/etm
수도	수/nbn+도/jxc
없거니와	없/paa+거니와/ecs
오히려	오히려/maj
용감한	용감/ncps+하/xsm+ㄴ/etm
기사만	기사/ncn+만/jxc
죽게	죽/pvg+게/ecs
되고	되/pvg+고/ecc
결과적으로	결과/ncn+적/xsn+으로/jca
바라나국의	바라나국/nq+의/jcm
왕도	왕/ncn+도/jxc
항복하게	항복/ncpa+하/xsv+게/ecs
된다는	되/pvg+ㄴ다/ef+는/jxc
것을	것/nbn+을/jco
그려본	그리/pvg+어/ecx+보/px+ㄴ/etm
후	후/ncn
,	,/sp
부상당한	부상/ncn+당하/pvg+ㄴ/etm
몸을	몸/ncn+을/jco
이끌고	이끌/pvg+고/ecc
마지막	마지막/ncn
용맹심을	용맹/ncn+심/xsn+을/jco
발휘한다	발휘/ncpa+하/xsv+ㄴ다/ef
.	./sf
전쟁을	전쟁/ncn+을/jco
승리로	승리/ncn+로/jca
이끌	이끌/pvg+ㄴ/etm
다음에	다음/ncn+에/jca
왕에게	왕/ncn+에게/jca
하는	하/pvg+는/etm
말도	말/ncn+도/jxc
또한	또한/jxc
인상적이다	인상/ncn+적/xsn+이/jp+다/ef
.	./sf
일곱	일곱/nnc
나라	나라/ncn
왕에게	왕/ncn+에게/jca
전쟁을	전쟁/ncn+을/jco
다시는	다시/mag+는/jxc
일으키지	일으키/pvg+지/ecx
않겠다고	않/paa+겠/ep+다/ef+고/ecs
다짐은	다짐/ncn+은/jxc
받아	받/pvg+아/ecx
두되	두/px+되/ecs
죽이지	죽이/pvg+지/ecx
말고	말/px+고/ecc
살려	살리/pvg+어/ecs
보내라는	보내/pvg+라/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
보시와	보시/ncn+와/jcj
덕을	덕/ncn+을/jco
베풀라고	베풀/pvg+라/ef+고/ecs
한다	하/pvg+ㄴ다/ef
.	./sf
그리고는	그리고/maj+는/jxc
석가보살인	석가/nq+보살/ncn+이/jp+ㄴ/etm
명마가	명마/ncn+가/jcs
죽는	죽/pvg+는/etm
장면이	장면/ncn+이/jcs
연출된다	연출/ncpa+되/xsv+ㄴ다/ef
.	./sf
이	이/mmd
이야기에서	이야기/ncn+에서/jca
전쟁을	전쟁/ncn+을/jco
치루기는	치르/pvg+기/etn+는/jxc
하지만	하/pvg+지만/ecs
무자비하게	무/xp+자비/ncps+하/xsm+게/ecs
죽이는	죽이/pvg+는/etm
장면이	장면/ncn+이/jcs
표면적으로	표면/ncn+적/xsn+으로/jca
나타나	나타나/pvg+아/ecx
있지	있/px+지/ecx
않다	않/px+다/ef
.	./sf
침략해	침략/ncpa+하/xsv+어/ecx
오는	오/px+는/etm
군대를	군대/ncn+를/jco
쳐부수었다는	치/pvg+어/ecs+부수/pvg+었/ep+다는/etm
표현만	표현/ncn+만/jxc
사용될	사용/ncpa+되/xsv+ㄹ/etm
뿐	뿐/nbn
,	,/sp
누구의	누구/npp+의/jcm
목을	목/ncn+을/jco
쳐서	치/pvg+어서/ecs
피를	피/ncn+를/jco
흘리게	흘리/pvg+게/ecx
했다는	하/px+었/ep+다/ef+는/etm
말은	말/ncn+은/jxc
볼	보/pvg+ㄹ/etm
수가	수/nbn+가/jcs
없다	없/paa+다/ef
.	./sf
일곱	일곱/nnc
명의	명/nbu+의/jcm
왕들도	왕/ncn+들/xsn+도/jxc
어린아이를	어리/paa+ㄴ/etm+아이/ncn+를/jco
안아	안/pvg+아/ecs
오듯이	오/pvg+듯이/ecs
데려왔다가는	데리/pvg+어/ecs+오/pvg+았/ep+다가/ecs+는/jxc
전쟁이	전쟁/ncn+이/jcs
끝난	끝/ncn+나/pvg+ㄴ/etm
후에	후/ncn+에/jca
다시	다시/mag
돌려보낸다	돌리/pvg+어/ecx+보내/px+ㄴ다/ef
.	./sf
살생을	살생/ncn+을/jco
그리지	그리/pvg+지/ecx
않으려고	않/px+으려고/ecs
노력하는	노력/ncpa+하/xsv+는/etm
흔적이	흔적/ncn+이/jcs
엿보인다	엿보이/pvg+ㄴ다/ef
.	./sf
여기서	여기/npd+서/jca
유일하게	유일/ncps+하/xsm+게/ecs
목숨을	목숨/ncn+을/jco
버리는	버리/pvg+는/etm
것은	것/nbn+은/jxc
용맹정진을	용맹/ncn+정진/ncn+을/jco
닦는	닦/pvg+는/etm
석가보살	석가/nq+보살/ncn
자신뿐이다	자신/ncn+뿐/nbn+이/jp+다/ef
.	./sf
부처님은	부처/ncn+님/xsn+은/jxc
이	이/npd
전생이야기를	전생/ncn+이야기/ncn+를/jco
마치고	마치/pvg+고/ecc
명마는	명마/ncn+는/jxc
자신이요	자신/ncn+이/jp+요/ef
,	,/sp
바라나국의	바라나국/nq+의/jcm
왕은	왕/ncn+은/jxc
아난존자요	아난/nq+존자/ncn+이/jp+오/ef
,	,/sp
용감한	용감/ncps+하/xsm+ㄴ/etm
기사는	기사/ncn+는/jxc
사리불존자라고	사리불/nq+존자/ncn+라고/ecs
과거생과	과거생/ncn+과/jcj
금생을	금생/ncn+을/jco
연결시킨다	연결/ncpa+시키/xsv+ㄴ다/ef
.	./sf
이	이/mmd
본생담에서	본생/ncn+담/xsn+에서/jca
석가보살인	석가/nq+보살/ncn+이/jp+ㄴ/etm
명마는	명마/ncn+는/jxc
용맹정진의	용맹/ncn+정진/ncn+의/jcm
수행정신을	수행/ncn+정신/ncn+을/jco
확실하게	확실/ncps+하/xsm+게/ecs
실천했다	실천/ncpa+하/xsv+었/ep+다/ef
.	./sf
인간의	인간/ncn+의/jcm
머리	머리/ncn
속에는	속/ncn+에는/jca
진리와	진리/ncn+와/jct
바로	바로/mag
통신되고	통신/ncpa+되/xsv+고/ecc
우주의	우주/ncn+의/jcm
기와	기/ncn+와/jct
연결되는	연결/ncpa+되/xsv+는/etm
슬기가	슬기/ncn+가/jcs
쌓리지	쌓이/pvg+지/ecx
않고	않/px+고/ecc
사소한	사소하/paa+ㄴ/etm
정보들만	정보/ncn+들/xsn+만/jxc
쓰레기처럼	쓰레기/ncn+처럼/jca
쌓여	쌓이/pvg+어/ecs
나약해지고	나약하/paa+어/ecx+지/px+고/ecc
용맹심이	용맹/ncn+심/xsn+이/jcs
없어진다	없/paa+어/ecx+지/px+ㄴ다/ef
.	./sf
우리가	우리/npd+가/jcs
일반주택에서	일반/ncn+주택/ncn+에서/jca
살다가	살/pvg+다가/ecs
아파트로	아파트/ncn+로/jca
이사하게	이사/ncpa+하/xsv+게/ecs
되면	되/pvg+면/ecs
짐이	짐/ncn+이/jcs
너무도	너무도/mag
많다는	많/paa+다/ef+는/etm
것을	것/nbn+을/jco
알게	알/pvg+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
열심히	열심히/mag
모은	모으/pvg+ㄴ/etm
것들이	것/nbn+들/xsn+이/jcs
전부	전부/mag
버릴	버리/pvg+ㄹ/etm
것이	것/nbn+이/jcs
된다	되/pvg+ㄴ다/ef
.	./sf
그것들이	그것/npd+들/xsn+이/jcs
필요없는	필요/ncn+없/paa+는/etm
것이었다는	것/nbn+이/jp+었/ep+다/ef+는/etm
것을	것/nbn+을/jco
이사갈	이사/ncn+가/pvg+ㄹ/etm
때나	때/ncn+나/jxc
알게	알/pvg+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
마찬가지로	마찬가지/ncn+로/jca
어떤	어떤/mmd
위기를	위기/ncn+를/jco
당했을	당하/pvg+었/ep+을/etm
때	때/ncn
우리가	우리/npp+가/jcs
돌파력이	돌파/ncn+력/xsn+이/jcs
없고	없/paa+고/ecc
시들시들하는	시들시들하/paa+는/etm
것은	것/nbn+은/jxc
진리의	진리/ncn+의/jcm
힘	힘/ncn
,	,/sp
우주의	우주/ncn+의/jcm
기운을	기운/ncn+을/jco
받지는	받/pvg+지/ecx+는/jxc
아니하고	아니/paa+하/xsm+고/ecc
그것들과는	그것/npd+들/xsn+과/jct+는/jxc
상관없는	상관/ncn+없/paa+는/etm
사소한	사소하/paa+ㄴ/etm
정보들만	정보/ncn+들/xsn+만/jxc
모아왔기	모으/pvg+아/ecx+오/px+았/ep+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
그	그/mmd
정보들은	정보/ncn+들/xsn+은/jxc
인간을	인간/ncn+을/jco
용맹정진하게	용맹/ncn+정진/ncn+하/xsv+게/ecx
만들기는	만들/px+기/etn+는/jxc
커녕	커녕/jxc
인간을	인간/ncn+을/jco
패배주의자	패배/ncn+주의/ncn+자/xsn
.	./sf
회색주의자	회색/ncn+주의/ncn+자/xsn
.	./sf
기회주의자	기회/ncn+주의/ncn+자/xsn
.	./sf
도피주의자로	도피/ncn+주의/ncn+자/xsn+로/jca
만든다	만들/pvg+ㄴ다/ef
.	./sf
도를	도/ncn+를/jco
얻는	얻/pvg+는/etm
불도공부를	불도/ncn+공부/ncn+를/jco
할	하/pvg+ㄹ/etm
때	때/ncn
,	,/sp
'	'/sl
용맹스럽게	용맹/ncps+스럽/xsm+게/ecs
매달리면	매달리/pvg+면/ecs
마침내	마침내/mag
성취된다	성취/ncpa+되/xsv+ㄴ다/ef
.'	.'/sr
는	는/etm
마음으로	마음/ncn+으로/jca
시작하는	시작/ncpa+하/xsv+는/etm
것이	것/nbn+이/jcc
아니라	아니/paa+라/ecs
일단	일단/ncn
'	'/sl
나는	나/npp+는/jxc
성불할	성불/ncpa+하/xsv+ㄹ/etm
수가	수/nbn+가/jcs
없다	없/paa+다/ef
.'	.'/sr
는	는/etm
생각으로	생각/ncn+으로/jca
불법의	불법/ncn+의/jcm
핵심에	핵심/ncn+에/jca
대해서는	대하/pvg+어서/ecs+는/jxc
좀처럼	좀처럼/mag
파보려	파/pvg+아/ecx+보/px+려/ecs
생각하지	생각/ncpa+하/xsv+지/ecx
않는다	않/px+는다/ef
.	./sf
도를	도/ncn+를/jco
닦는	닦/pvg+는/etm
어려운	어렵/paa+ㄴ/etm
고비를	고비/ncn+를/jco
만나면	만나/pvg+면/ecs
그것을	그것/npd+을/jco
회피할	회피/ncpa+하/xsv+ㄹ/etm
궁리만	궁리/ncn+만/jxc
한다	하/pvg+ㄴ다/ef
