<tdmsfile>


모두들	모두/ncn+들/xsn
만약	만약/mag
이	이/mmd
난쟁이가	난쟁이/ncn+가/jcs
분자이고	분자/ncn+이/jp+고/ecc
공이	공/ncn+이/jcs
진흙입자라면	진흙/ncn+입자/ncn+라/ef+면/ecs
,	,/sp
어째서	어찌하/pad+어서/ecs
진흙	진흙/ncn
입자가	입자/ncn+가/jcs
꾸불꾸불한	꾸불꾸불/mag+하/xsm+ㄴ/etm
선을	선/ncn+을/jco
그리는지	그리/pvg+는지/ecs
알	알/pvg+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

아침에	아침/ncn+에/jca
일어나	일어나/pvg+아/ecs
이것저것	이것저것/npd
준비하면서	준비/ncpa+하/xsv+면서/ecs
몸이	몸/ncn+이/jcs
따뜻해졌을	따뜻/ncps+하/xsm+어/ecx+지/px+었/ep+을/etm
때	때/ncn
,	,/sp
우리는	우리/npp+는/jxc
어떤	어떤/mmd
물질이	물질/ncn+이/jcs
따뜻하거나	따뜻/ncps+하/xsm+거나/ecc
차가운	차갑/paa+ㄴ/etm
것은	것/nbn+은/jxc
분자라고	분자/ncn+라/ef+고/jcr
하는	하/pvg+는/etm
이상한	이상/ncps+하/xsm+ㄴ/etm
입자	입자/ncn
때문이라는	때문/nbn+이/jp+라/ef+는/etm
사실을	사실/ncn+을/jco
알게	알/pvg+게/ecx
되었다	되/pvg+었/ep+다/ef
.	./sf

감기에	감기/ncn+에/jca
걸리거나	걸리/pvg+거나/ecc
해서	하/pvg+어서/ecs
아프게	아프/paa+게/ecx
되면	되/pvg+면/ecs
어머니는	어머니/ncn+는/jxc
나의	나/npp+의/jcm
이마에	이마/ncn+에/jca
손을	손/ncn+을/jco
대시고	대/pvg+시/ep+고/ecc
,	,/sp
열이	열/ncn+이/jcs
상당이	상당/ncn+히/xsa
높구나	높/paa+구나/ef
하고	하/px+고/jcr
말씀하셨다	말씀/ncpa+하/xsv+시/ep+었/ep+다/ef
.	./sf

이때	이/mmd+때/ncn
어머니는	어머니/ncn+는/jxc
이마에	이마/ncn+에/jca
손을	손/ncn+을/jco
대는	대/pvg+는/etm
것만으로도	것/nbn+만/jxc+으로/jca+도/jxc
마음이	마음/ncn+이/jcs
놓이지	놓이/pvg+지/ecx
않아서	않/px+아서/ecs
체온계를	체온/ncn+계/xsn+를/jco
사용하신다	사용/ncpa+하/xsv+시/ep+ㄴ다/ef
.	./sf

우리는	우리/npp+는/jxc
흔히	흔히/mag
무엇인가에	무엇/npd+이/jp+ㄴ가/ef+에/jca
손을	손/ncn+을/jco
대보고	대/pvg+어/ecx+보/px+고/ecc
이것을	이것/npd+을/jco
뜨겁다든가	뜨겁/paa+다/ef+든가/ecc
차갑다든가라고	차갑/paa+다/ef+든가/ecc+라/ef+고/jcr
말한다	말/ncpa+하/xsv+ㄴ다/ef
.	./sf

우선	우선/mag
세숫대야를	세숫대야/ncn+를/jco
세	세/nnc
개	개/nbu
준비해서	준비/ncpa+하/xsv+어서/ecs
각각에	각각/ncn+에/jca
뜨거운	뜨겁/paa+ㄴ/etm
물	물/ncn
,	,/sp
차가운	차갑/paa+ㄴ/etm
물	물/ncn
,	,/sp
미지근한	미지근/ncps+하/xsm+ㄴ/etm
물을	물/ncn+을/jco
넣는다	넣/pvg+는다/ef
.	./sf

잠시	잠시/mag
후에	후/ncn+에/jca
양손을	양손/ncn+을/jco
꺼내서	꺼내/pvg+서/ecs
재빨리	재빠르/paa+이/xsa
미지근한	미지근/ncps+하/xsm+ㄴ/etm
물이	물/ncn+이/jcs
들어	들/pvg+어/ecx
있는	있/px+는/etm
세숫대야에	세숫대야/ncn+에/jca
담근다	담그/pvg+ㄴ다/ef
.	./sf

어떤	어떤/mmd
일이	일/ncn+이/jcs
벌어질까	벌어지/pvg+ㄹ까/ef
?	?/sf
왼손은	왼손/ncn+은/jxc
따뜻한	따뜻/ncps+하/xsm+ㄴ/etm
느낌을	느낌/ncn+을/jco
받고	받/pvg+고/ecc
,	,/sp
오른손은	오른손/ncn+은/jxc
차가운	차갑/paa+ㄴ/etm
느낌을	느낌/ncn+을/jco
받는다	받/pvg+는다/ef
.	./sf

이럴	이렇/pad+ㄹ/etm
때	때/ncn
어느	어느/mmd
쪽	쪽/nbn
손을	손/ncn+을/jco
믿으면	믿/pvg+으면/ecs
좋을까	좋/paa+을까/ef
?	?/sf
손을	손/ncn+을/jco
대는	대/pvg+는/etm
것만으로	것/nbn+만/jxc+으로/jca
우리는	우리/npp+는/jxc
온도를	온도/ncn+를/jco
잴	재/pvg+ㄹ/etm
수	수/nbn
없다	없/paa+다/ef
.	./sf

온도계는	온도/ncn+계/xsn+는/jxc
물체의	물체/ncn+의/jcm
온도가	온도/ncn+가/jcs
높아짐에	높/paa+아/ecx+지/px+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
팽창하는	팽창/ncpa+하/xsv+는/etm
성질을	성질/ncn+을/jco
이용하고	이용/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf

그리고	그리고/maj
관	관/ncn
안에는	안/ncn+에/jca+는/jxc
수은	수은/ncn
(	(/sl
때로	때/ncn+로/jca
다른	다르/paa+ㄴ/etm
액체를	액체/ncn+를/jco
넣는	넣/pvg+는/etm
경우도	경우/ncn+도/jxc
있다	있/paa+다/ef
.)	./sf+)/sr
이	이/jcs
들어	들/pvg+어/ecx
있다	있/paa+다/ef
.	./sf

온도가	온도/ncn+가/jcs
올라가면	오르/pvg+아/ecs+가/pvg+면/ecs
수은은	수은/ncn+은/jxc
팽창하여	팽창/ncpa+하/xsv+어/ecs
관을	관/ncn+을/jco
따라	따르/pvg+아/ecs
올라간다	오르/pvg+아/ecs+가/pvg+ㄴ다/ef
.	./sf

보통	보통/mag
온도	온도/ncn
측정에는	측정/ncn+에/jca+는/jxc
섭씨	섭씨/ncn
눈금이	눈금/ncn+이/jcs
사용된다	사용/ncpa+되/xsv+ㄴ다/ef
(	(/sl
그	그/mmd
이외에	이외/ncn+에/jca
화씨나	화씨/ncn+나/jxc
레오뮬이라는	레오뮬/ncn+이/jp+라/ef+는/etm
눈금도	눈금/ncn+도/jxc
있다고	있/paa+다/ef+고/jcr
하지만	하/pvg+지만/ecs
,	,/sp
이번	이/mmd+번/nbn
여행에서는	여행/ncn+에서/jca+는/jxc
보지	보/pvg+지/ecx
못했다	못하/px+었/ep+다/ef
).	)/sr+./sf
섭씨	섭씨/ncn
눈금을	눈금/ncn+을/jco
만드는	만들/pvg+는/etm
방법은	방법/ncn+은/jxc
간단했다	간단/ncps+하/xsm+었/ep+다/ef
.	./sf

이때	이/mmd+때/ncn
온도는	온도/ncn+는/jxc
플러스가	플러스/ncn+가/jcc
아니라	아니/paa+라/ecs
마이너스가	마이너스/ncn+가/jcc
되어	되/paa+어/ecs
숫자	숫자/ncn
앞에	앞/ncn+에/jca
-	-/sd
라는	라/ef+는/etm
기호를	기호/ncn+를/jco
붙인다	붙이/pvg+ㄴ다/ef
.	./sf

예를	예/ncn+를/jco
들면	들/pvg+면/ecs
겨울에는	겨울/ncn+에/jca+는/jxc
기온이	기온/ncn+이/jcs
-	-/sd
5	5/nnc
-	-/sd
10	10/nnc
가	가/jcc
되는	되/pvg+는/etm
날이	날/ncn+이/jcs
있다	있/paa+다/ef
.	./sf

그렇다면	그렇다면/maj
이와	이/npd+와/jct
비슷한	비슷/ncps+하/xsm+ㄴ/etm
정도로	정도/ncn+로/jca
온도를	온도/ncn+를/jco
내릴	내리/pvg+ㄹ/etm
수는	수/nbn+는/jxc
없을까	없/paa+을까/ef
?	?/sf
예를	예/ncn+를/jco
들어	들/pvg+어/ecs
마이너스	마이너스/ncn
몇백만	몇/mma+백만/nnc
도까지	도/nbu+까지/jxc
.	./sf

왜냐하면	왜냐하면/maj
물체의	물체/ncn+의/jcm
온도가	온도/ncn+가/jcs
내려감에	내리/pvg+어/ecs+가/pvg+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
분자들의	분자/ncn+들/xsn+의/jcm
움직임이	움직임/ncn+이/jcs
차차	차차/mag
느려지다가	느리/paa+어/ecx+지/px+다가/ecs
마침내	마침내/mag
거의	거의/mag
정지하는	정지/ncpa+하/xsv+는/etm
순간이	순간/ncn+이/jcs
오기	오/pvg+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf

물론	물론/mag
완전히	완전/ncn+히/xsa
정지하는	정지/ncpa+하/xsv+는/etm
것은	것/nbn+은/jxc
아니지만	아니/paa+지만/ecs
운동속도는	운동/ncn+속도/ncn+는/jxc
어떤	어떤/mmd
방법을	방법/ncn+을/jco
사용해도	사용/ncpa+하/xsv+어도/ecs
그	그/mmd
이상	이상/ncn
작아지지	작/paa+아/ecx+지/px+지/ecx
않는다	않/px+는다/ef
.	./sf

4	4/nnc
일째	일/nbu+째/xsn
따뜻한	따뜻/ncps+하/xsm+ㄴ/etm
물체와	물체/ncn+와/jcj
차가운	차갑/paa+ㄴ/etm
물체가	물체/ncn+가/jcs
만나서	만나/pvg+서/ecs
일정한	일정/ncps+하/xsm+ㄴ/etm
시간이	시간/ncn+이/jcs
지나면	지나/pvg+면/ecs
그것들의	그것/npd+들/xsn+의/jcm
온도는	온도/ncn+는/jxc
같아진다	같/paa+아/ecx+지/px+ㄴ다/ef
.	./sf

얼핏	얼핏/mag
생각하기엔	생각/ncpa+하/xsv+기/etn+에/jca+ㄴ/jxc
너무나	너무나/mag
당연한	당연/ncps+하/xsm+ㄴ/etm
일로	일/ncn+로/jca
느껴지겠지만	느끼/pvg+어/ecx+지/px+겠/ep+지만/ecs
우리는	우리/npp+는/jxc
이것을	이것/npd+을/jco
실험으로	실험/ncn+으로/jca
정확히	정확/ncn+히/xsa
확인했다	확인/ncpa+하/xsv+었/ep+다/ef
.	./sf

땅에	땅/ncn+에/jca
떨어져	떨어지/pvg+어/ecx
있는	있/px+는/etm
편자를	편자/ncn+를/jco
주워서	줍/pvg+어서/ecs
그것이	그것/npd+이/jcs
새빨갛게	새빨갛/paa+게/ecs
될	되/pvg+ㄹ/etm
때까지	때/ncn+까지/jxc
가열했다	가열/ncpa+하/xsv+었/ep+다/ef
.	./sf

상대방과	상대방/ncn+과/jct
같게	같/paa+게/ecx
될	되/pvg+ㄹ/etm
때까지	때/ncn+까지/jxc
계속해서	계속/ncpa+하/xsv+어서/ecs
준다	주/pvg+ㄴ다/ef
--	-/sd+-/sd
열교환	열/ncn+교환/ncn
내가	내/npp+가/jcs
여러분에게	여러분/npp+에게/jca
천	천/nnc
원을	원/nbu+을/jco
주었는데	주/pvg+었/ep+는데/ecs
,	,/sp
여러분은	여러분/npp+은/jxc
나에게	나/npp+에게/jca
아무것도	아무것/npd+도/jxc
주지	주/pvg+지/ecx
않았다고	않/px+았/ep+다/ef+고/jcr
하자	하/pvg+자/ef
.	./sf

장소에	장소/ncn+에/jca
따라	따르/pvg+아/ecs
언어의	언어/ncn+의/jcm
사용법이	사용/ncn+법/ncn+이/jcs
다른	다르/paa+ㄴ/etm
것은	것/nbn+은/jxc
흔히	흔히/mag
볼	보/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
일이다	일/ncn+이/jp+다/ef
.	./sf

그렇다면	그렇다면/maj
열교환은	열/ncn+교환/ncn+은/jxc
어떤	어떤/mmd
식으로	식/nbn+으로/jca
일어나는	일어나/pvg+는/etm
것일까	것/nbn+이/jp+ㄹ까/ef
?	?/sf
온도가	온도/ncn+가/jcs
높은	높/paa+은/etm
물체의	물체/ncn+의/jcm
분자는	분자/ncn+는/jxc
낮은	낮/paa+은/etm
물체의	물체/ncn+의/jcm
분자보다	분자/ncn+보다/jca
빨리	빠르/paa+이/xsa
움직이며	움직이/pvg+며/ecc
,	,/sp
보다	보다/mag
큰	크/paa+ㄴ/etm
에너지를	에너지/ncn+를/jco
가지고	가지/pvg+고/ecx
있다	있/px+다/ef
.	./sf

어떤	어떤/mmd
물체를	물체/ncn+를/jco
따뜻하게	따뜻/ncps+하/xsm+게/ecx
하는	하/px+는/etm
데	데/nbn
필요한	필요/ncps+하/xsm+ㄴ/etm
열량은	열량/ncn+은/jxc
무엇에	무엇/npd+에/jca
의해	의하/pvg+어/ecs
결정될까	결정/ncpa+되/xsv+ㄹ까/ef
?	?/sf
우선	우선/mag
몇	몇/mma
도에서	도/nbu+에서/jca
몇	몇/mma
도로	도/nbu+로/jca
더워졌는지가	덥/paa+어/ecx+지/px+었/ep+는지/ef+가/jcs
문제가	문제/ncn+가/jcc
된다	되/pvg+ㄴ다/ef
.	./sf

예를	예/ncn+를/jco
들어	들/pvg+어/ecs
남비에	남비/ncn+에/jca
있는	있/paa+는/etm
물을	물/ncn+을/jco
15	15/nnc
에서	에서/jca
100	100/nnc
까지	까지/jxc
가열하려면	가열/ncpa+하/xsv+려면/ecs
,	,/sp
15	15/nnc
에서	에서/jca
35	35/nnc
까지	까지/jxc
가열하는	가열/ncpa+하/xsv+는/etm
것보다	것/nbn+보다/jca
큰	크/paa+ㄴ/etm
열량이	열량/ncn+이/jcs
필요하다	필요/ncps+하/xsm+다/ef
.	./sf

이것은	이것/npd+은/jxc
물이	물/ncn+이/jcs
미지근하게	미지근/ncps+하/xsm+게/ecx
되기까지의	되/pvg+기/etn+까지/jxc+의/jcm
시간과	시간/ncn+과/jcj
끓을	끓/pvg+을/etm
때까지의	때/ncn+까지/jxc+의/jcm
시간을	시간/ncn+을/jco
재서	재/pvg+서/ecs
비교하면	비교/ncpa+하/xsv+면/ecs
바로	바로/mag
알	알/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf

</tdmsfile>
