<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0401.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0401.txt </filename>
<title>그림 속으로 여행하는 상대성이론  </title>
<author>루이스 엡스타인 저 ; 박성근 역  </author>
<date>1993  </date>
<publisher>에드덱  </publisher>
<kdc>420.12  </kdc>
<ddc> 530.11 </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
갈릴레오의	갈릴레오/nq+의/jcm
나온	나오/pvg+ㄴ/etm
광자의	광자/ncn+의/jcm
이론과도	이론/ncn+과/jct+도/jxc
맞지	맞/pvg+지/ecx
않았다	않/px+았/ep+다/ef
.	./sf
점차적으로	점차/mag+적/xsn+으로/jca
이	이/mmd
에테르는	에테르/ncn+는/jxc
지워지지	지우/pvg+어/ecx+지/px+지/ecx
않는	않/px+는/etm
기억	기억/ncn
속으로	속/ncn+으로/jca
사라져	사라지/pvg+어/ecx
버렸다	버리/px+었/ep+다/ef
.	./sf
제2장	제/xp+2/nno+장/ncn
중심의	중심/ncn+의/jcm
문제	문제/ncn
한	한/nnc
걸음	걸음/ncn
물러나서	물러나/pvg+서/ecs
발견	발견/ncn
,	,/sp
특히	특히/mag
순수과학에서의	순수/ncn+과학/ncn+에서/jca+의/jcm
발견은	발견/ncn+은/jxc
자연에	자연/ncn+에/jca
대한	대하/pvg+ㄴ/etm
깊은	깊/paa+은/etm
이해를	이해/ncn+를/jco
가져오는	가지/pvg+어/ecx+오/px+는/etm
것으로	것/nbn+으로/jca
보통	보통/mag
여겨진다	여기/pvg+어/ecx+지/px+ㄴ다/ef
.	./sf
그러나	그러나/maj
새로운	새롭/paa+ㄴ/etm
현상을	현상/ncn+을/jco
발견하고	발견/ncpa+하/xsv+고/ecs
전에	전/ncn+에/jca
설명하지	설명/ncpa+하/xsv+지/ecx
못하던	못하/px+던/etm
설명을	설명/ncn+을/jco
찾아낼	찾/pvg+아/ecx+내/px+ㄹ/etm
수	수/nbn
있다면	있/paa+다면/ecs
이것은	이것/npd+은/jxc
한	한/nnc
걸음	걸음/ncn
앞서는	앞서/pvg+는/etm
기쁨을	기쁨/ncn+을/jco
가져올	가지/pvg+어/ecx+오/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그러나	그러나/maj
가끔	가끔/mag
발견이라는	발견/ncn+이/jp+라/ef+는/etm
것은	것/nbn+은/jxc
어두운	어둡/paa+ㄴ/etm
얼굴을	얼굴/ncn+을/jco
보일	보이/pvg+ㄹ/etm
때가	때/ncn+가/jcs
있다	있/paa+다/ef
.	./sf
모든	모든/mag
것이	것/nbn+이/jcs
완전히	완전/ncn+히/xsa
전개될	전개/ncpa+되/xsv+ㄹ/etm
때가	때/ncn+가/jcs
있다	있/paa+다/ef
.	./sf
이	이/mmd
장은	장/ncn+은/jxc
이러한	이러하/pad+ㄴ/etm
발견의	발견/ncn+의/jcm
이면에	이면/ncn+에/jca
있는	있/paa+는/etm
어두운	어둡/paa+ㄴ/etm
이야기를	이야기/ncn+를/jco
그리는	그리/pvg+는/etm
데	데/nbn
있다	있/paa+다/ef
.	./sf
문제점	문제/ncn+점/ncn
빛은	빛/ncn+은/jxc
매우	매우/mag
빨리	빨리/mag
움직인다	움직이/pvg+ㄴ다/ef
.	./sf
그래서	그래서/maj
갈릴레오는	갈릴레오/nq+는/jxc
몇	몇/mma
번	번/nbu
시도한	시도/ncpa+하/xsv+ㄴ/etm
후에	후/ncn+에/jca
이것이	이것/npd+이/jcs
무한히	무한/ncn+히/xsa
빠르게	빠르/paa+게/ecs
달리는	달리/pvg+는/etm
것으로	것/nbn+으로/jca
생각했다	생각/ncpa+하/xsv+었/ep+다/ef
.	./sf
캘리포니아에서	캘리포니아/nq+에서/jca
금이	금/ncn+이/jcs
발견되던	발견/ncpa+되/xsv+던/etm
해에	해/ncn+에/jca
유럽의	유럽/nq+의/jcm
실험실에서	실험/ncn+실/xsn+에서/jca
빛의	빛/ncn+의/jcm
속력이	속력/ncn+이/jcs
측정되었다	측정/ncpa+되/xsv+었/ep+다/ef
.	./sf
그것은	그것/npd+은/jxc
시간당	시간/ncn+당/xsn
670,000,000	670,000,000/nnc
마일이었다	마일/nbu+이/jp+었/ep+다/ef
.	./sf
(	(/sl
라디오파나	라디오/ncn+파/xsn+나/jcj
X-ray는	X-ray/f+는/jxc
빛의	빛/ncn+의/jcm
속력으로	속력/ncn+으로/jca
움직인다	움직이/pvg+ㄴ다/ef
.)	./sf+)/sr
빛의	빛/ncn+의/jcm
속력은	속력/ncn+은/jxc
지구가	지구/ncn+가/jcs
태양의	태양/ncn+의/jcm
주위를	주위/ncn+를/jco
도는	돌/pvg+는/etm
속력보다	속력/ncn+보다/jca
1만	1만/nnc
배	배/ncn
정도	정도/ncn
더	더/mag
빠른	빠르/paa+ㄴ/etm
속력이다	속력/ncn+이/jp+다/ef
.	./sf
빛의	빛/ncn+의/jcm
속력은	속력/ncn+은/jxc
음파보다	음파/ncn+보다/jca
백만	백만/nnc
배나	배/ncn+나/jxc
빠르며	빠르/paa+며/ecs
음파의	음파/ncn+의/jcm
속력은	속력/ncn+은/jxc
갈릴레오가	갈릴레오/nq+가/jcs
빛의	빛/ncn+의/jcm
속력을	속력/ncn+을/jco
측정하려	측정/ncpa+하/xsv+려/ecs
시도하기	시도/ncpa+하/xsv+기/etn
전에	전/ncn+에/jca
측정한	측정/ncpa+하/xsv+ㄴ/etm
것이었다	것/nbn+이/jp+었/ep+다/ef
.	./sf
여기에서	여기/npd+에서/jca
빛의	빛/ncn+의/jcm
속력은	속력/ncn+은/jxc
진공	진공/ncn
속에서의	속/ncn+에서/jca+의/jcm
속력을	속력/ncn+을/jco
말하는	말/ncpa+하/xsv+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
물이나	물/ncn+이나/jcj
유리	유리/ncn
혹은	혹은/maj
플라스틱	플라스틱/ncn
안에서는	안/ncn+에서/jca+는/jxc
빛의	빛/ncn+의/jcm
속력이	속력/ncn+이/jcs
심할	심하/paa+ㄹ/etm
때는	때/ncn+는/jxc
진공	진공/ncn
속의	속/ncn+의/jcm
속력보다	속력/ncn+보다/jca
반으로	반/ncn+으로/jca
줄어드는	줄어들/pvg+는/etm
때도	때/ncn+도/jxc
있다	있/paa+다/ef
.	./sf
빛의	빛/ncn+의/jcm
속력을	속력/ncn+을/jco
측정하는	측정/ncpa+하/xsv+는/etm
장치가	장치/ncn+가/jcs
있다고	있/paa+다/ef+고/ecs
가정하자	가정/ncpa+하/xsv+자/ef
.	./sf
이	이/mmd
장치로	장치/ncn+로/jca
시간당	시간/ncn+당/xsn
6억	6억/nnc
7천	7천/nnc
마일이	마일/nbu+이/jcs
측정됐다	측정/ncpa+되/xsv+었/ep+다/ef
.	./sf
이제	이제/mag
이	이/mmd
장치를	장치/ncn+를/jco
트럭	트럭/ncn
위에	위/ncn+에/jca
싣고	싣/pvg+고/ecs
시간당	시간/ncn+당/xsn
1	1/nnc
마일의	마일/nbu+의/jcm
속력으로	속력/ncn+으로/jca
빛을	빛/ncn+을/jco
향하여	향하/pvg+어/ecs
움직일	움직이/pvg+ㄹ/etm
때	때/ncn
이	이/mmd
장치가	장치/ncn+가/jcs
어떤	어떤/mmd
값을	값/ncn+을/jco
읽을	읽/pvg+을/etm
것이라	것/nbn+이/jp+라/ef
생각되는가	생각/ncpa+되/xsv+는가/ef
?	?/sf
답	답/ncn
:	:/sp
시간당	시간/ncn+당/xsn
6억	6억/nnc
7천	7천/nnc
마일	마일/nbu
+	+/sy
1	1/nnc
마일	마일/nbu
.	./sf
만약	만약/mag
트럭	트럭/ncn
위의	위/ncn+의/jcm
이	이/mmd
장치가	장치/ncn+가/jcs
시간당	시간/ncn+당/xsn
1	1/nnc
마일의	마일/nbu+의/jcm
속력으로부터	속력/ncn+으로/jca+부터/jxc
멀어진다면	멀/paa+어/ecx+지/px+ㄴ다면/ecs
,	,/sp
이	이/mmd
장치는	장치/ncn+는/jxc
트럭	트럭/ncn
위에서	위/ncn+에서/jca
시간당	시간/ncn+당/xsn
6억	6억/nnc
7천	7천/nnc
마일	마일/nbu
-	-/sd
1	1/nnc
마일의	마일/nbu+의/jcm
속력을	속력/ncn+을/jco
읽을	읽/pvg+을/etm
것으로	것/nbn+으로/jca
생각될	생각/ncpa+되/xsv+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
사실	사실/mag
그것이	그것/npd+이/jcs
이	이/mmd
장치가	장치/ncn+가/jcs
놀랍게도	놀랍/paa+게/ecs+도/jxc
위의	위/ncn+의/jcm
답은	답/ncpa+은/jxc
틀린	틀리/pvg+ㄴ/etm
것이고	것/nbn+이/jp+고/ecs
,	,/sp
움직이는	움직이/pvg+는/etm
트럭의	트럭/ncn+의/jcm
속력에도	속력/ncn+에/jca+도/jxc
불구하고	불구/ncps+하/xsm+고/ecs
이	이/mmd
장치가	장치/ncn+가/jcs
측정하는	측정/ncpa+하/xsv+는/etm
빛의	빛/ncn+의/jcm
속력은	속력/ncn+은/jxc
시간당	시간/ncn+당/xsn
6억	6억/nnc
7천	7천/nnc
마일로	마일/nbu+로/jca
두	두/nnc
경우가	경우/ncn+가/jcs
똑같은	똑같/paa+은/etm
결과를	결과/ncn+를/jco
얻는다	얻/pvg+는다/ef
.	./sf
어찌하여	어찌하/pvg+어/ecs
광원을	광원/ncn+을/jco
향하든	향하/pvg+든/ecs
혹은	혹은/maj
광원에서	광원/ncn+에서/jca
멀어지든	멀/paa+어/ecx+지/px+든/ecs
빛의	빛/ncn+의/jcm
속도를	속도/ncn+를/jco
늘이고	늘이/pvg+고/ecc
줄이고	줄이/pvg+고/ecx
하지	하/px+지/ecx
못하는	못하/px+는/etm
것일까	것/nbn+이/jp+ㄹ까/ef
?	?/sf
1900	1900/nno
년에	년/nbu+에/jca
이	이/mmd
질문은	질문/ncn+은/jxc
이	이/mmd
세상에서	세상/ncn+에서/jca
가장	가장/mag
중요한	중요/ncps+하/xsm+ㄴ/etm
질문이었다	질문/ncn+이/jp+었/ep+다/ef
.	./sf
유독	유독/mag
빛의	빛/ncn+의/jcm
속력만이	속력/ncn+만/jxc+이/jcs
다른	다르/paa+ㄴ/etm
모든	모든/mma
일반적인	일반/ncn+적/xsn+이/jp+ㄴ/etm
속력의	속력/ncn+의/jcm
합에	합/ncn+에/jca
대한	대하/pvg+ㄴ/etm
법칙을	법칙/ncn+을/jco
위배한다는	위배/ncpa+하/xsv+ㄴ다/ef+는/etm
사실은	사실/ncn+은/jxc
놀랍고	놀랍/paa+고/ecc
당황스러운	당황/ncps+스럽/xsm+ㄴ/etm
것이었고	것/nbn+이/jp+었/ep+고/ecs
아무도	아무/npp+도/jxc
믿지	믿/pvg+지/ecx
못할	못하/px+ㄹ/etm
정도였다	정도/ncn+이/jp+었/ep+다/ef
.	./sf
두말할	두말/ncpa+하/xsv+ㄹ/etm
필요도	필요/ncn+도/jxc
없이	없/paa+이/xsa
여러	여러/mma
종류의	종류/ncn+의/jcm
두	두/nnc
트럭	트럭/ncn
실험이	실험/ncn+이/jcs
반복되었고	반복/ncpa+되/xsv+었/ep+고/ecs
,	,/sp
서서히	서서/ncn+히/xsa
과학자들은	과학/ncn+자/xsn+들/xsn+은/jxc
빛으로	빛/ncn+으로/jca
향하든	향하/pvg+든/ecs
,	,/sp
멀어지건	멀/paa+어/ecx+지/px+건/ecs
빛의	빛/ncn+의/jcm
속력을	속력/ncn+을/jco
측정하는	측정/ncpa+하/xsv+는/etm
데는	데/nbn+는/jxc
아무런	아무렇/pad+ㄴ/etm
영향을	영향/ncn+을/jco
미치지	미치/pvg+지/ecx
못한다는	못하/px+ㄴ다/ef+는/etm
것을	것/nbn+을/jco
깨닫기	깨닫/pvg+기/etn
시작했다	시작/ncpa+하/xsv+었/ep+다/ef
.	./sf
빛이	빛/ncn+이/jcs
입자들로	입자/ncn+들/xsn+로/jca
구성된	구성/ncpa+되/xsv+ㄴ/etm
것이라	것/nbn+이/jp+라/ef
생각할	생각/ncpa+하/xsv+ㄹ/etm
수도	수/nbn+도/jxc
있다	있/paa+다/ef
.	./sf
혹은	혹은/maj
파동이라	파동/ncn+이/jp+라/ef
할	하/pvg+ㄹ/etm
수도	수/nbn+도/jxc
있다	있/paa+다/ef
.	./sf
갈릴레오의	갈릴레오/nq+의/jcm
주장이	주장/ncn+이/jcs
옳다고	옳/paa+다/ef+고/ecs
생각할	생각/ncpa+하/xsv+ㄹ/etm
수도	수/nbn+도/jxc
있고	있/paa+고/ecs
,	,/sp
이것이	이것/npd+이/jcs
잘못이라고	잘못/ncn+이/jp+라/ef+고/ecs
생각할	생각/ncpa+하/xsv+ㄹ/etm
수도	수/nbn+도/jxc
있다	있/paa+다/ef
.	./sf
그러나	그러나/maj
도저히	도저/ncps+히/xsa
이	이/mmd
상황을	상황/ncn+을/jco
이해할	이해/ncpa+하/xsv+ㄹ/etm
길이	길/ncn+이/jcs
없었다	없/paa+었/ep+다/ef
.	./sf
왜	왜/mag
빛의	빛/ncn+의/jcm
속력이	속력/ncn+이/jcs
절대적이냐는	절대/ncn+적/xsn+이/jp+냐/ef+는/etm
것은	것/nbn+은/jxc
하나의	하나/nnc+의/jcm
독립된	독립/ncpa+되/xsv+ㄴ/etm
문제로서	문제/ncn+로서/jca
그	그/mmd
자체가	자체/ncn+가/jcs
모순이었다	모순/ncn+이/jp+었/ep+다/ef
.	./sf
가능성들	가능/ncn+성/xsn+들/xsn
이	이/mmd
모순은	모순/ncn+은/jxc
두	두/nnc
가지	가지/nbu
방법으로	방법/ncn+으로/jca
해결될	해결/ncpa+되/xsv+ㄹ/etm
수	수/nbn
있었을	있/paa+었/ep+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
하나는	하나/nnc+는/jxc
빛은	빛/ncn+은/jxc
매우	매우/mag
이상한	이상/ncps+하/xsm+ㄴ/etm
것이어서	것/nbn+이/jp+어서/ecs
그	그/mmd
실체를	실체/ncn+를/jco
아직	아직/mag
모르고	모르/pvg+고/ecx
있다는	있/px+다/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
(	(/sl
사실이	사실/ncn+이/jcs
그러했다	그러하/pad+었/ep+다/ef
.)	./sf+)/sr
어떤	어떤/mmd
사람은	사람/ncn+은/jxc
빛은	빛/ncn+은/jxc
파동이고	파동/ncn+이/jp+고/ecs
,	,/sp
또	또/maj
누군가는	누군가/npp+는/jxc
입자라	입자/ncn+라/ef
했고	하/pvg+었/ep+고/ecs
,	,/sp
성경에	성경/ncn+에/jca
의하면	의하/pvg+면/ecs
이것은	이것/npd+은/jxc
단지	단지/mag
어둠이	어둠/ncn+이/jcs
없는	없/paa+는/etm
것이라	것/nbn+이/jp+라/ef
했다	하/pvg+었/ep+다/ef
.	./sf
아마도	아마도/mag
항상	항상/mag
당신보다	당신/npp+보다/jca
빨리	빨리/mag
가는	가/pvg+는/etm
어떤	어떤/mmd
것을	것/nbn+을/jco
생각해낼	생각/ncpa+하/xsv+어/ecx+내/px+ㄹ/etm
수도	수/nbn+도/jxc
있을	있/paa+을/etm
것	것/nbn
같다	같/paa+다/ef
.	./sf
그것은	그것/npd+은/jxc
당신이	당신/npp+이/jcs
도저히	도저/ncps+히/xsa
앞지를	앞/ncn+지르/pvg+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그것은	그것/npd+은/jxc
또한	또한/maj
당신과	당신/npp+과/jct
일정한	일정/ncps+하/xsm+ㄴ/etm
거리를	거리/ncn+를/jco
두고	두/pvg+고/ecx
있는	있/px+는/etm
것으로	것/nbn+으로/jca
무지개와	무지개/ncn+와/jct
같은	같/paa+은/etm
것이었다	것/nbn+이/jp+었/ep+다/ef
.	./sf
만약	만약/mag
내가	내/npp+가/jcs
1900	1900/nno
년대에	년대/nbu+에/jca
물리학자였더라면	물리/ncn+학자/ncn+이/jp+었/ep+더라면/ecs
빛의	빛/ncn+의/jcm
속도가	속도/ncn+가/jcs
일정하다는	일정/ncps+하/xsm+다/ef+는/etm
것을	것/nbn+을/jco
설명해	설명/ncpa+하/xsv+어/ecx
주는	주/px+는/etm
매우	매우/mag
이상한	이상/ncps+하/xsm+ㄴ/etm
것을	것/nbn+을/jco
고안해	고안/ncpa+하/xsv+어/ecx
냈을지도	내/px+었/ep+을/etm+지/nbn+도/jxc
모른다	모르/pvg+ㄴ다/ef
.	./sf
나는	나/npp+는/jxc
아마	아마/mag
이런	이런/mmd
식의	식/ncn+의/jcm
논리를	논리/ncn+를/jco
폈을	펴/pvg+었/ep+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
"	"/sl
만약	만약/mag
빛의	빛/ncn+의/jcm
속력에	속력/ncn+에/jca
대해	대하/pvg+어/ecs
이상한	이상/ncps+하/xsm+ㄴ/etm
점이	점/ncn+이/jcs
있다면	있/paa+다면/ecs
,	,/sp
이것은	이것/npd+은/jxc
빛	빛/ncn
자체에	자체/ncn+에/jca
이상한	이상/ncps+하/xsm+ㄴ/etm
점이	점/ncn+이/jcs
있다는	있/paa+다/ef+는/etm
것을	것/nbn+을/jco
말하는	말/ncpa+하/xsv+는/etm
것이다	것/nbn+이/jp+다/ef
."	./sf+"/sr
그러나	그러나/maj
아이슈타인은	아이슈타인/nq+은/jxc
이런	이런/mmd
식으로	식/ncn+으로/jca
이	이/mmd
문제를	문제/ncn+를/jco
접근하지	접근/ncpa+하/xsv+지/ecx
않았다	않/px+았/ep+다/ef
.	./sf
맹랑한	맹랑/ncps+하/xsm+ㄴ/etm
계획	계획/ncn
아이슈타인은	아이슈타인/nq+은/jxc
생각하기를	생각/ncpa+하/xsv+기/etn+를/jco
나는	나/npp+는/jxc
빛이	빛/ncn+이/jcs
무엇인지는	무엇/npd+이/jp+ㄴ지/ef+는/jxc
모른다	모르/pvg+ㄴ다/ef
.	./sf
그리고	그리고/maj
알고	알/pvg+고/ecx
싶지도	싶/px+지/ecx+도/jxc
않다	않/px+다/ef
.	./sf
문제는	문제/ncn+는/jxc
빛에	빛/ncn+에/jca
있는	있/paa+는/etm
것이	것/nbn+이/jcc
아니다	아니/paa+다/ef
.	./sf
문제는	문제/ncn+는/jxc
바로	바로/mag
속력에	속력/ncn+에/jca
있는	있/paa+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그러면	그러면/maj
무엇이	무엇/npd+이/jcs
속력인가	속력/ncn+이/jp+ㄴ가/ef
?	?/sf
매	매/mma
시간당	시간/ncn+당/xsn
마일	마일/ncn
,	,/sp
매	매/mma
초당	초/ncn+당/xsn
피트	피트/ncn
.	./sf
속력은	속력/ncn+은/jxc
공간의	공간/ncn+의/jcm
길이를	길이/ncn+를/jco
시간으로	시간/ncn+으로/jca
나눈	나누/pvg+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그래서	그래서/maj
만약	만약/mag
속도의	속도/ncn+의/jcm
개념에	개념/ncn+에/jca
문제가	문제/ncn+가/jcs
생기면	생기/pvg+면/ecs
이것은	이것/npd+은/jxc
바로	바로/mag
공간과	공간/ncn+과/jcj
시간의	시간/ncn+의/jcm
개념이	개념/ncn+이/jcs
바뀌어져야	바뀌/pvg+어/ecx+지/px+어야/ecx
하는	하/px+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
아이슈타인을	아이슈타인/nq+을/jco
흉내내는	흉내/ncn+내/pvg+는/etm
사람들에게	사람/ncn+들/xsn+에게/jca
한마디	한마디/ncn
경고의	경고/ncn+의/jcm
말을	말/ncn+을/jco
해준다면	하/pvg+어/ecx+주/px+ㄴ다면/ecs
이런	이런/mmd
식으로	식/ncn+으로/jca
문제를	문제/ncn+를/jco
해결하는	해결/ncpa+하/xsv+는/etm
자는	자/nbn+는/jxc
정말	정말/mag
바보스럽다는	바보/ncn+스럽/xsm+다/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
만약	만약/mag
진공	진공/ncn
청소기가	청소/ncn+기/xsn+가/jcs
시동조차도	시동/ncn+조차/jxc+도/jxc
되지	되/pvg+지/ecx
않는다면	않/px+는다면/ecs
아마도	아마도/mag
플러그가	플러그/ncn+가/jcs
전원에	전원/ncn+에/jca
연결되어	연결/ncpa+되/xsv+어/ecx
있지	있/px+지/ecx
않을	않/px+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
오직	오직/mag
바보만이	바보/ncn+만/jxc+이/jcs
전기	전기/ncn
모타	모타/ncn
안의	안/ncn+의/jcm
전선이	전선/ncn+이/jcs
풀어졌을	풀/pvg+어/ecx+지/px+었/ep+을/etm
것이라	것/nbn+이/jp+라/ef
생각할	생각/ncpa+하/xsv+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
집안의	집안/ncn+의/jcm
문짝이	문짝/ncn+이/jcs
잘	잘/mag
닫히지	닫히/pvg+지/ecx
않을	않/px+을/etm
때	때/ncn
두	두/nnc
가지	가지/nbu
일이	일/ncn+이/jcs
생길	생기/pvg+ㄹ/etm
수	수/nbn
있는데	있/paa+는데/ecs
,	,/sp
한	한/nnc
가지는	가지/nbu+는/jxc
문짝을	문짝/ncn+을/jco
고쳐	고치/pvg+어/ecs
달든지	달/pvg+든지/ecs
혹은	혹은/maj
집안의	집안/ncn+의/jcm
기초를	기초/ncn+를/jco
내려서	내리/pvg+어서/ecs
문짝이	문짝/ncn+이/jcs
맞게	맞/pvg+게/ecx
하는	하/px+는/etm
일이다	일/ncn+이/jp+다/ef
.	./sf
만약	만약/mag
집안의	집안/ncn+의/jcm
기초를	기초/ncn+를/jco
올리고	올리/pvg+고/ecc
내려서	내리/pvg+어서/ecs
하나의	하나/nnc+의/jcm
문짝을	문짝/ncn+을/jco
맞출	맞추/pvg+ㄹ/etm
수	수/nbn
있다면	있/paa+다면/ecs
,	,/sp
또	또/maj
다른	다르/paa+ㄴ/etm
곳의	곳/ncn+의/jcm
문짝에	문짝/ncn+에/jca
문제가	문제/ncn+가/jcs
생길	생기/pvg+ㄹ/etm
것은	것/nbn+은/jxc
뻔한	뻔하/paa+ㄴ/etm
일이다	일/ncn+이/jp+다/ef
.	./sf
이런	이런/mmd
방법은	방법/ncn+은/jxc
참으로	참으로/mag
어리석은	어리석/paa+은/etm
방법이다	방법/ncn+이/jp+다/ef
.	./sf
시간과	시간/ncn+과/jcj
공간은	공간/ncn+은/jxc
모두	모두/mag
물리학의	물리/ncn+학/xsn+의/jcm
기본	기본/ncn
요소이다	요소/ncn+이/jp+다/ef
.	./sf
시간과	시간/ncn+과/jcj
공간의	공간/ncn+의/jcm
개념은	개념/ncn+은/jxc
물리학의	물리/ncn+학/xsn+의/jcm
모든	모든/mma
분야에	분야/ncn+에/jca
기초가	기초/ncn+가/jcc
된다	되/pvg+ㄴ다/ef
:	:/sp
역학	역학/ncn
,	,/sp
열역학	열/ncn+역학/ncn
,	,/sp
전자기학	전자기/ncn+학/xsn
,	,/sp
광학	광학/ncn
.	./sf
그러나	그러나/maj
광학에는	광학/ncn+에/jca+는/jxc
단지	단지/mag
한	한/nnc
개의	개/nbu+의/jcm
문제가	문제/ncn+가/jcs
있었다	있/paa+었/ep+다/ef
.	./sf
그것도	그것/npd+도/jxc
광학의	광학/ncn+의/jcm
한	한/nnc
분야에서	분야/ncn+에서/jca
,	,/sp
바로	바로/mag
빛의	빛/ncn+의/jcm
속력이었다	속력/ncn+이/jp+었/ep+다/ef
.	./sf
시간과	시간/ncn+과/jcj
공간의	공간/ncn+의/jcm
기초를	기초/ncn+를/jco
올리고	올리/pvg+고/ecc
내려서	내리/pvg+어서/ecs
빛의	빛/ncn+의/jcm
속력	속력/ncn
문제를	문제/ncn+를/jco
푸는	풀/pvg+는/etm
것을	것/nbn+을/jco
상상해보라	상상/ncpa+하/xsv+어/ecx+보/px+라/ef
.	./sf
어떻게	어떠하/pad+게/ecs
시간과	시간/ncn+과/jcj
공간의	공간/ncn+의/jcm
새로운	새롭/paa+ㄴ/etm
생각들이	생각/ncpa+들/xsn+이/jcs
기존의	기존/ncn+의/jcm
잘	잘/mag
맞아	맞/pvg+아/ecx
떨어지던	떨어지/px+던/etm
물리의	물리/ncn+의/jcm
모든	모든/mma
면들과	면/ncn+들/xsn+과/jct
공존할	공존/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있을까	있/paa+을까/ef
?	?/sf
시간과	시간/ncn+과/jcj
공간의	공간/ncn+의/jcm
기초를	기초/ncn+를/jco
움직인다는	움직이/pvg+ㄴ다/ef+는/etm
것은	것/nbn+은/jxc
아무도	아무/npp+도/jxc
예측할	예측/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
판도라의	판도라/nq+의/jcm
상자를	상자/ncn+를/jco
여는	열/pvg+는/etm
것과	것/nbn+과/jct
같은	같/paa+은/etm
일이다	일/ncn+이/jp+다/ef
.	./sf
비록	비록/mag
승산이	승산/ncn+이/jcs
없을	없/paa+을/etm
것처럼	것/nbn+처럼/jca
보였던	보이/pvg+었/ep+던/etm
아이슈타인의	아이슈타인/nq+의/jcm
접근	접근/ncn
방법이	방법/ncn+이/jcs
성공을	성공/ncn+을/jco
가져왔다	가지/pvg+어/ecx+오/px+았/ep+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
한	한/nnc
가지의	가지/nbu+의/jcm
성공이	성공/ncn+이/jcs
있기	있/paa+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
수만	수만/nnc
번의	번/nbu+의/jcm
실패가	실패/ncn+가/jcs
있었음을	있/paa+었/ep+음/etn+을/jco
기억해야	기억/ncpa+하/xsv+어야/ecs
한다	하/px+ㄴ다/ef
.	./sf
마치	마치/mag
한	한/nnc
그루의	그루/nbu+의/jcm
나무는	나무/ncn+는/jxc
바람에	바람/ncn+에/jca
날리는	날리/pvg+는/etm
수만	수만/nnc
개의	개/nbu+의/jcm
씨앗에	씨앗/ncn+에/jca
기인한	기인/ncpa+하/xsv+ㄴ/etm
것처럼	것/nbn+처럼/jca
말이다	말/ncn+이/jp+다/ef
.	./sf
아마	아마/mag
그래서	그래서/maj
이	이/mmd
지구상에	지구/ncn+상/xsn+에/jca
그렇게	그러하/pad+게/ecs
많은	많/paa+은/etm
사람들이	사람/ncn+들/xsn+이/jcs
살고	살/pvg+고/ecx
있는지도	있/px+는/etm+지/nbn+도/jxc
모르겠다	모르/pvg+겠/ep+다/ef
.	./sf
복습	복습/ncn
대부분의	대부분/ncn+의/jcm
속력은	속력/ncn+은/jxc
상대적인	상대/ncn+적/xsn+이/jp+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이	이/mmd
말은	말/ncn+은/jxc
동시에	동시/ncn+에/jca
관측자와	관측/ncn+자/xsn+와/jcj
관측대상에	관측/ncn+대상/ncn+에/jca
의존한다는	의존/ncpa+하/xsv+ㄴ다/ef+는/etm
말이다	말/ncn+이/jp+다/ef
.	./sf
예를	예/ncn+를/jco
들어	들/pvg+어/ecs
바람의	바람/ncn+의/jcm
상대속력은	상대/ncn+속력/ncn+은/jxc
각각	각각/mag
바람을	바람/ncn+을/jco
향해	향하/pvg+어/ecs
달리건	달리/pvg+건/ecs
혹은	혹은/maj
바람을	바람/ncn+을/jco
등에	등/ncn+에/jca
받으며	받/pvg+으며/ecs
달리곤	달리/pvg+곤/ecs
해서	하/px+어서/ecs
감소할	감소/ncpa+하/xsv+ㄹ/etm
수도	수/nbn+도/jxc
혹은	혹은/maj
증가할	증가/ncpa+하/xsv+ㄹ/etm
수도	수/nbn+도/jxc
있다	있/paa+다/ef
.	./sf
그러나	그러나/maj
