<tdmsfile>
 96-kaist_corpus_96_explanation_pos_mh2-0188.txt 
 kaist_corpus_96_explanation_pos_mh2-0188.txt 

최준식  
1993  
민족사  
151.7  
181.11  
  
  
  

한국에도	한국/nq+에/jca+도/jxc
자비	자비/ncn
,	,/sp
인	인/ncn
(	(/sl
仁	仁/nq
)	)/sr
등은	등/nbn+은/jxc
지난	지나/pvg+ㄴ/etm
역사	역사/ncn
동안	동안/ncn
한번도	한번/ncn+도/jxc
제대로	제대로/mag
지켜진	지키/pvg+어/ecx+지/px+ㄴ/etm
적이	적/nbn+이/jcs
없다	없/paa+다/ef
.	./sf
가령	가령/mag
극히	극히/mag
최근인	최근/ncn+이/jp+ㄴ/etm
1백	1백/nnc
년	년/nbu
전까지만	전/ncn+까지/jxc+만/jxc
해도	하/pvg+어도/ecs
전인류의	전/mma+인류/ncn+의/jcm
상당한	상당/ncps+하/xsm+ㄴ/etm
수를	수/nbn+를/jco
차지하는	차지/ncpa+하/xsv+는/etm
사람들이	사람/ncn+들/xsn+이/jcs
선천적으로	선천/ncn+적/xsn+으로/jca
노예나	노예/ncn+나/jcj
불가촉	불가촉/ncn
천민이라는	천민/ncn+이/jp+라/ef+는/etm
계층으로	계층/ncn+으로/jca
분류되어	분류/ncpa+되/xsv+어/ecx
인간	인간/ncn
대접을	대접/ncn+을/jco
전혀	전혀/mag
받지	받/pvg+지/ecx
못하고	못하/px+고/ecc
살았다	살/pvg+았/ep+다/ef
.	./sf
이것이	이것/npd+이/jcs
우리들이	우리/npp+들/xsn+이/jcs
신봉하고	신봉/ncpa+하/xsv+고/ecx
있던	있/px+던/etm
불교	불교/nq
,	,/sp
기독교	기독/nq+교/xsn
등의	등/nbn+의/jcm
평등	평등/ncn
이념에	이념/ncn+에/jca
어긋나는	어긋나/pvg+는/etm
것임에도	것/nbn+이/jp+ㅁ/etn+에/jca+도/jxc
불구하고	불구/ncn+하/xsm+고/ecx
여기에	여기/npd+에/jca
의문을	의문/ncn+을/jco
품는	품/pvg+는/etm
사람은	사람/ncn+은/jxc
거의	거의/mag
없었다	없/paa+었/ep+다/ef
.	./sf
더욱	더욱/mag
놀라운	놀랍/paa+ㄴ/etm
것은	것/nbn+은/jxc
항상	항상/mag
인류의	인류/ncn+의/jcm
절반을	절반/ncn+을/jco
차지했던	차지/ncpa+하/xsv+었/ep+던/etm
여성들에	여성/ncn+들/xsn+에/jca
대한	대하/pvg+ㄴ/etm
억압이다	억압/ncn+이/jp+다/ef
.	./sf
종교의	종교/ncn+의/jcm
교조들은	교조/ncn+들/xsn+은/jxc
특히	특히/mag
예수의	예수/nq+의/jcm
경우	경우/ncn
모두	모두/mag
여성들에	여성/ncn+들/xsn+에/jca
대한	대하/pvg+ㄴ/etm
기회	기회/ncn
평등을	평등/ncn+을/jco
주장했는데도	주장/ncpa+하/xsv+었/ep+는데/ecs+도/jxc
,	,/sp
우리들은	우리/npp+들/xsn+은/jxc
수천	수천/nnc
년	년/nbu
동안	동안/ncn
여성들을	여성/ncn+들/xsn+을/jco
갖은	갖/pvg+은/etm
방법으로	방법/ncn+으로/jca
억압해	억압/ncpa+하/xsv+어/ecx
왔고	오/px+았/ep+고/ecc
,	,/sp
그것에	그것/npd+에/jca
대해	대하/pvg+어/ecs
아무런	아무렇/pad+ㄴ/etm
의문을	의문/ncn+을/jco
표시하지	표시/ncpa+하/xsv+지/ecx
않았다	않/px+았/ep+다/ef
.	./sf
그리고	그리고/maj
이러한	이러하/pad+ㄴ/etm
가치관들은	가치/ncn+관/xsn+들/xsn+은/jxc
비로소	비로소/mag
백여	백/nnc+여/xsn
년	년/nbu
전부터	전/ncn+부터/jxc
,	,/sp
인류	인류/ncn
문명이	문명/ncn+이/jcs
생긴	생기/pvg+ㄴ/etm
이후	이후/ncn
처음으로	처음/ncn+으로/jca
도전받기	도전/ncn+받/pvg+기/etn
시작하여	시작/ncpa+하/xsv+어/ecs
,	,/sp
노예제도도	노예/ncn+제도/ncn+도/jxc
사라지고	사라지/pvg+고/ecc
,	,/sp
적어도	적어도/mag
원리적으로는	원리/ncn+적/xsn+으로/jca+는/jxc
여성들에	여성/ncn+들/xsn+에/jca
대한	대하/pvg+ㄴ/etm
대우도	대우/ncn+도/jxc
비교할	비교/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없을	없/paa+을/etm
정도로	정도/ncn+로/jca
좋아졌다	좋/paa+아/ecx+지/px+었/ep+다/ef
.	./sf
바로	바로/mag
이렇게	이렇게/mag
바뀌기	바뀌/pvg+기/etn
시작한	시작/ncpa+하/xsv+ㄴ/etm
시대가	시대/ncn+가/jcs
우리나라에서는	우리/npp+나라/ncn+에서/jca+는/jxc
구한말	구한말/ncn
신종교가	신/xp+종교/ncn+가/jcs
태동하던	태동/ncpa+하/xsv+던/etm
시대와	시대/ncn+와/jct
일치하고	일치/ncpa+하/xsv+고/ecc
,	,/sp
그	그/mmd
교조들은	교조/ncn+들/xsn+은/jxc
바로	바로/mag
이때	이때/ncn
개벽을	개벽/ncn+을/jco
부르짖었던	부르짖/pvg+었/ep+던/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이런	이런/mmd
면에서	면/ncn+에서/jca
인류	인류/ncn
역사는	역사/ncn+는/jxc
틀림없이	틀림/ncn+없/paa+이/xsa
진보의	진보/ncn+의/jcm
길을	길/ncn+을/jco
걷고	걷/pvg+고/ecx
있다고	있/px+다/ef+고/ecs
보아도	보/px+아도/ecs
된다	되/px+ㄴ다/ef
.	./sf
둘째마당	둘째/nno+마당/ncn
진리	진리/ncn
(	(/sl
眞理	眞理/ncn
)	)/sr
1	1/nnc
해월의	해월/nq+의/jcm
자연관	자연/ncn+관/xsn
하나	하나/nnc
"	"/sl
하늘과	하늘/ncn+과/jcj
땅은	땅/ncn+은/jxc
부모와	부모/ncn+와/jct
같고	같/paa+고/ecc
,	,/sp
부모는	부모/ncn+는/jxc
하늘이나	하늘/ncn+이/jp+나/jxc
땅과	땅/ncn+과/jct
같기	같/paa+기/etn
때문에	때문/nbn+에/jca
하늘	하늘/ncn
,	,/sp
땅	땅/ncn
,	,/sp
부모는	부모/ncn+는/jxc
일체입니다	일체/ncn+이/jp+ㅂ니다/ef
.	./sf
따라서	따라서/maj
부모의	부모/ncn+의/jcm
포태가	포태/ncn+가/jcs
바로	바로/mag
하늘과	하늘/ncn+과/jcj
땅의	땅/ncn+의/jcm
포태인데	포태/ncn+이/jp+ㄴ데/ecs
,	,/sp
지금	지금/ncn
사람들은	사람/ncn+들/xsn+은/jxc
다만	다만/mag
부모	부모/ncn
포태만	포태/ncn+만/jxc
알아	알/pvg+아/ecx
섬길	섬기/pvg+ㄹ/etm
줄	줄/nbn
알지	알/pvg+지/ecx
하늘과	하늘/ncn+과/jcj
땅의	땅/ncn+의/jcm
포태의	포태/ncn+의/jcm
기운은	기운/ncn+은/jxc
알지	알/pvg+지/ecx
못하고	못하/px+고/ecx
있습니다	있/px+습니다/ef
."	./sf+"/sl
해월은	해월/nq+은/jxc
천지	천지/ncn
,	,/sp
즉	즉/mag
하늘과	하늘/ncn+과/jcj
땅을	땅/ncn+을/jco
살아	살/pvg+아/ecx
있는	있/px+는/etm
부모와	부모/ncn+와/jct
같게	같/paa+게/ecx
생각했다	생각/ncpa+하/xsv+었/ep+다/ef
.	./sf
다시	다시/mag
말해	말하/pvg+어/ecx
근대	근대/ncn
서양에서와	서양/ncn+에서/jca+와/jct
같이	같/paa+이/xsa
자연을	자연/ncn+을/jco
인간의	인간/ncn+의/jcm
정복	정복/ncn
대상으로만	대상/ncn+으로/jca+만/jxc
존재하는	존재/ncpa+하/xsv+는/etm
것이	것/nbn+이/jcc
아니라	아니/paa+라/ecs
,	,/sp
바로	바로/mag
우리를	우리/npp+를/jco
낳고	낳/pvg+고/ecc
,	,/sp
키워	키우/pvg+어/ecx
주고	주/px+고/ecc
,	,/sp
더	더/mag
나아가서는	나아가/pvg+서/ecs+는/jxc
우리가	우리/npp+가/jcs
돌아가야	돌/pvg+아/ecx+가/px+야/jxc
할	하/pvg+ㄹ/etm
귀착지로서	귀착/ncn+지/xsn+서/jca
본	보/pvg+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이	이/mmd
관점은	관점/ncn+은/jxc
자연을	자연/ncn+을/jco
살아	살/pvg+아/ecx
있는	있/px+는/etm
것으로	것/nbn+으로/jca
보는	보/pvg+는/etm
동양의	동양/ncn+의/jcm
전통적인	전통/ncn+적/xsn+이/jp+ㄴ/etm
자연관을	자연/ncn+관/xsn+을/jco
한층	한층/mag
더	더/mag
넘어서서	넘어서/pvg+서/ecs
,	,/sp
부모님과	부모/ncn+님/xsn+과/jct
같이	같/paa+이/xsa
공경해야	공경/ncpa+하/xsv+어야/ecs
한다는	하/px+ㄴ다/ef+는/etm
식으로	식/ncn+으로/jca
발전시킨	발전/ncpa+시키/xsv+ㄴ/etm
것으로	것/nbn+으로/jca
,	,/sp
앞으로	앞/ncn+으로/jca
환경	환경/ncn
운동에	운동/ncn+에/jca
좋은	좋/paa+은/etm
이념을	이념/ncn+을/jco
제공해	제공/ncpa+하/xsv+어/ecx
줄	주/px+ㄹ/etm
수	수/nbn
있으리라	있/paa+으리라/ef
생각된다	생각/ncpa+되/xsv+ㄴ다/ef
.	./sf
2	2/nnc
해월의	해월/nq+의/jcm
자연관	자연/ncn+관/xsn
둘	둘/nnc
"	"/sl
한울	한울/ncn
(	(/sl
하늘	하늘/ncn
)은	)/sr+은/jxc
우리를	우리/npp+를/jco
덮고	덮/pvg+고/ecx
있고	있/px+고/ecc
,	,/sp
땅은	땅/ncn+은/jxc
우리를	우리/npp+를/jco
싣고	싣/pvg+고/ecx
있으니	있/px+으니/ecs
큰	크/paa+ㄴ/etm
덕이	덕/ncn+이/jcc
아니고	아니/paa+고/ecc
무엇이며	무엇/npd+이/jp+며/ecc
,	,/sp
해와	해/ncn+와/jcj
달이	달/ncn+이/jcs
우리를	우리/npp+를/jco
비추고	비추/pvg+고/ecx
있으니	있/px+으니/ecs
이	이/mmd
어찌	어찌/mag
은혜가	은혜/ncn+가/jcc
아니고	아니/paa+고/ecc
무엇이며	무엇/npd+이/jp+며/ecc
,	,/sp
만물은	만물/ncn+은/jxc
화	화/ncn
(	(/sl
化	化/ncn
)	)/sr
해	하/pvg+어/ecx
생겨나니	생기/pvg+어/ecx+나/px+니/ecs
천지	천지/ncn
이기	이기/ncn
(	(/sl
理氣	理氣/ncn
)의	)/sr+의/jcm
조화가	조화/ncn+가/jcc
아니고	아니/paa+고/ecc
무엇이겠습니까	무엇/npd+이/jp+겠/ep+습니까/ef
?"	?/sf+"/sl
해월은	해월/nq+은/jxc
여기에서도	여기/npd+에서/jca+도/jxc
여전히	여전히/mag
자연에	자연/ncn+에/jca
대한	대하/pvg+ㄴ/etm
공경심을	공경/ncn+심/xsn+을/jco
놓지	놓/pvg+지/ecx
말	말/px+ㄹ/etm
것을	것/nbn+을/jco
가르치고	가르치/pvg+고/ecx
있다	있/px+다/ef
.	./sf
이	이/mmd
글은	글/ncn+은/jxc
마치	마치/mag
소태산이	소태산/nq+이/jcs
설한	설하/pvg+ㄴ/etm
네	네/nnc
가지	가지/nbu
은혜	은혜/ncn
(	(/sl
四恩	四恩/ncn
,	,/sp
즉	즉/mag
천지은	천지은/ncn
,	,/sp
부모은	부모은/ncn
,	,/sp
동포은	동포은/ncn
,	,/sp
법률은을	법률은/ncn+을/jco
말한다	말하/pvg+ㄴ다/ef
)를	)/sr+를/jco
연상케	연상케/mag
한다	하/pvg+ㄴ다/ef
.	./sf
내용도	내용/ncn+도/jxc
양자가	양자/ncn+가/jcs
거의	거의/mag
비슷하다	비슷하/paa+다/ef
.	./sf
다만	다만/mag
해월의	해월/nq+의/jcm
제자들에	제자/ncn+들/xsn+에/jca
의한	의하/pvg+ㄴ/etm
윤색인지는	윤색/ncn+이/jp+ㄴ지/ecs+는/jxc
몰라도	모르/pvg+아도/ecs
,	,/sp
이기와	이기/ncn+와/jct
같은	같/paa+은/etm
성리학적인	성리/ncn+학/xsn+적/xsn+이/jp+ㄴ/etm
용어가	용어/ncn+가/jcs
들어가	들어가/pvg+아/ecx
있음이	있/px+음/etn+이/jcs
눈에	눈/ncn+에/jca
띈다	띄/pvg+ㄴ다/ef
.	./sf
3	3/nnc
해월의	해월/nq+의/jcm
자연관	자연/ncn+관/xsn
셋	셋/nnc
"	"/sr
우주에는	우주/ncn+에/jca+는/jxc
(	(/sl
모든	모든/mmd
것이	것/nbn+이/jcs
서로	서로/mag
연결되어	연결/ncpa+되/xsv+어/ecx
있는	있/px+는/etm
)	)/sr
혼원한	혼원/ncps+하/xsm+ㄴ/etm
한	한/nnc
기운이	기운/ncn+이/jcs
가득차	가득차/pvg+아/ecx
있기	있/px+기/etn
때문에	때문/nbn+에/jca
한	한/nnc
걸음이라도	걸음/ncn+이/jp+라도/jxc
감히	감히/mag
경솔하게	경솔/ncps+하/xsm+게/ecx
걸어서는	걷/pvg+어서는/ecs
안	안/mag
될	되/pvg+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
어느	어느/mmd
날	날/ncn
,	,/sp
내가	내/npp+가/jcs
한가롭게	한가롭/paa+게/ecx
있는데	있/px+는데/ecs
한	한/nnc
어린이가	어린이/ncn+가/jcs
나막신을	나막신/ncn+을/jco
신고	신/pvg+고/ecc
빠르게	빠르/paa+게/ecx
앞을	앞/ncn+을/jco
지나갔습니다	지나/pvg+아/ecx+가/px+았/ep+습니다/ef
.	./sf
그런데	그런데/maj
그	그/mmd
소리가	소리/ncn+가/jcs
땅을	땅/ncn+을/jco
울리게	울리/pvg+게/ecx
해서	하/px+어서/ecs
나는	나/npp+는/jxc
깜짝	깜짝/mag
놀라	놀라/pvg+아/ecx
일어나	일/pvg+어/ecx+나/px+아/ecs
가슴을	가슴/ncn+을/jco
어루만지며	어루만지/pvg+며/ecc
,	,/sp
"	"/sl
그	그/mmd
어린이의	어린이/ncn+의/jcm
나막신	나막신/ncn
소리에	소리/ncn+에/jca
내	내/npp
가슴이	가슴/ncn+이/jcs
다	다/mag
아프네	아프/paa+네/ef
"라고	"/sr+라고/jcr
말한	말하/pvg+ㄴ/etm
적이	적/nbn+이/jcs
있습니다	있/px+습니다/ef
.	./sf
땅을	땅/ncn+을/jco
소중히	소중히/mag
여기기를	여기/pvg+기/etn+를/jco
어머님의	어머님/ncn+의/jcm
살같이	살/ncn+같/paa+이/xsa
해야	하/pvg+어야/ecs
합니다	하/px+ㅂ니다/ef
.	./sf
어머님의	어머님/ncn+의/jcm
살이	살/ncn+이/jcs
소중합니까	소중하/paa+ㅂ니까/ef
,	,/sp
버선이	버선/ncn+이/jcs
더	더/mag
소중합니까	소중하/paa+ㅂ니까/ef
?	?/sf
이	이/mmd
이치를	이치/ncn+를/jco
바로	바로/mag
알고	알/pvg+고/ecc
,	,/sp
공경하고	공경/ncpa+하/xsv+고/ecc
두려워하는	두렵/paa+어/ecx+하/px+는/etm
마음으로	마음/ncn+으로/jca
행동하면	행동/ncpa+하/xsv+면/ecs
,	,/sp
아무리	아무리/mag
큰	크/paa+ㄴ/etm
비가	비/ncn+가/jcs
내려도	내리/pvg+어도/ecs
신발이	신발/ncn+이/jcs
조금도	조금/mag+도/jxc
젖지	젖/pvg+지/ecx
아니할	아니하/pvg+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
이	이/mmd
현묘한	현묘/ncps+하/paa+ㄴ/etm
이치는	이치/ncn+는/jxc
아는	알/pvg+는/etm
이가	이/npp+가/jcs
적을	적/paa+을/etm
뿐만	뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
,	,/sp
행하는	행하/pvg+는/etm
이는	이/npp+는/jxc
더욱	더욱/mag
드물	드물/paa+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
나는	나/npp+는/jxc
오늘	오늘/ncn
처음으로	처음/ncn+으로/jca
큰	크/paa+ㄴ/etm
도의	도/ncn+의/jcm
본모습을	본/mma+모습/ncn+을/jco
말한	말하/pvg+ㄴ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
."	./sf+"/sl
이	이/mmd
구절	구절/ncn
,	,/sp
그	그/mmd
가운데서도	가운데/ncn+서/jca+도/jxc
앞	앞/ncn
문단의	문단/ncn+의/jcm
이야기는	이야기/ncn+는/jxc
그냥	그냥/mag
지나치기	지나치/pvg+기/etn
쉬운	쉽/paa+ㄴ/etm
내용이다	내용/ncn+이/jp+다/ef
.	./sf
그러나	그러나/maj
그것은	그것/npd+은/jxc
해월이	해월/nq+이/jcs
도달한	도달/ncpa+하/xsv+ㄴ/etm
지극한	지극하/paa+ㄴ/etm
경지를	경지/ncn+를/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
대단히	대단히/mag
중요한	중요/ncps+하/xsm+ㄴ/etm
문장이다	문장/ncn+이/jp+다/ef
.	./sf
즉	즉/mag
해월은	해월/nq+은/jxc
이미	이미/mag
천지와	천지/ncn+와/jcj
하나가	하나/nnc+가/jcc
되어	되/pvg+어/ecs
천지의	천지/ncn+의/jcm
느낌을	느낌/ncn+을/jco
자기의	자기/npp+의/jcm
느낌으로	느낌/ncn+으로/jca
할	하/pvg+ㄹ/etm
뿐	뿐/nbn
아니라	아니/paa+라/ecs
,	,/sp
천지에	천지/ncn+에/jca
해	해/ncn
(	(/sl
害	害/ncn
)가	)/sr+가/jcs
가면	가/pvg+면/ecs
즉시	즉시/mag
자신도	자신/ncn+도/jxc
해를	해/ncn+를/jco
느끼는	느끼/pvg+는/etm
경지에	경지/ncn+에/jca
도달한	도달/ncpa+하/xsv+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이	이/mmd
일화는	일화/ncn+는/jxc
또	또/maj
근세	근세/ncn
인도의	인도/nq+의/jcm
최고	최고/ncn
인기였던	인기/ncn+이/jp+었/ep+던/etm
라마크리슈나의	라마크리슈나/nq+의/jcm
일화를	일화/ncn+를/jco
생각하게	생각/ncpa+하/xsv+게/ecx
한다	하/pvg+ㄴ다/ef
.	./sf
한번은	한번/ncn+은/jxc
어떤	어떤/mmd
사람이	사람/ncn+이/jcs
라마크리슈나의	라마크리슈나/nq+의/jcm
옆으로	옆/ncn+으로/jca
소를	소/nq+를/jco
끌고	끌/pvg+고/ecx
가면서	가/px+면서/ecc
,	,/sp
길을	길/ncn+을/jco
재촉하느라	재촉/ncpa+하/xsv+느라/ecs
소를	소/nq+를/jco
채찍으로	채찍/ncn+으로/jca
때린	때리/pvg+ㄴ/etm
모양이었다	모양/ncn+이/jp+었/ep+다/ef
.	./sf
그러나	그러나/maj
그는	그/npp+는/jxc
마치	마치/mag
자신이	자신/ncn+이/jcs
맞은	맞/pvg+은/etm
것처럼	것/nbn+처럼/jca
큰	크/paa+ㄴ/etm
아픔을	아픔/ncn+을/jco
느끼면서	느끼/pvg+면서/ecs
주춤했다고	주춤하/pvg+었/ep+다/ef+고/ecs
한다	하/px+ㄴ다/ef
.	./sf
해월과	해월/nq+과/jcj
라마크리슈나	라마크리슈나/nq
모두	모두/mag
온	온/mma
우주의	우주/ncn+의/jcm
생명들과	생명/ncn+들/xsn+과/jct
이미	이미/mag
하나가	하나/ncn+가/jcc
된	되/pvg+ㄴ/etm
성자들인지라	성자/ncn+들/xsn+이/jp+ㄴ지라/ecs
,	,/sp
중생들의	중생/ncn+들/xsn+의/jcm
아픔을	아픔/ncn+을/jco
똑같이	똑같이/mag
자신의	자신/ncn+의/jcm
것으로	것/nbn+으로/jca
느꼈던	느끼/pvg+었/ep+던/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이렇게	이렇게/mag
해월이나	해월/nq+이나/jcj
라마크리슈나와	라마크리슈나/ncn+와/jct
같이	같/paa+이/xsa
자연을	자연/ncn+을/jco
생각한다면	생각/ncpa+하/xsv+ㄴ다/ef+면/ecs
,	,/sp
아니	아니/mag
더	더/mag
나아가서	나아가/pvg+서/ecs
자연과	자연/ncn+과/jcj
하나됨을	하나/nnc+되/xsv+ㅁ/etn+을/jco
느낀다면	느끼/pvg+ㄴ다/ef+면/ecs
,	,/sp
금세기의	금세기/ncn+의/jcm
환경	환경/ncn
문제는	문제/ncn+는/jxc
그	그/mmd
심각성의	심각/ncn+성/xsn+의/jcm
진전	진전/ncn
정도가	정도/ncn+가/jcs
많이	많/paa+이/xsa
늦춰질지	늦추/pvg+어/ecx+지/px+ㄹ지/ecs
모르겠다	모르/pvg+겠/ep+다/ef
.	./sf
한편	한편/maj
땅을	땅/ncn+을/jco
어머니	어머니/ncn
살같이	살/ncn+같/paa+이/xsa
여기라는	여기/pvg+라/ef+는/etm
말은	말/ncn+은/jxc
북미	북미/ncn
대륙에	대륙/ncn+에/jca
살았던	살/pvg+았/ep+던/etm
인디언들의	인디언/ncn+들/xsn+의/jcm
자연관을	자연/ncn+관/xsn+을/jco
연상하게	연상/ncps+하/xsm+게/ecx
한다	하/pvg+ㄴ다/ef
.	./sf
서부약탈	서부/ncn+약탈/ncn
시대	시대/ncn
때	때/ncn
,	,/sp
땅을	땅/ncn+을/jco
팔라는	팔/pvg+라/ef+는/etm
백인들의	백인/ncn+들/xsn+의/jcm
권유에	권유/ncn+에/jca
인디언	인디언/ncn
추장이	추장/ncn+이/jcs
백인들에게	백인/ncn+들/xsn+에게/jca
보냈다는	보내/pvg+었/ep+다/ef+는/etm
편지가	편지/ncn+가/jcs
아직도	아직도/mag
남아	남/pvg+아/ecx
있다	있/px+다/ef
.	./sf
그것을	그것/npd+을/jco
보면	보/pvg+면/ecs
땅이란	땅/ncn+이/jp+란/jxc
바로	바로/mag
어머니	어머니/ncn
같은	같/paa+은/etm
것인데	것/nbn+이/jp+ㄴ데/ecs
어떻게	어떻게/mag
어머니를	어머니/ncn+를/jco
사고	사/pvg+고/ecx
팔면서	팔/pvg+면서/ecc
자신의	자신/ncn+의/jcm
사유	사유/ncn
(	(/sl
私有	私有/ncn
)로	)/sr+로/jca
할	하/pvg+ㄹ/etm
수	수/nbn
있느냐는	있/paa+느냐/ef+는/etm
문구가	문구/ncn+가/jcs
나온다	나오/pvg+ㄴ다/ef
.	./sf
또	또/maj
대지의	대지/ncn+의/jcm
나무나	나무/ncn+나/jcj
풀들은	풀/ncn+들/xsn+은/jxc
어머니의	어머니/ncn+의/jcm
털이라	털/ncn+이/jp+라/ecs
어머니의	어머니/ncn+의/jcm
허락	허락/ncn
없이	없/paa+이/xsa
함부로	함부로/mag
베어서는	베/pvg+어서는/ecs
안	안/mag
되고	되/pvg+고/ecc
,	,/sp
그곳에	그곳/npd+에/jca
사는	살/pvg+는/etm
동물은	동물/ncn+은/jxc
우리와	우리/npp+와/jct
같이	같/paa+이/xsa
어머니	어머니/ncn
품속에	품/ncn+속/ncn+에/jca
사는	살/pvg+는/etm
형제들이라	형제/ncn+들/xsn+이/jp+라/ecs
어쩔	어쩔/mma
수	수/nbn
없는	없/paa+는/etm
경우를	경우/ncn+를/jco
제외하고는	제외/ncpa+하/xsv+고/ecc+는/jxc
함부로	함부로/mag
다루어서는	다루/pvg+어서/ecs+는/jxc
안	안/mag
되며	되/pvg+며/ecc
,	,/sp
강이나	강/ncn+이나/jcj
시내는	시내/ncn+는/jxc
어머니의	어머니/ncn+의/jcm
젖줄이기	젖줄/ncn+이/jp+기/etn
때문에	때문/nbn+에/jca
마구	마구/mag
해서는	하/pvg+어서/ecs+는/jxc
안	안/mag
된다고	되/pvg+ㄴ다/ef+고/ecs
,	,/sp
가장	가장/mag
전근대적이면서도	전/ncn+근대/ncn+적/xsn+이/jp+면서/ecs+도/jxc
가장	가장/mag
현대적인	현대/ncn+적/xsn+이/jp+ㄴ/etm
자연관을	자연/ncn+관/xsn+을/jco
그	그/mmd
추장은	추장/ncn+은/jxc
피력하고	피력/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
이것은	이것/npd+은/jxc
앞으로	앞/ncn+으로/jca
환경	환경/ncn
문제	문제/ncn
극복에	극복/ncn+에/jca
시사하는	시사/ncps+하/xsm+는/etm
바가	바/nbn+가/jcs
큰	크/paa+ㄴ/etm
이야기가	이야기/ncn+가/jcc
아닐	아니/paa+ㄹ/etm
수	수/nbn
없다	없/paa+다/ef
.	./sf
4	4/nnc
하늘은	하늘/ncn+은/jcs
밥이다	밥/ncn+이/jp+다/ef
.	./sf
"	"/sl
한울님은	한울님/nq+은/jxc
사람에	사람/ncn+에/jca
의지하고	의지/ncpa+하/xsv+고/ecc
,	,/sp
사람은	사람/ncn+은/jxc
먹는	먹/pvg+는/etm
데	데/nbn
의지하게	의지/ncpa+하/xsv+게/ecx
되니	되/px+니/ecs
,	,/sp
모든	모든/mmd
것을	것/nbn+을/jco
안다는	알/pvg+ㄴ다/ef+는/etm
것은	것/nbn+은/jxc
단지	단지/mag
밥	밥/ncn
한	한/nnc
그릇을	그릇/ncn+을/jco
먹는	먹/pvg+는/etm
이치를	이치/ncn+를/jco
아는	알/pvg+는/etm
데에	데/nbn+에/jca
있습니다	있/paa+습니다/ef
.	./sf
즉	즉/mag
사람이	사람/ncn+이/jcs
밥에	밥/ncn+에/jca
의지하여	의지/ncpa+하/xsv+어/ecx
나고	나/px+고/ecc
자라난다고	자라/pvg+아/ecx+나/px+ㄴ다/ef+고/ecs
하면	하/pvg+면/ecs
,	,/sp
한울님은	한울님/nq+은/jxc
사람에	사람/ncn+에/jca
의지하여	의지/ncpa+하/xsv+어/ecs
그	그/mmd
조화를	조화/ncn+를/jco
나타나게	나타나/pvg+게/ecx
됩니다	되/px+ㅂ니다/ef
."	./sf+"/sl
이	이/mmd
글은	글/ncn+은/jxc
김지하	김지하/nq
시인이	시인/ncn+이/jcs
"	"/sl
하늘은	하늘/ncn+은/jxc
밥이다	밥/ncn+이/jp+다/ef
"라고	"/sr+라고/jcr
한	하/pvg+ㄴ/etm
유명한	유명/ncps+하/xsm+ㄴ/etm
선언의	선언/ncn+의/jcm
출처가	출처/ncn+가/jcc
되는	되/pvg+는/etm
글이다	글/ncn+이/jp+다/ef
.	./sf
사람은	사람/ncn+은/jxc
밥으로	밥/ncn+으로/jca
연명하고	연명/ncpa+하/xsv+고/ecc
,	,/sp
그럼으로써	그럼/ncn+으로써/jca
한울님의	한울님/nq+의/jcm
뜻을	뜻/ncn+을/jco
펼	펴/pvg+ㄹ/etm
수	수/nbn
있기	있/paa+기/etn
때문에	때문/nbn+에/jca
,	,/sp
한울님의	한울님/nq+의/jcm
모든	모든/mmd
사업은	사업/ncn+은/jxc
밥	밥/ncn
한	한/nnc
그릇에	그릇/ncn+에/jca
달려	달리/pvg+어/ecx
있다는	있/px+다/ef+는/etm
논리로	논리/ncn+로/jca
귀착이	귀착/ncn+이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
한끼	한끼/ncn
한끼	한끼/ncn
먹는	먹/pvg+는/etm
것을	것/nbn+을/jco
그저	그저/mag
목숨	목숨/ncn
부지의	부지/ncn+의/jcm
수단으로만	수단/ncn+으로/jca+만/jxc
볼	보/pvg+ㄹ/etm
것이	것/nbn+이/jcc
아니라	아니/paa+라/ecs
,	,/sp
개개인의	개개인/ncn+의/jcm
신성	신성/ncn
(	(/sl
神性	神性/ncn
)이	)/sr+이/jcs
발휘될	발휘/ncpa+되/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
근간을	근간/ncn+을/jco
마련해	마련/ncpa+하/xsv+어/ecx
주는	주/px+는/etm
대단히	대단히/mag
고결한	고결/ncps+하/xsm+ㄴ/etm
행위로	행위/ncn+로/jca
보아야	보/pvg+아야/ecs
한다는	하/px+ㄴ다/ef+는/etm
뜻일지	뜻/ncn+이/jp+ㄹ지/ecs
