<tdmsfile>
<tdmsfile>
kbs1.hwp
여러분	여러분/npp
이를	이르/pvg+ㄹ/etm
것으로	것/nbn+으로/jca
보입니다.	보이/pvg+ㅂ니다/ef+./sf
이밖에	이/npd+밖에/jxc
농어촌	농어촌/ncn
학생	학생/ncn
등을	등/nbn+을/jco
대상으로	대상/ncn+으로/jca
하는	하/pvg+는/etm
정원외	정원/ncn+외/nbn
특별	특별/ncn
전형	전형/ncn
인원과	인원/ncn+과/jcj
신설대학	신설/ncn+대학/ncn
설립이	설립/ncn+이/jcs
이달말쯤에	이/mmd+달/ncn+말/ncn+쯤/xsn+에/jca
확정되면	확정/ncpa+되/xsv+면/ecs
실제	실제/ncn
선발인원은	선발/ncn+인원/ncn+은/jxc
더	더/mag
늘어날	늘/pvg+어/ecx+나/px+ㄹ/etm
것으로	것/nbn+으로/jca
보입니다	보이/pvg+ㅂ니다/ef+./sf
KBS	KBS/f
뉴스,	뉴스/ncn+,/sp
김형덕입니다.	김형덕/nq+이/jp+ㅂ니다/ef+./sf
영어성적순	영어/ncn+성적/ncn+순/xsn
뽑는다	뽑/pvg+는다/ef
수능시험이	수능/ncn+시험/ncn+이/jcs
끝난	끝/ncn+나/pvg+ㄴ/etm
뒤에	뒤/ncn+에/jca
바로	바로/mag
있게	있/paa+게/ecs
될	되/pvg+ㄹ/etm
특차전형에서는	특차/ncn+전형/ncn+에서/jca+는/jxc
각	각/mma
대학들이	대학/ncn+들/xsn+이/jcs
국제화.	국제/ncn+화/xsn+./sp
정보화시대에	정보/ncn+화/xsn+시대/ncn+에/jca
걸맞는	걸맞/paa+는/etm
인재들을	인재/ncn+들/xsn+을/jco
확보하기	확보/ncpa+하/xsv+기/etn
위해서	위하/pvg+어서/ecs
독자적인	독자/ncn+적/xsn+이/jp+ㄴ/etm
방법으로	방법/ncn+으로/jca
일부	일부/ncn
신입생을	신입/ncn+생/xsn+을/jco
선발	선발/ncn
할	하/pvg+ㄹ/etm
예정입니다.	예정/ncn+이/jp+ㅂ니다/ef+./sf
영어를	영어/ncn+를/jco
아주	아주/mag
잘	잘/mag
하거나	하/pvg+거나/ecc
또	또/mag
컴퓨터	컴퓨터/ncn
실력이	실력/ncn+이/jcs
월등한	월등/ncps+하/xsm+ㄴ/etm
학생들을	학생/ncn+들/xsn+을/jco
기본적인	기본/ncn+적/xsn+이/jp+ㄴ/etm
학습능력을	학습/ncn+능력/ncn+을/jco
검증하는	검증/ncpa+하/xsv+는/etm
수준에서	수준/ncn+에서/jca
선발하는	선발/ncpa+하/xsv+는/etm
방법	방법/ncn
등이	등/nbn+이/jcs
그	그/mmd
예입니다.	예/ncn+이/jp+ㅂ니다/ef+./sf
계속해서	계속/ncpa+하/xsv+어서/ecs
김용관	김용관/nq
기자의	기자/ncn+의/jcm
보도입니다.	보도/ncn+이/jp+ㅂ니다/ef+./sf
현재	현재/mag
지원중인	지원/ncn+중/nbn+이/jp+ㄴ/etm
대학	대학/ncn
수시모집과	수시/ncn+모집/ncn+과/jcj
수학능력시험이	수학/ncn+능력/ncn+시험/ncn+이/jcs
끝난	끝/ncn+나/pvg+ㄴ/etm
뒤	뒤/ncn
곧	곧/maj
치러질	치르/pvg+어/ecx+지/px+ㄹ/etm
특차전형에서는	특차/ncn+전형/ncn+에서/jca+는/jxc
대학마다	대학/ncn+마다/jxc
독자적	독자/ncn+적/xsn
기준에	기준/ncn+에/jca
의한	의하/pvg+ㄴ/etm
신입생	신입/ncn+생/xsn
선발이	선발/ncn+이/jcs
이루어집니다.	이루/pvg+어/ecs+지/px+ㅂ니다/ef+./sf
수능성적을	수능/ncn+성적/ncn+을/jco
반영	반영/ncn
하지	하/pvg+지/ecx
않고	않/px+고/ecs
토플	토플/ncn
또는	또는/maj
토익	토익/ncn
성적만으로	성적/ncn+만/jxc+으로/jca
전형을	전형/ncn+을/jco
치르는	치르/pvg+는/etm
대학이	대학/ncn+이/jcs
있습니다.	있/paa+습니다/ef+./sf
신입생	신입/ncn+생/xsn
25명을	25/nnc+명/nbu+을/jco
선발	선발/ncn
하는	하/pvg+는/etm
건국대와	건국대/nq+와/jcj
61명을	61/nnc+명/nbu+을/jco
뽑는	뽑/pvg+는/etm
경희대는	경희대/nq+는/jxc
각각	각각/mag
토플	토플/ncn
520점이거나	520/nnc+점/nbu+이/jp+거나/ecc
토익	토익/ncn
760점이상인	760/nnc+점/nbu+이상/ncn+이/jp+ㄴ/etm
학생에게	학생/ncn+에게/jca
응시자격을	응시/ncn+자격/ncn+을/jco
줍니다.	주/pvg+ㅂ니다/ef+./sf
그러나	그러나/maj
토플	토플/ncn
550점,	550/nnc+점/nbu+,/sp
토익	토익/ncn
800점이상의	800/nnc+점/nbu+이상/ncn+의/jcm
신입생	신입/ncn+생/xsn
20명을	20/nnc+명/nbu+을/jco
선발하는	선발/ncpa+하/xsv+는/etm
명지대와	명지대/nq+와/jcj
토플	토플/ncn
580점이상	580/nnc+점/nbu+이상/ncn
신입생을	신입/ncn+생/xsn+을/jco
선발하는	선발/ncpa+하/xsv+는/etm
한양대는	한양대/nq+는/jxc
일정수준의	일정/ncn+수준/ncn+의/jcm
수능성적을	수능/ncn+성적/ncn+을/jco
요구하고	요구/ncpa+하/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
인천대와	인천대/nq+와/jcj
경상대,	경상대/nq+,/sp
동덕여대	동덕여대/nq
등도	등/nbn+도/jxc
수능성적을	수능/ncn+성적/ncn+을/jco
요구하지만	요구/ncpa+하/xsv+지만/ecs
기본적	기본/ncn+적/xsn
학습능력을	학습/ncn+능력/ncn+을/jco
검증하는	검증/ncpa+하/xsv+는/etm
정도에서	정도/ncn+에서/jca
토플이나	토플/ncn+이나/jcj
토익	토익/ncn
성적이	성적/ncn+이/jcs
좋으면	좋/paa+으면/ecs
쉽게	쉽/paa+게/ecs
입학할	입학/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있습니다.	있/paa+습니다/ef+./sf
소질,	소질/ncn+,/sp
능력	능력/ncn
이런	이런/mmd
것들을	것/nbn+들/xsn+을/jco
개발한다고	개발/ncpa+하/xsv+ㄴ다/ef+고/jcr
하는	하/pvg+는/etm
차원에서	차원/ncn+에서/jca
우리가	우리/npp+가/jcs
정보화.	정보/ncn+화/xsn+./sp
국제화	국제/ncn+화/xsn
특기생을	특기/ncn+생/xsn+을/jco
모집하는	모집/ncpa+하/xsv+는/etm
제도를	제도/ncn+를/jco
도입을	도입/ncn+을/jco
했습니다.	하/pvg+었/ep+습니다/ef+./sf
컴퓨터	컴퓨터/ncn
실력으로	실력/ncn+으로/jca
신입생을	신입/ncn+생/xsn+을/jco
뽑는	뽑/pvg+는/etm
대학도	대학/ncn+도/jxc
연세대와	연세대/nq+와/jcj
부산대	부산대/nq
등	등/nbn
전국	전국/ncn
16개	16/nnc+개/nbu
대학에	대학/ncn+에/jca
이릅니다.	이르/pvg+ㅂ니다/ef+./sf
이들	이/npd+들/xsn
대학	대학/ncn
대부분이	대부분/ncn+이/jcs
대회	대회/ncn
입상자를	입상/ncn+자/xsn+를/jco
선발	선발/ncn
대상으로	대상/ncn+으로/jca
하고	하/pvg+고/ecx
있지만,	있/px+지만/ecs+,/sp
중앙대와	중앙대/nq+와/jcj
동양대	동양대/nq
등은	등/nbn+은/jxc
정보처리사	정보/ncn+처리/ncn+사/xsn
자격증을	자격/ncn+증/xsn+을/jco
가진	가지/pvg+ㄴ/etm
학생에게도	학생/ncn+에게/jca+도/jxc
문호를	문호/ncn+를/jco
열어놓고	열/pvg+어/ecx+놓/px+고/ecx
있습니다.	있/px+습니다/ef+./sf
컴퓨터	컴퓨터/ncn
특기자를	특기/ncn+자/xsn+를/jco
뽑는	뽑/pvg+는/etm
대부분의	대부분/ncn+의/jcm
대학들이	대학/ncn+들/xsn+이/jcs
수능이나	수능/ncn+이나/jcj
학생부	학생/ncn+부/xsn
성적을	성적/ncn+을/jco
지원기준에	지원/ncn+기준/ncn+에/jca
명시하고	명시/ncpa+하/xsv+고/ecx
있지만	있/px+지만/ecs
요구하는	요구/ncpa+하/xsv+는/etm
수준은	수준/ncn+은/jxc
그다지	그다지/mag
높지	높/paa+지/ecx
않습니다.	않/px+습니다/ef+./sf
KBS	KBS/f
뉴스,	뉴스/ncn+,/sp
김용관입니다.	김용관/nq+이/jp+ㅂ니다/ef+./sf
본격	본격/ncn
적응훈련	적응/ncn+훈련/ncn
이번에는	이/mmd+번/nbn+에/jca+는/jxc
우리	우리/npp
월드컵	월드컵/ncn
축구대표팀	축구/ncn+대표/ncn+팀/ncn
소식입니다.	소식/ncn+이/jp+ㅂ니다/ef+./sf
아랍에미리트와의	아랍에미리트/nq+와/jct+의/jcm
월드컵	월드컵/ncn
최종예선	최종/ncn+예선/ncn
마지막	마지막/ncn
경기를	경기/ncn+를/jco
남겨두고	남기/pvg+어/ecx+두/px+고/ecx
있는	있/px+는/etm
우리	우리/npp
대표팀이	대표/ncn+팀/ncn+이/jcs
현지에서	현지/ncn+에서/jca
이제	이제/mag
본격적인	본격/ncn+적/xsn+이/jp+ㄴ/etm
적응훈련을	적응/ncn+훈련/ncn+을/jco
시작했습니다.	시작/ncpa+하/xsv+었/ep+습니다/ef+./sf
대표팀은	대표/ncn+팀/ncn+은/jxc
이미	이미/mag
본선진출을	본선/ncn+진출/ncn+을/jco
확정지어놓고	확정/ncn+짓/pvg+어/ecx+놓/px+고/ecx
있지만,	있/px+지만/ecs+,/sp
지난	지나/pvg+ㄴ/etm
일본전에서의	일본/nq+전/xsn+에서/jca+의/jcm
패배를	패배/ncn+를/jco
씻고	씻/pvg+고/ecc
또	또/mag
유종의	유종/ncn+의/jcm
미를	미/ncn+를/jco
거두겠다는	거두/pvg+겠/ep+다/ef+는/etm
각오를	각오/ncn+를/jco
보이고	보이/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
아랍에미리트	아랍에미리트/nq
현지에서	현지/ncn+에서/jca
김봉진	김봉진/nq
특파원의	특파/ncn+원/xsn+의/jcm
보도입니다.	보도/ncn+이/jp+ㅂ니다/ef+./sf
월드컵	월드컵/ncn
전사들이	전사/ncn+들/xsn+이/jcs
본격적인	본격/ncn+적/xsn+이/jp+ㄴ/etm
몸	몸/ncn
만들기에	만들/pvg+기/etn+에/jca
들어갔습니다.	들/pvg+어/ecs+가/pvg+았/ep+습니다/ef+./sf
차범근	차범근/nq
감독은	감독/ncn+은/jxc
강약을	강약/ncn+을/jco
조절하는	조절/ncpa+하/xsv+는/etm
훈련스케줄을	훈련/ncn+스케줄/ncn+을/jco
통해	통하/pvg+어/ecs
대회당일	대회/ncn+당일/ncn
선수들의	선수/ncn+들/xsn+의/jcm
컨디션을	컨디션/ncn+을/jco
최상으로	최상/ncn+으로/jca
끌어올릴	끌/pvg+어/ecs+올리/pvg+ㄹ/etm
계획입니다.	계획/ncn+이/jp+ㅂ니다/ef+./sf
특히	특히/mag
차감독은	차/nq+감독/ncn+은/jxc
최용수와	최용수/nq+와/jcj
최영일의	최영일/nq+의/jcm
결장	결장/ncn
그리고	그리고/maj
유상철이	유상철/nq+이/jcs
부상으로	부상/ncn+으로/jca
출전이	출전/ncn+이/jcs
불투명한	불/xp+투명/ncps+하/xsm+ㄴ/etm
만큼	만큼/nbn
주전,	주전/ncn+,/sp
비주전을	비/xp+주전/ncn+을/jco
가릴	가리/pvg+ㄹ/etm
것	것/nbn
없이	없/paa+이/xsa
컨디션	컨디션/ncn
위주로	위주/ncn+로/jca
선수들을	선수/ncn+들/xsn+을/jco
기용하겠다고	기용/ncpa+하/xsv+겠/ep+다/ef+고/jcr
밝혔습니다.	밝히/pvg+었/ep+습니다/ef+./sf
조금	조금/mag
경기력이	경기/ncn+력/xsn+이/jcs
떨어진다고	떨어지/pvg+ㄴ다/ef+고/jcr
하더라도	하/pvg+더라도/ecs
정신적으로	정신/ncn+적/xsn+으로/jca
준비가	준비/ncn+가/jcs
잘돼있는	잘/mag+되/pvg+어/ecx+있/px+는/etm
후배	후배/ncn
선수들을	선수/ncn+들/xsn+을/jco
기용할	기용/ncpa+하/xsv+ㄹ/etm
생각입니다.	생각/ncn+이/jp+ㅂ니다/ef+./sf
차감독은	차/nq+감독/ncn+은/jxc
또	또/mag
김도훈이나	김도훈/nq+이나/jcj
박건하를	박건하/nq+를/jco
원톱으로	원톱/ncn+으로/jca
내세우고	내/pvg+어/ecs+세우/pvg+고/ecc
미드필드를	미드필드/ncn+를/jco
강화하는	강화/ncpa+하/xsv+는/etm
3-6-1시스템을	3/nnc+-/sd+6/nnc+-/sd+1/nnc+시스템/ncn+을/jco
이용해	이용/ncpa+하/xsv+어/ecs
아랍에미리트를	아랍에미리트/nq+를/jco
꺽겠다는	꺽/pvg+겠/ep+다/ef+는/etm
전략을	전략/ncn+을/jco
일찌감치	일찌감치/mag
세웠습니다.	세우/pvg+었/ep+습니다/ef+./sf
유종의	유종/ncn+의/jcm
미를	미/ncn+를/jco
거두기	거두/pvg+기/etn
위해서	위하/pvg+어서/ecs
저뿐만	저/npp+뿐/jxc+만/jxc
아니라	아니/paa+라/ecs
선수들이	선수/ncn+들/xsn+이/jcs
다	다/mag
준비를	준비/ncn+를/jco
해갖고,	하/pvg+어/ecx+갖/px+고/ecs+,/sp
마지막	마지막/ncn
경기에	경기/ncn+에/jca
맞춰서	맞추/pvg+어서/ecs
최선을	최선/ncn+을/jco
다할려고,	다하/pvg+ㄹ려고/ecs+,/sp
꼭	꼭/mag
이겨서	이기/pvg+어서/ecs
돌아갈려고	돌/pvg+아/ecs+가/pvg+ㄹ려고/ecs
노력하고	노력/ncpa+하/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
이틀	이틀/ncn
동안의	동안/ncn+의/jcm
현지	현지/ncn
적응훈련을	적응/ncn+훈련/ncn+을/jco
통해	통하/pvg+어/ecs
몸	몸/ncn
만들기를	만들/pvg+기/etn+를/jco
마친	마치/pvg+ㄴ/etm
대표팀은	대표/ncn+팀/ncn+은/jxc
내일부터는	내일/ncn+부터/jxc+는/jxc
세트플레이	세트/ncn+플레이/ncn
등	등/nbn
본격적인	본격/ncn+적/xsn+이/jp+ㄴ/etm
전술훈련에	전술/ncn+훈련/ncn+에/jca
들어갈	들/pvg+어/ecs+가/pvg+ㄹ/etm
계획입니다.	계획/ncn+이/jp+ㅂ니다/ef+./sf
한편,	한편/maj+,/sp
자력으로	자력/ncn+으로/jca
B조	B/f+조/ncn
2위가	2/nno+위/ncn+가/jcs
불가능해진	불/xp+가능/ncps+하/xsm+어/ecx+지/px+ㄴ/etm
아랍에미리트는	아랍에미리트/nq+는/jxc
한껏	한껏/mag
풀이	풀/ncn+이/jcs
죽은	죽/pvg+은/etm
채로	채/nbn+로/jca
훈련해	훈련/ncpa+하/xsv+어/ecs
우리	우리/npp
대표팀과	대표/ncn+팀/ncn+과/jct
큰	크/paa+ㄴ/etm
대조를	대조/ncn+를/jco
이루었습니다.	이루/pvg+었/ep+습니다/ef+./sf
한국이	한국/nq+이/jcs
주전	주전/ncn
선수들을	선수/ncn+들/xsn+을/jco
투입하지	투입/ncpa+하/xsv+지/ecx
않기	않/px+기/etn
때문에	때문/nbn+에/jca
일단	일단/mag
우리팀으로선	우리/npp+팀/ncn+으로서/jca+ㄴ/jxc
유리한	유리/ncps+하/xsm+ㄴ/etm
입장입니다.	입장/ncn+이/jp+ㅂ니다/ef+./sf
KBS	KBS/f
제1텔레비젼에서는	제/xp+1/nno+텔레비젼/ncn+에서/jca+는/jxc
오는	오/pvg+는/etm
9일	9/nno+일/nbu
우리나라와	우리/npp+나라/ncn+와/jcj
아랍에미리트의	아랍에미리트/nq+의/jcm
경기를	경기/ncn+를/jco
밤	밤/ncn
9시30분부터	9/nno+시/nbu+30/nno+분/nbu+부터/jxc
위성중계방송합니다.	위성/ncn+중계/ncn+방송/ncpa+하/xsv+ㅂ니다/ef+./sf
아랍에미리트	아랍에미리트/nq
아부다비에서	아부다비/nq+에서/jca
KBS	KBS/f
뉴스,	뉴스/ncn+,/sp
김봉진입니다.	김봉진/nq+이/jp+ㅂ니다/ef+./sf
'자력진출'	'/sl+자력/ncn+진출/ncn+'/sr
총력전	총력/ncn+전/xsn
그리고	그리고/maj
마지막	마지막/ncn
남은	남/pvg+은/etm
한	한/nnc
경기	경기/ncn
카자흐스탄전에	카자흐스탄/nq+전/xsn+에/jca
승리하면은	승리/ncpa+하/xsv+면/ecs+은/jxc
조2위로	조/ncn+2/nno+위/nbu+로/jca
본선진출을	본선/ncn+진출/ncn+을/jco
바라볼	바라보/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
일본도	일본/nq+도/jxc
제1리그의	제/xp+1/nno+리그/ncn+의/jcm
A급	A/f+급/ncn
공격수	공격/ncn+수/xsn
두명을	두/nnc+명/nbu+을/jco
대표팀에	대표/ncn+팀/ncn+에/jca
합류시키는	합류/ncpa+시키/xsv+는/etm
등	등/nbn
비장한	비장/ncps+하/xsm+ㄴ/etm
각오로	각오/ncn+로/jca
총력전을	총력/ncn+전/xsn+을/jco
준비하고	준비/ncpa+하/xsv+고/ecx
있다고	있/px+다/ef+고/jcr
합니다.	하/pvg+ㅂ니다/ef+./sf
도쿄에서	도쿄/nq+에서/jca
정용석	정용석/nq
특파원이	특파/ncn+원/xsn+이/jcs
보내온	보내/pvg+어/ecs+오/pvg+ㄴ/etm
소식입니다.	소식/ncn+이/jp+ㅂ니다/ef+./sf
이번	이/mmd+번/nbn
8일	8/nno+일/nbu
카자흐스탄과의	카자흐스탄/nq+과/jct+의/jcm
마지막	마지막/ncn
경기를	경기/ncn+를/jco
앞두고	앞/ncn+두/pvg+고/ecx
있는	있/px+는/etm
일본은	일본/nq+은/jxc
그	그/mmd
이튿날	이튿날/ncn
있을	있/paa+을/etm
한국과	한국/nq+과/jcj
아랍에미리트와의	아랍에미리트/nq+와/jct+의/jcm
경기를	경기/ncn+를/jco
기다리지	기다리/pvg+지/ecx
않고	않/px+고/ecs
자력으로	자력/ncn+으로/jca
B조	B/f+조/ncn
2위를	2/nno+위/nbu+를/jco
확정짓기	확정/ncn+짓/ncn+기/ncn
위해	위하/pvg+어/ecs
총력전에	총력/ncn+전/xsn+에/jca
돌입했습니다.	돌입/ncpa+하/xsv+었/ep+습니다/ef+./sf
주력	주력/ncn
공격수인	공격/ncn+수/xsn+이/jp+ㄴ/etm
미우라와	미우라/nq+와/jcj
로페즈가	로페즈/nq+가/jcs
그동안	그/mmd+동안/ncn
두번	두/nnc+번/nbu
경고	경고/ncn
받아	받/pvg+아/ecs
이번	이/mmd+번/nbn
시합에	시합/ncn+에/jca
나오지	나오/pvg+지/ecx
못하자,	못하/px+자/ecs+,/sp
제2리그의	제/xp+2/nno+리그/ncn+의/jcm
A급	A/f+급/ncn
공격수인	공격/ncn+수/xsn+이/jp+ㄴ/etm
다카키와	다카키/nq+와/jcj
나까야마	나까야마/nq
두	두/nnc
선수를	선수/ncn+를/jco
새로	새로/mag
보강해서	보강/ncpa+하/xsv+어서/ecs
어제부터	어제/ncn+부터/jxc
합숙훈련에	합숙/ncn+훈련/ncn+에/jca
들어갔습니다.	들/pvg+어/ecs+가/pvg+았/ep+습니다/ef+./sf
오카다	오카다/nq
감독은	감독/ncn+은/jxc
새로	새로/mag
합류한	합류/ncpa+하/xsv+ㄴ/etm
이들	이/npp+들/xsn
두	두/nnc
선수에다가	선수/ncn+에/jca+다가/jxc
오카나와	오카나/nq+와/jcj
조오를	조오/nq+를/jco
투입해서	투입/ncpa+하/xsv+어서/ecs
모두	모두/mag
4명을	4/nnc+명/nbu+을/jco
주공격수로	주/mma+공격/ncn+수/xsn+로/jca
내세우는	내/pvg+어/ecs+세우/pvg+는/etm
전략을	전략/ncn+을/jco
세우고	세우/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
꼭	꼭/mag
이긴다는	이기/pvg+ㄴ다/ef+는/etm
각오로	각오/ncn+로/jca
연습하고	연습/ncpa+하/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
기회가	기회/ncn+가/jcs
오면	오/pvg+면/ecs
결코	결코/mag
놓치지	놓치/pvg+지/ecx
않겠습니다.	않/px+겠/ep+습니다/ef+./sf
지금	지금/mag
찾아온	찾/pvg+아/ecs+오/pvg+ㄴ/etm
곳은	곳/ncn+은/jxc
이번	이/mmd+번/nbn
경기가	경기/ncn+가/jcs
벌어질	벌어지/pvg+ㄹ/etm
도쿄	nq[도쿄/nq
국립경기장앞입니다.	국립/ncn+경기/ncn+장/xsn]nq+앞/ncn+이/jp+ㅂ니다/ef+./sf
지금	지금/ncn
시간은	시간/ncn+은/jxc
밤	밤/ncn
8시를	8/nno+시/nbu+를/jco
조금	조금/mag
지났습니다마는	지나/pvg+았/ep+습니다/ef+마는/jxf
연	연/mma
사흘째	사흘/ncn+째/xsn
이번	이/mmd+번/nbn
경기장의	경기/ncn+장/xsn+의/jcm
입장권을	입장/ncn+권/xsn+을/jco
사기	사/pvg+기/etn
위해서	위하/pvg+어서/ecs
일본	일본/nq
시민들은	시민/ncn+들/xsn+은/jxc
이렇게	이렇/pad+게/ecs
텐트를	텐트/ncn+를/jco
치고	치/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
"절대로	"/sl+절대로/mag
이길	이기/pvg+ㄹ/etm
것입니다.	것/nbn+이/jp+ㅂ니다/ef+./sf
"	"/sr
"이겨서	"/sl+이기/pvg+어서/ecs
프랑스에	프랑스/nq+에/jca
갈	가/pvg+ㄹ/etm
것입니다.	것/nbn+이/jp+ㅂ니다/ef+./sf
한국도	한국/nq+도/jxc
힘내세요.	힘/ncn+내/pvg+시/ep+에/ef+요/jxf+./sf
"	"/sr
일본과의	일본/nq+과/jct+의/jcm
마지막	마지막/ncn
경기를	경기/ncn+를/jco
치르기	치르/pvg+기/etn
위해	위하/pvg+어/ecs
카자흐스탄의	카자흐스탄/nq+의/jcm
선수들이	선수/ncn+들/xsn+이/jcs
전세기	전세/ncn+기/xsn
편으로	편/nbn+으로/jca
오늘	오늘/ncn
오후	오후/ncn
나리다공항에	나리다공항/nq+에/jca
도착했습니다.	도착/ncpa+하/xsv+었/ep+습니다/ef+./sf
카자흐스탄	카자흐스탄/nq
대표팀은	대표/ncn+팀/ncn+은/jxc
지난달	지나/pvg+ㄴ/etm+달/ncn
아랍에미리트	아랍에미리트/nq
대표팀을	대표/ncn+팀/ncn+을/jco
3대	3/nnc+대/nbn
0으로	0/nnc+으로/jca
이기는	이기/pvg+는/etm
등	등/nbn
만만치	만만/ncps+치/ecx
않은	않/px+은/etm
실력을	실력/ncn+을/jco
갖고	갖/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
저희	저희/npp
KBS는	KBS/f+는/jxc
오는	오/pvg+는/etm
8일	8/nno+일/nbu
오후	오후/ncn
6시	6/nno+시/nbu
50분부터	50/nno+분/nbu+부터/jxc
9시까지	9/nno+시/nbu+까지/jxc
이곳	이/mmd+곳/ncn
도쿄에서	도쿄/nq+에서/jca
열리는	열리/pvg+는/etm
일본과	일본/nq+과/jcj
카자흐스탄과의	카자흐스탄/nq+과/jct+의/jcm
경기를	경기/ncn+를/jco
제1텔레비젼을	제/xp+1/nno+텔레비젼/ncn+을/jco
통해서	통하/pvg+어서/ecs
중계할	중계/ncpa+하/xsv+ㄹ/etm
예정입니다.	예정/ncn+이/jp+ㅂ니다/ef+./sf
도쿄에서	도쿄/nq+에서/jca
KBS	KBS/f
뉴스,	뉴스/ncn+,/sp
정용석입니다.	정용석/nq+이/jp+ㅂ니다/ef+./sf
현장추적	현장/ncn+추적/ncn
안타까운	안타깝/paa+ㄴ/etm
119신고	119/nno+신고/ncn
이동통신수단인	이동/ncn+통신/ncn+수단/ncn+이/jp+ㄴ/etm
핸드폰의	핸드폰/ncn+의/jcm
보급이	보급/ncn+이/jcs
급격히	급격/ncn+히/xsa
늘어나면서	늘/pvg+어/ecx+나/px+면서/ecs
어디서든지	어디/npd+서/jca+든지/jxc
응급구조를	응급/ncn+구조/ncn+를/jco
요청하거나	요청/ncpa+하/xsv+거나/ecc
또	또/mag
교통사고라든지	교통/ncn+사고/ncn+라든지/jxc
화재사고	화재/ncn+사고/ncn
같은	같/paa+은/etm
것을	것/nbn+을/jco
신고하기가	신고/ncpa+하/xsv+기/etn+가/jcs
매우	매우/mag
쉬워졌습니다.	쉽/paa+어/ecx+지/px+었/ep+습니다/ef+./sf
그러나	그러나/maj
사용자의	사용/ncn+자/xsn+의/jcm
실수	실수/ncn
또	또/maj
응급구조체계의	응급/ncn+구조/ncn+체계/ncn+의/jcm
미비가	미비/ncn+가/jcs
겹쳐서	겹치/pvg+어서/ecs
안타까운	안타깝/paa+ㄴ/etm
일이	일/ncn+이/jcs
종종	종종/mag
일어나고	일어나/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
현장추적,	현장/ncn+추적/ncn+,/sp
오늘은	오늘/ncn+은/jxc
핸드폰으로	핸드폰/ncn+으로/jca
119에	119/nno+에/jca
화재신고를	화재/ncn+신고/ncn+를/jco
했지만은	하/pvg+었/ep+지만/ecs+은/jxc
제때	제때/ncn
관할	관할/ncn
소방서에	소방/ncn+서/xsn+에/jca
연결되지	연결/ncpa+되/xsv+지/ecx
않아서	않/px+아서/ecs
생긴	생기/pvg+ㄴ/etm
어처구니	어처구니/ncn
없는	없/paa+는/etm
일을	일/ncn+을/jco
취재해봤습니다.	취재/ncpa+하/xsv+어/ecx+보/px+았/ep+습니다/ef+./sf
이영현	이영현/nq
기자입니다.	기자/ncn+이/jp+ㅂ니다/ef+./sf
*1차	*/sy+1/nno+차/nbu
신고	신고/ncn
감사합니다.	감사/ncpa+하/xsv+ㅂ니다/ef+./sf
119입니다.	119/nno+이/jp+ㅂ니다/ef+./sf
여기가	여기/npd+가/jcs
서부면인데요.	서부면/nq+이/jp+ㄴ데/ef+요/jxf+./sf
거기	거기/mad
서울입니까?	서울/nq+이/jp+ㅂ니까/ef+?/sf
아니요,	아니/paa+요/jxf+,/sp
하남이요.	하남/nq+이/jp+요/jxf+./sf
02	02/nno
누르지	누르/pvg+지/ecx
말고	말/px+고/ecc
119만	119/nno+만/jxc
누르세요.	누르/pvg+시/ep+에/ef+요/jxf+./sf
시키는	시키/pvg+는/etm
대로	대로/nbn
119만	119/nno+만/jxc
눌렀지만	누르/pvg+었/ep+지만/ecs
핸드폰으로	핸드폰/ncn+으로/jca
거는	걸/pvg+는/etm
119	119/nno
화재신고는	화재/ncn+신고/ncn+는/jxc
하남소방서가	하남소방서/nq+가/jcc
아닌	아니/paa+ㄴ/etm
서울소방본부로	서울소방본부/nq+로/jca
다시	다시/mag
연결됐습니다.	연결/ncpa+되/xsv+었/ep+습니다/ef+./sf
*2차	*/sy+2/nno+차/nbu
신고	신고/ncn
여보세요	여보세요/ii
여기	여기/mad
와주세요.	오/pvg+아/ecx+주/px+시/ep+에/ef+요/jxf+./sf
어딘데요?	어디/npd+ㄴ데/ef+요/jxf+?/sf
서부	서부/nq
입구요.	입구/ncn+요/jxf+./sf
여기는	여기/npd+는/jxc
서울이예요.	서울/nq+이/jp+예/ef+요/jxf+./sf
하남시는	하남시/nq+는/jxc
하남시로	하남시/nq+로/jca
하세요.	하/pvg+시/ep+에/ef+요/jxf+./sf
*3차	*/sy+3/nno+차/nbu
신고	신고/ncn
하남	하남/nq
지역번호는	지역/ncn+번호/ncn+는/jxc
몇번입니까?	몇/mma+번/nbu+이/jp+ㅂ니까/ef+?/sf
0344-119요.	0344/nno+-/sd+119/nno+요/jxf+./sf
서울	nq[서울/nq
소방본부가	소방/ncn+본부/ncn]nq+가/jcs
알려준	알리/pvg+어/ecx+주/px+ㄴ/etm
지역번호	지역/ncn+번호/ncn
0344는	0344/nno+는/jxc
