<tdmsfile>
<tdmsfile>
지금	지금/mag
사람들도	사람/ncn+들/xsn+도/jxc
있지만	있/paa+지만/ecs
공격력으로	공격/ncn+력/xsn+으로/jca
커버할	커버/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다.	있/paa+다/ef+./sf
현재	현재/mag
그	그/mmd
정도의	정도/ncn+의/jcm
선수들도	선수/ncn+들/xsn+도/jxc
없다.	없/paa+다/ef+./sf
이외에	이/npd+외/ncn+에/jca
고종수처럼	고종수/nq+처럼/jca
패기넘치는	패기/ncn+넘치/pvg+는/etm
선수,	선수/ncn+,/sp
윤정환처럼	윤정환/nq+처럼/jca
재주있는	재주/ncn+있/paa+는/etm
선수들도	선수/ncn+들/xsn+도/jxc
필요하다.	필요/ncps+하/xsm+다/ef+./sf
대표팀	대표/ncn+팀/ncn
개편때는	개편/ncn+때/nbn+는/jxc
연령과	연령/ncn+과/jcj
경력	경력/ncn
제한없이	제한/ncn+없/paa+이/xsa
실력있는	실력/ncn+있/paa+는/etm
선수들을	선수/ncn+들/xsn+을/jco
선발하겠다.	선발/ncpa+하/xsv+겠/ep+다/ef+./sf
센터	센터/ncn
포워드,	포워드/ncn+,/sp
게임	게임/ncn
메이커,	메이커/ncn+,/sp
스토퍼	스토퍼/ncn
등은	등/nbn+은/jxc
교체	교체/ncn
인력이	인력/ncn+이/jcs
많을수록	많/paa+을수록/etm
좋다.	좋/paa+다/ef+./sf
고교생도	고교/ncn+생/xsn+도/jxc
대표팀	대표/ncn+팀/ncn
선발대상이	선발/ncn+대상/ncn+이/jcs
될	되/pvg+ㄹ/etm
수	수/nbn
있다.	있/paa+다/ef+./sf
독일	독일/nq
선수생활	선수/ncn+생활/ncn
동안	동안/ncn
스트라이커가	스트라이커/ncn+가/jcs
빠진	빠지/pvg+ㄴ/etm
상태에서도	상태/ncn+에서/jca+도/jxc
팀이	팀/ncn+이/jcs
승승장구하는	승승장구/ncps+하/xsm+는/etm
모습을	모습/ncn+을/jco
보며	보/pvg+며/ecc
이상스레	이상/ncps+스럽/xsm+이/xsa
생각한	생각/ncpa+하/xsv+ㄴ/etm
일이	일/ncn+이/jcs
있다.	있/paa+다/ef+./sf
그런	그런/mmd
팀들은	팀/ncn+들/xsn+은/jxc
예외없이	예외/ncn+없/paa+이/xsa
강팀이다.	강팀/ncn+이/jp+다/ef+./sf
그곳엔	그/mmd+곳/nbn+에/jca+ㄴ/jxc
출장의	출장/ncn+의/jcm
기회를	기회/ncn+를/jco
엿보며	엿보/pvg+며/ecc
이를	이/ncn+를/jco
갈고	갈/pvg+고/ecc
밤잠을	밤잠/ncn+을/jco
설치는	설치/pvg+는/etm
선수들이	선수/ncn+들/xsn+이/jcs
있다.	있/paa+다/ef+./sf
그들을	그/npp+들/xsn+을/jco
투입하면	투입/ncpa+하/xsv+면/ecs
스타플레이어	스타/ncn+플레이어/ncn
이상의	이상/ncn+의/jcm
역할을	역할/ncn+을/jco
해	하/pvg+어/ecx
낸다.	내/px+ㄴ다/ef+./sf
현재	현재/ncn
한국	한국/nq
대표팀도	대표/ncn+팀/ncn+도/jxc
그런	그런/mmd
수준까지	수준/ncn+까지/jxc
올라가	오르/pvg+어/ecs+가/pvg+아/ecx
있다.	있/px+다/ef+./sf
한명이	한/nnc+명/nbu+이/jcs
빠지면	빠지/pvg+면/ecs
미리	미리/mag
자신을	자신/ncn+을/jco
준비해	준비/ncpa+하/xsv+어/ecs
둔	두/pvg+ㄴ/etm
다른	다르/paa+ㄴ/etm
선수가	선수/ncn+가/jcs
그	그/mmd
일을	일/ncn+을/jco
해	하/pvg+어/ecx
낸다.	내/px+ㄴ다/ef+./sf
마지막	마지막/ncn
UAE와의	UAE/f+와/jct+의/jcm
게임은	게임/ncn+은/jxc
우리	우리/npp
자신과의	자신/ncn+과/jct+의/jcm
싸움이기도	싸움/ncn+이/jp+기/etn+도/jxc
했다.	하/pvg+었/ep+다/ef+./sf
우리는	우리/npp+는/jxc
이겼다	이기/pvg+었/ep+다/ef
우리팀은	우리/npp+팀/ncn+은/jxc
월드컵	월드컵/ncn
예선을	예선/ncn+을/jco
통해	통하/pvg+어/ecs
분명히	분명/ncn+히/xsa
강팀으로	강팀/ncn+으로/jca
성장했다.	성장/ncpa+하/xsv+었/ep+다/ef+./sf
옐친	옐친/nq
러시아	러시아/nq
대통령이	대통령/ncn+이/jcs
중국을	중국/nq+을/jco
방문했던	방문/ncpa+하/xsv+었/ep+던/etm
지난	지나/pvg+ㄴ/etm
10일	10/nno+일/nbu
AP통신사는	AP/f+통신/ncn+사/xsn+는/jxc
재미있는	재미/ncn+있/paa+는/etm
사진	사진/ncn
한	한/nnc
장을	장/nbu+을/jco
베이징(북경)발로	베이징/nq+(/sl+북경/nq+)/sr+발/xsn+로/jca
전	전/mma
세계에	세계/ncn+에/jca
전송했다.	전송/ncpa+하/xsv+었/ep+다/ef+./sf
키가	키/ncn+가/jcs
작은	작/paa+은/etm
장쩌민(강택민)	장쩌민/nq+(/sl+강택민/nq+)/sr
중국	중국/nq
국가주석이	국가/ncn+주석/ncn+이/jcs
활짝	활짝/mag
웃으며	웃/pvg+으며/ecc
옐친	옐친/nq
러시아	러시아/nq
대통령을	대통령/ncn+을/jco
온	온/mma
몸으로	몸/ncn+으로/jca
껴안은	끼/pvg+어/ecs+안/pvg+은/etm
장면의	장면/ncn+의/jcm
사진은	사진/ncn+은/jxc
다소	다소/mag
어색한	어색/ncps+하/xsm+ㄴ/etm
느낌을	느낌/ncn+을/jco
주었으나	주/pvg+었/ep+으나/ecs
전세계	전/mma+세계/ncn
많은	많/paa+은/etm
신문에	신문/ncn+에/jca
크게	크/paa+게/ecs
실렸다.	실리/pvg+었/ep+다/ef+./sf
이에	이/npd+에/jca
앞서	앞/ncn+서/pvg
지난달	지나/pvg+ㄴ/etm+달/ncn
29일	29/nno+일/nbu
미-중	미/nq+-/sd+중/nq
정상회담을	정상/ncn+회담/ncn+을/jco
마친	마치/pvg+ㄴ/etm
장쩌민	장쩌민/nq
주석은	주석/ncn+은/jxc
백악관	백악관/nq
기자회견장에서	기자/ncn+회견/ncn+장/xsn+에서/jca
톈안먼(천안문)	톈안먼/nq+(/sl+천안문/nq+)/sr
사태를	사태/ncn]nq+를/jco
놓고	놓/pvg+고/ecc
클린턴	클린턴/nq
대통령과	대통령/ncn+과/jcj
예정에	예정/ncn+에/jca
없던	없/paa+던/etm
즉석	즉석/ncn
토론을	토론/ncn+을/jco
벌였다.	벌이/pvg+었/ep+다/ef+./sf
그	그/mmd
모습은	모습/ncn+은/jxc
CNN	CNN/f
등을	등/nbn+을/jco
통해	통하/pvg+어/ecs
미국인	미국/nq+인/xsn
가정과	가정/ncn+과/jcj
전세계에	전/mma+세계/ncn+에/jca
생중계됐다.	생/xp+중계/ncpa+되/pvg+었/ep+다/ef+./sf
마오쩌둥(모택동)이나	마오쩌둥/nq+(/sl+모택동/nq+)/sr+이나/jcj
덩샤오핑(등소평)에	덩샤오핑/nq+(/sl+등소평/nq+)/sr+에/jca
비해	비하/pvg+어/ecs
'무게'가	'/sl+무게/ncn+'/sr+가/jcs
떨어지는	떨어지/pvg+는/etm
인물로	인물/ncn+로/jca
평가되던	평가/ncpa+되/xsv+던/etm
장쩌민	장쩌민/nq
주석이	주석/ncn+이/jcs
중국	중국/nq
지도자의	지도/ncn+자/xsn+의/jcm
새로운	새롭/paa+은/etm
모습을	모습/ncn+을/jco
선보이며	선/ncn+보이/pvg+며/ecc
국제무대에	국제/ncn+무대/ncn+에/jca
화려하게	화려/ncps+하/xsm+게/ecs
등장하고	등장/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
것이다.	것/nbn+이/jp+다/ef+./sf
홍콩의	홍콩/nq+의/jcm
시사	시사/ncn
주간지	주간/ncn+지/xsn
아주주간은	아주주간/nq+은/jxc
최근호에서	최근/ncn+호/ncn+에서/jca
'정력적이고	'/sl+정력/ncn+적/xsn+이/jp+고/ecc
현대감각을	현대/ncn+감각/ncn+을/jco
지닌	지니/pvg+ㄴ/etm
세련된	세련/ncn+되/xsm+ㄴ/etm
중국	중국/nq
지도자의	지도/ncn+자/xsn+의/jcm
이미지를	이미지/ncn+를/jco
처음으로	처음/ncn+으로/jca
미국인에게	미국/nq+인/xsn+에게/jca
심어주었다는	심/pvg+어/ecx+주/px+었/ep+다/ef+는/etm
점'을	점/ncn'/sr+을/jco
장주석의	장/nq+주석/ncn+의/jcm
주요	주요/ncn
방미	방미/ncn
성과로	성과/ncn+로/jca
꼽기도	꼽/pvg+기/etn+도/jxc
했다.	하/pvg+었/ep+다/ef+./sf
방문	방문/ncn
첫날	첫/mma+날/ncn
하와이	하와이/nq
와이키키	nq[와이키키/nq
해변에서의	해변/ncn]nq+에서/jca+의/jcm
갑작스런	갑작/ncn+스럽/xsm+ㄴ/etm
수영과	수영/ncn+과/jcj
마지막날	마지막/ncn+날/ncn
LA	LA/f
비행장에서	비행/ncn+장/xsn+에서/jca
뛰다시피	뛰/pvg+다시피/ecs
트랩에	트랩/ncn+에/jca
오른	오르/pvg+ㄴ/etm
것,	것/nbn+,/sp
하와이	하와이/nq
주지사	주/ncn+지사/ncn
만찬장에서	만찬/ncn+장/xsn+에서/jca
있었던	있/paa+었/ep+던/etm
즉흥기타	즉흥/ncn+기타/ncn
연주,	연주/ncn+,/sp
LA	LA/f
화교주최	화교/ncn+주최/ncn
연회에서	연회/ncn+에서/jca
무반주	무/xp+반주/ncn
경극노래를	경극/ncn+노래/ncn+를/jco
부른	부르/pvg+ㄴ/etm
것	것/nbn
등으로	등/nbn+으로/jca
장주석의	장/nq+주석/ncn+의/jcm
세련된	세련/ncn+되/xsm+ㄴ/etm
이미지를	이미지/ncn+를/jco
표현했다고	표현/ncpa+하/xsv+었/ep+다/ef+고/jxc
이	이/mmd
잡지는	잡지/ncn+는/jxc
예시했다.	예시/ncpa+하/xsv+었/ep+다/ef+./sf
이같은	이/npd+같/paa+은/etm
이미지	이미지/ncn
관리는	관리/ncn+는/jxc
상하이(상해)	상하이/nq+(/sl+상해/nq+)/sr
푸단(복단)대학의	푸단/nq+(/sl+복단/nq+)/sr+대학/ncn+의/jcm
전	전/ncn
정치학	정치/ncn+학/xsn
교수였던	교수/ncn+었/ep+던/etm
왕후닝(왕호녕)이	왕후닝/nq+(/sl+왕호녕/nq+)/sr+이/jcs
조장으로	조장/ncn+으로/jca
있는	있/paa+는/etm
당중앙	당/ncn+중앙/ncn
정책연구실의	정책/ncn+연구/ncn+실/xsn+의/jcm
정치조가	정치/ncn+조/ncn+가/jcs
맡고	맡/pvg+고/ecx
있다고	있/px+다/ef+고/ecs
아주주간은	아주주간/nq+은/jxc
보도했다.	보도/ncn+하/xsv+었/ep+다/ef+./sf
이	이/mmd
팀은	팀/ncn+은/jxc
장주석의	장/nq+주석/ncn+의/jcm
방미	방미/ncn
직전	직전/ncn
상하이에서	상하이/nq+에서/jca
수일	수/ncn+일/ncn
동안	동안/ncn
방미중	방미/ncn+중/nbn
있을	있/paa+을/etm
수	수/nbn
있는	있/paa+는/etm
여러	여러/mma
경우를	경우/ncn+를/jco
상정,	상정/ncn+,/sp
연습까지	연습/ncn+까지/jxc
했다.	하/pvg+었/ep+다/ef+./sf
장주석이	장/nq+주석/ncn+이/jcs
워싱턴	워싱턴/nq
회담	회담/ncn
이후의	이후/ncn+의/jcm
일정에서	일정/ncn+에서/jca
비행기에	비행/ncn+기/xsn+에/jca
오르내릴	오르/pvg+어/ecx+내리/px+ㄹ/etm
때	때/nbn
트랩	트랩/ncn
상단에서	상단/ncn+에서/jca
부인	부인/ncn
왕예핑(왕야평)여사의	왕예핑/nq+(/sl+왕야평/nq+)/sr+여사/ncn+의/jcm
손을	손/ncn+을/jco
맞잡고	맞잡/pvg+고/ecc
출영객들에게	출영/ncn+객/xsn+들/xsn+에게/jca
손을	손/ncn+을/jco
흔든	흔들/pvg+ㄴ/etm
것도	것/nbn+도/jxc
이	이/mmd
정치조의	정치/ncn+조/ncn+의/jcm
권유에	권유/ncn+에/jca
따른	따르/pvg+ㄴ/etm
것이다.	것/nbn+이/jp+다/ef+./sf
오인환	오인환/nq
공보처장관의	공보처/nq+장관/ncn+의/jcm
'공중파방송	'/sl+공중/ncn+파/xsn+방송/ncn
중간광고	중간/ncn+광고/ncn
허용'	허용/ncn+'/sl
발언이	발언/ncn+이/jcs
시청자들	시청/ncn+자/xsn+들/xsn+로/jca+부터/jxc
분노를	분노/ncn+를/jco
사고	사/pvg+고/ecx
있다.	있/px+다/ef+./sf
오장관은	오/nq+장관/ncn+은/jxc
11일	11/nno+일/nbu
'97한국광고대회'	'/sl+nq[97/nno+한국/nq+광고/ncn+대회/ncn]nq+'/sl
축사에서	축사/ncn+에서/jca
"내년부터	"/sl+내년/ncn+부터/jxc
공중파방송에	공중/ncn+파/xsn+방송/ncn+에/jca
중간광고를	중간/ncn+광고/ncn+를/jco
단계적으로	단계/ncn+적/xsn+으로/jca
허용하겠다"고	허용/ncpa+하/xsv+겠/ep+다/ef+"/sr+고/jcr
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
우선	우선/mag
광고주들은	광고/ncn+주/xsn+들/xsn+은/jxc
기뻐했지만,	기쁘/paa+어/ecx+하/px+지만/ecs+,/sp
시청자들은	시청/ncn+자/xsn+들/xsn+은/jxc
충격적인	충격/ncn+적/xsn+이/jp+ㄴ/etm
'시청권	'/sl+시청/ncn+권/xsn
침해'	침해/ncn+'/sr+로/jca
받아들인다.	받/pvg+아/ecx+들이/px+ㄴ다/ef+./sf
광고에	광고/ncn+에/jca
관한	관하/pvg+ㄴ/etm
한,	한/nbn+,/sp
한국	한국/nq
공중파방송의	공중/ncn+파/xsn+방송/ncn+의/jcm
최소한	최소한/ncn
미덕은	미덕/ncn+은/jxc
프로그램	프로그램/ncn
전후에만	전후/ncn+에/jca+만/jxc
광고를	광고/ncn+를/jco
내보내는	내/pvg+어/ecs+보내/pvg+는/etm
'전CM	'/sl+전/ncn+CM/f
후CM'에	후/ncn+CM/f+'/sr+에/jca
있었다.	있/paa+었/ep+다/ef+./sf
한국	한국/nq
방송매체	방송/ncn+매체/ncn
정책이	정책/ncn+이/jcs
관주도라는	관/ncn+주도/ncn+라/ef+는/etm
것을	것/nbn+을/jco
모르는	모르/pvg+는/etm
바는	바/nbn+는/jxc
아니지만,	아니/paa+지만/ecs+,/sp
프로그램	프로그램/ncn
중간중간을	중간/ncn+중간/ncn+을/jco
토막내가며	토막/ncn+내/pvg+어/ecs+가/pvg+며/ecc
짜증을	짜증/ncn+을/jco
더하는	더하/pvg+는/etm
중간광고를	중간/ncn+광고/ncn+를/jco
매체정책	매체/ncn+정책/ncn
책임자가	책임/ncn+자/xsn+가/jcs
앞장	앞장/ncn
서	서/pvg+어/ecs
터놓겠다는	트/pvg+어/ecx+놓/px+겠/ep+다/ef+는/etm
것은	것/nbn+은/jxc
'전파	'/sl+전파/ncn
주권'이	주권/ncn+'/sr+이/jcs
누구에게	누구/npp+에게/jca
있는지조차	있/paa+는지/ecs+조차/jxc
모르는	모르/paa+는/etm
구시대	구/xp+시대/ncn
발상이라는	발상/ncn+이/jp+라/ef+는/etm
비난이	비난/ncn+이/jcs
높다.	높/paa+다/ef+./sf
연세대	연세대/nq
김영석교수(언론학)는	김영석/nq+교수/ncn+(/sl+언론/ncn+학/xsn)/sr+는/jxc
"더	"/sl+더/mag
큰	크/paa+ㄴ/etm
희생을	희생/ncn+을/jco
시청자들에게	시청/ncn+자/xsn+들/xsn+에게/jca
강요하는	강요/ncpa+하/xsv+는/etm
중간광고에	중간/ncn+광고/ncn+에/jca
앞서	앞/ncn+서/pvg
방송수준을	방송/ncn+수준/ncn+을/jco
높일	높이/pvg+ㄹ/etm
방안부터	방안/ncn+부터/jxc
제시해야	제시/ncpa+하/xsv+어야/ecs
옳다"며	옳/paa+다/ef+"/sr+며/ecc
"요즘	"/sl+요즘/ncn
드라마나	드라마/ncn+나/jcj
쇼프로그램에	쇼/ncn+프로그램/ncn+에/jca
불만이	불만/ncn+이/jcs
팽배한	팽배/ncpa+하/xsv+ㄴ/etm
상태에서	상태/ncn+에서/jca
일방적으로	일방/ncn+적/xsn+으로/jca
광고주나	광고/ncn+주/xsn+나/jcj
방송사	방송/ncn+사/xsn
편을	편/ncn+을/jco
들어주는	들/pvg+어/ecx+주/px+는/etm
것은	것/nbn+은/jxc
정권말기	정권/ncn+말기/ncn
월권현상"이라고	월권/ncn+현상/ncn+"/sr+이/jp+라/ef+고/jcr
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
방송	방송/ncn
실무자들도	실무/ncn+자/xsn+들/xsn+도/jxc
황당해하고	황당/ncps+하/xsm+어/ecx+하/px+고/ecx
있다.	있/px+다/ef+./sf
YS정권과	YS/f+정권/ncn+과/jcj
운명을	운명/ncn+을/jco
함께	함께/mag
할	하/pvg+ㄹ/etm
공보처장관이	공보처/nq+장관/ncn+이/jcs
임기말에	임기/ncn+말/ncn+에/jca
너무	너무/mag
무책임하게	무/xp+책임/ncps+하/xsm+게/ecs
선심을	선심/ncn+을/jco
쓰는	쓰/pvg+는/etm
게	것/nbn+이/jcs
아니냐는	아니/paa+냐/ef+는/etm
반응이다.	반응/ncn+이/jp+다/ef+./sf
한국방송광고공사	한국방송광고공사/nq
관계자는	관계/ncn+자/xsn+는/jxc
"실무자들에게는	"/sl+실무/ncn+자/xsn+들/xsn+에게/jca+는/jxc
단	단/mag
한마디도	한/ncn+마디/ncn+도/jxc
없었다"	없/paa+었/ep+다/ef+"/sr+며/ecc
고개를	고개/ncn+를/jco
갸우뚱거렸다.	갸우뚱/mag+거리/pvg+었/ep+다/ef+./sf
공보처	공보처/nq
존폐여부도	존폐/ncn+여부/ncn+도/jxc
불확실한	불/xp+확실/ncps+하/xsm+ㄴ/etm
상황에서	상황/ncn+에서/jca
왜	왜/mag
그런	그런/mmd
발언을	발언/ncn+을/jco
했는지	하/pvg+었/ep+는지/ecs
오히려	오히려/mag
궁금해했다.	궁금/ncpa+하/xsv+어/ecx+하/px+었/ep+다/ef+./sf
"사전	"/sl+사전/ncn
준비가	준비/ncn+가/jcs
전혀	전혀/mag
없었다"고	없/paa+었/ep+다/ef+"/sr+고/jcr
그는	그/npp+는/jxc
밝혔다.	밝히/pvg+었/ep+다/ef+./sf
현재	현재/ncn
공중파	공중/ncn+파/xsn
스포츠중계와	스포츠/ncn+중계/ncn+와/jcj
케이블TV는	케이블/ncn+TV/f+는/jxc
방송법	방송/ncn+법/ncn
시행령에	시행/ncn+령/xsn+에/jca
따라	따르/pvg+아/ecs
중간	중간/ncn
광고를	광고/ncn+를/jco
할	하/pvg+ㄹ/etm
수	수/nbn
있게	있/paa+게/ecs
돼있다.	되/pvg+어/ecx+있/px+다/ef+./sf
공중파도	공중/ncn+파/xsn+도/jxc
긴	길/paa+ㄴ/etm
영화는	영화/ncn+는/jxc
1부와	1/nno+부/nbu+와/jcj
2부로	2/nno+부/nbu+로/jca
나눠	나누/pvg+어/ecs
중간에	중간/ncn+에/jca
광고를	광고/ncn+를/jco
편성하는	편성/ncpa+하/xsv+는/etm
편법을	편법/ncn+을/jco
쓴다.	쓰/pvg+ㄴ다/ef+./sf
광고주들은	광고/ncn+주/xsn+들/xsn+은/jxc
중간광고를	중간/ncn+광고/ncn+를/jco
성사시키려고	성사/ncpa+시키/xsv+려고/ecs
오래전부터	오래/mma+전/ncn+부터/jxc
청원을	청원/ncn+을/jco
계속해왔다.	계속/ncpa+하/xsv+어/ecx+오/px+았/ep+다/ef+./sf
하지만	하지만/maj
우리	우리/npp
실정은	실정/ncn+은/jxc
외국과	외국/ncn+과/jct
다르다는	다르/paa+다/ef+는/etm
게	것/nbn+이/jcs
대다수	대/xp+다수/ncn
전문가들	전문/ncn+가/xsn+들/xsn
견해다.	견해/ncn+다/ecs+./sf
공영방송	공영/ncn+방송/ncn
개념이	개념/ncn+이/jcs
강하고,	강하/paa+고/ecc+,/sp
불황속에서도	불황/ncn+속/ncn+에서/jca+도/jxc
여전히	여전/ncn+히/xsa
흑자를	흑자/ncn+를/jco
누리는	누리/pvg+는/etm
방송,	방송/ncn+,/sp
그리고	그리고/maj
무엇보다	무엇/npd+보다/jca
시청자들과	시청/ncn+자/xsn+들/xsn+과/jcj
사회기강을	사회/ncn+기강/ncn+을/jco
무서워하지	무섭/paa+어/exc+하/px+지/ecx
않는	않/px+는/etm
무소불위	무소불위/ncn
제작	제작/ncn
태도가	태도/ncn+가/jcs
그렇다.	그렇/paa+다/ef+./sf
미국반도체	미국/nq+반도/ncn+체/xsn
시장에서	시장/ncn+에서/jca
16메가	16/nnc+메가/nbu
제품	제품/ncn
대신	대신/ncn
64메가	64/nnc+메가/nbu
D램이	D/f+램/ncn+이/jcs
주력	주력/ncn
제품으로	제품/ncn+으로/jca
떠오르며	뜨/pvg+어/ecx+오르/px+며/ecc
국내	국내/ncn
반도체	반도/ncn+체/xsn
산업은	산업/ncn+은/jxc
불황의	불황/ncn+의/jcm
터널을	터널/ncn+을/jco
조금씩	조금/ncn+씩/xsn
빠져	빠지/pvg+어/ecx
나갈	나가/px+ㄹ/etm
전망이다.	전망/ncn+이/jp+다/ef+./sf
6개월	6/nnc+개월/nbu
사이	사이/ncn
3달러나	3/nnc+달러/nbu+나/jxc
떨어졌다.	떨/pvg+어/ecs+지/pvg+었/ep+다/ef+./sf
이는	이/npd+는/jxc
대만업체와	대만/nq+업체/ncn+와/jcj
미국	미국/nq
마이크로사가	마이크로/ncn+사/xsn+가/jcs
16메가	16/nnc+메가/nbu
D램의	D/f+램/ncn+의/jcm
대대적	대대/ncn+적/xsn
증산에	증산/ncn+에/jca
돌입하면서	돌입/ncpa+하/xsv+면서/ecc
공급과잉이	공급/ncn+과잉/ncn+이/jcs
심해졌기	심하/paa+어/ecx+지/px+었/ep+기/etn
때문.	때문/nbn+./sf
SSI는	SSI/f+는/jxc
지난	지나/pvg+ㄴ/etm
4월	4/nno+월/nbu
64메가	64/nnc+메가/nbu
D램의	D/f+램/ncn+의/jcm
월	월/ncn
판매량이	판매/ncn+량/xsn+이/jcs
1백만개를,	1백만/nnc+개/nbu+를/jco+,/sp
최근에는	최근/ncn+에/jca+는/jxc
2백만개를	2백만/nnc+개/nbu+를/jco
넘어섰으며,	넘/pvg+어/ecx+서/px+었/ep+으며/ecc+,/sp
금액기준으로	금액/ncn+기준/ncn+으로/jca
지난	지나/pvg+ㄴ/etm
9월	9/nno+월/nbu
이미	이미/mag
16메가	16/nnc+메가/ncn
D램을	D/f+램/ncn+을/jco
추월했다고	추월/ncpa+하/xsv+었/ep+다/ef+고/ecc
밝혔다.	밝히/pvg+었/ep+다/ef+./sf
LG반도체도	nq[LG/f+반도/ncn+체/xsn]nq+도/jxc
일본	일본/nq
히다치와	히다치/nq+와/jct
협력,	협력/ncn+,/sp
64메가	64/nnc+메가/nbu
D램	D/f+램/ncn
제품을	제품/ncn+을/jco
월	월/ncn
1백만개이상	1백만/nnc+개/nbu+이상/nbn
생산하고	생산/ncpa+하/xsv+고/ecx
있다.	있/px+다/ef+./sf
64메가	64/nnc+메가/nbu
D램은	D/f+램/ncn+은/jxc
수요에	수요/ncn+에/jca
비해	비하/pvg+어/ecs
공급이	공급/ncn+이/jcs
부족한	부족/ncps+하/xsm+ㄴ/etm
상태.	상태/ncn+./sf
64메가	64/nnc+메가/nbu
한	한/nnc
개가	개/nbu+가/jcs
16메가	16/nnc+메가/nbu
D램	D/f+램/ncn
6개와	6/nnc+개/nbu+와/jct
맞먹을	맞먹/pvg+을/etm
정도로	정도/ncn+로/jca
부가가치가	부가/ncn+가치/ncn+가/jcs
높다.	높/paa+다/ef+./sf
SSI	SSI/f
나영배	나영배/nq
전무는	전무/ncn+는/jxc
"대만-미국	"/sl+대만/nq+-/sd+미국/nq
업체는	업체/ncn+는/jxc
아직	아직/mag
64메가	64/nnc+메가/nbu
제품을	제품/ncn+을/jco
생산하지못해	생산/ncpa+하/xsv+지/ecx+못하/px+어/ecs
가격조정력을	가격/ncn+조정/ncn+력/xsn+을/jco
국내	국내/ncn
업체가	업체/ncn+가/jcs
가지고	가지/pvg+고/ecx
있는	있/px+는/etm
상태"라며	상태/ncn+"/sr+라/ef+며/ecs
"95년같은	"/sl+95/nno+년/nbn+같/paa+은/etm
초	초/mma
호황은	호황/ncn+은/jxc
누리지	누리/pvg+지/ecx
못하겠지만	못하/px+겠/ep+지만/ecs
최소한	최소한/mag
가격폭락에	가격/ncn+폭락/ncn+에/jca
따르는	따르/pvg+는/etm
쇼크는	쇼크/ncn+는/jxc
더이상	더이상/mag
없을	없/paa+을/etm
것"이라고	것/nbn+"/sr+이/jp+라/ef+고/jcr
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
"우리	"/sl+우리/npp
손으로	손/ncn+으로/jca
직접	직접/mag
멀티미디어	멀티미디어/ncn
졸업앨범을	졸업/ncn+앨범/ncn+을/jco
만들자!	만들/pvg+자/ef+!/sf
".	"/sr+./sf
중-고등학교	중/ncn+-/sd+고등/ncn+학교/ncn
학생들이	학생/ncn+들/xsn+이/jcs
두툼한	두툼하/paa+ㄴ/etm
종래의	종래/ncn+의/jcm
종이앨범을	종이/ncn+앨범/ncn+을/jco
버리고	버리/pvg+고/ecc
반짝반짝	반짝반짝/mag
빛나는	빛나/pvg+는/etm
첨단	첨단/ncn
CD롬	CD/f+롬/ncn
졸업앨범	졸업/ncn+앨범/ncn
제작에	제작/ncn+에/jca
발벗고	발/ncn+벗/pvg+고/ecc
나섰다.	나서/pvg+었/ep+다/ecs+./sf
문태고교	문태고교/nq
2학년생	2/nno+학년/nbu+생/xsn
5명은	5/nnc+명/nbu+은/jxc
최근	최근/mag
선배들의	선배/ncn+들/xsn+의/jcm
졸업기념품으로	졸업/ncn+기념/ncn+품/xsn+으로/jca
98년도	98/nno+년도/nbu
전자졸업앨범을	전자/ncn+졸업/ncn+앨범/ncn+을/jco
직접	직접/mag
만들어	만들/pvg+어/ecs
선물했다	선물/ncpa+하/xsv+었/ep+다/ef+./sf
덕수정보산업고	덕수정보산업고/nq
3학년	3/nno+학년/nbu
11반과	11/nno+반/nbu+과/jcj
산본중	산본중/nq
2학년	2/nno+학년/nbu
9반은	9/nno+반/nbu+은/jxc
각	각/mag
각	각/mag
급우앨범을	급우/ncn+앨범/ncn+을/jco
CD롬으로	CD/f+롬/ncn+으로/jca
제작했다.	제작/ncpa+하/xsv+었/ep+다/ef+./sf
'학교소개'	'/sl+학교/ncn+소개/ncn+'/sr
'우리들의	'/sr+우리/npp+들/xsn+의/jcm
추억'	추억/ncn+'/sr
'스승과의	'/sr+스승/ncn+과/jct+의/jcm
인터뷰'	인터뷰/ncn+'/sr
'나의	'/sr+나/npp+의/jcm
모습,	모습/ncn+,/sp
나의	나/npp+의/jcm
한마디'	한/nnc+마디/ncn+'/sr
'주소록'	'/sl+주소/ncn+록/xsn+'/sr
등의	등/nbn+의/jcm
내용으로	내용/ncn+으로/jca
꾸민	꾸미/pvg+ㄴ/etm
전자앨범은	전자/ncn+앨범/ncn+은/jxc
웬만한	웬만하/pad+ㄴ/etm
전문업체가	전문/ncn+업체/ncn+가/jcs
제작한	제작/ncpa+하/xsv+ㄴ/etm
CD롬	CD/f+롬/ncn
졸업앨범에	졸업/ncn+앨범/ncn+에/jca
결코	결코/mag
뒤지지	뒤지/pvg+지/ecx
않는다.	않/px+는다/ef+./sr
오히려	오히려/mag
스승과	스승/ncn+과/jcj
급우들	급우/ncn+들/xsn+의/jcm
모습을	모습/ncn+을/jco
담은	담/pvg+은/etm
풍부한	풍부/ncps+하/xsm+ㄴ/etm
동영상,	동영상/ncn+,/sp
각자의	각자/ncn+의/jcm
자필	자필/ncn
