<tdmsfile>


이곳에서는	이곳/npd+에서/jca+는/jxc
예쁘다라는	예쁘/paa+다/ef+라/ef+는/etm
뜻을	뜻/ncn+을/jco
가진	가지/pvg+ㄴ/etm
어미	어미/ncn
`-	`/sl+-/sd
ett	ett/f
`	`/sr
를	를/jco
디스크	디스크/ncn
뒤에	뒤/ncn+에/jca
붙여	붙이/pvg+어/ecs
사용한	사용/ncpa+하/xsv+ㄴ/etm
것이	것/nbn+이/jcs
널리	널리/mag
알려져	알리/pvg+어/ecx+지/px+어/ecs
,	,/sp
이제는	이제/ncn+는/jxc
디스크보다는	디스크/ncn+보다/jca+는/jxc
디스켓이라는	디스켓/ncn+이/jp+라/ef+는/etm
말을	말/ncn+을/jco
더	더/mag
많이	많/paa+이/xsa
사용하게	사용/ncpa+하/xsv+게/ecs
된	되/pvg+ㄴ/etm
것	것/nbn
같습니다	같/paa+습니다/ef
.	./sf

그래서	그래서/maj
앞으로	앞/ncn+으로/jca
이	이/mmd
책에서는	책/ncn+에서/jca+는/jxc
하드	하드/ncn
디스크는	디스크/ncn+는/jxc
디스크로	디스크/ncn+로/jca
,	,/sp
플로피	플로피/ncn
디스크는	디스크/ncn+는/jxc
디스켓으로	디스켓/ncn+으로/jca
쓰고	쓰/pvg+고/ecc
,	,/sp
둘	둘/nnc
다를	다/mag+를/jco
지칭해야	지칭/ncpa+하/xsv+어야/ecs
할	하/pvg+ㄹ/etm
때에는	때/ncn+에/jca+는/jxc
그냥	그냥/mag
디스크로	디스크/ncn+로/jca
쓰기로	쓰/pvg+기/etn+로/jca
하겠습니다	하/pvg+겠/ep+습니다/ef
.	./sf

우리가	우리/npp+가/jcs
사용하는	사용/ncpa+하/xsv+는/etm
비디오	비디오/ncn
테이프나	테이프/ncn+나/jcj
오디오	오디오/ncn
테이프에서	테이프/ncn+에서/jca
귀중한	귀중/ncps+하/xsm+ㄴ/etm
자료를	자료/ncn+를/jco
지우지	지우/pvg+지/ecx
않고	않/px+고/ecc
오랫동안	오랫동안/ncn
보관하기	보관/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecs
비디오	비디오/ncn
테이프와	테이프/ncn+와/jcj
오디오	오디오/ncn
테이프에	테이프/ncn+에/jca
있는	있/paa+는/etm
녹음	녹음/ncn
방지용	방지/ncn+용/xsn
탭을	탭/ncn+을/jco
떼어	떼/pvg+어/ecx
본	보/px+ㄴ/etm
경험이	경험/ncn+이/jcs
있을	있/paa+을/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf

컴퓨터서는	컴퓨터/ncn+서/jca+는/jxc
이와	이/npd+와/jct
반대로	반대/ncn+로/jca
디스켓에서	디스켓/ncn+에서/jca
쓰기	쓰/pvg+기/etn
방지	방지/ncn
홈에	홈/ncn+에/jca
테이프를	테이프/ncn+를/jco
붙이면	붙이/pvg+면/ecs
자료를	자료/ncn+를/jco
쓸	쓰/pvg+ㄹ/etm
수	수/nbn
없고	없/paa+고/ecc
읽기만	읽/pvg+기/etn+만/jxc
가능하게	가능/ncps+하/xsm+게/ecx
됩니다	되/pvg+ㅂ니다/ef
.	./sf

중요한	중요/ncps+하/xsm+ㄴ/etm
디스켓에는	디스켓/ncn+에/jca+는/jxc
꼭	꼭/mag
탭을	탭/ncn+을/jco
붙여	붙이/pvg+어/ecx
놓아	놓/px+아/ecs
귀중한	귀중/ncps+하/xsm+ㄴ/etm
자료를	자료/ncn+를/jco
안전하게	안전/ncps+하/xsm+게/ecx
보관하기	보관/ncpa+하/xsv+기/etn
바랍니다	바라/pvg+ㅂ니다/ef
.	./sf

읽고	읽/pvg+고/ecc
쓰는	쓰/pvg+는/etm
부분을	부분/ncn+을/jco
손으로	손/ncn+으로/jca
만지거나	만지/pvg+거나/ecc
,	,/sp
먼지가	먼지/ncn+가/jcs
들어가거나	들/pvg+어/ecx+가/px+거나/ecc
,	,/sp
음료수를	음료수/ncn+를/jco
쏟게	쏟/pvg+게/ecs
되면	되/pvg+면/ecs
디스켓이	디스켓/ncn+이/jcs
망가져	망가지/pvg+어/ecs
귀중한	귀중/ncps+하/xsm+ㄴ/etm
자료를	자료/ncn+를/jco
잃게	잃/pvg+게/ecx
되는	되/pvg+는/etm
경우도	경우/ncn+도/jxc
있으니	있/paa+으니/ecs
디스켓	디스켓/ncn
취급에	취급/ncn+에/jca
주의해야	주의/ncpa+하/xsv+어야/ecs
합니다	하/pvg+ㅂ니다/ef
.	./sf

또	또/maj
자석을	자석/ncn+을/jco
가까이하면	가까이/ncpa+하/xsv+면/ecs
철가루의	철가루/ncn+의/jcm
배열이	배열/ncn+이/jcs
흩어져서	흩/pvg+어/ecx+지/px+어서/ecs
자료를	자료/ncn+를/jco
잃게	잃/pvg+게/ecx
되는	되/pvg+는/etm
수도	수/nbn+도/jxc
있습니다	있/paa+습니다/ef
.	./sf

특히	특히/mag
지하철을	지하철/ncn+을/jco
자주	자주/mag
탈	타/pvg+ㄹ/etm
경우	경우/ncn
지하철	지하철/ncn
두	두/nno
번째	번째/nbu
칸처럼	칸/ncn+처럼/jca
지하철	지하철/ncn
천정에	천정/ncn+에/jca
동력이	동력/ncn+이/jcs
연결되어	연결/ncpa+되/xsv+어/ecx
있는	있/px+는/etm
칸은	칸/ncn+은/jxc
25	25/nnc
,	,/sp
000	000/nnc
볼트의	볼트/nbu+의/jcm
높은	높/paa+은/etm
전압이	전압/ncn+이/jcs
흐르기	흐르/pvg+기/etn
때문에	때문/nbn+에/jca
디스켓의	디스켓/ncn+의/jcm
자료가	자료/ncn+가/jcs
망가지는	망가지/pvg+는/etm
경우도	경우/ncn+도/jxc
있으므로	있/paa+으므로/ecs
,	,/sp
그	그/mmd
칸에는	칸/ncn+에/jca+는/jxc
타지	타/pvg+지/ecx
않도록	않/px+도록/ecs
주의해야	주의/ncpa+하/xsv+어야/ecs
합니다	하/pvg+ㅂ니다/ef
.	./sf

지하철을	지하철/ncn+을/jco
자주	자주/mag
타는	타/pvg+는/etm
경우에는	경우/ncn+에/jca+는/jxc
음식을	음식/ncn+을/jco
요리할	요리/ncpa+하/xsv+ㄹ/etm
때	때/ncn
사용하는	사용/ncpa+하/xsv+는/etm
쿠킹	쿠킹/ncn
호일로	호일/ncn+로/jca
디스켓을	디스켓/ncn+을/jco
싸가지고	싸/pvg+아/ecx+가지/px+고/ecc
다니면	다니/pvg+면/ecs
정전기	정전기/ncn
차폐의	차폐/ncn+의/jcm
효과가	효과/ncn+가/jcs
있어	있/paa+어/ecs
디스켓은	디스켓/ncn+은/jxc
자료를	자료/ncn+를/jco
잃지	잃/pvg+지/ecx
않고	않/px+고/ecc
안전하게	안전/ncpa+하/xsv+게/ecx
사용할	사용/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf

손을	손/ncn+을/jco
움직이기가	움직이/pvg+기/etn+가/jcs
조금	조금/mag
힘든	힘/ncn+들/pvg+ㄴ/etm
분들을	분/nbn+들/xsn+을/jco
위하여	위하/pvg+여/ecs
,	,/sp
그리고	그리고/maj
글자판을	글자/ncn+판/ncn+을/jco
열	열/nnc
손가락으로	손가락/ncn+으로/jca
두드리는	두드리/pvg+는/etm
것에	것/nbn+에/jca
대해서	대하/pvg+어서/ecs
심한	심하/paa+ㄴ/etm
거부감을	거부/ncn+감/xsn+을/jco
느끼는	느끼/pvg+는/etm
분들을	분/nbn+들/xsn+을/jco
위하여	위하/pvg+여/ecs
마우스라는	마우스/ncn+라/ef+는/etm
좀더	좀더/mag
간편한	간편/ncps+하/xsm+ㄴ/etm
입력	입력/ncn
장치도	장치/ncn+도/jxc
있기는	있/paa+기/etn+는/jxc
합니다	하/pvg+ㅂ니다/ef
.	./sf

그러나	그러나/maj
아무래도	아무렇/pad+어도/ecs
당분간	당분간/mag
글자판은	글자/ncn+판/ncn+은/jxc
입력	입력/ncn
장치들의	장치/ncn+들/xsn+의/jcm
대표	대표/ncn
선수로	선수/ncn+로/jca
계속	계속/mag
남아	남/pvg+아/ecx
있을	있/px+을/etm
듯합니다	듯하/px+ㅂ니다/ef
.	./sf

혹은	혹은/maj
더	더/mag
먼	멀/paa+ㄴ/etm
미래에는	미래/ncn+에/jca+는/jxc
마음에서	마음/ncn+에서/jca
마음으로	마음/ncn+으로/jca
통하듯	통하/pvg+듯/ecs
인간이	인간/ncn+이/jcs
기계에	기계/ncn+에/jca
마음으로	마음/ncn+으로/jca
명령할지도	명령/ncpa+하/xsv+ㄹ지도/ecs
모릅니다	모르/pvg+ㅂ니다/ef
.	./sf

모니터에	모니터/ncn+에/jca
대해서	대하/pvg+어서/ecs
간략하게	간략/ncps+하/xsm+게/ecs
알아볼까요	알/pvg+아/ecx+보/px+ㄹ까/ef+요/jxf
.	./sf

색상에	색상/ncn+에/jca
따라	따르/pvg+아/ecs
단색	단색/ncn
모니터와	모니터/ncn+와/jcj
컬러	컬러/ncn
모니터로	모니터/ncn+로/jca
나눌	나누/pvg+ㄹ/etm
수	수/nbn
있지요	있/paa+지/ef+요/jxf
.	./sf

모니터가	모니터/ncn+가/jcs
기능을	기능/ncn+을/jco
발휘하려면	발휘/ncpa+하/xsv+려면/ecs
,	,/sp
우선	우선/mag
모니터를	모니터/ncn+를/jco
지원하는	지원/ncpa+하/xsv+는/etm
그래픽	그래픽/ncn
카드	카드/ncn
(	(/sl
Graphic	Graphic/f
Card	Card/f
)	)/sr
를	를/jco
잘	잘/mag
선택해야	선택/ncpa+하/xsv+어야/ecs
합니다	하/pvg+ㅂ니다/ef
.	./sf

일명	일명/ncn
`	`/sl
디스플레이	디스플레이/ncn
어댑터	어댑터/ncn
(	(/sl
Display	Display/f
Adapter	Adapter/f
)`	)/sr+`/sr
라고도	라/ef+고/jcr+도/jxc
불리는	불리/pvg+는/etm
그래픽	그래픽/ncn
카드는	카드/ncn+는/jxc
마더보드의	마더보드/ncn+의/jcm
슬롯에	슬롯/ncn+에/jca
설치하여	설치/ncpa+하/xsv+여/ecs
모니터와	모니터/ncn+와/jcj
중앙	중앙/ncn
처리	처리/ncn
장치	장치/ncn
사이를	사이/ncn+를/jco
연결해	연결/ncpa+하/xsv+어/ecx
줍니다	주/px+ㅂ니다/ef
.	./sf

현재	현재/mag
사용되고	사용/ncpa+되/xsv+고/ecx
있는	있/px+는/etm
그래픽	그래픽/ncn
카드로는	카드/ncn+로/jca+는/jxc
,	,/sp
최초로	최초/ncn+로/jca
개발된	개발/ncpa+되/xsv+ㄴ/etm
단색	단색/ncn
턱스트	턱스트/ncn
전용의	전용/ncn+의/jcm
MDA	MDA/f
(	(/sl
Monochrome	Monochrome/f
Disply	Disply/f
Adapter	Adapter/f
),	)/sr+,/sp
고해상도로	고/xp+해상/ncn+도/xsn+로/jca
단색	단색/ncn
텍스트는	텍스트/ncn+는/jxc
물론	물론/mag
그래픽을	그래픽/ncn+을/jco
지원하는	지원/ncpa+하/xsv+는/etm
HGC	HGC/f
(	(/sl
Hercules	Hercules/f
Graphic	Graphic/f
Card	Card/f
),	)/sr+,/sp
MDA	MDA/f
를	를/jco
보완	보완/ncpa
하여	하/xsv+여/ecs
텍스트	텍스트/ncn
모드와	모드/ncn+와/jcj
그래픽	그래픽/ncn
모드를	모드/ncn+를/jco
지원하며	지원/ncpa+하/xsv+며/ecc
16	16/nnc
가지의	가지/nbu+의/jcm
색	색/ncn
가운데에서	가운데/ncn+에서/jca
두	두/nnc
가지나	가지/nbu+나/jcj
네	네/nnc
가지의	가지/ncn+의/jcm
색을	색/ncn+을/jco
선택하여	선택/ncpa+하/xsv+여/ecs
초보적인	초보/ncn+적/xsn+이/jp+ㄴ/etm
컬러	컬러/ncn
시대를	시대/ncn+를/jco
열었던	열/pvg+었/ep+던/etm
CGA	CGA/f
(	(/sl
Golor	Golor/f
Graphic	Graphic/f
Adapter	Adapter/f
),	)/sr+,/sp
기존의	기존/ncn+의/jcm
어댑터가	어댑터/ncn+가/jcs
가진	가지/pvg+ㄴ/etm
특성을	특성/ncn+을/jco
모두	모두/mag
지니면서	지니/pvg+면서/ecs
64	64/nnc
가지의	가지/nbu+의/jcm
색	색/ncn
가운데에서	가운데/ncn+에서/jca
16	16/nnc
가지의	가지/nbu+의/jcm
색을	색/ncn+을/jco
화면에	화면/ncn+에/jca
나타내며	나타내/pvg+며/ecs
본격적인	본격/ncn+적/xsn+이/jp+ㄴ/etm
컬러	컬러/ncn
그래픽	그래픽/ncn
시대를	시대/ncn+를/jco
연	열/pvg+ㄴ/etm
EGA	EGA/f
(	(/sl
Enhanced	Enhanced/f
Graphic	Graphic/f
Adapter	Adapter/f
),	)/sr+,/sp
256	256/nnc
가지의	가지/nbu+의/jcm
색상을	색상/ncn+을/jco
지원하며	지원/ncpa+하/xsv+며/ecc
어떤	어떤/mmd
종류의	종류/ncn+의/jcm
모니터와도	모니터/ncn+와/jct+도/jxc
연결이	연결/ncn+이/jcs
가능한	가능/ncps+하/xsm+ㄴ/etm
고해상도의	고/xp+해상/ncn+도/xsn+의/jcm
VGA	VGA/f
(	(/sl
Video	Video/f
Graphic	Graphic/f
Adapter	Adapter/f
)	)/sr
등이	등/nbn+이/jcs
있습니다	있/paa+습니다/ef
.	./sf

알아두면	알/pvg+아/ecx+두/px+면/ecs
좋지요	좋/paa+지/ef+요/jxf
얼마	얼마/mag
전에	전/ncn+에/jca
들은	듣/pvg+은/etm
이야기인데요	이야기/ncn+이/jp+ㄴ데/ecs+요/jxf
.	./sf

컴퓨터를	컴퓨터/ncn+를/jco
구입하려는	구입/ncpa+하/xsv+려는/etm
사람이	사람/ncn+이/jcs
모회사에서	모/mma+회사/ncn+에서/jca
컴퓨터를	컴퓨터/ncn+를/jco
다른	다르/paa+ㄴ/etm
회사보다	회사/ncn+보다/jca
훨씬	훨씬/mag
싼	싸/paa+ㄴ/etm
가격으로	가격/ncn+으로/jca
판다고	팔/pvg+ㄴ다/ef+고/jcr
신문에	신문/ncn+에/jca
광고해	광고/ncpa+하/xsv+어/ecx
놓은	놓/px+은/etm
것을	것/nbn+을/jco
보고	보/pvg+고/ecc
거기에	거기/npd+에/jca
나와	나오/pvg+아/ecx
있는	있/px+는/etm
금액대로	금액/ncn+대로/jca
돈을	돈/ncn+을/jco
가지고	가지/pvg+고/ecc
매장으로	매장/ncn+으로/jca
갔답니다	가/pvg+았/ep+다/ef+ㅂ니다/ef
.	./sf

그리고	그리고/maj
그	그/mmd
돈을	돈/ncn+을/jco
내놓으니까	내/pvg+어/ecs+놓/pvg+으니까/ecs
,	,/sp
컴퓨터를	컴퓨터/ncn+를/jco
주긴	주/pvg+기/etn+ㄴ/jxc
주는데	주/pvg+는데/ecs
키보드와	키보드/ncn+와/jcj
모니터는	모니터/ncn+는/jxc
빼고	빼/pvg+고/ecc
달랑	달랑/mag
본체만	본체/ncn+만/jxc
주더랍니다	주/pvg+더/ep+라/ef+ㅂ니다/ef
.	./sf

그래서	그래서/maj
신문	신문/ncn
광고와	광고/ncn+와/jct
다르다고	다르/paa+다/ef+고/jcr
항의를	항의/ncn+를/jco
하니	하/pvg+니/ecs
,	,/sp
판매원이	판매/ncn+원/xsn+이/jcs
다시	다시/mag
그	그/mmd
신문을	신문/ncn+을/jco
주면서	주/pvg+면서/ecs
자세히	자세/ncn+히/xsa
보라고	보/pvg+라/ef+고/jcr
했답니다	하/pvg+었/ep+다/ef+ㅂ니다/ef
.	./sf

그래서	그래서/maj
다시	다시/mag
자세히	자세/ncn+히/xsa
보니	보/pvg+니/ecs
가격	가격/ncn
옆의	옆/ncn+의/jcm
괄호	괄호/ncn
안에	안/ncn+에/jca
`	`/sl
모니터	모니터/ncn
,	,/sp
키보드	키보드/ncn
별매	별매/ncn
,	,/sp
부가세	부가세/ncn
별도	별도/ncn
`	`/sr
라고	라고/jcr
쓰여	쓰이/pvg+어/ecx
있었답니다	있/px+었/ep+다/ef+ㅂ니다/ef
.	./sf

자세히	자세/ncn+히/xsa
안	안/mag
본	보/pvg+ㄴ/etm
것이	것/nbn+이/jcs
잘못인지	잘못/ncn+이/jp+ㄴ지/ecs
,	,/sp
아니면	아니/paa+면/ecs
컴퓨터라고	컴퓨터/ncn+라고/jcr
하면	하/pvg+면/ecs
당연히	당연/ncn+히/xsa
모니터와	모니터/ncn+와/jcj
키보드가	키보드/ncn+가/jcs
포함되어	포함/ncpa+되/xsv+어/ecx
있을	있/px+을/etm
것이라고	것/nbn+이/jp+라/ef+고/jcr
생각한	생각/ncpa+하/xsv+ㄴ/etm
것이	것/nbn+이/jcs
잘못인지	잘못/ncn+이/jp+ㄴ지/ecs
,	,/sp
아무튼	아무튼/mag
그냥	그냥/mag
돌아올	돌/pvg+아/ecs+오/pvg+ㄹ/etm
수밖에	수/nbn+밖에/jxc
없었다는	없/paa+었/ep+다/ef+는/etm
이야기를	이야기/ncn+를/jco
들었습니다	들/pvg+었/ep+습니다/ef
.	./sf

가격	가격/ncn
옆에	옆/ncn+에/jca
괄호가	괄호/ncn+가/jcs
있나	있/paa+나/ecs
없나	없/paa+나/ecs
말입니다	말/ncn+이/jp+ㅂ니다/ef
.	./sf

프린터는	프린터/ncn+는/jxc
나중에	나중/ncn+에/jca
구입한다는	구입/ncpa+하/xsv+ㄴ다/ef+는/etm
사람들이	사람/ncn+들/xsn+이/jcs
적지	적/pvg+지/ecx
않은데	않/px+은데/ecs
,	,/sp
분명히	분명/ncn+히/xsa
그릇된	그릇/mag+되/pvg+ㄴ/etm
생각입니다	생각/ncn+이/jp+ㅂ니다/ef
.	./sf

우리가	우리/npp+가/jcs
컴퓨터를	컴퓨터/ncn+를/jco
사용하여	사용/ncpa+하/xsv+여/ecs
작업을	작업/ncn+을/jco
한다는	하/pvg+ㄴ다/ef+는/etm
것은	것/nbn+은/jxc
프린터로	프린터/ncn+로/jca
무엇인가	무엇/npd+이/jp+ㄴ가/ef
의미	의미/ncn
있는	있/pvg+는/etm
결과를	결과/ncn+를/jco
찍어내기	찍/pvg+어/ecx+내/px+기/etn
위한	위하/pvg+ㄴ/etm
것이라고	것/nbn+이/jp+라/ef+고/jcr
확신합니다	확신/ncpa+하/xsv+ㅂ니다/ef
.	./sf

다양한	다양/ncps+하/xsm+ㄴ/etm
컴퓨터의	컴퓨터/ncn+의/jcm
기능을	기능/ncn+을/jco
만끽하려면	만끽/ncpa+하/xsv+려면/ecs
프린터라는	프린터/ncn+라/ef+는/etm
출력	출력/ncn
장치를	장치/ncn+를/jco
꼭	꼭/mag
갖추어야	갖추/pvg+어야/ecs
합니다	하/pvg+ㅂ니다/ef
.	./sf

프린터는	프린터/ncn+는/jxc
인쇄	인쇄/ncn
방식에	방식/ncn+에/jca
따라	따르/pvg+아/ecs
`	`/sl
도트	도트/ncn
매트릭스	매트릭스/ncn
프린터	프린터/ncn
(	(/sl
Dot	Dot/f
Matrix	Matrix/f
printr	printr/f
)`	)/sr+`/sr
와	와/jcj
`	`/sl
레이저	레이저/ncn
프린터	프린터/ncn
(	(/sl
Laser	Laser/f
Beam	Beam/f
Printer	Printer/f
)`	)/sr+`/sr
가	가/jcs
있습니다	있/paa+습니다/ef
.	./sf

도트	도트/ncn
매트릭스	매트릭스/ncn
프린터는	프린터/ncn+는/jxc
,	,/sp
프린터의	프린터/ncn+의/jcm
헤드	헤드/ncn
(	(/sl
Head	Head/f
)	)/sr
에	에/jca
있는	있/paa+는/etm
여러	여러/mma
개의	개/nbu+의/jcm
핀	핀/ncn
(	(/sl
Pin	Pin/f
)	)/sr
이	이/jcs
잉크가	잉크/ncn+가/jcs
묻어	묻/pvg+어/ecx
있는	있/px+는/etm
헝겊	헝겊/ncn
리본을	리본/ncn+을/jco
점을	점/ncn+을/jco
찍듯	찍/pvg+듯/ecs
두들겨서	두들기/pvg+어서/ecs
인쇄하는	인쇄/ncpa+하/xsv+는/etm
방식을	방식/ncn+을/jco
취합니다	취하/pvg+ㅂ니다/ef
.	./sf

그러나	그러나/maj
꽤	꽤/mag
시끄러운	시끄럽/paa+ㄴ/etm
소음이	소음/ncn+이/jcs
있고	있/paa+고/ecc
,	,/sp
레이저	레이저/ncn
프린터에	프린터/ncn+에/jca
비해	비하/pvg+어/ecc
인쇄	인쇄/ncn
상태가	상태/ncn+가/jcs
거칠어	거칠/paa+어/ecc
그림	그림/ncn
등을	등/nbn+을/jco
출력할	출력/ncpa+하/xsv+ㄹ/etm
경우에는	경우/ncn+에/jca+는/jxc
적당하지	적당/ncps+하/xsm+지/ecx
않습니다	않/px+습니다/ef
.	./sf

현재는	현재/ncn+는/jxc
24	24/nnc
핀	핀/ncn
프린터가	프린터/ncn+가/jcs
많이	많/paa+이/xsa
사용되고	사용/ncpa+되/xsv+고/ecx
있으며	있/px+으며/ecs
,	,/sp
또	또/maj
가로로	가로/ncn+로/jca
찍을	찍/pvg+을/etm
수	수/nbn
있는	있/paa+는/etm
문자의	문자/ncn+의/jcm
수에	수/ncn+에/jca
따라	따르/pvg+아/ecs
80	80/nnc
컬럼	컬럼/nbu
(	(/sl
Column	Column/f
)	)/sr
과	과/jcj
136	136/nnc
칼럼	칼럼/nbu
(	(/sl
Column	Column/f
)	)/sr
으로	으로/jca
나누어집니다	나누/pvg+어/ecx+지/px+ㅂ니다/ef
.	./sf

레이저	레이저/ncn
프린터는	프린터/ncn+는/jxc
레이저	레이저/ncn
빔을	빔/ncn+을/jco
이용하여	이용/ncpa+하/xsv+여/ecs
복사기와	복사/ncn+기/xsn+와/jct
같은	같/paa+은/etm
원리로	원리/ncn+로/jca
인쇄를	인쇄/ncn+를/jco
합니다	하/pvg+ㅂ니다/ef
.	./sf

소음이	소음/ncn+이/jcs
적고	적/paa+고/ecx
인쇄	인쇄/ncn
결과가	결과/ncn+가/jcs
매우	매우/mag
선명하여	선명/ncps+하/xsm+여/ecs
그림	그림/ncn
역시	역시/mag
사진처럼	사진/ncn+처럼/jca
정교하게	정교/ncps+하/xsm+게/ecs
출력시켜	출력/ncpa+시키/xsv+어/ecx
줍니다	주/px+ㅂ니다/ef
.	./sf

그러나	그러나/maj
가격이	가격/ncn+이/jcs
비싼	비싸/paa+ㄴ/etm
단점이	단점/ncn+이/jcs
있어	있/paa+어/ecs
주로	주로/mag
전문적인	전문/ncn+적/xsn+이/jp+ㄴ/etm
분야	분야/ncn
,	,/sp
예를	예/ncn+를/jco
들어	들/pvg+어/ecs
전자	전자/ncn
출판	출판/ncn
등에	등/nbn+에/jca
많이	많/paa+이/xsa
사용되고	사용/ncpa+되/xsv+고/ecx
있습니다	있/px+습니다/ef
.	./sf

이것들은	이것/npd+들/xsn+은/jxc
도트	도트/ncn
매트릭스	매트릭스/ncn
프린터와	프린터/ncn+와/jct
비슷한	비슷/ncps+하/xsm+ㄴ/etm
가격으로	가격/ncn+으로/jca
레이저	레이저/ncn
프린터	프린터/ncn
비슷한	비슷/ncps+하/xsm+ㄴ/etm
해상도의	해상/ncn+도/xsn+의/jcm
출력을	출력/ncn+을/jco
얻을	얻/pvg+을/etm
수	수/ncn
있는	있/paa+는/etm
장점이	장점/ncn+이/jcs
있어	있/paa+어/ecs
많이	많/paa+이/xsa
보급되고	보급/ncpa+되/xsv+고/ecx
있습니다	있/px+습니다/ef
.	./sf

마우스는	마우스/ncn+는/jxc
두	두/nnc
개의	개/nbu+의/jcm
버튼이	버튼/ncn+이/jcs
붙어	붙/pvg+어/ecx
있는	있/px+는/etm
것과	것/nbn+과/jct
세	세/nnc
개의	개/nbu+의/jcm
버튼이	버튼/ncn+이/jcs
붙어	붙/pvg+어/ecx
있는	있/px+는/etm
것	것/nbn
두	두/nnc
종류가	종류/ncn+가/jcs
있으나	있/paa+으나/ecs
기능상	기능/ncn+상/xsn
별차이가	별/mma+차이/ncn+가/jcs
없습니다	없/paa+습니다/ef
.	./sf

볼	볼/ncn
마우스는	마우스/ncn+는/jxc
어떤	어떤/mmd
장소에서나	장소/ncn+에서/jca+나/jxc
사용할	사용/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있지만	있/paa+지만/ecs
,	,/sp
광학	광학/ncn
마우스는	마우스/ncn+는/jxc
특별히	특별/ncn+히/xsa
제작된	제작/ncpa+되/xsv+ㄴ/etm
판이	판/ncn+이/jcs
있어야	있/paa+어야/ecs
사용할	사용/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf

마우스는	마우스/ncn+는/jxc
비교적	비교/ncn+적/xsn
최근에	최근/ncn+에/jca
등장한	등장/ncpa+하/xsv+ㄴ/etm
입력	입력/ncn
장치이므로	장치/ncn+이/jp+므로/ecs
기존의	기존/ncn+의/jcm
소프트웨어	소프트웨어/ncn
가운데는	가운데/ncn+는/jxc
마우스를	마우스/ncn+를/jco
지원하지	지원/ncpa+하/xsv+지/ecx
않는	않/px+는/etm
것들이	것/nbn+들/xsn+이/jcs
있습니다	있/paa+습니다/ef
.	./sf

모뎀	모뎀/ncn
(	(/sl
Modem	Modem/f
)	)/sr
마우스	마우스/ncn
이상으로	이상/ncn+으로/jca
많이	많/paa+이/xsa
사용되고	사용/ncpa+되/xsv+고/ecx
있는	있/px+는/etm
`	`/sl
모뎀	모뎀/ncn
(	(/sl
Modem	Modem/f
)`	)/sr+`/sl
은	은/jxc
통신을	통신/ncn+을/jco
위하여	위하/pvg+여/ecs
꼭	꼭/mag
필요한	필요/ncps+하/xsm+ㄴ/etm
주변기기입니다	주변/ncn+기기/ncn+이/jp+ㅂ니다/ef
.	./sf

또한	또한/maj
모뎀은	모뎀/ncn+은/jxc
정보화	정보/ncn+화/xsn
시대에	시대/ncn+에/jca
가장	가장/mag
주목받는	주목/ncn+받/pvg+는/etm
주변	주변/ncn
기기라고	기기/ncn+라고/jcr
할	하/pvg+ㄹ/etm
수	수/nbn
있는데	있/paa+는데/ecs
,	,/sp
자세한	자세/ncps+하/xsm+ㄴ/etm
설명은	설명/ncn+은/jxc
뒤에서	뒤/ncn+에서/jca
다시	다시/mag
하겠습니다	하/pvg+겠/ep+습니다/ef
.	./sf

얼마	얼마/mag
전까지만	전/ncn+까지/jxc+만/jca
하더라도	하/pvg+더라도/ecs
가격이	가격/ncn+이/jcs
너무	너무/mag
비쌌기	비싸/paa+았/ep+기/etn
때문에	때문/nbn+에/jca
스캐너가	스캐너/ncn+가/jcs
많이	많/paa+이/xsa
사용되지	사용/ncpa+되/xsv+지/ecx
못했습니다	못하/px+었/ep+습니다/ef
.	./sf

그러나	그러나/maj
최근에는	최근/ncn+에/jca+는/jxc
가격도	가격/ncn+도/jxc
저렴하고	저렴/ncps+하/xsm+고/ecc
사용하기도	사용/ncpa+하/xsv+기/etn+도/jxc
편리한	편리/ncps+하/xsm+ㄴ/etm
스캐너들이	스캐너/ncn+들/xsn+이/jcs
많이	많/paa+이/xsa
개발되어서	개발/ncpa+되/xsv+어서/ecs
점차	점차/mag
대중화	대중/ncpa+화/xsn
되고	되/xsv+고/ecx
있는	있/px+는/etm
추세입니다	추세/ncn+이/jp+ㅂ니다/ef
.	./sf

라이트	라이트/ncn
펜은	펜/ncn+은/jxc
볼펜	볼펜/ncn
모양의	모양/ncn+의/jcm
입력	입력/ncn
장치로서	장치/ncn+로서/jca
,	,/sp
모니터에	모니터/ncn+에/jca
대고	대/pvg+고/ecc
점을	점/ncn+을/jco
찍건	찍/pvg+건/ecc
그림을	그림/ncn+을/jco
그리면	그리/pvg+면/ecs
그대로	그대로/mag
화면에	화면/ncn+에/jca
입력되면	입력/ncpa+되/xsv+면/ecs
특수	특수/ncn
입력	입력/ncn
장치입니다	장치/ncn+이/jp+ㅂ니다/ef
.	./sf

태블렛은	태블렛/ncn+은/jxc
한자나	한자/ncn+나/jcj
특수	특수/ncn
문자	문자/ncn
,	,/sp
기호	기호/ncn
