<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0146.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0146.txt </filename>
<title>정보화사회와 글로벌도시  </title>
<author>원제무, 박용훈 공저  </author>
<date> 1993 </date>
<publisher>박영사  </publisher>
<kdc>331.541  </kdc>
<ddc> 303.483 </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
국제환경	국제/ncn+환경/ncn
지금은	지금/ncn+은/jxc
오락용	오락/ncn+용/xsn
기기에	기기/ncn+에/jca
주로	주로/mag
응용되어	응용/ncpa+되/xsv+어/ecx
사용되고	사용/ncpa+되/xsv+고/ecx
있다	있/px+다/ef
.	./sf
VR	VR/f
을	을/jco
이용한	이용/ncpa+하/xsv+ㄴ/etm
오락기는	오락/ncn+기/xsn+는/jxc
컴퓨터화면에	컴퓨터/ncn+화면/ncn+에/jca
나타나는	나타나/pvg+는/etm
적	적/ncn
전투기를	전투/ncn+기/xsn+를/jco
쏘아대는	쏘/pvg+아/ecx+대/px+는/etm
평면적인	평면/ncn+적/xsn+이/jp+ㄴ/etm
전자오락기가	전자/ncn+오락/ncn+기/xsn+가/jcc
아니라	아니/paa+라/ecs
3	3/nnc
차원을	차원/ncn+을/jco
체험할	체험/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
고감도	고/xp+감도/ncn
오락기가	오락/ncn+기/xsn+가/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
오락을	오락/ncn+을/jco
하는	하/pvg+는/etm
당사자는	당사/ncn+자/xsn+는/jxc
마치	마치/mag
자신이	자신/ncn+이/jcs
전투기를	전투/ncn+기/xsn+를/jco
타고	타/pvg+고/ecc
실제	실제/ncn
조종하는	조종/ncpa+하/xsv+는/etm
것과	것/nbn+과/jct
같은	같/paa+은/etm
체험을	체험/ncn+을/jco
하며	하/pvg+며/ecc
,	,/sp
스포츠카를	스포츠카/ncn+를/jco
타고	타/pvg+고/ecc
실제	실제/ncn
레이스에	레이스/ncn+에/jca
참가하는	참가/ncpa+하/xsv+는/etm
착각을	착각/ncn+을/jco
하게	하/pvg+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
그런데	그런데/maj
이러한	이러하/pad+ㄴ/etm
인공현실기법은	인공/ncn+현실/ncn+기법/ncn+은/jxc
오락실의	오락/ncn+실/xsn+의/jcm
인기게임이므로	인기/ncn+게임/ncn+이므로/ecs
끝나는	끝/ncn+나/pvg+는/etm
것이	것/nbn+이/jcc
아니라	아니/paa+라/ecs
레저단지의	레저/ncn+단지/ncn+의/jcm
혁신상품으로	혁신/ncn+상품/ncn+으로/jca
발전할	발전/ncpa+하/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
보인다	보이/pvg+ㄴ다/ef
.	./sf
도시생활에서	도시/ncn+생활/ncn+에서/jca
맛보지	맛보/pvg+지/ecx
못한	못하/px+ㄴ/etm
바다나	바다/ncn+나/jcj
설산에서의	설산/ncn+에서/jca+의/jca
경험에서부터	경험/ncn+에서/jca+부터/jca
우주공간에	우주/ncn+공간/ncn+에/jca
대한	대하/pvg+ㄴ/etm
체험에	체험/ncn+에/jca
이르기까지	이르/pvg+기/etn+까지/jxc
이	이/mmd
시설들은	시설/ncn+들/xsn+은/jxc
새로운	새롭/paa+ㄴ/etm
체험을	체험/ncn+을/jco
제공해	제공/ncpa+하/xsv+어/ecs
준다	주/pvg+ㄴ다/ef
.	./sf
자신의	자신/ncn+의/jcm
집에서	집/ncn+에서/jca
도시외곽에	도시/ncn+외곽/ncn+에/jca
있는	있/paa+는/etm
레저단지까지	레저/ncn+단지/ncn+까지/jxc
전철로	전철/ncn+로/jca
30	30/nnc
분만	분/nbn+만/jxc
가면	가/pvg+면/ecs
사람들은	사람/ncn+들/xsn+은/jxc
태평양의	태평양/nq+의/jcm
한	한/nnc
가운데서	가운데/ncn+서/jca
15	15/nnc
미터가	미터/ncn+가/jcs
넘는	넘/pvg+는/etm
파도	파도/ncn
위에서	위/ncn+에서/jca
공포와	공포/ncn+와/jcj
스릴을	스릴/ncn+을/jco
맛볼	맛보/pvg+ㄹ/etm
수	수/nbn
있고	있/paa+고/ecc
에베레스트의	에베레스트/nq+의/jcm
눈	눈/ncn
위에서	위/ncn+에서/jca
추위와	추위/ncn+와/jcj
고소공포를	고소/ncn+공포/ncn+를/jco
체험할	체험/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
이뿐	이/npd+뿐/nbn
아니라	아니/paa+라/ecs
스페이스월드로	스페이스월드/ncn+로/jca
들어가면	들/pvg+어/ecs+가/pvg+면/ecs
로케트를	로케트/ncn+를/jco
타고	타/pvg+고/ecx
이름	이름/ncn
모를	모르/pvg+ㄹ/etm
행성의	행성/ncn+의/jcm
옆을	옆/ncn+을/jco
스치며	스치/pvg+며/ecc
날아가는	날/pvg+아/ecs+가/pvg+는/etm
우주여행을	우주/ncn+여행/ncn+을/jco
체험하게	체험/ncpa+하/xsv+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
하이테크	하이테크/ncn
놀이는	놀이/ncn+는/jcs
사람들을	사람/ncn+들/xsn+을/jco
게임기에	게임/ncn+기/xsn+에/jca
앉아만	앉/pvg+아/ecx+만/jxc
있게	있/px+게/ecx
하지	하/px+지/ecx
않는다	않/px+는다/ef
.	./sf
의사체험기술이라고	의사/ncn+체험/ncn+기술/ncn+이/jp+라/ef+고/jcr
불리는	불리/pvg+는/etm
기술은	기술/ncn+은/jxc
사람들이	사람/ncn+들/xsn+이/jcs
직접	직접/mag
체험장	체험/ncn+장/xsn
안에	안/ncn+에/jca
들어가서	들/pvg+어/ecs+가/pvg+서/ecs
환상과	환상/ncn+과/jcj
미래와	미래/ncn+와/jcj
신비를	신비/ncn+를/jco
체험하게	체험/ncpa+하/xsv+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
의사체험기술은	의사/ncn+체험/ncn+기술/ncn+은/jxc
원래	원래/ncn
우주나	우주/ncn+나/jcj
해양과	해양/ncn+과/jct
같이	같/paa+이/xsa
사람들이	사람/ncn+들/xsn+이/jcs
접근할	접근/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
환경을	환경/ncn+을/jco
인공적으로	인공/ncn+적/xsn+으로/jca
조정하여	조정/ncpa+하/xsv+어/ecs
그	그/mmd
곳에서	곳/ncn+에서/jca
예비실험을	예비/ncn+실험/ncn+을/jco
하기	하/pvg+기/etn
위한	위하/pvg+ㄴ/etm
것이었다	것/nbn+이/jp+었/ep+다/ef
.	./sf
최근	최근/ncn
미국에서는	미국/nq+에서/jca+는/jxc
인간이	인간/ncn+이/jcs
우주공간에서	우주/ncn+공간/ncn+에서/jca
집단으로	집단/ncn+으로/jca
거주할	거주/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는지를	있/paa+는/etm+지/nbn+를/jco
실험하기	실험/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecs
우주식민지	우주/ncn+식민/ncn+지/xsn
스페이스	스페이스/ncn
콜로니	콜로니/ncn
(	(/sl
Space	Space/f
Colony	Colony/f
)	)/sr
와	와/jcj
지구의	지구/ncn+의/jcm
생물이	생물/ncn+이/jcs
살고	살/pvg+고/ecx
있는	있/px+는/etm
환경을	환경/ncn+을/jco
연구하기	연구/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecs
생태계를	생태/ncn+계/xsn+를/jco
축소해서	축소/ncpa+하/xsv+어서/ecs
꾸민	꾸미/pvg+ㄴ/etm
바이오스페어	바이오스페어/ncn
(	(/sl
Biosphere	Biosphere/f
)	)/sr
가	가/jcs
만들어지고	만들/pvg+어/ecx+지/px+고/ecx
있다	있/px+다/ef
.	./sf
바이오스페어는	바이오스페어/ncn+는/jcs
미국의	미국/nq+의/jcm
스페이스_바이오스페어_벤쳐	스페이스_바이오스페어_벤쳐/nq
(	(/sl
Space	Space/f
Biosphere	Biosphere/f
Venture	Venture/f
)	)/sr
사에	사/xsn+에/jca
의해	의하/pvg+어/ecx
착수된	착수/ncpa+되/xsv+ㄴ/etm
사업으로서	사업/ncn+으로서/jca
9,000	9,000/nnc
평방미터	평방/nbu+미터/nbu
규모의	규모/ncn+의/jcm
대지	대지/ncn
전체를	전체/ncn+를/jco
유리로	유리/ncn+로/jca
덮어	덮/pvg+어/ecs
열대우림이나	열대/ncn+우림/ncn+이나/jcj
사막	사막/ncn
등의	등/nbn+의/jcm
모든	모든/mmd
지구상의	지구/ncn+상/xsn+의/jcm
환경조건을	환경/ncn+조건/ncn+을/jco
만들고	만들/pvg+고/ecc
수백	수백/nnc
종류의	종류/ncn+의/jcm
동식물과	동식/ncn+물/xsn+과/jcj
함께	함께/mag
8	8/nnc
명의	명/nbu+의/jcm
남녀를	남녀/ncn+를/jco
2	2/nnc
년	년/nbu
동안	동안/ncn
생활하도록	생활/ncpa+하/xsv+도록/ecs
하는	하/pvg+는/etm
계획을	계획/ncn+을/jco
갖고	갖/pvg+고/ecx
있다	있/px+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
의사체험기술은	의사/ncn+체험/ncn+기술/ncn+은/jcs
연구의	연구/ncn+의/jcm
실험장으로	실험/ncn+장/xsn+으로/jca
각광을	각광/ncn+을/jco
받고	받/pvg+고/ecx
있지만	있/px+지만/ecs
앞으로는	앞/ncn+으로/jca+는/jxc
레저의	레저/ncn+의/jcm
한	한/nnc
부문으로도	부문/ncn+으로/jca+도/jxc
자리잡게	자리잡/pvg+게/ecs
될	되/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
레저는	레저/ncn+는/jxc
다른	다르/paa+ㄴ/etm
어떤	어떤/mmd
것보다도	것/nbn+보다/jca+도/jxc
자연과	자연/ncn+과/jct
밀접한	밀접/ncps+하/xsv+ㄴ/etm
관계를	관계/ncn+를/jco
갖고	갖/pvg+고/ecx
있다	있/px+다/ef
.	./sf
그래서	그래서/maj
레저는	레저/ncn+는/jxc
사회여건과	사회/ncn+여건/ncn+과/jcj
기술의	기술/ncn+의/jcm
변화에도	변화/ncn+에도/jca
자신의	자신/ncn+의/jca
모습을	모습/ncn+을/jco
그대로	그대로/mag
간직하고	간직/ncpa+하/xsv+고/ecx
있을	있/px+을/etm
것만	것/nbn+만/jxc
같다	같/paa+다/ef
.	./sf
그러나	그러나/maj
레저는	레저/ncn+는/jxc
사람이	사람/ncn+이/jcs
변함에	변하/pvg+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
그	그/mmd
개념자체가	개념/ncn+자체/ncn+가/jcs
변하기	변하/pvg+기/etn
때문에	때문/nbn+에/jca
그	그/mmd
모습을	모습/ncn+을/jco
바꾸어	바꾸/pvg+어/ecx
갈	가/px+ㄹ/etm
수밖에	수/nbn+밖에/jxc
없다	없/paa+다/ef
.	./sf
사람과	사람/ncn+과/jct
멀어진	멀/paa+어/ecx+지/px+ㄴ/etm
레저는	레저/ncn+는/jxc
이미	이미/mag
레저가	레저/ncn+가/jcc
아니기	아니/paa+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
더	더/mag
새롭고	새롭/paa+고/ecc
,	,/sp
더	더/mag
감각적이고	감각/ncn+적/xsn+이/jp+고/ecc
,	,/sp
더신나는	더/mag+신/ncn+나/pvg+는/etm
그	그/mmd
무엇을	무엇/npd+을/jco
추구하는	추구/ncpa+하/xsv+는/etm
미래의	미래/ncn+의/jcm
인간형에게는	인간/ncn+형/xsn+에게/jca+는/jxc
보디소닉이나	보디소닉/ncn+이나/jcj
마리너	마리너/ncn
라이프가	라이프/ncn+가/jcs
결코	결코/mag
만족스럽지	만족/ncps+스럽/xsm+지/ecx
못할	못하/px+ㄹ/etm
것이며	것/nbn+이/jp+며/ecc
바이오스페어도	바이오스페어/ncn+도/jxc
곧	곧/maj
식상함을	식상/ncpa+하/xsv+ㅁ/etn+을/jco
줄	주/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
자연과	자연/ncn+과/jcj
하이테크가	하이테크/ncn+가/jcs
연출해내는	연출/ncpa+하/xsv+어/ecx+내/px+는/etm
21	21/nno
세기의	세기/ncn+의/jcm
레즈는	레즈/ncn+는/jxc
정형화된	정형/ncn+화/xsn+되/xsv+ㄴ/etm
패턴으로	패턴/ncn+으로/jca
나타나지	나타나/pvg+지/ecx
않고	않/px+고/ecc
단지	단지/mag
변화하는	변화/ncpa+하/xsv+는/etm
과정에서	과정/ncn+에서/jca
그	그/mmd
모습을	모습/ncn+을/jco
드러낼	드러내/pvg+ㄹ/etm
수	수/nbn
있을	있/paa+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
쇼핑생활	쇼핑/ncn+생활/ncn
미래에는	미래/ncn+에/jca+는/jxc
어떤	어떤/mmd
상품이	상품/ncn+이/jcs
등장할까	등장/ncpa+하/xsv+ㄹ까/ef
?	?/sf
우리가	우리/npp+가/jcs
일상생활에	일상/ncn+생활/ncn+에/jca
필요한	필요/ncps+하/xsm+ㄴ/etm
상품은	상품/ncn+은/jxc
약	약/mma
2	2/nnc
만	만/nnc
개로	개/nbu+로/jca
분류되고	분류/ncpa+되/xsv+고/ecx
있는데	있/px+는데/ecs
이	이/mmd
중에서	중/nbn+에서/jca
인기상품으로	인기/ncn+상품/ncn+으로/jca
분류되고	분류/ncpa+되/xsv+고/ecx
있는	있/px+는/etm
것은	것/nbn+은/jxc
일천	일천/nnc
개를	개/nbu+를/jco
넘지	넘/pvg+지/ecx
않는다고	않/px+는다/ef+고/jcr
한다	하/pvg+ㄴ다/ef
.	./sf
인기상품은	인기/ncn+상품/ncn+은/jxc
보통	보통/ncn
상품에	상품/ncn+에/jca
비해	비하/pvg+어/ecs
파급효과가	파급/ncn+효과/ncn+가/jcs
크게	크/paa+게/ecx
나타나는데	나타나/pvg+는데/ecs
제품의	제품/ncn+의/jcm
개발에서	개발/ncn+에서/jca
보급에	보급/ncn+에/jca
이르는	이르/pvg+는/etm
시간이	시간/ncn+이/jcs
상당히	상당/ncn+히/xsa
짧은게	짧/paa+은/etm+것/nbn+이/jcs
특징이다	특징/ncn+이/jp+다/ef
.	./sf
인기상품이	인기/ncn+상품/ncn+이/jcs
이처럼	이/npd+처럼/jca
신속히	신속/ncn+히/xsa
소비자에게	소비/ncn+자/xsn+에게/jca
파고	파/pvg+고/ecs
들	들/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
것은	것/nbn+은/jxc
사회의	사회/ncn+의/jcm
여건이나	여건/ncn+이나/jcj
라이프	라이프/ncn
스타일의	스타일/ncn+의/jcm
변화에	변화/ncn+에/jca
민감하게	민감/ncps+하/xsm+게/ecx
대응했기	대응/ncpa+하/xsv+었/ep+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
소비자들로부터	소비/ncn+자/xsn+들/xsn+로/jca+부터/jxc
인기를	인기/ncn+를/jco
끄는	끌/pvg+는/etm
상품들은	상품/ncn+들/xsn+은/jcs
전혀	전혀/mag
예상치	예상/ncpa+하/xsv+지/ecx
못했던	못하/pvg+었/ep+던/etm
신상품들이	신/xp+상품/ncn+들/xsn+이/jxc
무수히	무수/ncn+히/xsa
등장할	등장/ncpa+하/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
예상된다	예상/ncpa+되/xsv+ㄴ다/ef
.	./sf
미래학자들의	미래/ncn+학자/ncn+들/xsn+의/jcm
예측에	예측/ncn+에/jca
의하면	의하/pvg+면/ecs
앞으로	앞/ncn+으로/jca
등장하게	등장/ncpa+하/xsv+게/ecs
될	되/pvg+ㄹ/etm
인기상품은	인기/ncn+상품/ncn+은/jcs
시간을	시간/ncn+을/jco
절감할	절감/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있고	있/paa+고/ecc
편한	편하/paa+ㄴ/etm
생활을	생활/ncn+을/jco
영위할	영위/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있게	있/paa+게/ecs
해	하/pvg+어/ecx
주는	주/px+는/etm
상품이	상품/ncn+이/jcc
될	되/pvg+ㄹ/etm
것이며	것/nbn+이며/jcj
,	,/sp
이와	이/npd+와/jct
함께	함께/mag
환경보호	환경/ncn+보호/ncn
,	,/sp
건강유지	건강/ncps+유지/ncn
,	,/sp
구매조건	구매/ncn+조건/ncn
측면에서	측면/ncn+에서/jca
유리한	유리/ncps+하/xsm+ㄴ/etm
상품이	상품/ncn+이/jcs
부각될	부각/ncpa+되/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
전망하고	전망/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
말콤_에이브럼즈	말콤_에이브럼즈/nq
(	(/sl
Malcolm	Malcolm/f
Abrams	Abrams/f
)	)/sr
와	와/jcj
해리어트_번슈타인	해리어트_번슈타인/nq
(	(/sl
Harriet	Harriet/f
Bernstein	Bernstein/f
)	)/sr
은	은/jcs
"	"/sl
Future	Future/f
Stuff	Stuff/f
"	"/sr
라는	라/ef+는/etm
책을	책/ncn+을/jco
통해서	통하/pvg+어서/ecs
21	21/nno
세기에	세기/ncn+에/jca
유행할	유행/ncpa+하/xsv+ㄹ/etm
상품들을	상품/ncn+들/xsn+을/jco
제시했다	제시/ncpa+하/xsv+었/ep+다/ef
.	./sf
이들은	이/npp+들/xsn+은/jcs
건전지	건전지/ncn
피임약이나	피임/ncn+약/ncn+이나/jcj
여성용	여성/ncn+용/xsn
콘돔	콘돔/ncn
같은	같/paa+은/etm
섹스상품에서	섹스/ncn+상품/ncn+에서/jca
플라스틱엔진이나	플라스틱/ncn+엔진/ncn+이나/jcj
펑크	펑크/ncn
안나는	안/mag+나/pvg+는/jxc
타이어	타이어/ncn
같은	같/paa+은/etm
자동차	자동/ncn+차/ncn
용품에	용품/ncn+에/jca
이르는	이르/pvg+는/etm
총250여	총/xp+250/nnc+여/xsn
개의	개/nbu+의/jcm
상품을	상품/ncn+을/jco
27	27/nnc
개	개/nbu
항목으로	항목/ncn+으로/jca
분류하여	분류/ncpa+하/xsv+어/ecx
제시하고	제시/ncpa+하/xsv+고/ecx
있는데	있/px+는데/ecs
여기서	여기/npd+서/jca
제시된	제시/ncpa+되/xsv+ㄴ/etm
상품은	상품/ncn+은/jxc
모두	모두/mag
10	10/nnc
년	년/nbu
내에	내/ncn+에/jca
실현이	실현/ncn+이/jcs
가능한	가능/ncps+하/xsv+ㄴ/etm
것으로	것/nbn+으로/jca
알려지고	알리/pvg+어/ecx+지/px+고/ecx
있다	있/px+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
아이디어	아이디어/ncn
상품과	상품/ncn+과/jct
함께	함께/mag
앞으로	앞/ncn+으로/jca
각광받을	각광/ncn+받/pvg+을/etm
것으로	것/nbn+으로/jca
예상되는	예상/ncpa+되/xsv+는/etm
상품은	상품/ncn+은/jxc
환경보호와	환경/ncn+보호/ncn+와/jct
관련된	관련/ncpa+되/xsv+ㄴ/etm
녹색상품이	녹색/ncn+상품/ncn+이/jcc
될	되/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이	이/mmd
상품들은	상품/ncn+들/xsn+은/jxc
환경보호를	환경/ncn+보호/ncn+를/jco
의미하는	의미/ncpa+하/xsv+는/etm
에코마크	에코마크/nq
(	(/sl
E	E/f
MARK	MARK/f
)	)/sr
를	를/jco
부착하게	부착/ncpa+하/xsv+게/ecs
되는데	되/pvg+는/etm+데/nbn
,	,/sp
인기를	인기/ncn+를/jco
끌	끌/pvg+을/etm
상품으로는	상품/ncn+으로/jca+는/jxc
주방의	주방/ncn+의/jcm
하수를	하수/ncn+를/jco
정수하는	정수/ncpa+하/xsv+는/etm
제품	제품/ncn
,	,/sp
프레온	프레온/ncn
스프레이를	스프레이/ncn+를/jco
대체하는	대체/ncpa+하/xsv+는/etm
제품	제품/ncn
,	,/sp
캔이나	캔/ncn+이나/jcj
병의	병/ncn+의/jcm
회수나	회수/ncn+나/jcj
재생에	재생/ncn+에/jca
관련된	관련/ncpa+되/xsv+ㄴ/etm
제품	제품/ncn
등을	등/nbn+을/jco
들	들/pvg
수	수/nbn
있다	있/paa+다/ef
.	./sf
19	19/nno
세기에	세기/ncn+에/jca
전화가	전화/ncn+가/jcs
처음	처음/mag
나왔을	나오/pvg+았/ep+을/etm
때	때/ncn
사람들은	사람/ncn+들/xsn+은/jcs
이것을	이것/npd+을/jco
퇴폐적	퇴폐/ncn+적/xsn
사치품으로	사치/ncn+품/xsn+으로/jca
생각했었다	생각/ncpa+하/xsv+었/ep+었/ep+다/ef
.	./sf
통화주파수	통화/ncn+주파/ncn+수/ncn
분할	분할/ncn
방식	방식/ncn
라디오에	라디오/ncn+에/jca
바탕을	바탕/ncn+을/jco
둔	두/pvg+ㄴ/etm
카폰은	카폰/ncn+은/jxc
처음부터	처음/ncn+부터/jxc
사람들로부터	사람/ncn+들/xsn+로/jca+부터/jxc
비용이	비용/ncn+이/jcs
많이	많/paa+이/xsa
든다는	들/pvg+ㄴ다/ef+는/etm
이유로	이유/ncn+로/jca
외면당했다	외면/ncn+당하/pvg+었/ep+다/ef
.	./sf
그러나	그러나/maj
지금은	지금/ncn+은/jxc
미국	미국/nq
,	,/sp
일본	일본/nq
,	,/sp
유럽	유럽/nq
등	등/nbn
OECD	OECD/f
제국에서뿐만	제국/ncn+에서/jca+뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
우리나라를	우리/npp+나라/ncn+를/jco
비롯한	비롯/ncpa+하/xsv+ㄴ/etm
개발도상국에서도	개발/ncn+도상/ncn+국/xsn+에서/jca+도/jxc
전국적으로	전국/ncn+적/xsn+으로/jca
보급되고	보급/ncpa+되/xsv+고/ecx
있는	있/px+는/etm
상황이다	상황/ncn+이/jp+다/ef
.	./sf
이처럼	이/npd+처럼/jca
신상품은	신상/ncn+품/xsn+은/jxc
처음에는	처음/ncn+에/jca+는/jxc
사람들에게	사람/ncn+들/xsn+에게/jca
낯설게	낯설/paa+게/ecx
느껴지지만	느끼/pvg+어/ecx+지/px+지만/ecs
곧	곧/maj
사람들에게	사람/ncn+들/xsn+에게/jca
익숙해진다	익숙/ncps+하/xsm+어/ecx+지/px+ㄴ다/ef
.	./sf
현재	현재/ncn
미래상품으로	미래/ncn+상품/ncn+으로/jca
제시된	제시/ncpa+되/xsv+ㄴ/etm
물품들에	물품/ncn+들/xsn+에/jca
대해서	대하/pvg+어서/ecs
우리는	우리/npp+는/jxc
별로	별로/mag
친근감을	친근/ncn+감/xsn+을/jco
느끼지	느끼/pvg+지/ecx
못하고	못하/px+고/ecx
있지만	있/px+지만/ecs
10	10/nnc
년	년/nbu
후	후/ncn
우리는	우리/npp+는/jcs
이것들을	이것/npd+들/xsn+을/jco
익숙하게	익숙/ncps+하/xsm+게/ecx
사용하고	사용/ncpa+하/xsv+고/ecx
있을	있/px+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
미래의	미래/ncn+의/jcm
판매시스템	판매/ncn+시스템/ncn
앞으로	앞/ncn+으로/jca
사람들의	사람/ncn+들/xsn+의/jcm
활동이	활동/ncn+이/jcs
다양화되어	다양/ncn+화/xsn+되/xsv+어/ecx
가고	가/px+고/ecc
기호와	기호/ncn+와/jcj
취미가	취미/ncn+가/jcs
변함에	변하/pvg+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
사람들이	사람/ncn+들/xsn+이/jcs
사용하는	사용/ncpa+하/xsv+는/etm
물품의	물품/ncn+의/jcm
종류와	종류/ncn+와/jcj
물픔의	물픔/ncn+의/jcm
수도	수/ncn+도/jxc
늘어날	늘/pvg+어/ecs+나/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
상점이나	상점/ncn+이나/jcj
수퍼마켓은	수퍼마켓/ncn+은/jcs
종래와	종래/ncn+와/jct
같은	같/paa+은/etm
관리방법을	관리/ncn+방법/ncn+을/jco
가지고는	가지/pvg+고는/ecc
도저히	도저히/mag
늘어나는	늘/pvg+어/ecs+나/pvg+는/etm
상품들을	상품/ncn+들/xsn+을/jco
수용	수용/ncn
할	하/pvg+ㄹ/etm
수	수/nbn
없게	없/paa+게/ecs
될	되/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이런	이런/mmd
이유	이유/ncn
때문에	때문/nbn+에/jca
상품을	상품/ncn+을/jco
체계적으로	체계/ncn+적/xsn+으로/jca
관리하기	관리/ncpa+하/xsv+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
모든	모든/mmd
상점들이	상점/ncn+들/xsn+이/jcs
광학주사시스템을	광학/ncn+주사/ncn+시스템/ncn+을/jco
설치해서	설치/ncpa+하/xsv+어서/ecs
재고를	재고/ncn+를/jco
관리하고	관리/ncpa+하/xsv+고/ecc
물건을	물건/ncn+을/jco
판매할	판매/ncpa+하/xsv+ㄹ/etm
수	수/nbn
밖에	밖/ncn+에/jca
없을	없/paa+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
광학주사기를	광학/ncn+주사/ncn+기/xsn+를/jco
이용한	이용/ncpa+하/xsv+ㄴ/etm
바코드	바코드/ncn
(	(/sl
BAR	BAR/f
CODE	CODE/f
)	)/sr
의	의/jcm
사용은	사용/ncn+은/jxc
계산대	계산/ncn+대/xsn
앞에서	앞/ncn+에서/jca
나타난	나타나/pvg+ㄴ/etm
각	각/mma
상품별	상품/ncn+별/xsn
데이터를	데이터/ncn+를/jco
토대로	토대/ncn+로/jca
관리자들은	관리/ncn+자/xsn+들/xsn+은/jcs
어제	어제/ncn
어떤	어떤/mmd
제품을	제품/ncn+을/jco
어느	어느/mmd
진열대에	진열/ncn+대/xsn+에/jca
배정해야	배정/ncpa+하/xsv+어야/ecs
한다는	하/pvg+ㄴ다/ef+는/etm
문제에	문제/ncn+에/jca
대한	대하/pvg+ㄴ/etm
정보를	정보/ncn+를/jco
얻을	얻/pvg+을/etm
수	수/nbn
있게	있/paa+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
바코드는	바코드/ncn+는/jxc
1973	1973/nno
년	년/nbu
4	4/nno
월	월/nbu
3	3/nno
일	일/nbu
기호선정위원회	기호선정위원회/nq
(	(/sl
Symbol	Symbol/f
Selection	Selection/f
Committee	Committee/f
)	)/sr
가	가/jcs
업계의	업계/ncn+의/jcm
단일표준부호에	단일/ncn+표준/ncn+부호/ncn+에/jca
합의하여	합의/ncpa+하/xsv+어/ecx
만국제품코드	만국/ncn+제품/ncn+코드/ncn
(	(/sl
UPC	UPC/f
)	)/sr
라고	라/ef+고/jcr
불리는	불리/pvg+는/etm
기호가	기호/ncn+가/jcs
출연함에	출연/ncpa+하/xsv+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
탄생되었는데	탄생/ncpa+되/xsv+었/ep+는데/ecs
,	,/sp
광학주사기의	광학/ncn+주사/ncn+기/xsn+의/jcm
보급에	보급/ncn+에/jca
따라	따르/pvg+아/ecs
미국과	미국/nq+과/jcj
유럽의	유럽/nq+의/jcm
상점들은	상점/ncn+들/xsn+은/jcs
거의	거의/mag
모두	모두/mag
이것을	이것/npd+을/jco
사용하고	사용/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
현재	현재/ncn
미국에서는	미국/nq+에서/jca+는/jxc
모든	모든/mmd
식료품의	식료/ncn+품/xsn+의/jcm
95	95/nnc
%에	%/su+에/jca
바코드가	바코드/ncn+가/jcs
부착되어	부착/ncpa+되/xsv+어/ecx
있고	있/px+고/ecc
프랑스는	프랑스/nq+는/jcs
4	4/nnc
천여	천/ncn+여/xsn
개의	개/nbu+의/jcm
상점에서	상점/ncn+에서/jca
