<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 97-kaist_corpus_97_social_pos_bac027.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_social97_bac027.txt </filename>
<title> 한국의 토종 </title>
<author> 박남일 </author>
<date>  </date>
<publisher>  </publisher>
<kdc>380.911  </kdc>
<ddc>390.09519  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
한국의	nq[한국/nq+의/jcm
(	(/sl
吠犬	吠犬/ncn
)	)/sr
이라	이/jp+라/ef
하였으며	하/pvg+었/ep+으며/ecs
살이	살/ncn+이/jcs
많아서잡아먹기에	많/paa+아서/ecs+잡/pvg+아/ecs+먹/pvg+기/etn+에/jca
알맞은	알맞/paa+은/etm
개를	개/ncn+를/jco
식견	식견/ncn
(	(/sl
食犬	食犬/ncn
)	)/sr
이라	이/jp+라/ef
하여	하/pvg+어/ecs
식용으로	식용/ncn+으로/jca
썼던	쓰/pvg+었/ep+던/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
식품학적으로	식품/ncn+학/xsn+적/xsn+으로/jca
보면	보/pvg+면/ecs
개고기는	개고기/ncn+는/jxc
단백질과	단백질/ncn+과/jcj
철분이	철분/ncn+이/jcs
비교적	비교/ncn+적/xsn
많이	많/paa+이/xsa
포함되어	포함/ncpa+되/xsv+어/ecx
있으며	있/px+으며/ecs
,	,/sp
육질이	육질/ncn+이/jcs
연하고	연하/paa+고/ecs
소화가	소화/ncn+가/jcs
잘된다	잘/mag+되/pvg+ㄴ다/ef
.	./sf
따라서체력이	따라서/maj+체력/ncn+이/jcs
아주	아주/mag
약한	약하/paa+ㄴ/etm
사람에게는	사람/ncn+에게/jca+는/jxc
적합한	적합/ncps+하/xsm+ㄴ/etm
식품이라고	식품/ncn+이/jp+라/ef+고/jcr
할	하/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
개고기를	개고기/ncn+를/jco
푹	푹/mag
삶아식이성	삶/pvg+아/ecs+식이/ncn+성/xsn
섬유를	섬유/ncn+를/jco
많이	많/paa+이/xsa
포함한	포함/ncpa+하/xsv+ㄴ/etm
야채와	야채/ncn+와/jcj
여러가지	여러/mma+가지/nbu
양념을	양념/ncn+을/jco
곁들여	곁들이/pvg+어/ecs
탕식	탕식/ncn
또는숙육식으로	또/maj+는/jxc+숙육/ncn+식/xsn+으로/jca
먹는다	먹/pvg+는다/ef
.	./sf
그러나	그러나/maj
아무리	아무리/mag
좋은	좋/paa+은/etm
식품이라도	식품/ncn+이라도/jxc
평소	평소/ncn
한집에서	한/nnc+집/ncn+에서/jca
살아온	살/pvg+아/ecs+오/pvg+ㄴ/etm
정리를생각한다면	정리/ncn+를/jco+생각/ncpa+하/xsv+ㄴ다면/ecs
께름칙한	께름칙/ncps+하/xsm+ㄴ/etm
느낌을	느낌/ncn+을/jco
떨쳐버릴	떨치/pvg+어/ecx+버리/px+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
것이	것/nbn+이/jcs
개고기인만큼	개고기/ncn+이/jp+ㄴ/etm+만큼/nbn
꼭	꼭/mag
필요한	필요/ncps+하/xsm+ㄴ/etm
사람이아니면	사람/ncn+이/jcc+아니/paa+면/ecs
삼가는	삼가/pvg+는/etm
게	것/nbn+이/jcs
좋을	좋/paa+을/etm
듯싶다	듯/nbn+싶/px+다/ef
.	./sf
우리나라에서	우리/npp+나라/ncn+에서/jca
예로부터	예/ncn+로/jca+부터/jxc
길러온	기르/pvg+어/ecx+오/px+ㄴ/etm
개의품종으로는	개/ncn+의/jcm+품종/ncn+으로/jca+는/jxc
진도개와	진도개/ncn+와/jcj
풍산개가	풍산개/ncn+가/jcs
대표적인	대표/ncpa+적/xsn+이/jp+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그러나	그러나/maj
혈통의	혈통/ncn+의/jcm
정통성을	정통/ncn+성/xsn+을/jco
이어온재래종	잇/pvg+어/ecx+오/px+ㄴ/etm+재래/ncn+종/ncn
개는	개/ncn+는/jxc
각	각/mma
지역마다	지역/ncn+마다/jxc
수없이	수/ncn+없/paa+이/xsa
많은	많/paa+은/etm
종이	종/ncn+이/jcs
있었다	있/paa+었/ep+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
토종견을	토종견/ncn+을/jco
찾는노력이	찾/pvg+는/etm+노력/ncn+이/jcs
진행되면서	진행/ncpa+되/xsv+면서/ecs
우리의	우리/npp+의/jcm
토종견으로	토종견/ncn+으로/jca
등장한	등장/ncpa+하/xsv+ㄴ/etm
것이	것/nbn+이/jcs
바로	바로/mag
삽사리다	삽사리/ncn+다/ef
.	./sf
귀신쫓는	귀신/ncn+쫓/pvg+는/etm
개	개/ncn
삽사리	삽사리/ncn
-	-/sd
688	688/nno
-	-/sd
사흘만	사흘/ncn+만/jxc
정을	정/ncn+을/jco
주어도	주/pvg+어도/ecs
동구밖의	동구/ncn+밖/ncn+의/jcm
주인발자국	주인/ncn+발자국/ncn
소리를	소리/ncn+를/jco
알아듣고	알/pvg+아/ecs+듣/pvg+고/ecs
뛰쳐나오는	뛰치/pvg+어/ecs+나오/pvg+는/etm
,	,/sp
충실하고	충실/ncps+하/xsm+고/ecc
귀여운	귀엽/paa+ㄴ/etm
그림	그림/ncn
속의	속/ncn+의/jcm
개	개/ncn
삽사리는	삽사리/ncn+는/jxc
하마터면	하마터면/mag
영원히	영원/ncn+히/xsa
전설	전설/ncn
속의	속/ncn+의/jcm
개로	개/ncn+로/jca
파묻힐뻔했다	파묻히/pvg+ㄹ/etm+뻔하/px+었/ep+다/ef
.	./sf
그러던	그러/pvd+던/etm
중	중/ncn
지난	지나/pvg+ㄴ/etm
1972	1972/nno
년	년/nbu
경북대	경북대/nq
수의학과	수의학과/ncn
탁영빈	탁영빈/nq
교수가	교수/ncn+가/jcs
삽사리에	삽사리/ncn+에/jca
대한연구	대하/pvg+ㄴ/etm+연구/ncn
논문을	논문/ncn+을/jco
발표했다	발표/ncpa+하/xsv+었/ep+다/ef
.	./sf
이후	이후/ncn
탁교수의	탁/ncn+교수/ncn+의/jcm
후계자인	후계/ncn+자/xsn+이/jp+ㄴ/etm
하지홍	하지홍/nq
교수에	교수/ncn+에/jca
의해	의하/pvg+어/ecs
삽사리에대한	삽사리/ncn+에/jca+대하/pvg+ㄴ/etm
연구가	연구/ncn+가/jcs
더욱	더욱/mag
체계화되었다	체계/ncn+화/xsn+되/xsv+었/ep+다/ef
.	./sf
그동안	그/mmd+동안/ncn
삽사리는	삽사리/ncn+는/jxc
혈통이	혈통/ncn+이/jcs
방치된	방치/ncpa+되/xsv+ㄴ/etm
채	채/nbn
그명칭만	그/mmd+명칭/ncn+만/jxc
남아	남/pvg+아/ecx
있었는데	있/px+었/ep+는데/ecs
그것도	그것/npd+도/jxc
엉뚱하게	엉뚱/ncps+하/xsm+게/ecs
오용되어	오용/ncpa+되/xsv+어/ecx
왔다	오/px+았/ep+다/ef
.	./sf
즉	즉/maj
,	,/sp
털이	털/ncn+이/jcs
길고	길/paa+고/ecc
곱상한외국개를	곱상/ncps+하/xsm+ㄴ/etm+외국/ncn+개/ncn+를/jco
일컫는	일컫/pvg+는/etm
명칭으로	명칭/ncn+으로/jca
잘못	잘못/mag
사용된	사용/ncpa+되/xsv+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
삽사리는	삽사리/ncn+는/jxc
,	,/sp
들어낸다	들어내/pvg+ㄴ다/ef
또는	또/maj+는/jxc
퍼낸다는	푸/pvg+어/ecx+내/px+ㄴ다/ef+는/etm
뜻의	뜻/ncn+의/jcm
'	'/sl
삽	삽/ncn
'	'/sr
과	과/jcj
귀신	귀신/ncn
,	,/sp
악귀를뜻하던	악귀/ncn+를/jco+뜻/ncpa+하/xsv+던/etm
'	'/sl
살	살/ncn
'	'/sr
이	이/jcs
만나	만나/pvg+아/ecs
이루어진	이루/pvg+어/ecx+지/px+ㄴ/etm
낱말로	낱말/ncn+로/jca
'	'/sl
집안의	집안/ncn+의/jcm
잡귀를	잡귀/ncn+를/jco
쫓는	쫓/pvg+는/etm
개	개/ncn
'	'/sr
라는	라/ecs+는/etm
뜻을	뜻/ncn+을/jco
담고있다	담/pvg+고/ecx+있/px+다/ef
.	./sf
삽사리는	삽사리/ncn+는/jxc
중간	중간/ncn
정도의	정도/ncn+의/jcm
몸집	몸집/ncn
(	(/sl
대략	대략/ncn
50	50/nnc
Cm	Cm/su
정도	정도/ncn
)	)/sr
에	에/jca
털이	털/ncn+이/jcs
긴	길/paa+ㄴ/etm
개이다	개/ncn+이/jp+다/ef
.	./sf
또한	또한/maj
털색깔에	털/ncn+색깔/ncn+에/jca
의해	의하/pvg+어/ecs
청삽사리와	청삽사리/ncn+와/jcj
황삽사리로	황삽사리/ncn+로/jca
구별된다	구별/ncpa+되/xsv+ㄴ다/ef
.	./sf
청삽사리는	청삽사리/ncn+는/jxc
검은색의	검은색/ncn+의/jcm
긴	길/paa+ㄴ/etm
털에	털/ncn+에/jca
회색털이	회색/ncn+털/ncn+이/jcs
섞여	섞이/pvg+어/ecx
있어	있/px+어/ecs
달빛을	달/ncn+빛/ncn+을/jco
받으면	받/pvg+으면/ecs
푸른	푸르/paa+ㄴ/etm
빛을	빛/ncn+을/jco
띠기때문에	띠/pvg+기/etn+때문/ncn+에/jca
붙여진	붙이/pvg+어/ecx+지/px+ㄴ/etm
이름이고	이름/ncn+이/jp+고/ecs
,	,/sp
황삽사리는	황삽사리/ncn+는/jxc
누런색	누런색/ncn
털에	털/ncn+에/jca
흰색과	흰색/ncn+과/jct
검은색의	검은색/ncn+의/jcm
털이	털/ncn+이/jcs
들어있어	들/pvg+어/ecx+있/px+어/ecs
여러가지	여러/mma+가지/nbu
누런빛을	누렇/paa+ㄴ/etm+빛/ncn+을/jco
띈다	띄/pvg+ㄴ다/ef
.	./sf
대체로	대체로/mag
황삽사리가	황삽사리/ncn+가/jcs
청삽사리보다	청삽사리/ncn+보다/jca
조금	조금/mag
큰	크/paa+ㄴ/etm
편이다	편/ncn+이/jp+다/ef
.	./sf
삽사리는	삽사리/ncn+는/jxc
온몸이	온/mma+몸/ncn+이/jcs
털로	털/ncn+로/jca
덮여	덮이/pvg+어/ecx
있어	있/px+어/ecs
두	두/nnc
눈이	눈/ncn+이/jcs
무엇을	무엇/npd+을/jco
보고	보/pvg+고/ecx
있는지	있/px+는지/ecs
알	알/pvg+ㄹ/etm
수가	수/nbn+가/jcs
없다	없/paa+다/ef
.	./sf
또한	또한/maj
아무렇게나	아무렇/pad+게/ecs+나/jxc
흐트러진	흐트러지/pvg+ㄴ/etm
털이	털/ncn+이/jcs
퍽이나	퍽/mag+이나/jxc
야성적인	야성/ncn+적/xsn+이/jp+ㄴ/etm
인상을	인상/ncn+을/jco
풍긴다	풍기/pvg+ㄴ다/ef
.	./sf
한편으로	한편/ncn+으로/jca
길게	길/paa+게/ecs
내뱉고	내/pvg+어/ecs+뱉/pvg+고/ecx
있는	있/px+는/etm
혀와	혀/ncn+와/jcj
가려진	가리/pvg+어/ecx+지/px+ㄴ/etm
눈이	눈/ncn+이/jcs
해학적으로보이기도	해학/ncn+적/xsn+으로/jca+보이/pvg+기/etn+도/jxc
한다	하/pvg+ㄴ다/ef
.	./sf
그러나	그러나/maj
짖는	짖/pvg+는/etm
소리는	소리/ncn+는/jxc
우렁차며	우렁차/paa+며/ecs
짖을	짖/pvg+을/etm
때	때/ncn
아래	아래/ncn
송곳니	송곳니/ncn
두	두/nnc
개가드러난다	개/nbu+가/jcs+드러나/paa+ㄴ다/ef
.	./sf
삽사리의	삽사리/ncn+의/jcm
이같은	이/npd+같/paa+은/etm
겉모양은	겉/ncn+모양/ncn+은/jxc
동양권에서는찾아보기	동양/ncn+권/xsn+에서/jca+는/jxc+찾/pvg+아/ecx+보/px+기
동양권에서는찾아보기	/etn
힘든	힘/ncn+들/pvg+ㄴ/etm
독특한	독특/ncps+하/xsm+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
어떤	어떤/mmd
경로를	경로/ncn+를/jco
통해	통하/pvg+어/ecs
한반도에	한반도/nq+에/jca
들어왔는지	들어오/pvg+았/ep+는지/ecs
알려진바는	알리/pvg+어/ecx+지/px+ㄴ/etm+바/nbn+는/jxc
없지만	없/paa+지만/ecs
경주	경주/nq
지방에는	지방/ncn+에/jca+는/jxc
삽사리에	삽사리/ncn+에/jca
대한	대하/pvg+ㄴ/etm
하나의	하나/nnc+의/jcm
속설이	속설/ncn+이/jcs
전해	전하/pvg+어/ecs
내려온다	내리/pvg+어/ecx+오/px+ㄴ다/ef
.	./sf
구전에의하면	구전/ncn+에/jca+의하/pvg+면/ecs
삽사리는	삽사리/ncn+는/jxc
신라시대	신라/nq+시대/ncn
왕궁에서만	왕궁/ncn+에서/jca+만/jxc
길러지던	기르/pvg+어/ecx+지/px+던/etm
귀한	귀하/paa+ㄴ/etm
개였는데	개/ncn+이/jp+었/ep+는데/ecs
통일신라가망하면서	통일신라/nq+가/jcs+망하/pvg+면서/ecs
민가로	민가/ncn+로/jca
널리	널리/mag
퍼졌다는	퍼지/pvg+었/ep+다/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
속설이	속설/ncn+이/jcs
사실이라면	사실/ncn+이/jp+라면/ecs
신라시대폭넓은	신라/nq+시대/ncn+폭/ncn+넓/paa+은/etm
해상	해상/ncn
무역로가	무역로/ncn+가/jcs
있어서	있/paa+어서/ecs
인도	인도/nq
,	,/sp
중동	중동/nq
,	,/sp
중국	중국/nq
등지에서	등지/ncn+에서/jca
유입되었음을	유입/ncpa+되/xsv+었/ep+음/etn+을/jco
추측할	추측/ncpa+하/xsv+ㄹ/etm
수있을	수/nbn+있/paa+을/etm
뿐이다	뿐/nbn+이/jp+다/ef
.	./sf
무릇	무릇/mag
대부분의	대부분/ncn+의/jcm
모든	모든/mma
개가	개/nbu+가/jcs
그러하겠지만	그러하/pad+겠/ep+지만/ecs
,	,/sp
삽사리는	삽사리/ncn+는/jxc
특히	특히/mag
어릴	어리/paa+ㄹ/etm
때	때/ncn
사귄	사귀/pvg+ㄴ/etm
주인을오래도록	주인/ncn+을/jco+오래/paa+도록/ecs
따른다	따르/pvg+ㄴ다/ef
.	./sf
설령	설령/mag
주인과	주인/ncn+과/jct
헤어지더라도	헤어지/pvg+더라도/ecs
오래도록	오래/paa+도록/ecs
기억한다	기억/ncpa+하/xsv+ㄴ다/ef
.	./sf
그러나낯선	그러나/maj+낯설/paa+ㄴ/etm
상대에게는	상대/ncn+에게/jca+는/jxc
사나운	사납/paa+ㄴ/etm
성질을	성질/ncn+을/jco
유감없이	유감/ncn+없/paa+이/xsa
발휘한다	발휘/ncpa+하/xsv+ㄴ다/ef
.	./sf
현재	현재/ncn
,	,/sp
대구	대구/nq
근교	근교/ncn
하양의	하양/nq+의/jcm
'	'/sl
대구목장	대구/nq+목장/ncn
'	'/sr
에서	에서/jca
관리되고	관리/ncpa+되/xsv+고/ecx
있는	있/px+는/etm
삽사리	삽사리/ncn
성견	성견/ncn
(	(/sl
자란개	자란개/ncn
)	)/sr
50	50/nnc
마리는	마리/nbu+는/jxc
지난	지나/pvg+ㄴ/etm
1991	1991/nno
년	년/nbu
'	'/sl
고유견	고유견/ncn
삽사리	삽사리/ncn
보호육성에	보호/ncn+육성/ncn+에/jca
관한	관하/pvg+ㄴ/etm
연구	연구/ncn
'	'/sr
라는	라/ecs+는/etm
제목으로과학기술처	제목/ncn+으로/jca+과학기술처/nq
특정연구과제로	특정/ncn+연구/ncn+과제/ncn+로/jca
선정되었다	선정/ncpa+되/xsv+었/ep+다/ef
.	./sf
여기에는	여기/npd+에/jca+는/jxc
,	,/sp
유전자를	유전/ncn+자/xsn+를/jco
통해	통하/pvg+어/ecs
혈통을	혈통/ncn+을/jco
연구하는하교수를	연구/ncpa+하/xsv+는/etm+하/nq+교수/ncn+를/jco
비롯	비롯/ncn
,	,/sp
각	각/mma
분야에	분야/ncn+에/jca
8	8/nnc
명의	명/nbu+의/jcm
교수가	교수/ncn+가/jcs
연구에	연구/ncn+에/jca
참여하고	참여/ncpa+하/xsv+고/ecx
있다	있/px+다/ef
.	./sf
진도개	진도개/ncn
지난	지나/pvg+ㄴ/etm
1938년	1938/nno+년/nbu
5월	5/nno+월/nbu
3일	3/nno+일/nbu
,	,/sp
천연기념물	천연/ncn+기념/ncn+물/xsn
53	53/nno
호로	호/ncn+로/jca
지정된	지정/ncpa+되/xsv+ㄴ/etm
진도개는	진도개/ncn+는/jxc
현재	현재/ncn
1만5천여마리가	1만/nnc+천/nnc+여/xsn+마리/nbu+가/jcs
전남	전남/nq
진도에서	진도/nq+에서/jca
사육되고	사육/ncpa+되/xsv+고/ecx
있다	있/px+다/ef
.	./sf
진도개는	진도개/ncn+는/jxc
일본인들에	일본/nq+인/xsn+들/xsn+에/jca
의해	의하/pvg+어/ecs
발견되었다	발견/ncpa+되/xsv+었/ep+다/ef
.	./sf
따라서	따라서/maj
진도개의	진도개/ncn+의/jcm
이력은	이력/ncn+은/jxc
지금	지금/ncn
두	두/nnc
갈래의	갈래/ncn+의/jcm
평가를	평가/ncn+를/jco
받고	받/pvg+고/ecx
있다	있/px+다/ef
.	./sf
그	그/mmd
하나는	하나/nnc+는/jxc
'	'/sl
일본도인정할	일본/nq+도/jxc+인정/ncpa+하/xsv+ㄹ/etm
만큼	만큼/nbn
우수한	우수/ncps+하/xsm+ㄴ/etm
우리	우리/npp
개	개/ncn
'	'/sr
라는	라/ef+는/etm
찬사이고	찬사/ncn+이/jp+고/ecs
다른	다르/paa+ㄴ/etm
하나는	하나/nnc+는/jxc
'	'/sl
일본의내선일체정책의	일본/nq+의/jcm+내선일체/ncn+정책/ncn+의/jcm
한	한/nnc
수단으로	수단/ncn+으로/jca
이용되었다	이용/ncpa+되/xsv+었/ep+다/ef
'	'/sr
는	는/jxc
견해이다	견해/ncn+이/jp+다/ef
.	./sf
후자의	후자/ncn+의/jcm
견해때문에	견해/ncn+때문/nbn+에/jca
진도개는	진도개/ncn+는/jxc
8	8/nno
.	./sf
15	15/nno
이후	이후/ncn
수난을	수난/ncn+을/jco
겪는다	겪/pvg+는다/ef
.	./sf
즉	즉/maj
,	,/sp
일제의	일제/ncn+의/jcm
잔재라는	잔재/ncn+라/ef+는/etm
이유로배척을	이유/ncn+로/jca+배척/ncn+을/jco
당하게	당하/pvg+게/ecx
된	되/px+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그러던	그러/pvd+던/etm
중	중/ncn
1952	1952/nno
년	년/nbu
이승만	이승만/nq
대통령이	대통령/ncn+이/jcs
'	'/sl
세계적인	세계/ncn+적/xsn+이/jp+ㄴ/etm
개로개발해보라	개/ncn+로/jca+개발/ncpa+하/xsv+어/ecx+보/px+라/ef
'	'/sr
고	고/jcr
한마디	한마디/ncn
하자	하/pvg+자/ecs
진도개는	진도개/ncn+는/jxc
대량으로	대량/ncn+으로/jca
육지로	육지/ncn+로/jca
건너오게	건너오/pvg+게/ecx
되었지만	되/px+었/ep+지만/ecs
그	그/mmd
중	중/nbn
90	90/nnc
%	%/su
이상이	이상/ncn+이/jcs
죽고	죽/pvg+고/ecx
말았다	말/px+았/ep+다/ef
.	./sf
다행히	다행/ncn+히/xsa
1962	1962/nno
년	년/nbu
문화재	문화/ncn+재/xsn
보호법이	보호/ncn+법/ncn+이/jcs
만들어져	만들/pvg+어/ecx+지/px+어/ecs
오늘에	오늘/ncn+에/jca
이르게	이르/pvg+게/ecx
된	되/px+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
진도개가	진도개/ncn+가/jcs
유입된	유입/ncpa+되/xsv+ㄴ/etm
경로도	경로/ncn+도/jxc
다른	다르/paa+ㄴ/etm
토종개와	토종/ncn+개/ncn+와/jcj
마찬가지로	마찬가지/ncn+로/jca
확실하지	확실/ncps+하/xsm+지/ecx
않다	않/px+다/ef
.	./sf
그러나	그러나/maj
대체로다음과	대체/ncn+로/jca+다음/ncn+과/jct
같은	같/paa+은/etm
세	세/nnc
가지	가지/nbu
설이	설/ncn+이/jcs
전해온다	전하/pvg+어/ecx+오/px+ㄴ다/ef
.	./sf
첫째	첫째/nno
,	,/sp
고려	고려/nq
초기	초기/ncn
중국	중국/nq
산동성	산동성/nq
어민들이	어민/ncn+들/xsn+이/jcs
탄배가	타/pvg+ㄴ/etm+배/ncn+가/jcs
풍랑을	풍랑/ncn+을/jco
만나	만나/pvg+아/ecs
진도에	진도/nq+에/jca
표류하면서	표류/ncpa+하/xsv+면서/ecs
종자를	종자/ncn+를/jco
뿌렸다는	뿌리/pvg+었/ep+다/ef+는/etm
설	설/ncn
.	./sf
둘째	둘째/nno
,	,/sp
고려	고려/nq
중엽몽고	중엽/ncn+몽고/nq
침입시	침입/ncn+시/xsn
삼별초군이	삼별초군/nq+이/jcs
진도에서	진도/nq+에서/jca
항전할	항전/ncpa+하/xsv+ㄹ/etm
때	때/ncn
몽고군이	몽고군/nq+이/jcs
군견으로	군견/ncn+으로/jca
데리고	데리/pvg+고/ecx
와서전파시켰다는	오/px+아서/ecs+전파/ncpa+시키/xsv+었/ep+다/ef+는/etm
설	설/ncn
.	./sf
세째	세째/nno
,	,/sp
조선조	조선조/nq
초기	초기/ncn
진도군	진도군/nq
지산면에	지산면/nq+에/jca
국영목장을	국영/ncn+목장/ncn+을/jco
설치하면서번견	설치/ncpa+하/xsv+면서/ecs+번견/ncn
(	(/sl
番犬	番犬/ncn
)	)/sr
으로	으로/jca
사용하기	사용/ncpa+하/xsv+기/etn
위하여	위하/pvg+어/ecs
몽고에서	몽고/nq+에서/jca
수입해	수입/ncpa+하/xsv+어/ecx
왔다는	오/px+았/ep+다/ef+는/etm
설	설/ncn
등이	등/nbn+이/jcs
그것이다	그것/npd+이/jp+다/ef
.	./sf
일제시대	일제시대/ncn
일본인들에	일본/ncn+인/xsn+들/xsn+에/jca
의해	의하/pvg+어/ecs
천연기념물로	천연/ncn+기념/ncn+물/xsn+로/jca
지정된지	지정/ncpa+되/xsv+ㄴ지/ecs
어언	어언/mag
50	50/nnc
년이	년/nbu+이/jcs
훨씬	훨씬/mag
넘었지만아직까지도	넘/pvg+었/ep+지만/ecs+아직/mag
진도개의	진도개/ncn+의/jcm
혈통은	혈통/ncn+은/jxc
확실하게	확실/ncps+하/xsm+게/ecs
고정되지	고정/ncpa+되/xsv+지/ecx
않았다	않/px+았/ep+다/ef
.	./sf
또한	또한/maj
특별한	특별/ncps+하/xsm+ㄴ/etm
사유없이	사유/ncn+없/paa+이/xsa
진도	진도/nq
밖으로	밖/ncn+으로/jca
반출이	반출/ncn+이/jcs
금지되어	금지/ncpa+되/xsv+어/ecx
있었다	있/px+었/ep+다/ef
.	./sf
그러나	그러나/maj
법이	법/ncn+이/jcs
있다	있/paa+다/ef
뿐이지	뿐/nbn+이/jp+지/ecs
거의	거의/mag
실효를	실효/ncn+를/jco
거두지	거두/pvg+지/ecx
못했다	못하/px+었/ep+다/ef
.	./sf
다시	다시/mag
말하자면	말/ncpa+하/xsv+자면/ecs
도시에서돈뭉치를	도시/ncn+에서/jca+돈/ncn+뭉치/nbu+를/jco
들고	들/pvg+고/ecx
와서	오/px+아서/ecs
어렵지	어렵/paa+지/ecx
않게	않/px+게/ecs
밀반출해갈	밀반출/ncpa+하/xsv+어/ecx+가/px+ㄹ/etm
수	수/nbn
있었고	있/paa+었/ep+고/ecs
,	,/sp
이렇게	이렇/pad+게/ecs
도시로나간	도시/ncn+로/jca+나가/pvg+ㄴ/etm
개는	개/ncn+는/jxc
차츰	차츰/mag
특유의	특유/ncn+의/jcm
성품을	성품/ncn+을/jco
잃고	잃/pvg+고/ecs
겉만	겉/ncn+만/jxc
번드르한	번드르/ncps+하/xsm+ㄴ/etm
개가	개/ncn+가/jcc
되고	되/pvg+고/ecx
말았다	말/px+았/ep+다/ef
.	./sf
사냥의	사냥/ncn+의/jcm
명수	명수/ncn
제주개	제주개/ncn
천해의	천해/ncn+의/jcm
바다	바다/ncn
가운데	가운데/ncn
우뚝	우뚝/mag
솟은	솟/pvg+은/etm
환상의섬	환상/ncn+의/jcm+섬/ncn
제주도는	제주도/nq+는/jxc
경관이	경관/ncn+이/jcs
뛰어나서	뛰어나/paa+서/ecs
관광지로	관광/ncn+지/xsn+로/jca
각광을	각광/ncn+을/jco
받고	받/pvg+고/ecx
있지만	있/px+지만/ecs
유전학적으로	유전/ncn+학/xsn+적/xsn+으로/jca
보면각종	보/pvg+면/ecs+각종/ncn
동식물의	동식물/ncn+의/jcm
종자오염을	종자/ncn+오염/ncn+을/jco
가장	가장/mag
적게	적/paa+게/ecs
받는	받/pvg+는/etm
지리적	지리/ncn+적/xsn
조건을	조건/ncn+을/jco
갖추고	갖추/pvg+고/ecx
있다	있/px+다/ef
.	./sf
따라서재래종을	따라서/maj+재래/ncn+종/ncn+을/jco
연구하는	연구/ncpa+하/xsv+는/etm
연구가들에게	연구/ncn+가/xsn+들/xsn+에게/jca
제주는	제주/nq+는/jxc
종자	종자/ncn
자원의	자원/ncn+의/jcm
보고	보고/ncn
(	(/sl
寶庫	寶庫/ncn
)	)/sr
라	라/ef
할	하/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
-	-/sd
694	694/nno
-	-/sd
이같은	이/npd+같/paa+은/etm
사실을	사실/ncn+을/jco
반영하듯	반영/ncpa+하/xsv+듯/ecs
지난	지나/pvg+ㄴ/etm
1986	1986/nno
년에는	년/nbu+에/jca+는/jxc
제주	제주/nq
토종개인	토종/ncn+개/ncn+이/jp+ㄴ/etm
'	'/sl
제주개	제주개/ncn
'	'/sr
가	가/jcs
멸종	멸종/ncn
직전에	직전/ncn+에/jca
발견되어	발견/ncpa+되/xsv+어/ecs
토종개에	토종/ncn+개/ncn+에/jca
대한일반의	대하/pvg+ㄴ/etm+일반/ncn+의/jcm
관심을	관심/ncn+을/jco
불러일으킨	부르/pvg+어/ecs+일으키/pvg+ㄴ/etm
바	바/nbn
있다	있/paa+다/ef
.	./sf
86	86/nno
년	년/nbu
당시	당시/ncn
제주도	제주도/nq
축산사업소는	축산사업소/nq+는/jxc
제주대교수진과	제주대/nq+교수/ncn+진/ncn+과/jct
함께	함께/mag
제주개에	제주개/ncn+에/jca
조예가	조예/ncn+가/jcs
깊은	깊/paa+은/etm
노인들을	노인/ncn+들/xsn+을/jco
찾아가	찾/pvg+아/ecx+가/px+아/ecs
기초자료와	기초/ncn+자료/ncn+와/jcj
민담	민담/ncn
등을수집	등/nbn+을/jco+수집/ncn
,	,/sp
3	3/nnc
개월간	개월/nbu+간/xsn
제주도	제주도/nq
전역을	전역/ncn+을/jco
뒤진	뒤지/pvg+ㄴ/etm
끝에	끝/ncn+에/jca
제주개	제주개/ncn
3	3/nnc
마리를	마리/nbu+를/jco
발견했다	발견/ncpa+하/xsv+었/ep+다/ef
.	./sf
그후선택계통번식법에	그/mmd+후/ncn+선택/ncn+계통/ncn+번식/ncn+법/ncn+에
그후선택계통번식법에	/jca
의해	의하/pvg+어/ecs
10	10/nnc
마리가	마리/nbu+가/jcs
견사에서	견사/ncn+에서/jca
관리되고	관리/ncpa+되/xsv+고/ecx
있다	있/px+다/ef
.	./sf
그러나	그러나/maj
아직	아직/mag
혈통이고정되지	혈통/ncn+이/jcs+고정/ncpa+되/xsv+지/ecx
않은	않/px+은/etm
상태이다	상태/ncn+이/jp+다/ef
.	./sf
삽사리가	삽사리/ncn+가/jcs
학문적으로	학문/ncn+적/xsn+으로/jca
