<tdmsfile>
<tdmsfile>
Han2.hwp
전대협과	전대협/nq+과/jcj
봉화군은	봉화군/nq+은/jxc
3일	3/nno+일/nbu
고선천에	고선천/nq+에/jca
황산이	황산/ncn+이/jcs
일부	일부/ncn
유입됐지만	유입/ncpa+되/xsv+었/ep+지만/ecs
낙동강	낙동강/nq
본류는	본류/ncn+는/jxc
전혀	전혀/mag
유입되지	유입/ncpa+되/xsv+지/ecx
않았다고	않/px+았/ep+다/ef+고/jcr
밝혔다.	밝히/pvg+었/ep+다/ef+./sf
그러나	그러나/maj
트럭의	트럭/ncn+의/jcm
전복으로	전복/ncn+으로/jca
황산이	황산/ncn+이/jcs
직접	직접/mag
흘러든	흐르/pvg+어/ecs+들/pvg+ㄴ/etm
고선천	고선천/nq
일부	일부/ncn
지점에서는	지점/ncn+에서/jca+는/jxc
물고기가	물고기/ncn+가/jcs
수십마리씩	수십/nnc+마리/nbu+씩/xsn
떼죽음을	떼죽음/ncn+을/jco
당해	당하/pvg+어/ecs
고산천은	고산천/nq+은/jxc
오염된	오염/ncpa+되/xsv+ㄴ/etm
것으로	것/nbn+으로/jca
보인다.	보이/pvg+ㄴ다/ef+./sf
이날	이/mmd+날/ncn
사고는	사고/ncn+는/jxc
아파트	아파트/ncn
관리사무소	관리/ncn+사무/ncn+소/xsn
지하변전실의	지하/ncn+변전/ncn+실/xsn+의/jcm
1차변전소와	1/nno+차/nbu+변전/ncn+소/xsn+와/jcj
2차변전소를	2/nno+차/nbu+변전/ncn+소/xsn+를/jco
연결하는	연결/ncpa+하/xsv+는/etm
케이블	케이블/ncn
헤드의	헤드/ncn+의/jcm
절연부분이	절연/ncn+부분/ncn+이/jcs
타들어가면서	타/pvg+아/ecs+들/pvg+어/ecx+가/px+면서/ecs
일어났다.	일어나/pvg+았/ep+다/ef+./sf
한국전력은	한국전력/nq+은/jxc
사용기한을	사용/ncn+기한/ncn+을/jco
넘긴	넘기/pvg+ㄴ/etm
노쇠한	노쇠/ncps+하/xsm+ㄴ/etm
케이블이	케이블/ncn+이/jcs
과부화를	과/xp+부화/ncn+를/jco
견디지	견디/pvg+지/ecx
못하고	못하/px+고/ecs
사고가	사고/ncn+가/jcs
난	나/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
보고	보/pvg+고/ecs
조사중이다.	조사/ncn+중/nbn+이/jp+다/ef+./sf
다시	다시/mag
말해	말/ncpa+하/xsv+어/ecs
2심에서도	2/nno+심/ncn+에서/jca+도/jxc
쟁점이	쟁점/ncn+이/jcc
될	되/pvg+ㄹ/etm
조세포탈	조세/ncn+포탈/ncn
혐의에	혐의/ncn+에/jca
대해	대하/pvg+어/ecs
김현철	김현철/nq
피고인이	피고/ncn+인/xsn+이/jcs
변론준비를	변론/ncn+준비/ncn+를/jco
충실히	충실/ncn+히/xsa
할	하/pvg+ㄹ/etm
수	수/nbn
있고	있/paa+고/ecc
재판부도	재판/ncn+부/xsn+도/jxc
항소심	항소심/ncn
구속만료기간인	구속/ncn+만료/ncn+기간/ncn+이/jp+ㄴ/etm
1심선고	1/nno+심/ncn+선고/ncn
뒤	뒤/ncn
4개월	4/nnc+개월/nbu
안에	안/ncn+에/jca
재판을	재판/ncn+을/jco
끝내려면	끝/ncn+내/pvg+려/ecs+면/ecs
불구속상태에서	불/xp+구속/ncn+상태/ncn+에서/jca
재판을	재판/ncn+을/jco
진행하는	진행/ncpa+하/xsv+는/etm
것이	것/nbn+이/jcs
타당하다는	타당/ncps+하/xsm+다/ef+는/etm
것이다.	것/nbn+이/jp+다/ef+./sf
또	또/maj
재판부는	재판/ncn+부/xsn+는/jxc
지금까지	지금/ncn+까지/jxc
정치자금을	정치/ncn+자금/ncn+을/jco
받았다	받/pvg+았/ep+다/ecs
조세포탈	조세/ncn+포탈/ncn
혐의로	혐의/ncn+로/jca
기소되거나	기소/ncpa+되/xsv+거나/ecc
처벌을	처벌/ncn+을/jco
받은	받/pvg+은/etm
사람이	사람/ncn+이/jcs
한	한/nnc
명도	명/nbu+도/jxc
없었는데	없/paa+었/ep+는데/ecs
유독	유독/mag
김현철씨만	김현철/nq+씨/xsn+만/jxc
처벌을	처벌/ncn+을/jco
받았다는	받/pvg+았/ep+다/ef+는/etm
점도	점/ncn+도/jxc
`형평성'	`/sl+형평/ncn+성/xsn+'/sr
차원에서	차원/ncn+에서/jca
고려했다고	고려/ncpa+하/xsv+었/ep+다/ef+고/jcr
설명했다.	설명/ncpa+하/xsv+었/ep+다/ef+./sf
재판부는	재판/ncn+부/xsn+는/jxc
김현철씨	김현철/nq+씨/xsn
각종	각종/ncn
국정개입	국정/ncn+개입/ncn
의혹에	의혹/ncn+에/jca
대한	대하/pvg+ㄴ/etm
부정적	부정/ncn+적/xsn
국민감정을	국민/ncn+감정/ncn+을/jco
의식해	의식/ncpa+하/xsv+어/ecs
상당히	상당/ncn+히/xsa
고심했으나	고심/ncpa+하/xsv+었/ep+으나/ecs
검찰	검찰/ncn
공소사실에는	공소/ncn+사실/ncn+에/jca+는/jxc
이같은	이/npd+같/paa+은/etm
인사개입	인사/ncn+개입/ncn
사실은	사실/ncn+은/jxc
빠져	빠지/pvg+어/ecx
있어	있/px+어/ecs
보석결정	보석/ncn+결정/ncn
때	때/ncn
법률적	법률/ncn+적/xsn
검토대상이	검토/ncn+대상/ncn+이/jcc
될	되/pvg+ㄹ/etm
수	수/nbn
없었다고	없/paa+었/ep+다/ef+고/jcr
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
하지만	하지만/maj
재판부의	재판/ncn+부/xsn+의/jcm
부인에도	부인/ncn+에/jca+도/jxc
불구하고	불구/ncpa+하/xsv+고/ecs
보석결정이	보석/ncn+결정/ncn+이/jcs
너무	너무/mag
빨랐다는	빠르/paa+았/ep+다/ef+는/etm
지적과	지적/ncn+과/jct
함께	함께/mag
정치적	정치/ncn+적/xsn
배경이	배경/ncn+이/jcs
작용한	작용/ncpa+하/xsv+ㄴ/etm
것	것/nbn
아니냐는	아니/paa+냐/ef+는/etm
문제제기도	문제/ncn+제기/ncn+도/jxc
나오고	나오/pvg+고/ecx
있다.	있/px+다/ef+./sf
시민단체들도	시민/ncn+단체/ncn+들/xsn+도/jxc
대선을	대선/ncn+을/jco
앞두고	앞/ncn+두/pvg+고/ecs
대통령	대통령/ncn
아들이란	아들/ncn+이/jp+라/ef+ㄴ/etm
신분을	신분/ncn+을/jco
의식한	의식/ncpa+하/xsv+ㄴ/etm
특혜라고	특혜/ncn+라/ef+고/jcr
주장하며	주장/ncpa+하/xsv+며/ecs
강하게	강하/paa+게/ecs
반발하고	반발/ncpa+하/xsv+고/ecx
있다.	있/px+다/ef+./sf
지난달	지나/pvg+ㄴ/etm+달/ncn
일본에	일본/nq+에/jca
나포됐던	나포/ncpa+되/xsv+었/ep+던/etm
제63	제/xp+63/nno
덕용호	덕용호/nq
선원과	선원/ncn+과/jcj
선박이	선박/ncn+이/jcs
풀려났다고	풀리/pvg+어/ecx+나/px+았/ep+다/ef+고/jcr
해양수산부가	해양수산부/nq+가/jcs
3일	3/nno+일/nbu
밝혔다.	밝히/pvg+었/ep+다/ef+./sf
제63덕용호는	제/xp+63/nno+덕용호/nq+는/jxc
선원	선원/ncn
9명이	9/nnc+명/nbu+이/jcs
탑승한	탑승/ncpa+하/xsv+ㄴ/etm
채	채/nbn
지난	지나/pvg+ㄴ/etm
2일	2/nno+일/nbu
오후	오후/ncn
2시께	2/nno+시/nbu+께/xsn
동해에서	동해/nq+에서/jca
우리	우리/npp
해경	해경/ncn
함정에	함정/ncn+에/jca
인계됐으며	인계/ncpa+되/xsv+었/ep+으며/ecs
4일	4/nno+일/nbu
오전	오전/ncn
6시께	6/nno+시/nbu+께/xsn
경남	경남/nq
통영항에	통영항/nq+에/jca
입항할	입항/ncpa+하/xsv+ㄹ/etm
예정이다.	예정/ncn+이/jp+다/ef+./sf
제63덕용호는	제/xp+63/nnc+덕용호/nq+는/jxc
지난달	지나/pvg+ㄴ/etm+달/ncn
15일	15/nno+일/nbu
오후	오후/ncn
11시20분께	11/nno+시/nbu+20/nno+분/nbu+께/xsn
일본	일본/nq
후쿠이현	후쿠이현/nq
와카사만	와카사만/nq
일본	일본/nq
영해내에서	영해/ncn+내/nbn+에서/jca
일본	일본/nq
해상보안청	해상보안청/nq
순시선에	순시/ncn+선/xsn+에/jca
나포됐었다.	나포/ncpa+되/xsv+었었/ep+다/ef+./sf
해양수산부는	해양수산부/nq+는/jxc
아직	아직/mag
풀려나지	풀리/pvg+어/ecx+나/px+지/ecx
않은	않/px+은/etm
선장에	선장/ncn+에/jca
대해서도	대하/pvg+어서/ecs+도/jxc
조속한	조속/ncps+하/xsm+ㄴ/etm
석방이	석방/ncn+이/jcs
이뤄지도록	이루/pvg+어/ecx+지/px+도록/ecs
외무부를	외무부/nq+를/jco
통해	통하/pvg+어/ecs
교섭에	교섭/ncn+에/jca
나서고	나서/pvg+고/ecx
있다.	있/px+다/ef+./sf
1심에서	1/nno+심/ncn+에서/jca
징역	징역/ncn
3년을	3/nnc+년/nbu+을/jco
선고받은	선고/ncn+받/pvg+은/etm
김현철씨가	김현철/nq+씨/xsn+가/jcs
3일	3/nno+일/nbu
법원의	법원/ncn+의/jcm
보석허가	보석/ncn+허가/ncn
결정에	결정/ncn+에/jca
따라	따르/pvg+아/ecs
서울구치소에서	서울구치소/nq+에서/jca
석방됐다.	석방/ncpa+되/xsv+었/ep+다/ef+./sf
이에	이/npd+에/jca
따라	따르/pvg+아/ecs
김씨는	김/nq+씨/xsn+는/jxc
지난	지나/pvg+ㄴ/etm
5월17일	5/nno+월/nbu+17/nno+일/nbu
구속된	구속/ncpa+되/xsv+ㄴ/etm
지	지/nbn
5개월반만에,	5/nnc+개월/nbu+반/ncn+만/nbn+에/jca+,/sp
지난달	지나/pvg+ㄴ/etm+달/ncn
13일	13/nno+일/nbu
1심	1/nno+심/ncn
유죄선고	유죄/ncn+선고/ncn
이후	이후/ncn
보름여만인	보름/ncn+여/xsn+만/nbn+이/jp+ㄴ/etm
이날	이/mmd+날/ncn
오후	오후/ncn
검찰의	검찰/ncn+의/jcm
석방지휘를	석방/ncn+지휘/ncn+를/jco
받아	받/pvg+아/ecs
서울구치소에서	서울구치소/nq+에서/jca
풀려났다.	풀리/pvg+어/ecx+나/px+았/ep+다/ef+./sf
한편	한편/maj
김태정	김태정/nq
검찰총장은	검찰/ncn+총장/ncn+은/jxc
법원의	법원/ncn+의/jcm
보석허가결정	보석/ncn+허가/ncn+결정/ncn
직후	직후/ncn
박순용	박순용/nq
중수부장과	중수/ncn+부장/ncn+과/jcj
주임검사인	주임/ncn+검사/ncn+이/jp+ㄴ/etm
이훈규	이훈규/nq
중수1과장,	중수/ncn+1/nno+과장/ncn+,/sp
송해은	송해은/nq
서울고검	서울고검/nq
항고담당	항고/ncn+담당/ncn
검사	검사/ncn
등을	등/nbn+을/jco
긴급	긴급/ncn
소집해	소집/ncpa+하/xsv+어/ecs
대책을	대책/ncn+을/jco
숙의했으나	숙의/ncpa+하/xsv+었/ep+으나/ecs
항고절차를	항고/ncn+절차/ncn+를/jco
밟지	밟/pvg+지/ecx
않기로	않/px+기/etn+로/jca
했다.	하/pvg+었/ep+다/ef+./sf
학교에서는	학교/ncn+에서/jca+는/jxc
서울의	서울/nq+의/jcm
명문대학에	명문/ncn+대학/ncn+에/jca
들어갈	들/pvg+어/ecs+가/pvg+ㄹ/etm
수	수/nbn
있다고	있/paa+다/ef+고/jcr
했지만	하/pvg+었/ep+지만/ecs
안심할	안심/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없었다.	없/paa+었/ep+다/ef+./sf
신씨는	신/nq+씨/xsn+는/jxc
교사의	교사/ncn+의/jcm
학력이나	학력/ncn+이나/jcj
전공도	전공/ncn+도/jxc
묻지	묻/pvg+지/ecx
않고	않/px+고/ecs
아들을	아들/ncn+을/jco
맡겼다.	맡기/pvg+었/ep+다/ef+./sf
국어	국어/ncn
한	한/nnc
과목을	과목/ncn+을/jco
일주일에	일/nnc+주일/nbu+에/jca
두	두/nnc
번	번/nbu
가르치는데	가르치/pvg+는데/ecs
한	한/nnc
달에	달/nbu+에/jca
100만원을	100만/nnc+원/nbu+을/jco
과외비로	과외/ncn+비/xsn+로/jca
냈다.	내/pvg+었/ep+다/ef+./sf
그러나	그러나/maj
아들은	아들/ncn+은/jxc
서울에	서울/nq+에/jca
있는	있/paa+는/etm
대학에도	대학/ncn+에/jca+도/jxc
들어가지	들/pvg+어/ecs+가/pvg+지/ecx
못하고	못하/px+고/ecc
지방에	지방/ncn+에/jca
있는	있/paa+는/etm
대학에	대학/ncn+에/jca
어렵게	어렵/paa+게/ecs
입학할	입학/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있었다.	있/paa+었/ep+다/ef+./sf
이번에	이/mmd+번/nbn+에/jca
경찰에	경찰/ncn+에/jca
적발된	적발/ncpa+되/xsv+ㄴ/etm
`과외기업'들은	`/sl+과외/ncn+기업/ncn+'/sr+들/xsn+은/jxc
자녀의	자녀/ncn+의/jcm
학교성적을	학교/ncn+성적/ncn+을/jco
올리기	올리/pvg+기/etn
위해	위하/pvg+어/ecs
초조해	초조/ncps+하/xsm+어/ecx
하는	하/px+는/etm
학부모들의	학부모/ncn+들/xsn+의/jcm
심리를	심리/ncn+를/jco
이용했다.	이용/ncpa+하/xsv+었/ep+다/ef+./sf
`자기개발	`/sl+자기/ncn+개발/ncn
학습시스템'	학습/ncn+시스템/ncn+'/sr
학습시스템'	`EQ학습+기억법+100%
성공학습'이라고	성공/ncn+학습/ncn+'/sr+이/jp+라/ef+고/jcr
교재를	교재/ncn+를/jco
포장했다.	포장/ncpa+하/xsv+었/ep+다/ef+./sf
그러나	그러나/maj
사실은	사실/ncn+은/jxc
전혀	전혀/mag
달랐다.	다르/paa+았/ep+다/ef+./sf
이	이/mmd
업체의	업체/ncn+의/jcm
`지도교사'들	`/sl+지도/ncn+교사/ncn+'/sr+들/xsn
가운데	가운데/ncn
고교나	고교/ncn+나/jcj
전문대를	전문대/ncn+를/jco
졸업한	졸업/ncpa+하/xsv+ㄴ/etm
사람도	사람/ncn+도/jxc
많았다.	많/paa+았/ep+다/ef+./sf
유명교사가	유명/ncn+교사/ncn+가/jcs
감수한	감수/ncpa+하/xsv+ㄴ/etm
권위있는	권위/ncn+있/paa+는/etm
학습지인	학습/ncn+지/xsn+이/jp+ㄴ/etm
것처럼	것/nbn+처럼/jca
선전한	선전/ncpa+하/xsv+ㄴ/etm
`족집게	`/sl+족집게/ncn
교재'도	교재/ncn+'/sr+도/jxc
시중의	시중/ncn+의/jcm
참고서를	참고/ncn+서/xsn+를/jco
`짜집기'한	`/sl+짜집기/ncn+'/sr+하/pvg+ㄴ/etm
것이었다.	것/nbn+이/jp+었/ep+다/ef+./sf
그런데도	그런데/maj+도/jxc
과외비는	과외/ncn+비/xsn+는/jxc
고액이었다.	고액/ncn+이/jp+었/ep+다/ef+./sf
100만원	100만/nnc+원/nbu
가까운	가깝/paa+ㄴ/etm
일년	일/nnc+년/nbu
동안의	동안/ncn+의/jcm
학습지	학습/ncn+지/xsn
대금도	대금/ncn+도/jxc
미리	미리/mag
받았다.	받/pvg+았/ep+다/ef+./sf
게다가	게다가/maj
과목당	과목/ncn+당/xsn
1시간에	1/nnc+시간/nbu+에/jca
월	월/ncn
10만원	10만/nnc+원/nbu
정도를	정도/ncn+를/jco
`방문과외비'로	`/sl+방문/ncn+과외/ncn+비/xsn+'/sr+로/jca
받았다.	받/pvg+았/ep+다/ef+./sf
고교생의	고교/ncn+생/xsn+의/jcm
`족집게	`/sl+족집게/ncn
과외'는	과외/ncn+'/sr+는/jxc
과목당	과목/ncn+당/xsn
주	주/ncn
3~5시간에	3/nnc+~/sd+5/nnc+시간/nbu+에/jca
80~1백만원	80/nnc+~/sd+1백만/nnc+원/nbu
수준이었다.	수준/ncn+이/jp+었/ep+다/ef+./sf
그러나	그러나/maj
아무리	아무리/mag
교재를	교재/ncn+를/jco
살펴봐도	살피/pvg+어/ecs+보/pvg+아도/ecs
내용이	내용/ncn+이/jcs
부실했다.	부실/ncps+하/xsm+었/ep+다/ef+./sf
그래서	그래서/maj
환불을	환불/ncn+을/jco
요구했으나	요구/ncpa+하/xsv+었/ep+으나/ecs
돈을	돈/ncn+을/jco
돌려받지는	돌리/pvg+어/ecs+받/pvg+지/ecx+는/jxc
못했다.	못하/px+었/ep+다/ef+./sf
이화여대(총장	이화여대/nq+(/sl+총장/ncn
장상)는	장상/nq+)/sr+는/jxc
3일	3/nno+일/nbu
98학년도부터	98/nno+학년도/ncn+부터/jxc
신학대학원과	신학/ncn+대학/ncn+원/xsn+과/jcj
정책과학대학원을	정책/ncn+과학/ncn+대학/ncn+원/xsn+을/jco
신설한다고	신설/ncpa+하/xsv+ㄴ다/ef+고/jcr
밝혔다.	밝히/pvg+었/ep+다/ef+./sf
새로	새로/mag
생길	생기/pvg+ㄹ/etm
신학대학원은	신학/ncn+대학/ncn+원/xsn+은/jxc
여자대학으로서는	여자/ncn+대학/ncn+으로서/jca+는/jxc
세계	세계/ncn
최초로	최초/ncn+로/jca
여성목회자를	여성/ncn+목회/ncn+자/xsn+를/jco
양성하게	양성/ncpa+하/xsv+게/ecs
된다.	되/pvg+ㄴ다/ef+./sf
또	또/maj
정책과학대학원은	정책/ncn+과학/ncn+대학/ncn+원/xsn+은/jxc
공공정책학과,	공공/ncn+정책/ncn+학과/ncn+,/sp
산업경제학과,	산업/ncn+경제/ncn+학과/ncn+,/sp
언론홍보학과를	언론/ncn+홍보/ncn+학과/ncn+를/jco
두고	두/pvg+고/ecs
여성	여성/ncn
정치지도자와	정치/ncn+지도/ncn+자/xsn+와/jcj
중앙	중앙/ncn
및	및/maj
지방	지방/ncn
행정관료,	행정/ncn+관료/ncn+,/sp
공기업	공기업/ncn
직원,	직원/ncn+,/sp
기업관리자,	기업/ncn+관리/ncn+자/xsn+,/sp
언론홍보전문가	언론/ncn+홍보/ncn+전문/ncn+가/xsn
등을	등/nbn+을/jco
양성할	양성/ncpa+하/xsv+ㄹ/etm
계획이다.	계획/ncn+이/jp+다/ef+./sf
두	두/nnc
신설	신설/ncn
대학원은	대학/ncn+원/xsn+은/jxc
모두	모두/mag
석사과정으로	석사/ncn+과정/ncn+으로/jca
다음달	다음/ncn+달/ncn
5일까지	5/nno+일/nbu+까지/jxc
원서를	원서/ncn+를/jco
접수하며	접수/ncpa+하/xsv+며/ecc
내년부터	내년/ncn+부터/jxc
수업에	수업/ncn+에/jca
들어갈	들/pvg+어/ecs+가/pvg+ㄹ/etm
예정이다.	예정/ncn+이/jp+다/ef+./sf
이화여대(총장	이화여대/nq+(/sl+총장/ncn
장상)는	장상/nq+)/sr+는/jxc
3일	3/nno+일/nbu
98학년도부터	98/nno+학년도/ncn+부터/jxc
신학대학원과	신학/ncn+대학/ncn+원/xsn+과/jcj
정책과학대학원을	정책/ncn+과학/ncn+대학/ncn+원/xsn+을/jco
신설한다고	신설/ncpa+하/xsv+ㄴ다/ef+고/jcr
밝혔다.	밝히/pvg+었/ep+다/ef+./sf
새로	새로/mag
생길	생기/pvg+ㄹ/etm
신학대학원은	신학/ncn+대학/ncn+원/xsn+은/jxc
여자대학으로서는	여자/ncn+대학/ncn+으로서/jca+는/jxc
세계	세계/ncn
최초로	최초/ncn+로/jca
여성목회자를	여성/ncn+목회/ncn+자/xsn+를/jco
양성하게	양성/ncpa+하/xsv+게/ecs
된다.	되/pvg+ㄴ다/ef+./sf
또	또/maj
정책과학대학원은	정책/ncn+과학/ncn+대학/ncn+원/xsn+은/jxc
공공정책학과,	공공/ncn+정책/ncn+학과/ncn+,/sp
산업경제학과,	산업/ncn+경제/ncn+학과/ncn+,/sp
언론홍보학과를	언론/ncn+홍보/ncn+학과/ncn+를/jco
두고	두/pvg+고/ecs
여성	여성/ncn
정치지도자와	정치/ncn+지도/ncn+자/xsn+와/jcj
중앙	중앙/ncn
및	및/maj
지방	지방/ncn
행정관료,	행정/ncn+관료/ncn+,/sp
공기업	공기업/ncn
직원,	직원/ncn+,/sp
기업관리자,	기업/ncn+관리/ncn+자/xsn+,/sp
언론홍보전문가	언론/ncn+홍보/ncn+전문/ncn+가/xsn
등을	등/nbn+을/jco
양성할	양성/ncpa+하/xsv+ㄹ/etm
계획이다.	계획/ncn+이/jp+다/ef+./sf
두	두/nnc
신설	신설/ncn
대학원은	대학/ncn+원/xsn+은/jxc
모두	모두/mag
석사과정으로	석사/ncn+과정/ncn+으로/jca
다음달	다음/ncn+달/ncn
5일까지	5/nno+일/nbu+까지/jxc
원서를	원서/ncn+를/jco
접수하며	접수/ncpa+하/xsv+며/ecc
내년부터	내년/ncn+부터/jxc
수업에	수업/ncn+에/jca
들어갈	들/pvg+어/ecs+가/pvg+ㄹ/etm
예정이다.	예정/ncn+이/jp+다/ef+./sf
서울의	서울/nq+의/jcm
윤락가로	윤락/ncn+가/xsn+로/jca
유명한	유명/ncps+하/xsm+ㄴ/etm
강동구	강동구/nq
`천호동	`/sl+천호동/nq
텍사스촌'이	텍사스촌/nq+'/sr+이/jcs
`신길동	`/sl+신길동/nq
텍사스촌'에	텍사스촌/nq+'/sr+에/jca
이어	이어/mag
연내에	연내/ncn+에/jca
강제	강제/ncn
폐쇄된다.	폐쇄/ncpa+되/xsv+ㄴ다/ef+./sf
서울	서울/nq
강동구(구청장	강동구/nq+(/sl+구청/ncn+장/xsn
김충환)는	김충환/nq+)/sr+는/jxc
천호동	천호동/nq
423	423/nno
일대	일대/ncn
윤락업소를	윤락/ncn+업소/ncn+를/jco
완전히	완전/ncn+히/xsa
없애기로	없애/pvg+기/etn+로/jca
결정,경찰과	결정/ncn+,/sp+경찰/ncn+과/jct
합동으로	합동/ncn+으로/jca
이	이/mmd
일대	일대/ncn
윤락업소	윤락/ncn+업소/ncn
실태파악을	실태/ncn+파악/ncn+을/jco
끝내는	끝/ncn+내/pvg+는/etm
대로	대로/nbn
내달초부터	내달/ncn+초/ncn+부터/jxc
강제폐쇄에	강제/ncn+폐쇄/ncn+에/jca
나서기로	나서/pvg+기/etn+로/jca
했다고	하/pvg+었/ep+다/ef+고/jcr
3일	3/nno+일/nbu
밝혔다.	밝히/pvg+었/ep+다/ef+./sf
강동구는	강동구/nq+는/jxc
강제폐쇄에	강제/ncn+폐쇄/ncn+에/jca
앞서	앞서/pvg+어/ecs
이달	이/mmd+달/ncn
한달동안	한/nnc+달/nbu+동안/ncn
경찰의	경찰/ncn+의/jcm
협조를	협조/ncn+를/jco
얻어	얻/pvg+어/ecs
현재	현재/ncn
매일	매일/mag
오후	오후/ncn
10시부터	10/nno+시/nbu+부터/jxc
다음날	다음/ncn+날/ncn
오전	오전/ncn
2시까지	2/nno+시/nbu+까지/jxc
실시하고	실시/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
윤락행위	윤락/ncn+행위/ncn
단속을	단속/ncn+을/jco
24시간	24/nnc+시간/nbu
단속으로	단속/ncn+으로/jca
확대하고	확대/ncpa+하/xsv+고/ecc
미성년자	미/xp+성년/ncn+자/xsn
출입을	출입/ncn+을/jco
금지하는	금지/ncpa+하/xsv+는/etm
한편,	한편/ncn+,/sp
이용시민에	이용/ncn+시민/ncn+에/jca
대한	대하/pvg+ㄴ/etm
검문검색도	검문/ncn+검색/ncn+도/jxc
강화키로	강화/ncpa+하/xsv+기/etn+로/jca
했다.	하/pvg+었/ep+다/ef+./sf
내년	내년/ncn
사립대	사립대/ncn
등록금은	등록/ncn+금/xsn+은/jxc
올해와	올해/ncn+와/jct
비슷한	비슷/ncps+하/xsm+ㄴ/etm
수준으로	수준/ncn+으로/jca
한자리수	한/nnc+자리/ncn+수/ncn
인상률에	인상/ncn+률/xsn+에/jca
묶일	묶이/pvg+ㄹ/etm
전망이다.	전망/ncn+이/jp+다/ef+./sf
그러나	그러나/maj
인상률이	인상/ncn+률/xsn+이/jcs
한자리수에	한/nnc+자리/ncn+수/ncn+에/jca
그치더라도	그치/pvg+더라도/ecs
의과대나	의과대/ncn+나/jcj
치대	치대/ncn
등	등/nbn
일부	일부/ncn
계열의	계열/ncn+의/jcm
연간	연간/ncn
등록금은	등록/ncn+금/xsn+은/jxc
사상	사상/ncn
처음으로	처음/ncn+으로/jca
600만원선을	600만/nnc+원/nbu+선/ncn+을/jco
돌파할	돌파/ncpa+하/xsv+ㄹ/etm
전망이다.	전망/ncn+이/jp+다/ef+./sf
연세대의	연세대/nq+의/jcm
경우	경우/ncn
등록금을	등록/ncn+금/xsn+을/jco
5%	5/nnc+%/su
올린다는	올리/pvg+ㄴ다/ef+는/etm
전제하에	전제/ncn+하/nbn+에/jca
내년	내년/ncn
예산을	예산/ncn+을/jco
편성중이다.	편성/ncn+중/nbn+이/jp+다/ef+./sf
서강대도	서강대/nq+도/jxc
`경제난과	`/sl+경제/ncn+난/xsn+과/jcj
학부모	학부모/ncn
가계	가계/ncn
부담을	부담/ncn+을/jco
감안,내년	감안/ncn+,/sp+내년/ncn
예산을	예산/ncn+을/jco
편성하라'는	편성/ncpa+하/xsv+라/ef+'/sr+는/etm
이상일총장의	이상일/nq+총장/ncn+의/jcm
지침에	지침/ncn+에/jca
따라	따르/pvg+아/ecs
5%가	5/nnc+%/su+가/jcs
조금	조금/mag
넘는	넘/pvg+는/etm
선에서	선/ncn+에서/jca
인상률을	인상/ncn+률/xsn+을/jco
결정할	결정/ncpa+하/xsv+ㄹ/etm
방침인	방침/ncn+이/jp+ㄴ/etm
것으로	것/nbn+으로/jca
알려졌다.	알리/pvg+어/ecx+지/px+었/ep+다/ef+./sf
한양대는	한양대/nq+는/jxc
등록금	등록/ncn+금/xsn
인상	인상/ncn
관련	관련/ncn
실무자	실무/ncn+자/xsn
회의를	회의/ncn+를/jco
몇차례	몇/mma+차례/nbu
한	하/pvg+ㄴ/etm
결과	결과/ncn
올해	올해/ncn
인상률인	인상/ncn+률/xsn+이/jp+ㄴ/etm
6%선에	6/nnc+%/su+선/ncn+에/jca
동결키로	동결/ncpa+키/etn+로/jca
의견	의견/ncn
접근이	접근/ncn+이/jcs
이뤄지고	이루/pvg+어/ecx+지/px+고/ecx
있으며	있/px+으며/ecc
동국,건국,단국,숙명여대	동국/nq+,/sp+건국/nq+,/sp+단국/nq+,/sp+숙명여대/nq
등	등/nbn
다른	다르/paa+ㄴ/etm
대학들도	대학/ncn+들/xsn+도/jxc
올해	올해/ncn
수준(5-7%선)을	수준/ncn+(/sl+5/nnc+-/sd+7/nnc+%/su+선/ncn+)/sr+을/jco
유력하게	유력/ncps+하/xsm+게/ecs
검토하고	검토/ncpa+하/xsv+고/ecx
있다.	있/px+다/ef+./sf
이런	이런/mmd
가운데	가운데/ncn
성균관대가	성균관대/nq+가/jcs
내년	내년/ncn
등록금	등록/ncn+금/xsn
인상률을	인상/ncn+률/xsn+을/jco
8%	8/nnc+%/su
이상으로	이상/ncn+으로/jca
높게	높/paa+게/ecs
잡았다는	잡/pvg+았/ep+다/ef+는/etm
소문이나돌아	소문/ncn+이/jcs+나돌/pvg+아/ecs
다른	다른/mmd
대학들이	대학/ncn+들/xsn+이/jcs
촉각을	촉각/ncn+을/jco
곤두세우고	곤두세우/pvg+고/ecx
있다.	있/px+다/ef+./sf
시민단체들도	시민/ncn+단체/ncn+들/xsn+도/jxc
일제히	일제/ncn+히/xsa
성명을	성명/ncn+을/jco
내어	내/pvg+어/ecs
법원의	법원/ncn+의/jcm
결정에	결정/ncn+에/jca
반발했다.	반발/ncpa+하/xsv+었/ep+다/ef+./sf
2일	2/nno+일/nbu
오후	오후/ncn
4시53분께	4/nno+시/nbu+53/nno+분/nbu+께/xsn
전남	전남/nq
영광군	영광군/nq
홍농읍	홍농읍/nq
