<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0300.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0300.txt </filename>
<title>수학과의 만남  </title>
<author>써지 랭 저 ; 송교식 역  </author>
<date>1992  </date>
<publisher>가서원  </publisher>
<kdc>410  </kdc>
<ddc> 510 </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
수학을	수학/ncn+을/jco
선생님은	선생/ncn+님/xsn+은/jxc
그려낼	그리/pvg+어/ecx+내/px+ㄹ/etm
재주가	재주/ncn+가/jcs
제겐	저/npp+에게/jca+는/jxc
없습니다	없/paa+습니다/ef
.	./sf
그러니	그러니/maj
4	4/nno
차원에서의	차원/ncn+에서/jca+의/jcm
입체를	입체/ncn+를/jco
가정해	가정/ncpa+하/xsv+어/ecx
봅시다	보/px+ㅂ시다/ef
.	./sf
그리고	그리고/maj
각	각/mma
4	4/nno
차원의	차원/ncn+의/jcm
방향으로	방향/ncn+으로/jca
인수	인수/ncn
r	r/f
만큼씩	만큼/nbn+씩/xsn
팽창시켜	팽창/ncpa+시키/xsv+어/ecx
봅시다	보/px+ㅂ시다/ef
.	./sf
입체의	입체/ncn+의/jcm
부피는	부피/ncn+는/jxc
얼마나	얼마나/mag
변하겠습니까	변하/pvg+겠/ep+습니까/ef
?	?/sf
쉐릴	쉐릴/nq
?	?/sf
쉐릴	쉐릴/nq
:	:/sp
r	r/f
네	네/nnc
제곱	제곱/ncn
곱하기	곱하기/ncn
V	V/f
입니다	이/jp+ㅂ니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
V	V/f
가	가/jcs
4	4/nno
차원의	차원/ncn+의/jcm
부피일	부피/ncn+이/jp+ㄹ/etm
때	때/ncn
,	,/sp
입니다	이/jp+ㅂ니다/ef
.	./sf
그럼	그럼/mag
n	n/f
차원에서	차원/ncn+에서/jca
하나의	하나/ncn+의/jcm
입체를	입체/ncn+를/jco
가정하면	가정/ncpa+하/xsv+면/ecs
,	,/sp
그리고	그리고/maj
그	그/mmd
입체를	입체/ncn+를/jco
n	n/f
차원의	차원/ncn+의/jcm
각	각/mma
방향으로	방향/ncn+으로/jca
인수	인수/ncn
r	r/f
만큼씩	만큼/nbn+씩/xsn
팽창시킨다고	팽창/ncpa+시키/xsv+ㄴ다/ef+고/jcr
합시다	하/pvg+ㅂ시다/ef
.	./sf
그러면	그러면/maj
부피는	부피/ncn+는/jxc
얼마나	얼마나/mag
변하겠습니까	변하/pvg+겠/ep+습니까/ef
?	?/sf
써지	써지/nq
:	:/sp
r	r/f
의	의/jcm
n	n/f
제곱입니다	제곱/ncn+이/jp+ㅂ니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
,	,/sp
그것인	그것/npd+이/jp+ㄴ/etm
n	n/f
차원에서의	차원/ncn+에서/jca+의/jcm
값입니다	값/ncn+이/jp+ㅂ니다/ef
.	./sf
오	오/ncn
케이	케이/ncn
?	?/sf
무슨	무슨/mmd
문제가	문제/ncn+가/jcs
있습니까	있/paa+습니까/ef
?	?/sf
싼드라	싼드라/nq
?	?/sf
싼드라	싼드라/nq
:	:/sp
아니요	아니/paa+요/jxf
.(	./sf+(/sl
나머지	나머지/ncn
학생들은	학생/ncn+들/xsn+은/jxc
고개를	고개/ncn+를/jco
끄덕거린다	끄덕거리/pvg+ㄴ다/ef
.	./sf
완전히	완전/ncn+히/xsa
이해한	이해/ncpa+하/xsv+ㄴ/etm
듯	듯/nbn
보인다	보이/pvg+ㄴ다/ef
.)	./sf+)/sr
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
좋습니다	좋/paa+습니다/ef
.	./sf
그러면	그러면/maj
n	n/f
차원에서의	차원/ncn+에서/jca+의/jcm
부피가	부피/ncn+가/jcs
어떻게	어떻/pad+게/ecs
변하는지를	변하/pvg+는지/ef+를/jco
보았습니다	보/pvg+았/ep+습니다/ef
.	./sf
3	3/nno
차원으로	차원/ncn+으로/jca
돌아가서	돌/pvg+아/ecs+가/pvg+서/ecs
,	,/sp
몇몇	몇몇/mma
표준	표준/ncn
도형들의	도형/ncn+들/xsn+의/jcm
부피가	부피/ncn+가/jcs
어떻게	어떻/pad+게/ecs
변하는지를	변하/pvg+는지/ecs+를/jco
봅시다	보/pvg+ㅂ시다/ef
.	./sf
하지만	하지만/maj
n	n/f
차원에서의	차원/ncn+에서/jca+의/jcm
가능성에	가능/ncn+성/xsn+에/jca
대해서	대하/pvg+어서/ecs
여러분이	여러분/npp+이/jcs
어떻게	어떻/pad+게/ecs
반응하는지를	반응/ncpa+하/xsv+는지/ecs+를/jco
보겠습니다	보/pvg+겠/ep+습니다/ef
.	./sf
(	(/sl
웃음	웃음/ncn
)	)/sr
어려분이	어려분/ncn+이/jcs
그것을	그것/npd+을/jco
따라가는	따르/pvg+아/ecs+가/pvg+는/etm
것을	것/nbn+을/jco
보고	보/pvg+고/ecc
전	저/npp+ㄴ/jxc
약간	약간/ncn
놀랐습니다	놀라/pvg+았/ep+습니다/ef
.	./sf
좋습니다	좋/paa+습니다/ef
.	./sf
피라미드나	피라미드/ncn+나/jcj
원뿔	원뿔/ncn
같은	같/paa+은/etm
도형들에서	도형/ncn+들/xsn+에서/jca
부피를	부피/ncn+를/jco
재	재/pvg+어/ecx
보기로	보/px+기/etn+로/jca
합시다	하/pvg+ㅂ시다/ef
.	./sf
피라미드부터	피라미드/ncn+부터/jxc
합시다	하/pvg+ㅂ시다/ef
.	./sf
우선	우선/mag
,	,/sp
밑변이	밑변/ncn+이/jcs
정사각형인	정사각형/ncn+이/jp+ㄴ/etm
,	,/sp
가장	가장/mag
단순한	단순/ncps+하/xsm+ㄴ/etm
피라미드	피라미드/ncn
형태를	형태/ncn+를/jco
골라	고르/pvg+아/ecs
,	,/sp
이집트의	이집트/nq+의/jcm
피라미드처럼	피라미드/ncn+처럼/jca
피라미드를	피라미드/ncn+를/jco
곧바로	곧바로/mag
세워놓습니다	세우/pvg+어/ecs+놓/pvg+습니다/ef
.	./sf
저기	저기/npd
피라미드가	피라미드/ncn+가/jcs
보이지요	보이/pvg+지/ef+요/jxf
?	?/sf
피라미드의	피라미드/ncn+의/jcm
정상은	정상/ncn+은/jxc
꼭지점이라고	꼭지/ncn+점/ncn+이/jp+라/ef+고/jcr
부릅니다	부르/pvg+ㅂ니다/ef
.	./sf
이	이/mmd
피라미드는	피라미드/ncn+는/jxc
각	각/mma
변이	변/ncn+이/jcs
a	a/f
,	,/sp
a	a/f
인	이/jp+ㄴ/etm
정사각형	정사각형/ncn
밑변을	밑변/ncn+을/jco
가지고	가지/pvg+고/ecx
있고	있/px+고/ecc
,	,/sp
h	h/f
는	는/jxc
피라미드의	피라미드/ncn+의/jcm
수직	수직/ncn
높이입니다	높이/ncn+이/jp+ㅂ니다/ef
.	./sf
부피가	부피/ncn+가/jcs
얼마라고	얼마/ncn+라/ef+고/jcr
생각됩니까	생각/ncpa+되/xsv+ㅂ니까/ef
?	?/sf
부피를	부피/ncn+를/jco
계산하는	계산/ncpa+하/xsv+는/etm
공식이	공식/ncn+이/jcs
뭐지요	뭐/npd+지/ef+요/jxf
?	?/sf
또	또/maj
하나의	하나/ncn+의/jcm
피라미드는	피라미드/ncn+는/jxc
직사각형	직사각형/ncn
밑변을	밑변/ncn+을/jco
가지고	가지/pvg+고/ecx
있습니다	있/px+습니다/ef
.	./sf
켄	켄/nq
,	,/sp
부피를	부피/ncn+를/jco
계산할	계산/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있습니까	있/paa+습니까/ef
?	?/sf
켄	켄/nq
:	:/sp
abh	abh/f
의	의/jcm
이	이/nnc
분의	분/nbn+의/jcm
일인가요	일/nnc+이/jp+ㄴ가/ef+요/jxf
?	?/sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
짐작입니까	짐작/ncn+이/jp+ㅂ니까/ef
?	?/sf
켄	켄/nq
:	:/sp
예	예/ii
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
쉐릴	쉐릴/nq
,	,/sp
얼마라고	얼마/ncn+라/ef+고/jcr
생각됩니까	생각/ncpa+되/xsv+ㅂ니까/ef
?	?/sf
쉐릴	쉐릴/nq
:	:/sp
같습니다	같/paa+습니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
이란	이/jp+라/ef+ㄴ/etm
말이죠	말/ncn+이/jp+지/ef+요/jxf
?	?/sf
학생은	학생/ncn+은/jxc
어떻게	어떻/pad+게/ecs
생각합니까	생각/ncpa+하/xsv+ㅂ니까/ef
?(	?/sf+(/sl
한	한/nnc
학생을	학생/ncn+을/jco
가리키며	가리키/pvg+며/ecs
)	)/sr
찰리	찰리/nq
:	:/sp
삼	삼/nnc
분의	분/nbn+의/jcm
일입니다	일/nnc+이/jp+ㅂ니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
아	아/ii
,	,/sp
아돌프는	아돌프/nq+는/jxc
삼	삼/nnc
분의	분/nbn+의/jcm
일이라고	일/nnc+이/jp+라/ef+고/jcr
말하는군요	말/ncpa+하/xsv+는군/ef+요/jxf
.(	./sf+(/sl
더	더/mag
큰	크/paa+ㄴ/etm
웃음	웃음/ncn
.	./sf
그	그/npp
사람은	사람/ncn+은/jxc
아돌프가	아돌프/nq+가/jcc
아니었다	아니/paa+었/ep+다/ef
.)	./sf+)/sr
아	아/ii
-,	-/sd+,/sp
미안	미안/ncn
,	,/sp
이름이	이름/ncn+이/jcs
뭐죠	뭐/npd+지/ef+요/jxf
?	?/sf
찰리	찰리/nq
:	:/sp
찰리	찰리/nq
(	(/sl
Chalie	Chalie/f
)	)/sr
입니다	이/jp+ㅂ니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
미안합니다	미안/ncpa+하/xsv+ㅂ니다/ef
.	./sf
혼동했습니다	혼동/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
찰리는	찰리/nq+는/jxc
이라고	이/jp+라/ef+고/jcr
말했습니다	말/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
또	또/maj
다른	다르/paa+ㄴ/etm
추측은	추측/ncn+은/jxc
없습니까	없/paa+습니까/ef
?	?/sf
한	한/nnc
학생	학생/ncn
:	:/sp
abh	abh/f
의	의/jcm
사	사/nnc
분의	분/nbn+의/jcm
일입니다	일/nnc+이/jp+ㅂ니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
abh	abh/f
라고요	라/ef+고/jcr+요/jxf
?	?/sf
다른	다르/paa+ㄴ/etm
학생	학생/ncn
:	:/sp
abh	abh/f
의	의/jcm
오	오/nnc
분의	분/nbn+의/jcm
일인가요	일/nnc+이/jp+ㄴ가/ef+요/jxf
?(	?/sf+(/sl
웃음	웃음/ncn
)	)/sr
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
자	자/ii
,	,/sp
잠깐	잠깐/ncn
동안만	동안/ncn+만/jxc
이것에	이것/npd+에/jca
대해	대하/pvg+어/ecs
얘기들을	얘기/ncn+들/xsn+을/jco
해보세요	하/pvg+어/ecx+보/px+시/ep+에/ef+요/jxf
.(	./sf+(/sl
몇몇	몇몇/mma
학생들이	학생/ncn+들/xsn+이/jcs
문제에	문제/ncn+에/jca
대해	대하/pvg+어/ecs
토론한다	토론/ncpa+하/xsv+ㄴ다/ef
.)	./sf+)/sr
좋습니다	좋/paa+습니다/ef
.	./sf
제가	제/npp+가/jcs
말하겠습니다	말/ncpa+하/xsv+겠/ep+습니다/ef
.	./sf
정답은	정답/ncn+은/jxc
삼	삼/nnc
분의	분/nbn+의/jcm
일입니다	일/nnc+이/jp+ㅂ니다/ef
.	./sf
그것이	그것/npd+이/jcs
정답입니다	정답/ncn+이/jp+ㅂ니다/ef
:	:/sp
직사각형	직사각형/ncn
밑면을	밑면/ncn+을/jco
가진	가지/pvg+ㄴ/etm
피라미드의	피라미드/ncn+의/jcm
부피는	부피/ncn+는/jxc
abh	abh/f
이다	이/jp+다/ef
.	./sf
그건	그거/npd+ㄴ/jxc
그렇고	그렇/pad+고/ecs
이것을	이것/npd+을/jco
어디서	어디/npd+서/jca
얻었습니까	얻/pvg+었/ep+습니까/ef
?	?/sf
찰리	찰리/nq
:	:/sp
선생님께선	선생/ncn+님/xsn+께서/jcs+ㄴ/jxc
세	세/nnc
가지	가지/nbu
다른	다르/paa+ㄴ/etm
차원을	차원/ncn+을/jco
가졌고	가지/pvg+었/ep+고/ecc
,	,/sp
삼각형에선	삼각형/ncn+에서/jca+ㄴ/jxc
이	이/nnc
분의	분/nbn+의/jcm
일이니까	일/nnc+이/jp+니까/ecs
,	,/sp
삼	삼/nnc
분의	분/nbn+의/jcm
일이라고	일/nnc+이/jp+라/ef+고/jcr
생각했습니다	생각/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
그걸	그것/npd+을/jco
살펴보니	살피/pvg+어/ecs+보/pvg+니/ecs
그럴	그렇/pad+ㄹ/etm
것	것/nbn
같았어요	같/paa+았/ep+어/ef+요/jxf
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
놀라운	놀랍/paa+ㄴ/etm
직관이군요	직관/ncn+이/jp+군/ef+요/jxf
.	./sf
물론	물론/mag
,	,/sp
증명은	증명/ncn+은/jxc
아닙니다만	아니/paa+ㅂ니다/ef+만/jxc
,	,/sp
제대로	제대로/mag
추측했습니다	추측/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
그럼	그럼/mag
이제	이제/mag
그것을	그것/npd+을/jco
증명하는	증명/ncpa+하/xsv+는/etm
문제가	문제/ncn+가/jcs
남았군요	남/pvg+았/ep+군/ef+요/jxf
.	./sf
찰리	찰리/nq
,	,/sp
어떻게	어떻/pad+게/ecs
증명하겠습니까	증명/ncpa+하/xsv+겠/ep+습니까/ef
?	?/sf
(	(/sl
조용하다	조용/ncps+하/xsm+다/ef
.)	./sf+)/sr
피라미드를	피라미드/ncn+를/jco
어떻게	어떻/pad+게/ecs
얻었습니까	얻/pvg+었/ep+습니까/ef
?	?/sf
그	그/mmd
안에는	안/ncn+에/jca+는/jxc
세	세/nnc
개의	개/nbu+의/jcm
숫자가	숫자/ncn+가/jcs
있습니다	있/paa+습니다/ef
.	./sf
한	한/nnc
변은	변/ncn+은/jxc
a	a/f
,	,/sp
다른	다르/paa+ㄴ/etm
한	한/nnc
변은	변/ncn+은/jxc
b	b/f
,	,/sp
그리고	그리고/maj
세	세/nnc
번째	번째/nbu
방향	방향/ncn
,	,/sp
즉	즉/mag
높이인	높이/ncn+이/jp+ㄴ/etm
h	h/f
입니다	이/jp+ㅂ니다/ef
.	./sf
우리는	우리/npp+는/jxc
어떤	어떤/mmd
인수에	인수/ncn+에/jca
의해	의하/pvg+어/ecs
부피가	부피/ncn+가/jcs
어떻게	어떻/pad+게/ecs
변하는지를	변하/pvg+는지/ecs+를/jco
알고	알/pvg+고/ecx
있습니다	있/px+습니다/ef
.	./sf
가장	가장/mag
간단한	간단/ncps+하/xsm+ㄴ/etm
경우를	경우/ncn+를/jco
봅시다	보/pvg+ㅂ시다/ef
.	./sf
가장	가장/mag
간단한	간단/ncps+하/xsm+ㄴ/etm
경우	경우/ncn
그러니까	그러니까/maj
,	,/sp
각	각/mma
변이	변/ncn+이/jcs
1	1/nnc
인	이/jp+ㄴ/etm
정사각형	정사각형/ncn
밑면을	밑면/ncn+을/jco
가졌을	가지/pvg+었/ep+을/etm
때	때/ncn
,	,/sp
높이를	높이/ncn+를/jco
얼마로	얼마/ncn+로/jca
생각하는	생각/ncpa+하/xsv+는/etm
게	거/nbn+이/jcs
좋을까요	좋/paa+을까/ef+요/jxf
,	,/sp
찰리	찰리/nq
?	?/sf
찰리	찰리/nq
:	:/sp
3	3/nnc
입니다	이/jp+ㅂ니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
아닙니다	아니/paa+ㅂ니다/ef
.	./sf
왜	왜/mag
높이가	높이/ncn+가/jcs
3	3/nnc
일거라고	이/jp+ㄹ/etm+거/nbn+라/ef+고/jcr
생각했습니까	생각/ncpa+하/xsv+었/ep+습니까/ef
?	?/sf
찰리	찰리/nq
:	:/sp
3	3/nnc
으로	으로/jca
나누어야	나누/pvg+어야/ecs
하니까요	하/px+니까/ef+요/jxf
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
좋습니다	좋/paa+습니다/ef
.	./sf
그렇게	그렇/pad+게/ecx
하죠	하/px+지/ef+요/jxf
.	./sf
그가	그/npp+가/jcs
피라미드의	피라미드/ncn+의/jcm
높이가	높이/ncn+가/jcs
3	3/nnc
이었으면	이/jp+었/ep+으면/ecs
하니까	하/pvg+니까/ecs
,	,/sp
그것이	그것/npd+이/jcs
학생이	학생/ncn+이/jcs
생각할	생각/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
가장	가장/mag
간단한	간단/ncps+하/xsm+ㄴ/etm
경우인가요	경우/ncn+이/jp+ㄴ가/ef+요/jxf
?	?/sf
이	이/mmd
물체의	물체/ncn+의/jcm
부피를	부피/ncn+를/jco
증명하기	증명/ncpa+하/xsv+기/etn
위해	위하/pvg+어/ecs
어떻게	어떻/pad+게/ecx
해야	하/px+어야/ecs
합니까	하/px+ㅂ니까/ef
?	?/sf
봅시다	보/pvg+ㅂ시다/ef
.	./sf
이	이/mmd
물체의	물체/ncn+의/jcm
부피를	부피/ncn+를/jco
안다면	알/pvg+ㄴ다/ef+면/ecs
,	,/sp
이것의	이것/npd+의/jcm
팽창된	팽창/ncpa+되/xsv+ㄴ/etm
부피도	부피/ncn+도/jxc
알	알/pvg+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
높이가	높이/ncn+가/jcs
3	3/nnc
인	이/jp+ㄴ/etm
학생의	학생/ncn+의/jcm
피라미드에서는	피라미드/ncn+에서/jca+는/jxc
,	,/sp
균형이	균형/ncn+이/jcs
맞지가	맞/pvg+지/ecx+가/jcs
않군요	않/px+군/ef+요/jxf
.	./sf
높이가	높이/ncn+가/jcs
너무	너무/mag
멋대로입니다	멋/ncn+대로/jxc+이/jp+ㅂ니다/ef
.	./sf
찾을	찾/pvg+을/etm
수	수/nbn
있는	있/paa+는/etm
더	더/mag
균형잡힌	균형/ncn+잡히/pvg+ㄴ/etm
피라미드를	피라미드/ncn+를/jco
찾아봅시다	찾/pvg+아/ecx+보/px+ㅂ시다/ef
.	./sf
쉐릴	쉐릴/nq
:	:/sp
높이가	높이/ncn+가/jcs
2	2/nnc
이면	이/jp+면/ecs
될까요	되/pvg+ㄹ까/ef+요/jxf
?	?/sf0
써지	써지/nq
혹은	혹은/maj
켄	켄/nq
:	:/sp
일	일/nnc
?	?/sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
일이면	일/nnc+이/jp+면/ecs
충분할	충분/ncps+하/xsm+ㄹ/etm
것	것/nbn
같군요	같/paa+군/ef+요/jxf
.	./sf
좋습니다	좋/paa+습니다/ef
.	./sf
훨씬	훨씬/mag
균형있게	균형/ncn+있/paa+게/ecs
보입니다	보이/jp+ㅂ니다/ef
.	./sf
그러나	그러나/maj
높이가	높이/ncn+가/jcs
1	1/nnc
이더라도	이/jp+더라도/ecs
,	,/sp
어떻게	어떻/pad+게/ecs
증명하겠습니까	증명/ncpa+하/xsv+겠/ep+습니까/ef
?	?/sf
여전히	여전/ncn+히/xsa
문제가	문제/ncn+가/jcs
있습니다	있/paa+습니다/ef
.	./sf
잠시만	잠시/ncn+만/jxc
문제를	문제/ncn+를/jco
주목하면	주목/ncpa+하/xsv+면/ecs
,	,/sp
증명하는	증명/ncpa+하/xsv+는/etm
방법을	방법/ncn+을/jco
마침내	마침내/mag
찾으리라고	찾/pvg+으리라/ef+고/jcr
봅니다	보/pvg+ㅂ니다/ef
.	./sf
그러나	그러나/maj
단지	단지/mag
40	40/nnc
분	분/nbu
밖엔	밖에/jxc+ㄴ/jxc
없으니	없/paa+으니/ecs
,	,/sp
마술에서처럼	마술/ncn+에서/jca+처럼/jca
모자에서	모자/ncn+에서/jca
토끼를	토끼/ncn+를/jco
꺼내	꺼내/pvg+어/ecs
보여주겠습니다	보이/pvg+어/ecx+주/px+겠/ep+습니다/ef
.	./sf
더	더/mag
이상	이상/ncn
선택의	선택/ncn+의/jcm
여지가	여지/ncn+가/jcs
없다는	없/paa+다/ef+는/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
한	한/nnc
번	번/nbu
더	더/mag
여러분을	여러분/npp+을/jco
만날	만나/pvg+ㄹ/etm
수	수/nbn
있다면	있/paa+다/ef+면/ecs
,	,/sp
오늘은	오늘/ncn+은/jxc
여기서	여기/npd+서/jca
끝내고	끝/ncn+내/pvg+고/ecc
집에	집/ncn+에/jca
가서	가/pvg+서/ecs
자기	자/pvg+기/etn
전에	전/ncn+에/jca
이	이/mmd
문제를	문제/ncn+를/jco
생각해	생각/ncpa+하/xsv+어/ecx
보라고	보/px+라/ef+고/jcr
말할텐데	말/ncpa+하/xsv+ㄹ텐데/ef
,	,/sp
그러면	그러면/maj
여러분	여러분/npp
자신이	자신/ncn+이/jcs
그것을	그것/npd+을/jco
풀고나서	풀/pvg+고/ecx+나/px+서/ecs
그걸	그것/npd+을/jco
재미있게	재미/ncn+있/paa+게/ecs
여길	여기/pvg+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
자	자/ii
,	,/sp
이제	이제/mag
그	그/mmd
재미를	재미/ncn+를/jco
방해해야	방해/ncpa+하/xsv+어야/ecs
하겠습니다	하/px+겠/ep+습니다/ef
.	./sf
겨우	겨우/mag
40	40/nnc
분밖에	분/nbu+밖에/jxc
없으니까요	없/paa+으니까/ef+요/jxf
.	./sf
증명은	증명/ncn+은/jxc
다음과	다음/ncn+과/jct
같습니다	같/paa+습니다/ef
.	./sf
가장	가장/mag
간단한	간단/ncps+하/xsm+ㄴ/etm
경우이지요	경우/ncn+이/jp+지/ef+요/jxf
.(	./sf+(/sl
써지가	써지/nq+가/jcs
손을	손/ncn+을/jco
든다	들/pvg+ㄴ다/ef
.)-	./sf+)/sr+-/sd
예	예/ii
?	?/sf
써지	써지/nq
:	:/sp
제	제/npp
생각에는	생각/ncn+에/jca+는/jxc
선생님께선	선생/ncn+님/xsn+께서/jcs+ㄴ/jxc
세	세/nnc
피라미드를	피라미드/ncn+를/jco
가지고	가지/pvg+고/ecs
,	,/sp
각	각/mma
모퉁이를	모퉁이/ncn+를/jco
맞추어서	맞추/pvg+어서/ecs
,	,/sp
상자를	상자/ncn+를/jco
만들	만들/pvg+ㄹ/etm
수가	수/nbn+가/jcs
있을	있/paa+을/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
예	예/ii
,	,/sp
예	예/ii
와	와/ii
,	,/sp
그가	그/npp+가/jcs
생각해	생각/ncpa+하/xsv+어/ecx
냈군요	내/px+었/ep+군/ef+요/jxf
.	./sf
무얼	무어/npd+ㄹ/jco
하려고요	하/pvg+려고/ef+요/jxf
?	?/sf
써지가	써지/nq+가/jcs
어떻게	어떻/pad+게/ecx
하기를	하/px+기/etn+를/jco
원하는	원하/pvg+는/etm
걸까요	것/nbn+이/jp+ㄹ까/ef+요/jxf
?	?/sf
쉐릴	쉐릴/nq
:	:/sp
그는	그/npp+는/jxc
두	두/nnc
개의	개/nbu+의/jcm
피라미드를	피라미드/ncn+를/jco
같은	같/paa+은/etm
방향으로	방향/ncn+으로/jca
맞추어서	맞추/pvg+어서/ecs
상자를	상자/ncn+를/jco
만들려는	만들/pvg+려/ecs+는/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
그렇습니다	그렇/pad+습니다/ef
.	./sf
그렇지만	그렇지만/maj
두	두/nnc
개를	개/nbu+를/jco
가지고	가지/pvg+고/ecx
할	하/px+ㄹ/etm
수	수/nbn
있을까	있/paa+을까/ef
?	?/sf
써지	써지/nq
:	:/sp
아닙니다	아니/paa+ㅂ니다/ef
.	./sf
제	제/npp
생각에는	생각/ncn+에/jca+는/jxc
세	세/nnc
개라면	개/nbu+라/ef+면/ecs
맞을	맞/pvg+을/etm
것	것/nbn
같습니다	같/paa+습니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
그러니까	그러니까/maj
,	,/sp
세	세/nnc
개의	개/nbu+의/jcm
피라미드가	피라미드/ncn+가/jcs
직육면체로	직육면체/ncn+로/jca
맞추어	맞추/pvg+어/ecx
질	지/px+ㄹ/etm
거라는	거/nbn+라/ef+는/etm
거죠	거/nbn+지/ef+요/jxf
?	?/sf
써지	써지/nq
:	:/sp
피라미드의	피라미드/ncn+의/jcm
모퉁이들을	모퉁이/ncn+들/xsn+을/jco
직육면체의	직육면체/ncn+의/jcm
모서리에	모서리/ncn+에/jca
맞추면	맞추/pvg+면/ecs
두	두/nnc
개의	개/nbu+의/jcm
각이	각/ncn+이/jcs
모서리를	모서리/ncn+를/jco
이루게	이루/pvg+게/ecs
될	되/pvg+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
써지	nq[써지/nq
랭	랭/nq]nq
:	:/sp
아	아/ii
,	,/sp
가능한	가능/ncps+하/xsm+ㄴ/etm
이야기입니다	이야기/ncn+이/jp+ㅂ니다/ef
.	./sf
그렇지만	그렇지만/maj
정말	정말/mag
그럴까요	그러하/pad+ㄹ까/ef+요/jxf
?	?/sf
어떻게	어떻/pad+게/ecs
?	?/sf
하나의	하나/ncn+의/jcm
피라미드를	피라미드/ncn+를/jco
이렇게	이렇/pad+게/ecs
한	한/nnc
모퉁이에	모퉁이/ncn+에/jca
높으면	높/paa+으면/ecs
,	,/sp
다른	다르/paa+ㄴ/etm
것들을	것/nbn+들/xsn+을/jco
비스듬하게	비스듬/ncps+하/xsm+게/ecs
놓아야	놓/pvg+아야/ecs
합니다	하/px+ㅂ니다/ef
.	./sf
정점을	정점/ncn+을/jco
밑면	밑면/ncn
위에	위/ncn+에/jca
갖는	갖/pvg+는/etm
똑바른	똑바르/paa+ㄴ/etm
피라미드가	피라미드/ncn+가/jcc
될	되/pvg+ㄹ/etm
것	것/nbn
같지	같/paa+지/ecx
않습니다	않/px+습니다/ef
.	./sf
피라미드가	피라미드/ncn+가/jcs
비스듬하게	비스듬/ncps+하/xsm+게/ecs
되면	되/pvg+면/ecs
,	,/sp
새로운	새롭/paa+ㄴ/etm
현상에	현상/ncn+에/jca
부딪히게	부딪히/pvg+게/ecs
될텐데	되/pvg+ㄹ텐데/ef
,	,/sp
이것은	이것/npd+은/jxc
조금	조금/mag
후에	후/ncn+에/jca
곧	곧/maj
얘기하게	얘기/ncpa+하/xsv+게/ecs
될	되/pvg+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
좋은	좋/paa+은/etm
현상이니까요	현상/ncn+이/jp+니까/ef+요/jxf
.	./sf
그러나	그러나/maj
기울어진	기울/pvg+어/ecx+지/px+ㄴ/etm
것은	것/nbn+은/jxc
새로운	새롭/paa+ㄴ/etm
문제를	문제/ncn+를/jco
일으킵니다	일으키/pvg+ㅂ니다/ef
.	./sf
(	(/sl
직육면체	직육면체/nq
안에	안/ncn+에/jca
피라미드를	피라미드/ncn+를/jco
어떻게	어떻/pad+게/ecs
놓을	놓/pvg+ㄹ/etm
