
그리스	그리스/nq
.	./sf

1915	1915/nno
년	년/nbu
미네소타에	미네소타/nq+에/jca
있는	있/paa+는/etm
메이오	메이오/nq
재단의	재단/ncn+의/jcm
연구가였던	연구/ncn+가/xsn+이/jp+었/ep+던/etm
켄달은	켄달/nq+은/jxc
갑상선에서	갑상선/ncn+에서/jca
호르몬처럼	호르몬/ncn+처럼/jca
행동하는	행동/ncpa+하/xsv+는/etm
요오드를	요오드/ncn+를/jco
함유한	함유/ncpa+하/xsv+ㄴ/etm
아미노산을	아미노산/ncn+을/jco
추출하여	추출/ncpa+하/xsv+어/ecs
티록신이라고	티록신/ncn+이/jp+라/ef+고/jcr
명명하였다	명명/ncpa+하/xsv+였/ep+다/ef
.	./sf

아드레날린과	아드레날린/ncn+과/jct
같이	같/paa+이/xsa
티록신은	티록신/ncn+은/jxc
티로신과	티로신/ncn+과/jct
유사하며	유사/ncps+하/xsm+며/ecc
신체	신체/ncn
내에서	내/nbn+에서/jca
티로신으로부터	티로신/ncn+으로/jca+부터/jxc
만들어진다	만들/pvg+어/ecx+지/px+ㄴ다/ef
(	(/sl
수십	수십/mma
년	년/nbu
뒤인	뒤/ncn+이/jp+ㄴ/etm
1952	1952/nno
년	년/nbu
생화학자	생화학/ncn+자/xsn
피트	nq[피트/nq
리버스와	리버스/nq]nq+와/jct
그녀의	그녀/npp+의/jcm
동료들은	동료/ncn+들/xsn+은/jxc
다른	다르/paa+ㄴ/etm
종류의	종류/ncn+의/jcm
갑상선	갑상선/ncn
호르몬으로	호르몬/ncn+으로/jca
'	'/sl
트리요오드티로닌	트리요오드티로닌/ncn
'	'/sr
을	을/jco
발견하였는데	발견/ncpa+하/xsv+였/ep+는데/ecs
이런	이런/mmd
이름이	이름/ncn+이/jcs
붙게	붙/pvg+게/ecx
된	되/pvg+ㄴ/etm
것은	것/nbn+은/jxc
요오드가	요오드/ncn+가/jcs
3	3/nnc
개	개/nbu
있었기	있/paa+었/ep+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
이	이/mmd
물질은	물질/ncn+은/jxc
티록신보다는	티록신/ncn+보다/jca+는/jxc
불안정하지만	불/xp+안정/ncps+하/xsm+지만/ecs
3	3/nnc
내지	내지/maj
5	5/nnc
배의	배/nbu+의/jcm
활성을	활성/ncn+을/jco
갖는다	갖/pvg+는다/ef
).	)/sr+./sf

활성이	활성/ncn+이/jcs
떨어지는	떨어지/pvg+는/etm
갑상선을	갑상선/ncn+을/jco
가지고	가지/pvg+고/ecx
있는	있/px+는/etm
사람은	사람/ncn+은/jxc
무기력해지고	무/xp+기력/ncps+하/xsm+어/ecx+지/px+고/ecc
느려지며	느리/paa+어/ecx+지/px+며/ecc
얼마	얼마/mag
지나면	지나/pvg+면/ecs
정신	정신/ncn
기능도	기능/ncn+도/jxc
저하되는데	저하/ncpa+되/xsv+는데/ecs
이는	이/npd+는/jxc
갖가지	갖가지/ncn
세포의	세포/ncn+의/jcm
활성이	활성/ncn+이/jcs
떨어지기	떨어지/pvg+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf

반대로	반대/ncn+로/jca
활성이	활성/ncn+이/jcs
지나친	지나치/pvg+ㄴ/etm
갑상선을	갑상선/ncn+을/jco
가지고	가지/pvg+고/ecx
있으면	있/px+으면/ecs
신경질적이거나	신경/ncn+질/xsn+적/xsn+이/jp+거나/ecc
지나치게	지나치/pvg+게/ecc
예민해지는데	예민/ncps+하/xsm+어/ecx+지/px+는데/ecs
이는	이/npd+는/jxc
모든	모든/mma
세포가	세포/ncn+가/jcs
지나친	지나치/pvg+ㄴ/etm
활동을	활동/ncn+을/jco
하기	하/pvg+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf

활성이	활성/ncn+이/jcs
떨어지거나	떨어지/pvg+거나/ecc
지나친	지나치/pvg+ㄴ/etm
활성을	활성/ncn+을/jco
갖는	갖/pvg+는/etm
갑상선은	갑상선/ncn+은/jxc
부종의	부종/ncn+의/jcm
원인이	원인/ncn+이/jcc
될	되/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf

사람의	사람/ncn+의/jcm
기초	기초/ncn
대사가	대사/ncn+가/jcs
정상보다	정상/ncn+보다/jca
높거나	높/paa+거나/ecc
낮으면	낮/paa+으면/ecs
갑상선을	갑상선/ncn+을/jco
의심하게	의심/ncpa+하/xsv+게/ecx
된다	되/pvg+ㄴ다/ef
.	./sf

기초	기초/ncn
대사의	대사/ncn+의/jcm
측정은	측정/ncn+은/jxc
,	,/sp
피검사가	피/ncn+검사/ncn+가/jcs
검사	검사/ncn
전	전/ncn
일정	일정/ncn
기간	기간/ncn
음식을	음식/ncn+을/jco
먹지	먹/pvg+지/ecx
않아야	않/px+아야/ecx
하고	하/px+고/ecc
,	,/sp
측정하는	측정/ncpa+하/xsv+는/etm
반	반/ncn
시간	시간/ncn
동안	동안/ncn
누워	눕/pvg+어/ecx
있어야	있/px+어야/ecs
하며	하/pvg+며/ecc
,	,/sp
말도	말/ncn+도/jxc
많이	많/paa+이/xsa
하면	하/pvg+면/ecs
안	안/mag
되는	되/pvg+는/etm
등의	등/nbn+의/jcm
여러	여러/mma
가지	가지/nbu
이유로	이유/ncn+로/jca
한때는	한때/ncn+는/jxc
매우	매우/mag
힘든	힘들/pvg+ㄴ/etm
일이었다	일/ncn+이/jp+었/ep+다/ef
.	./sf

따라서	따라서/maj
이와	이/npd+와/jct
같은	같/paa+은/etm
혈액	혈액/ncn
검사를	검사/ncn+를/jco
통해	통하/pvg+어/ecs
기초	기초/ncn
대사율을	대사/ncn+율/xsn+을/jco
간단하고	간단/ncps+하/xsm+고/ecc
빠르게	빠르/paa+게/ecc
측정할	측정/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있게	있/paa+게/ecx
되었다	되/pvg+었/ep+다/ef
.	./sf

미국에는	미국/nq+에/jca+는/jxc
150	150/nnc
만	만/nnc
명의	명/nbu+의/jcm
당뇨병	당뇨/ncn+병/ncn
환자가	환자/ncn+가/jcs
있으며	있/paa+으며/ecs
이들의	이/npd+들/xsn+의/jcm
80	80/nnc
%	%/su
가	가/jcs
45	45/nnc
세	세/nbu
이상이다	이상/ncn+이/jp+다/ef
.	./sf

이	이/mmd
이름은	이름/ncn+은/jxc
그리스어로	그리스어/nq+로/jca
'	'/sl
사이폰	사이폰/ncn
'	'/sr
을	을/jco
뜻하는데	뜻/ncpa+하/xsv+는데/ecs
(	(/sl
아마도	아마도/mag
이의	이/npd+의/jcm
명명자는	명명/ncn+자/xsn+는/jxc
몸에서	몸/ncn+에서/jca
사이폰을	사이폰/ncn+을/jco
통해	통하/pvg+어/ecs
끊임없이	끊임/ncn+없/paa+이/xsa
물이	물/ncn+이/jcs
빠져나가는	빠지/pvg+어/ecx+나/px+아/ecx+가/px+는/etm
것을	것/nbn+을/jco
상상했을	상상/ncpa+하/xsv+었/ep+을/etm
것이다	것/nbn+이/jp+다/ef
)	)/sr
가장	가장/mag
좋지	좋/paa+지/ecx
않은	않/px+은/etm
것이	것/nbn+이/jcs
진성	진성/ncn
당뇨병	당뇨/ncn+병/ncn
(	(/sl
diabetes	diabetes/f
mellitus	mellitus/f
)	)/sr
이다	이/jp+다/ef
.	./sf

멜리터스	멜리터스/ncn
(	(/sl
진성	진성/ncn
)	)/sr
는	는/jxc
그리스어로	그리스어/nq+로/jca
'	'/sl
꿀	꿀/ncn
'	'/sr
이라는	이/jp+라/ef+는/etm
뜻으로	뜻/ncn+으로/jca
이	이/mmd
질병이	질병/ncn+이/jcs
진행되면	진행/ncpa+되/xsv+면/ecs
오줌에서	오줌/ncn+에서/jca
단맛이	달/paa+ㄴ/etm+맛/ncn+이/jcs
나는	나/pvg+는/etm
것을	것/nbn+을/jco
표현한	표현/ncpa+하/xsv+ㄴ/etm
것이다	것/nbn+이/jp+다/ef
(	(/sl
이것은	이것/npd+은/jxc
아마도	아마도/mag
몇몇	몇몇/mma
영웅적인	영웅/ncn+적/xsn+이/jp+ㄴ/etm
의사들이	의사/ncn+들/xsn+이/jcs
직접	직접/mag
맛을	맛/ncn+을/jco
보아	보/pvg+아/ecs
알아냈을	알/pvg+아/ecx+내/px+었/ep+을/etm
것이다	것/nbn+이/jp+다/ef
).	)/sr+./sf

사실	사실/ncn
당뇨병	당뇨/ncn+병/ncn
환자는	환자/ncn+는/jxc
입맛이	입맛/ncn+이/jcs
당기면서도	당기/pvg+면서도/ecs
질병이	질병/ncn+이/jcs
진행됨에	진행/ncpa+되/xsv+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
체중이	체중/ncn+이/jcs
계속	계속/mag
감소한다	감소/ncpa+하/xsv+ㄴ다/ef
.	./sf

19	19/nno
세기에	세기/nbu+에/jca
독일의	독일/nq+의/jcm
생리학자	생리/ncn+학자/ncn
메링과	메링/nq+과/jcj
민코브스키는	민코브스키/nq+는/jxc
개의	개/ncn+의/jcm
이자샘을	이자샘/ncn+을/jco
제거하면	제거/ncpa+하/xsv+면/ecs
사람의	사람/ncn+의/jcm
당뇨병과	당뇨/ncn+병/ncn+과/jct
비슷한	비슷/ncps+하/xsm+ㄴ/etm
상태가	상태/ncn+가/jcc
됨을	되/pvg+ㅁ/etn+을/jco
발견하였다	발견/ncpa+하/xsv+였/ep+다/ef
.	./sf

이자에서	이자/ncn+에서/jca
나오는	나오/pvg+는/etm
도관을	도관/ncn+을/jco
묶어	묶/pvg+어/ecs
소활액이	소활액/ncn+이/jcs
나오지	나오/pvg+지/ecx
못하게	못하/px+게/ecx
하자	하/px+자/ecs
분비샘의	분비샘/ncn+의/jcm
주요	주요/ncn
부분은	부분/ncn+은/jxc
작용을	작용/ncn+을/jco
할	하/pvg+ㄹ/etm
수	수/nbn
없었지만	없/paa+었/ep+지만/ecs
랑게르한스	nq[랑게르한스/nq
섬	섬/ncn]nq
(	(/sl
1869	1869/nno
년	년/nbu
독일	독일/nq
의사	의사/ncn
랑게르한스가	랑게르한스/nq+가/jcs
발견한	발견/ncpa+하/xsv+ㄴ/etm
데서	데/nbn+서/jca
이런	이런/mmd
이름이	이름/ncn+이/jcs
붙었다	붙/pvg+었/ep+다/ef
)	)/sr
으로	으로/jca
알려진	알리/pvg+어/ecx+지/px+ㄴ/etm
세포는	세포/ncn+는/jxc
여전히	여전/ncn+히/xsa
작용을	작용/ncn+을/jco
하고	하/pvg+고/ecx
있었다	있/px+었/ep+다/ef
.	./sf

그는	그/npp+는/jxc
이	이/mmd
가상의	가상/ncn+의/jcm
호르몬을	호르몬/ncn+을/jco
인슐린	인슐린/ncn
(	(/sl
라틴어로	라틴어/nq+로/jca
'	'/sl
섬	섬/ncn
'	'/sr
이라는	이/jp+라/ef+는/etm
뜻	뜻/ncn
)	)/sr
이라	이/jp+라/ef
불렀다	부르/pvg+었/ep+다/ef
.	./sf

우리가	우리/npp+가/jcs
이미	이미/mag
알다시피	알/pvg+다시피/ecs
인슐린은	인슐린/ncn+은/jxc
단백질이기	단백질/ncn+이/jp+기/etn
때문에	때문/nbn+에/jca
화학자들이	화학/ncn+자/xsn+들/xsn+이/jcs
분리하려고	분리/ncpa+하/xsv+려고/ecs
애쓸	애/ncn+쓰/pvg+ㄹ/etm
때에도	때/ncn+에/jca+도/jxc
이자에서	이자/ncn+에서/jca
분비되는	분비/ncpa+되/xsv+는/etm
단백질	단백질/ncn
분해	분해/ncn
효소가	효소/ncn+가/jcs
이것을	이것/npd+을/jco
분해해	분해/ncpa+하/xsv+어/ecx
버렸던	버리/px+었/ep+던/etm
것이다	것/nbn+이/jp+다/ef
.	./sf

이자샘에서	이자샘/ncn+에서/jca
효소를	효소/ncn+를/jco
생성하는	생성/ncpa+하/xsv+는/etm
부위를	부위/ncn+를/jco
막아	막/pvg+아/ecs
단백질	단백질/ncn
분해	분해/ncn
효소의	효소/ncn+의/jcm
생산을	생산/ncn+을/jco
멈추게	멈추/pvg+게/ecx
한	하/px+ㄴ/etm
후	후/ncn
완전한	완전/ncps+하/xsm+ㄴ/etm
호르몬을	호르몬/ncn+을/jco
추출할	추출/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있었다	있/paa+었/ep+다/ef
.	./sf

이	이/mmd
물질은	물질/ncn+은/jxc
실제로	실제/ncn+로/jca
당뇨병에	당뇨/ncn+병/ncn+에/jca
효과가	효과/ncn+가/jcs
있음이	있/paa+음/etn+이/jcs
밝혀졌고	밝히/pvg+어/ecx+지/px+었/ep+고/ecc
,	,/sp
이후	이후/ncn
50	50/nnc
년	년/nbu
동안	동안/ncn
약	약/mma
20	20/nnc
30	30/nnc
만	만/nnc
명에	명/nbu+에/jca
이르는	이르/pvg+는/etm
당뇨병환자의	당뇨/ncn+병/ncn+환자/ncn+의/jcm
목숨을	목숨/ncn+을/jco
구한	구하/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
추정된다	추정/ncpa+되/xsv+ㄴ다/ef
.	./sf

밴팅은	밴팅/nq+은/jxc
이	이/mmd
호르몬을	호르몬/ncn+을/jco
'	'/sl
아일레틴	아일레틴/ncn
'	'/sr
이라	이/jp+라/ef
불렀지만	불르/pvg+었/ep+지만/ecs
샤피	nq[샤피/nq
셰퍼가	셰퍼/nq]nq+가/jcs
제안했던	제안/ncpa+하/xsv+었/ep+던/etm
,	,/sp
오래된	오래/ncpa+되/xsv+ㄴ/etm
라틴어	라틴어/nq
이름이	이름/ncn+이/jcs
더	더/mag
많이	많/paa+이/xsa
쓰이게	쓰이/pvg+게/ecx
되었다	되/pvg+었/ep+다/ef
.	./sf

1923	1923/nno
년	년/nbu
밴탱과	밴탱/nq+과/jcj
매클로드는	매클로드/nq+는/jxc
이	이/mmd
공로로	공로/ncn+로/jca
노벨	nq[노벨/nq
생리의학상을	생리/ncn+의학/ncn+상/ncn]nq+을/jco
받았다	받/pvg+았/ep+다/ef
(	(/sl
매클로드의	매클로드/nq+의/jcm
주요	주요/ncn
공헌은	공헌/ncn+은/jxc
그의	그/npp+의/jcm
여름	여름/ncn
휴가	휴가/ncn
동안	동안/ncn
인슐린	인슐린/ncn
발견을	발견/ncn+을/jco
위해	위하/pvg+어/ecs
자신의	자신/ncn+의/jcm
실험실을	실험/ncn+실/xsn+을/jco
쓰도록	쓰/pvg+도록/ecs
허락한	허락/ncpa+하/xsv+ㄴ/etm
것뿐이다	것/nbn+뿐/jxc+이/jp+다/ef
).	)/sr+./sf

신체는	신체/ncn+는/jxc
대부분의	대부분/ncn+의/jcm
포도당을	포도당/ncn+을/jco
글리코겐이라	글리코겐/ncn+이/jp+라/ef
불리는	불리/pvg+는/etm
일종의	일종/ncn+의/jcm
탄수화물	탄수화물/ncn
형태로	형태/ncn+로/jca
간에	간/ncn+에/jca
저장하며	저장/ncpa+하/xsv+며/ecc
(	(/sl
글리코겐은	글리코겐/ncn+은/jxc
1856	1856/nno
년	년/nbu
프랑스의	프랑스/nq+의/jcm
생리학자	생리/ncn+학자/ncn
베르나르에	베르나르/nq+에/jca
의해	의하/pvg+어/ecs
발견되었다	발견/ncpa+되/xsv+었/ep+다/ef
),	)/sr+,/sp
세포가	세포/ncn+가/jcs
요구하는	요구/ncpa+하/xsv+는/etm
에너지로	에너지/ncn+로/jca
즉시	즉시/mag
쓰일	쓰이/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
소량의	소량/ncn+의/jcm
포도당만을	포도당/ncn+만/jxc+을/jco
혈류에	혈류/ncn+에/jca
남겨	남기/pvg+어/ecx
놓는다	놓/px+는다/ef
.	./sf

혈당	혈당/ncn
농도가	농도/ncn+가/jcs
너무	너무/mag
높으면	높/paa+으면/ecs
이자는	이자/ncn+는/jxc
인슐린을	인슐린/ncn+을/jco
만들도록	만들/pvg+도록/ecs
자극받게	자극/ncn+받/pvg+게/ecx
되고	되/pvg+고/ecc
혈류로	혈류/ncn+로/jca
인슐린을	인슐린/ncn+을/jco
분비하여	분비/ncpa+하/xsv+어/ecs
포도당의	포도당/ncn+의/jcm
농도를	농도/ncn+를/jco
낮추게	낮추/pvg+게/ecx
된다	되/pvg+ㄴ다/ef
.	./sf

한편	한편/maj
포도당의	포도당/ncn+의/jcm
농도가	농도/ncn+가/jcs
너무	너무/mag
낮으면	낮/paa+으면/ecs
이자의	이자/ncn+의/jcm
인슐린	인슐린/ncn
생산이	생산/ncn+이/jcs
억제되어	억제/ncpa+되/xsv+어/ecc
혈당	혈당/ncn
농도가	농도/ncn+가/jcs
높아지게	높/paa+아/ecx+지/px+게/ecx
된다	되/pvg+ㄴ다/ef
.	./sf

인슐린의	인슐린/ncn+의/jcm
생산은	생산/ncn+은/jxc
포도당의	포도당/ncn+의/jcm
농도를	농도/ncn+를/jco
낮추고	낮추/pvg+고/ecc
,	,/sp
낮아진	낮/paa+아/ecx+지/px+ㄴ/etm
포도당	포도당/ncn
농도에	농도/ncn+에/jca
의해	의하/pvg+어/ecs
인슐린이	인슐린/ncn+이/jcs
적게	적/paa+게/ecc
분비되면	분비/ncpa+되/xsv+면/ecs
혈당이	혈당/ncn+이/jcs
증가하게	증가/ncpa+하/xsv+게/ecx
되고	되/pvg+고/ecc
,	,/sp
이것이	이것/npd+이/jcs
다시	다시/mag
인슐린의	인슐린/ncn+의/jcm
분비를	분비/ncn+를/jco
촉진하면	촉진/ncpa+하/xsv+면/ecs
이	이/mmd
호르몬이	호르몬/ncn+이/jcs
포도당의	포도당/ncn+의/jcm
농도를	농도/ncn+를/jco
낮추는	낮추/pvg+는/etm
식으로	식/ncn+으로/jca
조절된다	조절/ncpa+되/xsv+ㄴ다/ef
.	./sf

피드백은	피드백/ncn+은/jxc
신체로	신체/ncn+로/jca
하여금	하여금/mag
일정한	일정/ncps+하/xsm+ㄴ/etm
내부	내부/ncn
환경을	환경/ncn+을/jco
유지할	유지/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있도록	있/paa+도록/ecs
하는	하/pvg+는/etm
조절	조절/ncn
장치이다	장치/ncn+이/jp+다/ef
.	./sf

파라토르몬	파라토르몬/ncn
분자는	분자/ncn+는/jxc
인슐린	인슐린/ncn
분자보다	분자/ncn+보다/jca
다소	다소/mag
큰데	크/paa+ㄴ데/ecs
83	83/nnc
개의	개/nbu+의/jcm
아미노산으로	아미노산/ncn+으로/jca
이루어졌으며	이루/pvg+어/ecx+지/px+었/ep+으며/ecs
9	9/nnc
,	,/sp
500	500/nnc
의	의/jcm
분자량을	분자/ncn+량/ncn+을/jco
가지고	가지/pvg+고/ecx
있다	있/px+다/ef
.	./sf

이	이/mmd
호르몬의	호르몬/ncn+의/jcm
작용은	작용/ncn+은/jxc
장에서의	장/ncn+에서/jca+의/jcm
칼슘	칼슘/ncn
흡수를	흡수/ncn+를/jco
촉진하며	촉진/ncpa+하/xsv+며/ecc
신장을	신장/ncn+을/jco
통해	통하/pvg+어/ecs
칼슘이	칼슘/ncn+이/jcs
나가는	나가/pvg+는/etm
것을	것/nbn+을/jco
억제한다	억제/ncpa+하/xsv+ㄴ다/ef
.	./sf

혈중	혈중/ncn
칼슘	칼슘/ncn
농도가	농도/ncn+가/jcs
정상보다	정상/ncn+보다/jca
조금만	조금/ncn+만/jxc
낮아도	낮/paa+아도/ecs
이	이/mmd
호르몬의	호르몬/ncn+의/jcm
분비가	분비/ncn+가/jcs
촉진된다	촉진/ncpa+되/xsv+ㄴ다/ef
.	./sf

이렇게	이렇/pad+게/ecx
되면	되/pvg+면/ecs
파라토르몬의	파라토르몬/ncn+의/jcm
분비가	분비/ncn+가/jcs
억제된다	억제/ncpa+되/xsv+ㄴ다/ef
.	./sf

이와	이/npd+와/jct
같이	같/paa+이/xsa
혈중	혈중/ncn
칼슘	칼슘/ncn
농도와	농도/ncn+와/jcj
파라토르몬	파라토르몬/ncn
사이의	사이/ncn+의/jcm
상호	상호/ncn
작용은	작용/ncn+은/jxc
언제나	언제나/mag
필요한	필요/ncps+하/xsm+ㄴ/etm
수준으로	수준/ncn+으로/jca
칼슘	칼슘/ncn
농도를	농도/ncn+를/jco
유지하도록	유지/ncpa+하/xsv+도록/ecs
해	하/pvg+어/ecx
준다	주/px+ㄴ다/ef
(	(/sl
여기서	여기/npd+서/jca
명심해야	명심/ncpa+하/xsv+어야/ecs
할	하/pvg+ㄹ/etm
것은	것/nbn+은/jxc
칼슘	칼슘/ncn
농도가	농도/ncn+가/jcs
조금만	조금/ncn+만/jxc
떨어져도	떨어지/pvg+어도/ecs
곧	곧/maj
죽게	죽/pvg+게/ecx
된다는	되/pvg+ㄴ다/ef+는/etm
사실이다	사실/ncn+이/jp+다/ef
).	)/sr+./sf

한때는	한때/ncn+는/jxc
의사들이	의사/ncn+들/xsn+이/jcs
부종을	부종/ncn+을/jco
줄이기	줄이/pvg+기/etn
위해	위하/pvg+어/ecs
어떻게든	어떻/pad+게/ecc+든/jxc
갑상선의	갑상선/ncn+의/jcm
분비를	분비/ncn+를/jco
줄이려고	줄이/pvg+려고/ecx
하여	하/px+어/ecs
작고	작/paa+고/ecc
눈에	눈/ncn+에/jca
잘	잘/mag
띄지도	띄/pvg+지도/ecs
않는	않/px+는/etm
부갑상선을	부갑상선/ncn+을/jco
별	별/mma
생각	생각/ncn
없이	없/paa+이/xsa
제거하였다	제거/ncpa+하/xsv+였/ep+다/ef
.	./sf

그러자	그러자/maj
환자들이	환자/ncn+들/xsn+이/jcs
죽었고	죽/pvg+었/ep+고/ecc
이로써	이/npd+로써/jca
의사들은	의사/ncn+들/xsn+은/jxc
많은	많/paa+은/etm
것을	것/nbn+을/jco
배울	배우/pvg+ㄹ/etm
수	수/nbn
있었다	있/paa+었/ep+다/ef
.	./sf

예들	예/ncn+들/xsn
들면	들/pvg+면/ecs
1961	1961/nno
년	년/nbu
브리티시	nq[브리티시/nq
콜럼비아	콜럼비아/nq
대학의	대학/ncn]nq+의/jcm
코프는	코프/nq+는/jxc
'	'/sl
칼시토닌	칼시토닌/nq
'	'/sr
이라는	이/jp+라/ef+는/etm
갑상선	갑상선/ncn
호르몬이	호르몬/ncn+이/jcs
있음을	있/paa+음/etn+을/jco
발견하였는데	발견/ncpa+하/xsv+였/ep+는데/ecs
,	,/sp
이	이/mmd
호르몬은	호르몬/ncn+은/jxc
뼈에	뼈/ncn+에/jca
철이	철/ncn+이/jcs
축적되도록	축적/ncpa+되/xsv+도록/ecs
하여	하/pvg+어/ecs
혈중	혈중/ncn
칼슘	칼슘/ncn
농도를	농도/ncn+를/jco
낮추는	낮추/pvg+는/etm
작용을	작용/ncn+을/jco
한다	하/pvg+ㄴ다/ef
.	./sf

파라토르몬이	파라토르몬/ncn+이/jcs
한	한/nnc
방향으로	방향/ncn+으로/jca
작용하면	작용/ncpa+하/xsv+면/ecs
칼시토닌은	칼시토닌/ncn+은/jxc
다른	다르/paa+ㄴ/etm
방향으로	방향/ncn+으로/jca
작용하여	작용/ncpa+하/xsv+어/ecs
혈액	혈액/ncn
속의	속/ncn+의/jcm
칼슘	칼슘/ncn
수준을	수준/ncn+을/jco
유지하는	유지/ncpa+하/xsv+는/etm
피드백은	피드백/ncn+은/jxc
정교하게	정교/ncps+하/xsm+게/ecc
조절될	조절/ncpa+되/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
(	(/sl
칼시토닌	칼시토닌/ncn
분자는	분자/ncn+는/jxc
32	32/nnc
개의	개/nbu+의/jcm
아미노산이	아미노산/ncn+이/jcs
길게	길/paa+게/ecx
연결된	연결/ncpa+되/xsv+ㄴ/etm
하나의	하나/nnc+의/jcm
폴리펩티드	폴리펩티드/ncn
사슬로	사슬/ncn+로/jca
이루어져	이루/pvg+어/ecx+지/px+어/ecx
있다	있/px+다/ef
).	)/sr+./sf

글루카곤이	글루카곤/ncn+이/jcs
있을	있/paa+을/etm
것이라는	것/nbn+이/jp+라/ef+는/etm
생각은	생각/ncn+은/jxc
1923	1923/nno
년	년/nbu
최초로	최초/ncn+로/jca
발표되었고	발표/ncpa+되/xsv+었/ep+고/ecc
1955	1955/nno
년	년/nbu
결정체로	결정/ncn+체/xsn+로/jca
추출하였다	추출/ncpa+하/xsv+였/ep+다/ef
.	./sf

글루카곤	글루카곤/ncn
분자는	분자/ncn+는/jxc
29	29/nnc
개의	개/nbu+의/jcm
아미노산으로	아미노산/ncn+으로/jca
이루어진	이루/pvg+어/ecx+지/px+ㄴ/etm
하나의	하나/nnc+의/jcm
사슬로	사슬/ncn+로/jca
되어	되/pvg+어/ecx
있으며	있/px+으며/ecs
1958	1958/nno
년에	년/nbu+에/jca
그	그/mmd
구조가	구조/ncn+가/jcs
완전히	완전/ncn+히/xsa
밝혀졌다	밝히/pvg+어/ecx+지/px+었/ep+다/ef
.	./sf

글루카곤은	글루카곤/ncn+은/jxc
인슐린의	인슐린/ncn+의/jcm
효과와는	효과/ncn+와/jct+는/jxc
반대이므로	반대/ncn+이/jp+므로/ecs
이	이/mmd
두	두/nnc
호르몬은	호르몬/ncn+은/jxc
서로	서로/mag
반대	반대/ncn
방향으로	방향/ncn+으로/jca
작용하게	작용/ncpa+하/xsv+게/ecx
되며	되/pvg+며/ecc
혈당	혈당/ncn
농도의	농도/ncn+의/jcm
자극에	자극/ncn+에/jca
따른	따르/pvg+ㄴ/etm
평형의	평형/ncn+의/jcm
변화가	변화/ncn+가/jcs
거의	거의/mag
없도록	없/paa+도록/ecs
한다	하/pvg+ㄴ다/ef
.	./sf

이	이/mmd
농도가	농도/ncn+가/jcs
정상보다	정상/ncn+보다/jca
50	50/nnc
%	%/su
이상	이상/ncn
올라가면	오르/pvg+아/ecx+가/px+면/ecs
신장에서	신장/ncn+에서/jca
재흡수할	재/xp+흡수/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
당의	당/ncn+의/jcm
양을	양/ncn+을/jco
넘게	넘/pvg+게/ecx
된다	되/pvg+ㄴ다/ef
.	./sf

즉	즉/mag
포도당의	포도당/ncn+의/jcm
농도가	농도/ncn+가/jcs
너무	너무/mag
높게	높/paa+게/ecx
되면	되/pvg+면/ecs
혈액의	혈액/ncn+의/jcm
점도가	점도/ncn+가/jcs
증가하여	증가/ncpa+하/xsv+어/ecc
심장박동에	심장/ncn+박동/ncn+에/jca
영향을	영향/ncn+을/jco
미치게	미치/pvg+게/ecx
된다	되/pvg+ㄴ다/ef
(	(/sl
심장은	심장/ncn+은/jxc
혈액을	혈액/ncn+을/jco
펌프질하게	펌프/ncn+질/xsn+하/xsv+게/ecx
되어	되/pvg+어/ecx
있지	있/px+지/ecc
뭉치도록	뭉치/pvg+도록/ecs
되어	되/pvg+어/ecx
있지는	있/px+지/ecx+는/jxc
않다	않/px+다/ef
).	)/sr+./sf

예를	예/ncn+를/jco
들면	들/pvg+면/ecs
오줌	오줌/ncn
몇	몇/mmd
방울을	방울/ncn+을/jco
베네딕트	베네딕트/ncn
용액과	용액/ncn+과/jcj
섞어	섞/pvg+어/ecc
가열한다	가열/ncpa+하/xsv+ㄴ다/ef
(	(/sl
이	이/mmd
용액은	용액/ncn+은/jxc
미국의	미국/nq+의/jcm
화학자	화학/ncn+자/xsn
베네딕트의	베네딕트/nq+의/jcm
이름을	이름/ncn+을/jco
따서	따/pvg+아서/ecs
지어졌다	지/pvg+어/ecx+지/px+었/ep+다/ef
).	)/sr+./sf

오줌	오줌/ncn
속에	속/ncn+에/jca
포도당이	포도당/ncn+이/jcs
없으면	없/paa+으면/ecs
용액의	용액/ncn+의/jcm
푸른색은	푸르/paa+ㄴ/etm+색/ncn+은/jxc
그대로	그대로/mag
유지된다	유지/ncpa+되/xsv+ㄴ다/ef
.	./sf

따라서	따라서/maj
시험관	시험관/ncn
바닥에	바닥/ncn+에/jca
붉은	붉/paa+은/etm
색을	색/ncn+을/jco
