<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0417.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0417.txt </filename>
<title> 최부의 표류기 </title>
<author>최부 저 ; 박화목 역 </author>
<date>1993  </date>
<publisher>민문고  </publisher>
<kdc>981.2  </kdc>
<ddc>915.1  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
멀리	멀리/mag
시작했습니다	시작/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
그	그/mmd
모양을	모양/ncn+을/jco
보고	보/pvg+고/ecs
,	,/sp
다른	다른/mma
사람도	사람/ncn+도/jxc
죽을	죽/pvg+을/etm
힘을	힘/ncn+을/jco
다	다/mag
내어	내/pvg+어/ecs
물을	물/ncn+을/jco
퍼냈습니다	푸/pvg+어/ecs+내/pvg+었/ep+습니다/ef
.	./sf
한참만에	한참/ncn+만/jxc+에/jca
배	배/ncn
안의	안/ncn+의/jcm
물을	물/ncn+을/jco
거의	거의/mag
없어지고	없어지/paa+고/ecs
,	,/sp
배는	배/ncn+는/jcs
안전하게	안전/ncpa+하/xsv+게/ecs
되었습니다	되/pvg+었/ep+습니다/ef
.	./sf
그러는	그러/pad+는/jxc
동안에	동안/ncn+에/jca
또	또/maj
하룻밤도	하룻밤/ncn+도/jxc
지나고	지나/pvg+고/ecs
,	,/sp
그	그/mmd
다음날이	다음/mmd+날/ncn+이/jcc
되었습니다	되/pvg+었/ep+습니다/ef
.	./sf
이	이/mmd
날은	날/ncn+은/jxc
하루	하루/ncn
종일	종일/ncn
짙은	짙/paa+은/etm
안개가	안개/ncn+가/jcs
사방에	사방/ncn+에/jca
꽉	꽉/mag
끼어	끼/pvg+어/ecs
,	,/sp
지척을	지척/ncn+을/jco
분간할	분간/ncpa+하/xsv+ㄹ/etm
수가	수/nbn+가/jcs
없었습니다	없/paa+었/ep+습니다/ef
.	./sf
저녁때가	저녁/ncn+때/ncn+가/jcc
되자	되/pvg+자/ecs
,	,/sp
빗발	빗발/ncn
굵기가	굵/paa+기/etn+가/jcs
마치	마치/mag
삼대	삼대/ncn
같았습니다	같/paa+았/ep+습니다/ef
.	./sf
밤이	밤/ncn+이/jcc
되자	되/pvg+자/ecs
비는	비/ncn+는/jxc
조금	조금/mag
그쳤으나	그치/pvg+었/ep+으나/ecs
,	,/sp
산더미	산더미/ncn
같은	같/paa+은/etm
성난	성나/pvg+ㄴ/etm
파도의	파도/ncn+의/jcm
날뛰는	날뛰/pvg+는/etm
모양은	모양/ncn+은/jxc
여전했습니다	여전/ncps+하/xsm+었/ep+습니다/ef
.	./sf
최부는	최부/nq+는/jxc
,	,/sp
"	"/sl
하늘이시여	하늘/ncn+이/jp+시/ep+여/ef
!	!/sf
나에게	나/npp+에게/jca
죄가	죄/ncn+가/jcs
있으면	있/paa+으면/ecs
나에게만	나/npp+에게/jca+만/jxc
벌을	벌/ncn+을/jco
내리시고	내리/pvg+시/ep+고/ecs
,	,/sp
함께	함께/mag
배를	배/ncn+를/jco
탄	타/pvg+ㄴ/etm
이	이/mmd
사람들은	사람/ncn+들/xsn+은/jxc
가엾게	가엾/paa+게/ecs
여기소서	여기/pvg+시/ep+오서/ef
.	./sf
비바람을	비바람/ncn+을/jco
거두고	거두/pvg+고/ecs
파도를	파도/ncn+를/jco
걷히게	걷히/pvg+게/ecs
하여	하/pvg+여/ecs
,	,/sp
이	이/mmd
죄는	죄/pvg+는/etm
없는	없/paa+는/etm
목숨을	목숨/ncn+을/jco
살려	살리/pvg+어/ecx
주소서	주/px+시/ep+오서/ef
."	./sf+"/sr
하고	하/pvg+고/jcr
,	,/sp
하늘을	하늘/ncn+을/jco
향해	향하/pvg+어/ecs
간절히	간절/ncn+히/xsa
빌어	빌/pvg+어/ecs
도움을	도움/ncn+을/jco
바랄	바라/pvg+ㄹ/etm
뿐이었습니다	뿐/nbn+이/jp+었/ep+습니다/ef
.	./sf
큰	크/paa+ㄴ/etm
바다에	바다/ncn+에/jca
떠	뜨/pvg+어/ecs
흘러가며	흐르/pvg+어/ecs+가/pvg+며/ecs
배가	배/ncn+가/jcs
사나운	사납/paa+은/etm
비바람을	비바람/ncn+을/jco
만나	만나/pvg+아/ecs
성난	성나/pvg+ㄴ/etm
파도에	파도/ncn+에/jca
밀리어	밀리/pvg+어/ecx
표류하기	표류/ncpa+하/xsv+기/etn
시작한	시작/ncpa+하/xsv+ㄴ/etm
지도	지/nbn+도/jxc
어느덧	어느덧/mag
나흘째로	나흘/ncn+째/xsn+로/jca
접어들었습니다	접어들/pvg+었/ep+습니다/ef
.	./sf
윤정월	윤정월/ncn
6	6/nno
일	일/nbu
.	./sf
이	이/mmd
날은	날/ncn+은/jxc
날씨는	날씨/ncn+는/jxc
흐렸으나	흐리/paa+었/ep+으나/ecs
바람의	바람/ncn+의/jcm
기운은	기운/ncn+은/jcs
적이	적이/mag
약해졌고	약해지/paa+었/ep+고/ecs
,	,/sp
파도도	파도/ncn+도/jxc
조금은	조금/mag+은/jxc
수그러졌습니다	수그러지/paa+었/ep+습니다/ef
.	./sf
그래서	그래서/maj
,	,/sp
사람들은	사람/ncn+들/xsn+은/jcs
마음이	마음/ncn+이/jxc
조금은	조금/mag+은/jxc
놓이는	놓이/pvg+는/etm
듯	듯/nbn
저마다	저/npp+마다/jxc
가만히	가만히/mag
한숨을	한숨/ncn+을/jco
내쉬는	내쉬/pvg+는/etm
것이었습니다	것/nbn+이/jp+었/ep+습니다/ef
.	./sf
그러나	그러나/maj
배는	배/ncn+는/jxc
망망한	망망/ncps+하/xsm+ㄴ/etm
바다	바다/ncn
한가운데	한가운데/ncn
떠	뜨/pvg+어/ecx
있어	있/px+어/ecs
,	,/sp
사방을	사방/ncn+을/jco
둘러봐야	둘러보/pvg+아야/ecs
섬	섬/ncn
같은	같/paa+은/etm
것은	것/nbn+은/jxc
그림자도	그림자/ncn+도/jxc
하나	하나/nnc
보이지가	보이/pvg+지/ecx+가/jxc
않았습니다	않/px+았/ep+습니다/ef
.	./sf
도대체	도대체/mag
이	이/mmd
배가	배/ncn+가/jcs
바다의	바다/ncn+의/jcm
어디쯤	어디/npd+쯤/xsn
떠	뜨/pvg+어/ecs
흘러왔는지	흐르/pvg+어/ecs+오/pvg+았/ep+는지/ecs
짐작할	짐작/ncpa+하/xsv+ㄹ/etm
수조차	수/nbn+조차/jxc
없었습니다	없/paa+었/ep+습니다/ef
.	./sf
이제는	이제/ncn+는/jxc
이	이/mmd
배	배/ncn
안에	안/ncn+에/jca
탄	타/pvg+ㄴ/etm
사람들의	사람/ncn+들/xsn+의/jcm
목숨이	목숨/ncn+이/jcs
살고	살/pvg+고/ecc
죽는	죽/pvg+는/etm
것이	것/nbn+이/jcs
오직	오직/mag
이	이/mmd
배	배/ncn
한	한/nnc
척에	척/nbu+에/jca
달려	달리/pvg+어/ecs
있었습니다	있/paa+었/ep+습니다/ef
.	./sf
경차관	경차관/ncn
최부는	최부/nq+는/jcs
제일	제일/ncn
먼저	먼저/mag
기운을	기운/ncn+을/jco
차리고	차리/pvg+고/ecs
움직였습니다	움직이/pvg+었/ep+습니다/ef
.	./sf
그래야만	그렇/pad+어야/ecs+만/jxc
다른	다른/mma
사람들에게도	사람/ncn+들/xsn+에게/jca+도/jxc
새	새/mma
기운을	기운/ncn+을/jco
불러	부르/pvg+어/ecs
일으킬	일으키/pvg+ㄹ/etm
수	수/nbn
있기	있/paa+기/etn
때문이었습니다	때문/nbn+이/jp+었/ep+습니다/ef
.	./sf
"	"/sl
이	이/mmd
배는	배/ncn+는/jxc
단단하므로	단단하/paa+므로/ecs
파도에	파도/ncn+에/jca
깨질	깨지/pvg+ㄹ/etm
염려는	염려/ncn+는/jxc
없다	없/paa+다/ef
.	./sf
물결	물결/ncn
따라	따르/pvg+아/ecs
흘러가다가	흐르/pvg+어/ecs+가/pvg+다가/ecs
언젠가는	언젠가/mag+는/jxc
뭍에	뭍/ncn+에/jca
다다르고야	다다르/pvg+고/ecx+야/jxc
말것이니	말/px+것/nbn+이/jp+니/ecs
,	,/sp
그	그/mmd
때까지	때/ncn+까지/jxc
목숨을	목숨/ncn+을/jco
버텨야	버티/pvg+어야/ecx
한다	하/px+ㄴ다/ef
!"	!/sf+"/sl
최부는	최부/nq+는/jxc
여러	여러/mma
사람에게	사람/ncn+에게/jca
이렇게	이렇게/mag
말하여	말/ncpa+하/xsv+여/ecs
,	,/sp
그들의	그/npp+들/xsn+의/jcm
힘을	힘/ncn+을/jco
북돋아	북돋/pvg+아/ecx
주었습니다	주/px+었/ep+습니다/ef
.	./sf
그러자	그러자/maj
,	,/sp
다른	다른/mma
사람들도	사람/ncn+들/xsn+도/jxc
지친	지치/pvg+ㄴ/etm
몸을	몸/ncn+을/jco
일으켜	일으키/pvg+어/ecs
조금씩	조금/ncn+씩/xsn
움직이기	움직이/pvg+기/etn
시작했습니다	시작/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
"	"/sl
우선	우선/mag
,	,/sp
배가	배/ncn+가/jcs
빨리	빠르/paa+이/xsa
가도록	가/pvg+도록/ecs
돛을	돛/ncn+을/jco
만들어	만들/pvg+어/ecs
달아야	달/pvg+아야/ecx
한다	하/px+ㄴ다/ef
.	./sf
그리고	그리고/maj
돛대를	돛대/ncn+를/jco
다시	다시/mag
세워야	세우/pvg+어야/ecx
한다	하/px+ㄴ다/ef
."	./sf+"/sr
배가	배/ncn+가/jcs
심히	심히/mag
흔들릴	흔들리/pvg+ㄹ/etm
때	때/nbn
뒤집혀지는	뒤집혀지/pvg+는/etm
것을	것/nbn+을/jco
막기	막/pvg+기/etn
위해	위하/pvg+어/ecs
돛대	돛대/ncn
두	두/nnc
개를	개/nbu+를/jco
잘라	자르/pvg+아/ecx
버렸기	버리/px+었/ep+기/etn
때문에	때문/nbn+에/jca
,	,/sp
다시	다시/mag
자대를	자대/ncn+를/jco
세워	세우/pvg+어/ecs
돛대를	돛대/ncn+를/jco
만들었습니다	만들/pvg+었/ep+습니다/ef
.	./sf
또	또/maj
,	,/sp
조각난	조각나/pvg+ㄴ/etm
돗자리를	돗자리/ncn+를/jco
모아	모으/pvg+아/ecs
기워서	깁/pvg+어서/ecs
,	,/sp
그것으로	그것/npd+으로/jca
돛을	돛/ncn+을/jco
만들었습니다	만들/pvg+었/ep+습니다/ef
.	./sf
그리고	그리고/maj
그	그/mmd
전	전/ncn
돛대의	돛대/ncn+의/jcm
밑동을	밑동/ncn+을/jco
잘라서	자르/pvg+아서/ecs
닻을	닻/ncn+을/jco
만들어	만들/pvg+어/ecs
놓았습니다	놓/pvg+았/ep+습니다/ef
.	./sf
돗자리	돗자리/ncn
돛이라도	돛/ncn+이/jcs+라도/jxc
달아	달/pvg+아/ecs
올리니까	올리/pvg+니까/ecs
.	./sf
배는	배/ncn+는/jxc
적당한	적당/ncps+하/xsm+ㄴ/etm
바람을	바람/ncn+을/jco
타고	타/pvg+고/ecc
파도를	파도/ncn+를/jco
가르며	가르/pvg+며/ecc
서쪽을	서쪽/ncn+을/jco
향하여	향하/pvg+어/ecs
나아갔습니다	나아가/pvg+았/ep+습니다/ef
.	./sf
얼마쯤	얼마/ncn+쯤/xsn
시간이	시간/ncn+이/jcs
흘렀습니다	흐르/pvg+었/ep+습니다/ef
.	./sf
갑자기	갑자기/mag
누군가가	누군가/npd+가/jcs
,	,/sp
"	"/sl
저	저/ii
,	,/sp
저것	저것/npd
보셔요	보/pvg+시/ep+어/ef+요/jxf
!"	!/sf+"/sl
하고	하/pvg+고/jcr
,	,/sp
소리를	소리/ncn+를/jco
질렀습니다	지르/pvg+었/ep+습니다/ef
.	./sf
모두	모두/mag
그	그/mmd
사람	사람/ncn
쪽을	쪽/nbn+을/jco
돌아다	돌/pvg+아/ecs+다/jxc
보았습니다	보/pvg+았/ef+습니다/ef
.	./sf
사공	사공/ncn
하나가	하나/nnc+가/jxc
무엇을	무엇/npd+을/jco
보고	보/pvg+고/ecs
흥분이	흥분/ncn+이/jcc
되어	되/pvg+어/ecs
바다	바다/ncn
한쪽을	한쪽/ncn+을/jco
가리키고	가리키/pvg+고/ecx
있었습니다	있/px+었/ep+습니다/ef
.	./sf
그러자	그러자/maj
,	,/sp
모두의	모두/ncn+의/jcm
눈길은	눈길/ncn+은/jxc
사공이	사공/ncn+이/jcs
가리킨	가리키/pvg+ㄴ/etm
쪽으로	쪽/nbn+으로/jca
쏠렸습니다	쏠리/pvg+었/ep+습니다/ef
.	./sf
큰	크/paa+ㄴ/etm
파도	파도/ncn
사이에	사이/ncn+에/jca
검푸른	검푸르/paa+ㄴ/etm
빛을	빛/ncn+을/jco
띤	띠/pvg+ㄴ/etm
물체	물체/ncn
하나가	하나/nnc+가/jcs
떠	뜨/pvg+어/ecx
있었습니다	있/px+었/ep+습니다/ef
.	./sf
크기는	크기/ncn+는/jxc
알	알/pvg+ㄹ/etm
수가	수/nbn+가/jcs
없었지만	없/paa+었/ep+지만/ecs
,	,/sp
대충	대충/mag
기다란	기다랗/paa+ㄴ/etm
행량채만했습니다	행량채/ncn+만하/px+었/ep+습니다/ef
.	./sf
그런데	그런데/maj
기이한	기이/ncps+하/xsm+ㄴ/etm
것은	것/nbn+은/jxc
거품을	거품/ncn+을/jco
뿜어	뿜/pvg+어/ecs
공중에	공중/ncn+에/jca
쏘아	쏘/pvg+아/ecs
올리는데	올리/pvg+는데/ecs
,	,/sp
그	그/mmd
서슬에	서슬/ncn+에/jca
물결이	물결/ncn+이/jcs
놀라	놀라/pvg+아/ecs
뒤집혀	뒤집히/pvg+어/ecs
움직였습니다	움직이/pvg+었/ep+습니다/ef
.	./sf
그것을	그것/npd+을/jco
보자	보/pvg+자/ecs
,	,/sp
사공이	사공/ncn+이/jcs
손을	손/ncn+을/jco
흔들어	흔들/pvg+어/ecs
배	배/ncn
안의	안/ncn+의/jcm
사람들에게	사람들/ncn+에게/jca
아무	아무/mmd
말도	말/ncn+도/jxc
하지	하/pvg+지/ecx
말고	말/px+고/ecs
조용히	조용/ncn+히/xsa
하라고	하/pvg+라/ef+고/jcr
경고하였습니다	경고/ncpa+하/xsv+였/ep+습니다/ef
.	./sf
사공은	사공/ncn+은/jxc
그	그/mmd
물체가	물체/ncn+가/jcs
무엇인지	무엇/npd+이/jp+ㄴ지/ecs
잘	잘/mag
알고	알/pvg+고/ecx
있는	있/px+는/etm
듯싶었습니다	듯/nbn+싶/px+었/ep+습니다/ef
.	./sf
바다에	바다/ncn+에/jca
뜬	뜨/pvg+ㄴ/etm
검푸른	검푸르/paa+ㄴ/etm
물체는	물체/ncn+는/jxc
저	저/mmd
먼발치로	멀/paa+ㄴ/etm+발치/ncn+로/jca
지나갔습니다	지나/pvg+아/ecs+가/pvg+았/ep+습니다/ef
.	./sf
그제서야	그제서야/mag
,	,/sp
사공이	사공/ncn+이/jcs
입을	입/ncn+을/jco
열었습니다	열/pvg+었/ep+습니다/ef
.	./sf
"	"/sl
저것이	저것/npd+이/jcs
바로	바로/mag
고래입니다	고래/ncn+이/jp+ㅂ니다/ef
!"	!/sf+"/sl
"	"/sl
고래라고	고래/ncn+라고/ef
?"	?/sf+"/sl
최부는	최부/nq+는/jcs
놀라는	놀라/pvg+는/etm
빛으로	빛/ncn+으로/jca
사공의	사공/ncn+의/jcm
얼굴을	얼굴/ncn+을/jco
쳐다보았습니다	쳐다보/pvg+았/ep+습니다/ef
.	./sf
"	"/sl
예	예/ii
,	,/sp
물	물/ncn
속에	속/ncn+에/jca
사는	살/pvg+는/etm
동물	동물/ncn
중	중/nbn
제일	제일/mag
큰	크/paa+ㄴ/etm
짐승입지요	짐승/ncn+이/jp+ㅂ지/ef+요/jxf
.	./sf
크기가	크기/ncn+가/jcs
섬만한	섬/ncn+만하/px+ㄴ/etm
고래도	고래/ncn+도/jxc
있답니다	있/paa+다/ef+ㅂ니다/ef
."	./sf+"/sr
"	"/sl
그러한가	그러하/pad+ㄴ가/ef
?"	?/sf+"/sl
"	"/sl
예	예/ii
,	,/sp
고래의	고래/ncn+의/jcm
큰	크/paa+ㄴ/etm
것은	것/nbn+은/jxc
배를	배/ncn+를/jco
삼키고	삼키/pvg+고/ecc
,	,/sp
작은	작/paa+은/etm
것도	것/nbn+도/jxc
배를	배/ncn+를/jco
뒤엎을	뒤엎/pvg+을/etm
수	수/nbn
있습니다	있/paa+습니다/ef
."	./sf+"/sr
"	"/sl
그럼	그럼/mag
,	,/sp
지나쳐	지나치/pvg+어/ecs
간	가/pvg+ㄴ/etm
저	저/mmd
고래는	고래/ncn+는/jcs
어떠한가	어떠하/pad+ㄴ가/ef
?"	?/sf+"/sl
"	"/sl
소인의	소인/ncn+의/jcm
짐작으로	짐작/ncn+으로/jca
과히	과히/mag
크다고는	크/paa+다/ef+고/jcr+는/jxc
볼	보/pvg+ㄹ/etm
수	수/nbn
없으나	없/paa+으나/ecs
,	,/sp
만약	만약/mag
부딪혔다면	부딪히/pvg+었/ep+다면/ecs
,	,/sp
이	이/mmd
배는	배/ncn+는/jxc
뒤엎어졌을	뒤엎어지/pvg+었/ep+을/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
."	./sf+"/sr
"	"/sl
하마터면	하마터면/maj
큰	크/paa+ㄴ/etm
위험을	위험/ncn+을/jco
당할	당하/pvg+ㄹ/etm
뻔했구나	뻔/nbn+하/pvg+었/ep+구나/ef
."	./sf+"/sr
"	"/sl
예	예/ii
,	,/sp
그렇습지요	그렇/pad+습지/ef+요/jxf
.	./sf
지금	지금/ncn
다행이	다행/ncn+이/xsa
서로	서로/mag
만나지	만나/pvg+지/ecx
않아서	않/px+아/ecs+서/jxc
우리가	우리/npp+가/jcs
다시	다시/mag
살아난	살/pvg+아/ecs+나/pvg+ㄴ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
."	./sf+"/sr
사공은	사공/ncn+은/jxc
이렇게	이렇게/mag
말하며	말/ncpa+하/xsv+며/ecs
,	,/sp
안도의	안도/ncn+의/jcm
한숨을	한숨/ncn+을/jco
내쉬는	내쉬/pvg+는/etm
것이었습니다	것/nbn+이/jp+었/ep+습니다/ef
.	./sf
그러는	그러/pvd+는/jxc
동안에	동안/ncn+에/jca
고래는	고래/ncn+는/jcs
저	저/mmd
먼발치로	멀/paa+ㄴ/etm+발치/ncn+로/jca
헤엄쳐	헤엄치/pvg+어/ecs
가서	가/pvg+서/ecs
,	,/sp
물	물/ncn
속에	속/ncn+에/jca
잠기더니	잠기/pvg+더니/ecs
보이지	보이/pvg+지/ecx
않았습니다	않/px+았/ep+습니다/ef
.	./sf
최부는	최부/nq+는/jcs
고래가	고래/ncn+가/jxc
불쑥	불쑥/mag
다시	다시/mag
나타나	나타나/pvg+아/ecs
배에	배/ncn+에/jca
접근해	접근/ncpa+하/xsv+어/ecs
오면	오/pvg+면/ecs
어떻게	어떻게/mag
하나	하/pvg+나/ecx
하고	하/px+고/ecs
,	,/sp
은근히	은근/ncn+히/xsa
걱정이	걱정/ncn+이/jcc
되기도	되/pvg+기/etn+도/jxc
했습니다	하/pvg+었/ep+습니다/ef
.	./sf
그러나	그러나/maj
그	그/mmd
날이	날/ncn+이/jcs
밤이	밤/ncn+이/jcc
되기까지	되/pvg+기/etn+까지/jca
,	,/sp
고래는	고래/ncn+는/jcs
다시	다시/mag
나타나지	나타나/pvg+지/ecx
않았습니다	않/px+았/ep+습니다/ef
.	./sf
그	그/mmd
대신	대신/ncn
밤이	밤/ncn+이/jcc
되자	되/pvg+자/ecs
바람이	바람/ncn+이/jcs
다시	다시/mag
세차게	세차/paa+게/ecs
불면서	불/pvg+면서/ecs
풍랑이	풍랑/ncn+이/jcs
거칠어지기	거칠어지/pvg+기/etn
시작했습니다	시작/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
바람을	바람/ncn+을/jco
맞아	맞/pvg+아/ecs
배의	배/ncn+의/jcm
속도도	속도/ncn+도/jxc
매우	매우/mag
빨라졌습니다	빠르/pvg+아/ecx+지/px+었/ep+습니다/ef
.	./sf
그러자	그러자/maj
,	,/sp
안의가	안의/nq+가/jcs
무슨	무슨/mmd
생각이	생각/ncn+이/jcs
들었는지	들/pvg+었/ep+는지/ecs
,	,/sp
"	"/sl
경차관님	경차관/ncn+님/xsn
,	,/sp
일찌기	일찌기/mag
듣건대	듣/pvg+건대/ecs
,	,/sp
바다에는	바다/ncn+에는/jxc
용신이	용신/ncn+이/jcs
있어	있/paa+어/ecs
욕심이	욕심/ncn+이/jcs
많다	많/paa+다/ef
하옵니다	하/pvg+오/ep+ㅂ니다/ef
.	./sf
여행	여행/ncn
보따리에	보따리/ncn+에/jca
있는	있/paa+는/etm
물건을	물건/ncn+을/jco
바다에	바다/ncn+에/jca
던져서	던지/pvg+어서/ecs
,	,/sp
무사하기를	무사/ncpa+하/xsv+기/etn+를/jco
비는	빌/pvg+는/etm
것이	것/nbn+이/jcs
옳은	옳/paa+은/etm
줄로	줄/nbn+로/jca
아옵니다	알/pvg+오/ep+ㅂ니다/ef
."	./sf+"/sr
하고	하고/jcr
,	,/sp
최부에게	최부/nq+에게/jca
말했습니다	말/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
풍랑이	풍랑/ncn+이/jcs
사뭇	사뭇/mag
사나워지는	사납/paa+어/ecx+지/px+는/etm
것을	것/nbn+을/jco
보고	보/pvg+고/ecs
,	,/sp
배가	배/ncn+가/jcs
가라앉을까	가라앉/pvg+ㄹ까/ecx
보아	보/px+아/ecs
겁을	겁/ncn+을/jco
먹은	먹/pvg+은/etm
듯싶었습니다	듯/nbn+싶/px+었/ep+습니다/ef
.	./sf
최부는	최부/nq+는/jxc
잠시	잠시/mag
생각해	생각/ncpa+하/xsv+어/ecx
보다가	보/px+다/ecs+가/jxc
,	,/sp
"	"/sl
만약	만약/mag
우리가	우리/npp+가/jcs
살아난다면	살/pvg+아/ecs+나/pvg+ㄴ다면/ecs
,	,/sp
요긴히	요긴/ncn+히/xsa
쓰여질	쓰이/pvg+어/ecx+지/px+ㄹ/etm
물건들인데	물건/ncn+들/xsn+이/jp+ㄴ데/ecs
,	,/sp
어찌	어찌/mag
버리는	버리/pvg+는/etm
일을	일/ncn+을/jco
옳다	옳/paa+다/ecx
하겠는가	하/px+겠/ep+는가/ef
?"	?/sf+"/sl
하고	하/pvg+고/jcr
,	,/sp
머리를저어	머리/ncn+를/jco+젓/pvg+어/ecs
응하지	응하/pvg+지/ecx
않았습니다	않/px+았/ep+습니다/ef
.	./sf
그러나	그러나/maj
다른	다른/mma
사람들은	사람/ncn+들/xsn+은/jxc
안의의	안의/nq+의/jcm
말에	말/ncn+에/jca
맞장구를	맞장구/ncn+를/jco
쳤습니다	치/pvg+었/ep+습니다/ef
.	./sf
"	"/sl
안의의	안의/nq+의/jcm
말이	말/ncn+이/jcs
옳습니다	옳/paa+습니다/ef
."	./sf+"/sr
"	"/sl
바다의	바다/ncn+의/jcm
용신이	용신/ncn+이/jcs
화가	화/ncn+가/jcs
나서	나/pvg+서/ecs
,	,/sp
연일	연일/ncn
바다가	바다/ncn+가/jcs
풍랑을	풍랑/ncn+을/jco
일으키는	일으키/pvg+는/etm
것이옵니다	것/nbn+이/jp+오/ep+ㅂ니다/ef
!"	!/sf+"/sr
"	"/sl
버릴	버리/pvg+ㄹ/etm
물건을	물건/ncn+을/jco
찾아	찾/pvg+아/ecx
내	내/px+어/ecs
바다에	바다/ncn+에/jca
버림으로써	버리/pvg+ㅁ/etn+으로써/jca
배가	배/ncn+가/jcs
가벼워지면	가볍/paa+어/ecx+지/px+면/ecs
,	,/sp
배가	배/ncn+가/jcs
가라앉을	가라앉/pvg+을/etm
염려가	염려/ncn+가/jcs
없어집니다	없/paa+어/ecx+지/px+ㅂ니다/ef
!"	!/sf+"/sl
배안의	배/ncn+안/ncn+의/jcm
사람들은	사람/ncn+들/xsn+은/jxc
모두	모두/mag
한마디씩	한마디/ncn+씩/xsn
했습니다	하/pvg+었/ep+습니다/ef
.	./sf
"	"/sl
바다에는	바다/ncn+에/jca+는/jxc
용신이	용신/ncn+이/jcs
없네	없/paa+네/ef
.	./sf
그리고	그리고/maj
용신이	용신/ncn+이/jcs
화를	화/ncn+를/jco
내어	내/pvg+어/ecs
풍랑을	풍랑/ncn+을/jco
일으키는	일으키/pvg+는/etm
것도	것/nbn+도/jxc
아닐세	아니/paa+ㄹ세/ef
!"	!/sf+"/sl
최부는	최부/nq+는/jcs
단호히	단호/ncn+히/xsa
말했습니다	말/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
그런데도	그런데/mag+도/jxc
배	배/ncn
안의	안/ncn+의/jcm
사람들은	사람/ncn+들/xsn+은/jcs
막무가내로	막무가내/ncn+로/jxc
우기는	우기/pvg+는/etm
것이었습니다	것/nbn+이/jp+었/ep+습니다/ef
.	./sf
"	"/sl
우선	우선/mag
목숨이	목숨/ncn+이/jcs
살고	살/pvg+고/ecx
봐야지요	보/px+아야/ecx+지/ef+요/jxf
!"	!/sf+"/sl
"	"/sl
사람은	사람/ncn+은/jxc
자기	자기/npp
몸이	몸/ncn+이/jcs
있은	있/paa+은/etm
뒤에	뒤/ncn+에/jca
물건이	물건/ncn+이/jcs
있게	있/paa+게/ecs
되는	되/pvg+는/etm
법이	법/ncn+이/jcc
아닙니까	아니/paa+ㅂ니까/ef
?"	?/sf+"/sl
"	"/sl
이런	이런/mmd
물건들은	물건/ncn+들/xsn+은/jxc
모두	모두/mag
자기	자기/npp
몸	몸/ncn
밖의	밖/ncn+의/jcm
것입죠	것/nbn+이/jp+ㅂ지/ef+요/jxf
!"	!/sf+"/sl
그러더니	그러/pvd+더니/ecs
,	,/sp
사람들은	사람/ncn+들/xsn+은/jcs
서로	서로/mag
다투어	다투/pvg+어/ecs
배	배/ncn
안을	안/ncn+을/jco
뒤져	뒤지/pvg+어/ecs
물건을	물건/ncn+을/jco
찾아	찾/pvg+아/ecx
내어	내/px+어/ecs
가지고	가지/pvg+고/ecs
나왔습니다	나오/pvg+았/ep+습니다/ef
.	./sf
염색한	염색/ncpa+하/xsv+ㄴ/etm
의복이며	의복/ncn+이며/jcj
군기를	군기/ncn+를/jco
찾아	찾/pvg+아/ecx
내어	내/px+어/ecs
바다에	바다/ncn+에/jca
던지는	던지/pvg+는/etm
사람도	사람/ncn+도/jxc
있었습니다	있/paa+었/ep+습니다/ef
.	./sf
혹	혹/mag
어떤	어떤/mmd
사람은	사람/ncn+은/jcs
,	,/sp
양식을	양식/ncn+을/jco
넣어	넣/pvg+어/ecs
둔	두/pvg+ㄴ/etm
상자를	상자/ncn+를/jco
옮겨	옮기/pvg+어/ecs
와	오/pvg+아/ecs
던지기도	던지/pvg+기/etn+도/jxc
했습니다	하/pvg+었/ep+습니다/ef
.	./sf
"	"/sl
그만	그만/mag
해	하/pvg+어/ef
!	!/sf
양식이	양식/ncn+이/jcs
없으면	없/paa+으면/ecs
우리가	우리/npp+가/jcs
살아난다	살/pvg+아/ecs+나/pvg+ㄴ다/ecs
해도	하/pvg+어/ecs+도/jxc
어떻게	어떻게/mag
연명할	연명/ncpa+하/xsv+ㄹ/etm
건가	거/nbn+ㄴ가/ef
?"	?/sf+"/sl
최부는	최부/nq+는/jcs
버럭	버럭/mag
소리를	소리/ncn+를/jco
질렀습니다	지르/pvg+었/ep+습니다/ef
.	./sf
그러나	그러나/maj
혼자의	혼자/ncn+의/jcm
힘으로는	힘/ncn+으로/jca+는/jxc
물건을	물건/ncn+을/jco
내던지는	내던지/pvg+는/etm
일을	일/pvg+을/etm
말릴	말리/pvg+ㄹ/etm
수가	수/nbn+가/jcs
