<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0058.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0058.txt </filename>
<title>(속)나무이야기  </title>
<author>권영한  </author>
<date>1993  </date>
<publisher>전원문화사  </publisher>
<kdc>480.4  </kdc>
<ddc>580  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
가을이	가을/ncn+이/jcc
나무의	나무/ncn+의/jcm
모양은	모양/ncn+은/jxc
곧게	곧/paa+게/ecx
높이	높/paa+이/xsa
자라지	자라/pvg+지/ecx
않으며,	않/px+으며/ecs+,/sp
여러	여러/mma
개의	개/nbu+의/jcm
줄기가	줄기/ncn+가/jcs
휘어지고	휘어지/pvg+고/ecs
구부러지면서	구부러지/pvg+면서/ecs
올라가고,	오르/pvg+아/ecs+가/pvg+고/ecc+,/sp
어리고	어리/paa+고/ecs
가느다란	가느다랗/paa+ㄴ/etm
잔가지에는	잘/paa+ㄴ/etm+가지/ncn+에/jca+는/jxc
처음에	처음/ncn+에/jca
털이	털/ncn+이/jcs
있으나	있/paa+으나/ecs
자람에	자라/pvg+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
곧	곧/maj
없어집니다.	없/paa+어/ecx+지/px+ㅂ니다/ef+./sf
잎은	잎/ncn+은/jxc
어긋나고	어긋나/pvg+고/ecs
길이	길이/ncn
5	5/nnc
20cm,	20/nnc+cm/su+,/sp
넓이	넓이/ncn
5	5/nnc
9cm의	9/nnc+cm/su+의/jcm
난형	난형/ncn
또는	또는/maj
타원형으로	타원/ncn+형/xsn+으로/jca
가장자리에	가장자리/ncn+에/jca
톱니가	톱니/ncn+가/jcs
있고	있/paa+고/ecs
아주	아주/mag
넓습니다.	넓/paa+습니다/ef+./sf
꽃은	꽃/ncn+은/jxc
암꽃과	암꽃/ncn+과/jcj
수꽃이	수꽃/ncn+이/jcs
따로	따로/mag
피는데	피/pvg+는데/ecs
암꽃은	암꽃/ncn+은/jxc
줄기	줄기/ncn
안쪽에	안/ncn+쪽/nbn+에/jca
피고	피/pvg+고/ecs
수꽃은	수꽃/ncn+은/jxc
줄기	줄기/ncn
끝쪽에	끝/ncn+쪽/nbn+에/jca
5	5/nno
월에	월/nbu+에/jca
핍니다.	피/pvg+ㅂ니다/ef+./sf
공처럼	공/ncn+처럼/jca
생긴	생기/pvg+ㄴ/etm
붉은	붉/paa+은/etm
열매는	열매/ncn+는/jxc
6	6/nno
7	7/nno
월에	월/nbu+에/jca
익습니다.	익/pvg+습니다/ef+./sf
닥나무는	닥나무/ncn+는/jxc
옛부터	옛/ncn+부터/jxc
종이를	종이/ncn+를/jco
만드는	만들/pvg+는/etm
데	데/nbn
없어서는	없/paa+어서/ecs+는/jxc
안	안/mag
되는	되/pvg+는/etm
중요한	중요/ncps+하/xsm+ㄴ/etm
나무입니다.	나무/ncn+이/jp+ㅂ니다/ef+./sf
종이는	종이/ncn+는/etm
섬유질을	섬유질/ncn+을/jco
물	물/ncn
속에서	속/ncn+에서/jca
응집하여,	응집/ncpa+하/xsv+여/ecs+,/sp
유상(乳狀)으로	유상/ncn+(/sl+乳狀/ncn+)/sr+으로/jca
만든	만들/pvg+ㄴ/etm
다음	다음/ncn
적당량을	적당/ncn+량/ncn+을/jco
발(발)로	발/ncn+(/sl+발/ncn+)/sr+로/jca
건져	건지/pvg+어/ecs
올려	올리/pvg+어/ecs
삿자리	삿자리/ncn
위에서	위/ncn+에서/jca
건조시킨	건조/ncpa+시키/xsv+ㄴ/etm
것을	것/nbn+을/jco
말하는데,	말/ncpa+하/xsv+는데/ecs+,/sp
이	이/mmd
과정을	과정/ncn+을/jco
거치지	거치/pvg+지/ecx
않은	않/px+은/etm
것은	것/nbn+은/jxc
아무리	아무리/mag
외관상	외관/ncn+상/xsn
종이와	종이/ncn+와/jct
유사해도	유사/ncps+하/xsm+어도/ecs
종이라고	종이/ncn+라고/ecs
부르지	부르/pvg+지/ecx
않습니다.	않/px+습니다/ef+./sf
서양에서	서양/ncn+에서/jca
Paper(영),	Paper/f+(/sl+영/nq+)/sr+,/sp
Papier(독),	Papier/f+(/sl+독/nq+)/sr+,/sp
Paier(불)	Paier/f+(/sl+불/nq+)/sr
등	등/nbn
종이의	종이/ncn+의/jcm
어원이	어원/ncn+이/jcc
된	되/pvg+ㄴ/etm
이집트의	이집트/nq+의/jcm
'파피루스'와	'/sl+파피루스/nq+'/sr+와/jcj
나무껍질을	나무/ncn+껍질/ncn+을/jco
천	천/ncn
모양으로	모양/ncn+으로/jca
두들겨	두들기/pvg+어/ecs
펴서	펴/pvg+어서/ecs
글씨를	글씨/ncn+를/jco
쓰거나	쓰/pvg+거나/ecc
의복의	의복/ncn+의/jcm
원료로	원료/ncn+로/jca
하는	하/pvg+는/etm
남양	남양/nq
여러	여러/mma
섬의	섬/ncn+의/jcm
'타파'는	'/sr+타파/ncn+'/sr+는/jxc
이런	이런/mmd
과정을	과정/ncn+을/jco
거치지	거치/pvg+지/ecx
않았기	않/px+았/ep+기/etn
때문에	때문/nbn+에/jca
종이라고	종이/ncn+라고/ecs
할	하/pvg+ㄹ/etm
수	수/nbn
없습니다.	없/paa+습니다/ef+./sf
종이의	종이/ncn+의/jcm
기원은	기원/ncn+은/jxc
후한	후한/nq
시대의	시대/ncn+의/jcm
한관	한관/ncn
채륜(蔡倫)이	채륜/nq+(/sl+蔡倫/nq+)/sr+이/jcs
수피,	수피/ncn+,/sp
삼베,	삼베/ncn+,/sp
누더기	누더기/ncn
천,	천/ncn+,/sp
어망	어망/ncn
등을	등/nbn+을/jco
재료로	재료/ncn+로/jca
종이를	종이/ncn+를/jco
처음	처음/ncn
만들어서	만들/pvg+어서/ecs
화제(和帝	화제/nq+(/sl+和帝/nq
88	88/nno
105)에	105/nno+)/sr+에/jca
바친	바치/pvg+ㄴ/etm
것이	것/nbn+이/jcs
시초라고	시초/ncn+라고/ecs
합니다.	하/pvg+ㅂ니다/ef+./sf
그	그/mmd
후	후/ncn
1	1/nno
2	2/nno
세기경에	세기/nbu+경/xsn+에/jca
각종	각종/ncn
식물	식물/ncn
섬유나	섬유/ncn+나/jcj
견(絹)을	견/ncn+(/sl+絹/ncn+)/sr+을/jco
이용해서	이용/ncpa+하/xsv+어서/ecs
많은	많/paa+은/etm
시행착오를	시행/ncn+착오/ncn+를/jco
거친	거치/pvg+ㄴ/etm
다음	다음/ncn
비로소	비로소/mag
종이	종이/ncn
제조법이	제조/ncn+법/ncn+이/jcs
완성된	완성/ncpa+되/xsv+ㄴ/etm
것으로	것/nbn+으로/jca
추측됩니다.	추측/ncpa+되/xsv+ㅂ니다/ef+./sf
동진의	동진/nq+의/jcm
왕의지는	왕의지/nq+는/jxc
누에고치로	누에/ncn+고치/ncn+로/jca
만든	만들/pvg+ㄴ/etm
잠견지	잠견/ncn+지/xsn
(	(/sl
蠶繭紙	蠶繭紙/ncn
)	)/sr
에	에/jca
그	그/mmd
유명한	유명/ncps+하/xsm+ㄴ/etm
'(蘭亭序)를	'/sl+난정서/nq+(/sl+蘭亭序/nq+)/sr+'/sl+를/jco
썼다고	쓰/pvg+었/ep+다고/ecs
하며,	하/pvg+며/ecs+,/sp
남북조	남북조/nq
시대에는	시대/ncn+에/jca+는/jxc
대나무로	대나무/ncn+로/jca
만든	만들/pvg+ㄴ/etm
죽지(竹紙),	죽지/ncn+(/sl+竹紙/ncn+)/sr+,/sp
마를	마/ncn+를/jco
이용한	이용/ncpa+하/xsv+ㄴ/etm
마지(麻紙)	마지/ncn+(/sl+麻紙/ncn+)/sr
등이	등/nbn+이/jcs
보급되었다고	보급/ncpa+되/xsv+었/ep+다고/ecs
합니다.	하/pvg+ㅂ니다/ef+./sf
종이는	종이/ncn+는/etm
문방사우(文房四友)	문방사우/ncn+(/sl+文房四友/ncn+)/sr
중의	중/nbn+의/jcm
하나로	하나/ncn+로/jca
문인들의	문인/ncn+들/xsn+의/jcm
특별한	특별/ncps+하/xsm+ㄴ/etm
관심의	관심/ncn+의/jcm
대상이며	대상/ncn+이/jp+며/ecs
당나라	당나라/nq
때	때/ncn
촉(蜀)	촉/nq+(/sl+蜀/nq+)/sr
지방에서	지방/ncn+에서/jca
만들었다는	만들/pvg+었/ep+다/ef+는/etm
사공전(謝公箋),	사공전/ncn+(/sl+謝公箋/ncn+)/sr+,/sp
등심당지(燈心堂紙)	등심당지/ncn+(/sl+燈心堂紙/ncn+)/sr
그리고	그리고/maj
설도전(薛濤箋)은	설도전/ncn+(/sl+薛濤箋/ncn+)/sr+은/jxc
후대까지	후대/ncn+까지/jxc
널리	널리/mag
알려진	알리/pvg+어/ecx+지/px+ㄴ/etm
유명한	유명/ncps+하/xsm+ㄴ/etm
종이들입니다.	종이/ncn+들/xsn+이/jp+ㅂ니다/ef+./sf
설도	설도/nq
(설도:	(/sl+薛濤/nq+:/sp
768	768/nno
-	-/sd
831)는	831/nno+)/sr+는/jxc
중국	중국/nq
당나라	당나라/nq
때의	때/ncn+의/jcm
유명한	유명/ncps+하/xsm+ㄴ/etm
기생이자	기생/ncn+이/jp+자/ecs
여류	여류/ncn
시인의	시인/ncn+의/jcm
이름입니다.	이름/ncn+이/jp+ㅂ니다/ef+./sf
'설도'는	'/sl+설도/nq+'/sr+는/jxc
원래	원래/ncn
장안(長安)	장안/nq+(/sl+長安/nq+)/sr
양가의	양가/ncn+의/jcm
규수였는데,	규수/ncn+이/jp+었/ep+는데/ecs+,/sp
아버지가	아버지/ncn+가/jcs
지방	지방/ncn
관서로	관서/ncn+로/jca
부임을	부임/ncn+을/jco
하게	하/pvg+게/ecs
되자	되/pvg+자/ecs
아버지를	아버지/ncn+를/jco
따라서	따라서/maj
촉(蜀:	촉/nq+(/sl+蜀/nq+:/sp
지금의	지금/ncn+의/jcm
사천성)	사천성/nq+)/sr
지방으로	지방/ncn+으로/jca
갔습니다.	가/pvg+았/ep+습니다/ef+./sf
그러나	그러나/maj
불행하게도	불행/ncps+하/xsm+게/ecs+도/jxc
그	그/mmd
후	후/ncn
아버지는	아버지/ncn+는/jxc
죽고	죽/pvg+고/ecs
집안이	집안/ncn+이/jcs
갑자기	갑자기/mag
몰락하여	몰락/ncpa+하/xsv+여/ecs
할	하/pvg+ㄹ/etm
수	수/nbn
없이	없/paa+이/xsa
기녀가	기녀/ncn+가/jcc
되었으나,	되/pvg+었/ep+으나/ecs+,/sp
타고난	타고나/pvg+ㄴ/etm
미모와	미모/ncn+와/jcj
글과	글/ncn+과/jcj
시를	시/ncn+를/jco
잘	잘/mag
지어	짓/pvg+어/ecs
곧	곧/maj
유명하게	유명/ncps+하/xsm+게/ecs
되었습니다.	되/pvg+었/ep+습니다/ef+./sf
만년에도	만년/ncn+에/jca+도/jxc
두보(杜甫)의	두보/nq+(/sl+杜甫/nq+)/sr+의/jcm
초당으로	초당/ncn+으로/jca
유명한	유명/ncps+하/xsm+ㄴ/etm
서교	서교/nq
완화계	완화계/nq
근처에	근처/ncn+에/jca
있는	있/paa+는/etm
만리교	만리교/nq
부근에서	부근/ncn+에서/jca
은거	은거/ncn
생활을	생활/ncn+을/jco
하면서	하/pvg+면서/ecs
여생을	여생/ncn+을/jco
보냈습니다.	보내/pvg+었/ep+습니다/ef+./sf
그런데	그런데/maj
그녀가	그녀/npp+가/jcs
사는	살/pvg+는/etm
만리교	만리교/nq
근처는	근처/ncn+는/jxc
양질의	양질/ncn+의/jcm
종이가	종이/ncn+가/jcs
많이	많/paa+이/xsa
생산되는,	생산/ncpa+되/xsv+는/etm+,/sp
종이로	종이/ncn+로/jca
유명한	유명/ncps+하/xsm+ㄴ/etm
곳입니다.	곳/ncn+이/jp+ㅂ니다/ef+./sf
'설도'는	'/sl+설도/nq+'/sr+는/jxc
그녀만이	그녀/npp+만/jxc+이/jcs
전용으로	전용/ncn+으로/jca
쓰기	쓰/pvg+기/etn
위해서,	위하/pvg+어서/ecs+,/sp
특별히	특별/ncn+히/xsa
작은	작/paa+은/etm
심홍색의	심홍색/ncn+의/jcm
종이를	종이/ncn+를/jco
주문	주문/ncn
생산하여,	생산/ncpa+하/xsv+여/ecs+,/sp
그	그/mmd
종이를	종이/ncn+를/jco
이용해서	이용/ncpa+하/xsv+어서/ecs
촉의	촉/nq+의/jcm
명사들과	명사/ncn+들/xsn+과/jcj
시를	시/ncn+를/jco
지어	짓/pvg+어/ecs
서로	서로/mag
교류를	교류/ncn+를/jco
했습니다.	하/pvg+었/ep+습니다/ef+./sf
그런데	그런데/maj
이것이	이것/npd+이/jcs
풍류인들	풍류/ncn+인/xsn+들/xsn
사이에	사이/ncn+에/jca
대단히	대단/ncn+히/xsa
평판이	평판/ncn+이/jcs
높고	높/paa+고/ecs
유명해져서	유명/ncps+하/xsm+어/ecx+지/px+어서/ecs
이런	이런/mmd
식의	식/ncn+의/jcm
종이를	종이/ncn+를/jco
'설도전'이라고	'/sl+설도전/nq+'/sr+이/jp+라/ef+고/jcr
부르게	부르/pvg+게/ecs
되었던	되/pvg+었/ep+던/etm
것입니다.	것/nbn+이/jp+ㅂ니다/ef+./sf
중국의	중국/nq+의/jcm
제지	제지/ncn
기술은	기술/ncn+은/jxc
751년	751/nno+년/nbu
'타라스'	'/sl+타라스/nq+'/sr
강가의	강가/ncn+의/jcm
싸움에서	싸움/ncn+에서/jca
'사라센'	'/sl+사라센/nq+'/sr
군에게	군/ncn+에게/jca
포로가	포로/ncn+가/jcc
된	되/pvg+ㄴ/etm
당나라의	당나라/nq+의/jcm
제지	제지/ncn
기술자에	기술/ncn+자/xsn+에/jca
의해	의하/pvg+어/ecs
그때까지	그/mmd+때/ncn+까지/jxc
종이	종이/ncn
제조법을	제조/ncn+법/ncn+을/jco
모르던	모르/pvg+던/etm
'이슬람'	'/sl+이슬람/nq+'/sr
문화권으로	문화/ncn+권/xsn+으로/jca
전해졌고,	전하/pvg+어/ecx+지/px+었/ep+고/ecs+,/sp
그	그/mmd
후	후/ncn
12	12/nno
13	13/nno
세기경에는	세기/nbu+경/xsn+에/jca+는/jxc
다시	다시/mag
지중해를	지중해/nq+를/jco
건너	건너/pvg+어/ecs
기독교	기독교/nq
문화권으로	문화/ncn+권/xsn+으로/jca
들어가게	들/pvg+어/ecs+가/pvg+게/ecs
되었던	되/pvg+었/ep+던/etm
것입니다.	것/nbn+이/jp+ㅂ니다/ef+./sf
종이를	종이/ncn+를/jco
만들	만들/pvg+ㄹ/etm
줄	줄/nbn
몰랐던	모르/pvg+았/ep+던/etm
시절에는	시절/ncn+에/jca+는/jxc
글을	글/ncn+을/jco
쓸	쓰/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
것을	것/nbn+을/jco
확보하는	확보/ncpa+하/xsv+는/etm
것이	것/nbn+이/jcs
무척	무척/mag
어려운	어렵/paa+ㄴ/etm
일이었습니다.	일/ncn+이/jp+었/ep+습니다/ef+./sf
기원전	기원/ncn+전/ncn
160	160/nno
년경	년/nbu+경/xsn
페르가몬의	페르가몬/nq+의/jcm
왕	왕/ncn
웨메네스	웨메네스/nq
2세는	2/nno+세/nbu+는/jxc
책을	책/ncn+을/jco
많이	많/paa+이/xsa
모으기로	모으/pvg+기/etn+로/jca
유명했는데,	유명/ncps+하/xsm+었/ep+는데/ecs+,/sp
이	이/mmd
소식을	소식/ncn+을/jco
들은	듣/pvg+은/etm
이집트의	이집트/nq+의/jcm
프톨레마이오스왕은	프톨레마이오스왕/nq+은/jxc
자기가	자기/npp+가/jcs
항상	항상/mag
자랑하는	자랑/ncpa+하/xsv+는/etm
알렉산드리아	알렉산드리아/nq
도서관의	도서/ncn+관/xsn+의/jcm
장서	장서/ncn
수보다	수/ncn+보다/jca
더	더/mag
많아져서는	많/paa+아/ecx+지/px+어서/ecs+는/jxc
안	안/mag
되겠다는	되/pvg+겠/ep+다/ef+는/etm
생각으로	생각/ncn+으로/jca
페르가몬의	페르가몬/nq+의/jcm
장서	장서/ncn
간행을	간행/ncn+을/jco
막기	막/pvg+기/etn
위해서,	위하/pvg+어서/ecs+,/sp
그	그/mmd
당시	당시/ncn
이집트의	이집트/nq+의/jcm
특산물이었던	특산/ncn+물/xsn+이/jp+었/ep+던/etm
파피루스의	파피루스/ncn+의/jcm
국외	국외/ncn
수출을	수출/ncn+을/jco
금지시켜서	금지/ncpa+시키/xsv+어서/ecs
많은	많/paa+은/etm
화제를	화제/ncn+를/jco
남긴	남기/pvg+ㄴ/etm
이야기도	이야기/ncn+도/jxc
있습니다.	있/paa+습니다/ef+./sf
우리나라에서	우리/npp+나라/ncn+에서/jca
우리	우리/npp
고유의	고유/ncn+의/jcm
기법으로	기법/ncn+으로/jca
만드는	만들/pvg+는/etm
종이를	종이/ncn+를/jco
한지	한지/ncn
(韓紙)라고	(/sl+韓紙/ncn+)/sr+라고/ecs
하는데	하/pvg+는데/ecs
닥나무,	닥나무/ncn+,/sp
꾸지나무,	꾸지나무/ncn+,/sp
삼지닥나무	삼지닥나무/ncn
등을	등/nbn+을/jco
원료로	원료/ncn+로/jca
만든	만들/pvg+ㄴ/etm
종이입니다.	종이/ncn+이/jp+ㅂ니다/ef+./sf
문을	문/ncn+을/jco
바르는	바르/paa+는/etm
문종이도	문/ncn+종이/ncn+도/jxc
바로	바로/mag
한지의	한지/ncn+의/jcm
일종인데,	일종/ncn+이/jp+ㄴ데/ecs+,/sp
우선	우선/mag
위에	위/ncn+에/jca
나무들을	나무/ncn+들/xsn+을/jco
다발로	다발/ncn+로/jca
묶어	묶/pvg+어/ecs
솥에	솥/ncn+에/jca
넣고	넣/pvg+고/ecs
껍질이	껍질/ncn+이/jcs
흐물흐물	흐물흐물/mag
벗겨질	벗기/pvg+어/ecx+지/px+ㄹ/etm
정도로	정도/ncn+로/jca
푹	푹/mag
삶은	삶/pvg+은/etm
다음,	다음/ncn+,/sp
껍질을	껍질/ncn+을/jco
벗겨	벗기/pvg+어/ecs
햇볕에	햇볕/ncn+에/jca
잘	잘/mag
말립니다.	말리/pvg+ㅂ니다/ef+./sf
말려진	말리/pvg+어/ecx+지/px+ㄴ/etm
껍질을	껍질/ncn+을/jco
다시	다시/mag
물에	물/ncn+에/jca
불려	불리/pvg+어/ecs
발로	발/ncn+로/jca
밟은	밟/pvg+은/etm
다음	다음/ncn
하얀	하얗/paa+ㄴ/etm
내피만	내피/ncn+만/jxc
가려내고,	가리/pvg+어/ecx+내/px+고/ecc+,/sp
이것에	이것/npd+에/jca
양잿물을	양잿물/ncn+을/jco
섞어	섞/pvg+어/ecs
약	약/mma
3시간	3/nnc+시간/nbu
이상	이상/ncn
삶아	삶/pvg+아/ecs
압축기로	압축/ncn+기/xsn+로/jca
물기를	물기/ncn+를/jco
짜냅니다.	짜/pvg+아/ecx+내/px+ㅂ니다/ef+./sf
여기에다	여기/npd+에/jca+다/jxc
닥풀	닥풀/ncn
뿌리를	뿌리/ncn+를/jco
으깨어	으깨/pvg+어/ecx
짜낸	짜/pvg+아/ecx+내/px+ㄴ/etm
끈적끈적한	끈적끈적하/paa+ㄴ/etm
물을	물/ncn+을/jco
넣고	넣/pvg+고/ecs
잘	잘/mag
혼합해서	혼합/ncpa+하/xsv+어서/ecs
고루	고루/mag
풀리게	풀리/pvg+게/ecx
한	하/px+ㄴ/etm
다음	다음/ncn
발(발)에	발/ncn+(/sl+발/ncn+)/sr+에/jca
종이액을	종이/ncn+액/ncn+을/jco
걸러서	거르/pvg+어서/ecs
뜬	뜨/paa+ㄴ/etm
다음	다음/ncn
말리면	말리/pvg+면/ecs
종이가	종이/ncn+가/jcc
됩니다.	되/pvg+ㅂ니다/ef+./sf
이렇게	이렇/pad+게/ecs
만든	만들/pvg+ㄴ/etm
한지에는	한지/ncn+에/jca+는/jxc
용도에	용도/ncn+에/jca
따라	따르/pvg+아/ecs
그	그/mmd
질과	질/ncn+과/jcj
이름이	이름/ncn+이/jcs
다른데,	다르/paa+ㄴ데/ecs+,/sp
가령	가령/mag
문을	문/ncn+을/jco
바르는	바르/pvg+는/etm
종이는	종이/ncn+는/etm
창호지,	창호지/ncn+,/sp
족보,	족보/ncn+,/sp
불경,	불경/ncn+,/sp
고서적	고/xp+서적/ncn
등의	등/nbn+의/jcm
인쇄에	인쇄/ncn+에/jca
쓰이는	쓰이/pvg+는/etm
것은	것/nbn+은/jxc
복사지,	복사/ncn+지/xsn+,/sp
사군자나	사군자/ncn+나/jcj
그림을	그림/ncn+을/jco
그리는	그리/pvg+는/etm
것은	것/nbn+은/jxc
화선지,	화선/ncn+지/xsn+,/sp
연하장,	연하/ncn+장/xsn+,/sp
청첩장	청첩/ncn+장/xsn
등을	등/nbn+을/jco
쓰는	쓰/pvg+는/etm
솜털이	솜털/ncn+이/jcs
일고	일/pvg+고/ecs
이끼가	이끼/ncn+가/jcs
박힌	박히/pvg+ㄴ/etm
것은	것/nbn+은/jxc
태지(苔紙)라고	태지/ncn+(/sl+苔紙/ncn+)/sr+라고/ecs
합니다.	하/pvg+ㅂ니다/ef+./sf
닥나무	닥나무/ncn
열매는	열매/ncn+는/jxc
꾸지나무의	꾸지나무/ncn+의/jcm
열매와	열매/ncn+와/jct
함께	함께/mag
모두	모두/mag
한약재로도	한약재/ncn+로/jca+도/jxc
쓰이는데	쓰이/pvg+는데/ecs
저실(楮實),	저실/ncn+(/sl+楮實/ncn+)/sr+,/sp
곡실(穀實)이라고	곡실/ncn+(/sl+穀實/ncn+)/sr+이/jp+라고/ecs
합니다.	하/pvg+ㅂ니다/ef+./sf
그	그/mmd
속에는	속/ncn+에/jca+는/jxc
세로틴이라는	세로틴/ncn+이/jp+라/ef+는/etm
약	약/ncn
성분이	성분/ncn+이/jcs
들어있어서	들/pvg+어/ecx+있/px+어서/ecs
자양,	자양/ncn+,/sp
강장의	강장/ncn+의/jcm
효능이	효능/ncn+이/jcs
있으므로	있/paa+으므로/ecs
신체	신체/ncn
허약,	허약/ncn+,/sp
정력	정력/ncn
감퇴,	감퇴/ncn+,/sp
음위,	음위/ncn+,/sp
시력	시력/ncn
감퇴	감퇴/ncn
등에	등/nbn+에/jca
쓰인다고	쓰이/pvg+ㄴ다고/ecs
합니다.	하/pvg+ㅂ니다/ef+./sf
번식	번식/ncn
방법은	방법/ncn+은/jxc
실생묘와	실생묘/ncn+와/jcj
삽목묘가	삽목묘/ncn+가/jcs
있는데,	있/paa+는데/ecs+,/sp
실생묘는	실생묘/ncn+는/jxc
7월말경	7/nno+월/nbu+말/ncn+경/xsn
종자를	종자/ncn+를/jco
채취해서	채취/ncpa+하/xsv+어서/ecs
땅속에	땅속/ncn+에/jca
묻어서	묻/pvg+어서/ecs
저장했다가	저장/ncpa+하/xsv+었/ep+다가/ecs
봄에	봄/ncn+에/jca
파종합니다.	파종/ncpa+하/xsv+ㅂ니다/ef+./sf
삽목은	삽목/ncn+은/jxc
배수가	배수/ncn+가/jcc
잘	잘/mag
되는	되/pvg+는/etm
사질	사질/ncn
땅에	땅/ncn+에/jca
길이	길이/ncn
12	12/nnc
15cm	15/nnc+cm/su
정도인	정도/ncn+이/jp+ㄴ/etm
삽수를	삽수/ncn+를/jco
봄에	봄/ncn+에/jca
삽목합니다.	삽목/ncpa+하/xsv+ㅂ니다/ef+./sf
담쟁이덩굴	담쟁이/ncn+덩굴/ncn
녹색의	녹색/ncn+의/jcm
아름다운	아름/ncps+답/xsm+ㄴ/etm
들판을	들판/ncn+을/jco
그리워하는	그립/paa+어/ecx+하/px+는/etm
것은	것/nbn+은/jxc
그	그/mmd
푸른	푸르/paa+ㄴ/etm
들판이,	들판/ncn+이/jcs+,/sp
자연의	자연/ncn+의/jcm
품에서	품/ncn+에서/jca
쫓겨난	쫓기/pvg+어/ecx+나/px+ㄴ/etm
모든	모든/mma
현대인들이	현대/ncn+인/xsn+들/xsn+이/jcs
동경하는	동경/ncpa+하/xsv+는/etm
마음의	마음/ncn+의/jcm
고향이기	고향/ncn+이/jp+기/etn
때문입니다.	때문/nbn+이/jp+ㅂ니다/ef+./sf
에어컨의	에어컨/ncn+의/jcm
바람이	바람/ncn+이/jcs
아무리	아무리/mag
시원하다고	시원/ncps+하/xsm+다고/ecs
해도	하/pvg+어도/ecs
언덕	언덕/ncn
위	위/ncn
정자나무	정자/ncn+나무/ncn
밑으로	밑/ncn+으로/jca
불어오는	불/pvg+어/ecs+오/pvg+는/etm
솔바람만은	솔바람/ncn+만/jxc+은/jxc
못하고,	못하/paa+고/ecs+,/sp
수돗물이	수도/ncn+물/ncn+이/jcs
아무리	아무리/mag
좋다고	좋/paa+다고/ecs
해도	하/pvg+어도/ecs
산골짜기	산골짜기/ncn
바위	바위/ncn
틈에서	틈/ncn+에서/jca
흘러나오는	흐르/pvg+어/ecx+나오/px+는/etm
차디찬	차디차/paa+ㄴ/etm
맑은	맑/paa+은/etm
물에는	물/ncn+에/jca+는/jxc
못	못/mag
미친다는	미치/pvg+ㄴ다/ef+는/etm
것을,	것/nbn+을/jco+,/sp
아스팔트와	아스팔트/ncn+와/jcj
콘크리트로	콘크리트/ncn+로/jca
질식해서	질식/ncpa+하/xsv+어서/ecs
죽은	죽/pvg+은/etm
땅	땅/ncn
위에서	위/ncn+에서/jca
사는,	살/pvg+는/etm+,/sp
사람들은	사람/ncn+들/xsn+은/jxc
더더욱	더더욱/mag
잘	잘/mag
알고	알/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
사람들이	사람/ncn+들/xsn+이/jcs
운명이라는	운명/ncn+이/jp+라/ef+는/etm
이름으로	이름/ncn+으로/jca
만든	만들/pvg+ㄴ/etm
많은	많/paa+은/etm
공장들과	공장/ncn+들/xsn+과/jcj
산업	산업/ncn
쓰레기들은	쓰레기/ncn+들/xsn+은/jxc
하늘을	하늘/ncn+을/jco
죽여	죽이/pvg+어/ecs
오존층을	오존/ncn+층/xsn+을/jco
파괴하고,	파괴/ncpa+하/xsv+고/ecc+,/sp
땅을	땅/ncn+을/jco
죽여	죽이/pvg+어/ecx
방사능으로	방사능/ncn+으로/jca
오염하고,	오염/ncpa+하/xsv+고/ecc+,/sp
강을	강/ncn+을/jco
죽여	죽이/pvg+어/ecs
물을	물/ncn+을/jco
썩히고,	썩히/pvg+고/ecc+,/sp
산을	산/ncn+을/jco
죽이고,	죽이/pvg+고/ecc+,/sp
공기를	공기/ncn+를/jco
죽이고,	죽이/pvg+고/ecc+,/sp
드디어는	드디어/mag+는/jxc
사람	사람/ncn
자신을	자신/ncn+을/jco
죽이는	죽이/pvg+는/etm
결과에까지	결과/ncn+에/jca+까지/jxc
다다르고	다다르/pvg+고/ecx
있는	있/px+는/etm
절박한	절박/ncps+하/xsm+ㄴ/etm
현실에서,	현실/ncn+에서/jca+,/sp
신선했던	신선/ncps+하/xsm+었/ep+던/etm
옛날의	옛날/ncn+의/jcm
아름다운	아름/ncps+답/xsm+ㄴ/etm
자연을	자연/ncn+을/jco
그리워하고	그립/paa+어/ecx+하/px+고/ecs
동경하는	동경/ncpa+하/xsv+는/etm
것은	것/nbn+은/jxc
당연한	당연/ncps+하/xsm+ㄴ/etm
일이라고	일/ncn+이/jp+라고/ecs
생각합니다.	생각/ncpa+하/xsv+ㅂ니다/ef+./sf
넓게	넓/paa+게/ecs
차지할	차지/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
도시	도시/ncn
속의	속/ncn+의/jcm
작은	작/paa+은/etm
집에서	집/ncn+에서/jca
앞도	앞/ncn+도/jxc
옆도	옆/ncn+도/jxc
뒤도	뒤/ncn+도/jxc
모두	모두/mag
콘크리트	콘크리트/ncn
벽으로	벽/ncn+으로/jca
