<tdmsfile>
<tdmsfile>
mbc.hwp
"지옥	"/sl+지옥/ncn
이기주	이기주/nq
외무차관을	외무/ncn+차관/ncn+을/jco
만나	만나/pvg+아/ecs
독도	독도/nq
주변	주변/ncn
수역의	수역/ncn+의/jcm
법정	법정/ncn
성격	성격/ncn
등	등/nbn
한일	한일/nq
어업	어업/ncn
협상의	협상/ncn+의/jcm
핵심	핵심/ncn
쟁점에	쟁점/ncn+에/jca
대한	대하/pvg+ㄴ/etm
일괄	일괄/ncn
타결을	타결/ncn+을/jco
시도한데	시도/ncpa+하/xsv+ㄴ데/ecs
이어	이어/mag
내일은	내일/ncn+은/jxc
유종하	유종하/nq
외무장관을	외무/ncn+장관/ncn+을/jco
만날	만나/pvg+ㄹ/etm
예정입니다.	예정/ncn+이/jp+ㅂ니다/ef+./sf
IMF가	IMF/f+가/jcs
자금	자금/ncn
지원의	지원/ncn+의/jcm
조건으로	조건/ncn+으로/jca
내세운	내/pvg+어/ecs+세우/pvg+ㄴ/etm
것	것/nbn
가운데	가운데/ncn
또	또/mag
하나가	하나/ncn+가/jcs
재벌	재벌/ncn
기업의	기업/ncn+의/jcm
과다한	과다/ncps+하/xsm+ㄴ/etm
차입	차입/ncn
경영을	경영/ncn+을/jco
중단하라는	중단/ncpa+하/xsv+라/ef+는/etm
겁니다.	거/nbn+ㅂ니다/ef+./sf
대기업들은	대/xp+기업/ncn+들/xsn+은/jxc
결국	결국/mag
재벌에	재벌/ncn+에/jca
대한	대하/pvg+ㄴ/etm
대대적인	대대/ncn+적/xsn+이/jp+ㄴ/etm
구조조정이	구조/ncn+조정/ncn+이/jcs
불가피해진	불가피/ncps+하/xsm+어/ecx+지/px+ㄴ/etm
것으로	것/nbn+으로/jca
보고,	보/pvg+고/ecc+,/sp
대응책	대응/ncn+책/xsn
마련에	마련/ncn+에/jca
고심하고	고심/ncpa+하/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
양찬승	양찬승/nq
기자입니다.	기자/ncn+이/jp+ㅂ니다/ef+./sf
국내에서	국내/ncn+에서/jca
손꼽히는	손/ncn+꼽히/pvg+는/etm
한	한/nnc
대기업	대/xp+기업/ncn
자금부~	자금/ncn+부/xsn+~/sd
오전부터	오전/ncn+부터/jxc
긴급	긴급/ncn
대책회의가	대책/ncn+회의/ncn+가/jcs
잇따라	잇따르/pvg+아/ecs
열리고	열리/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
앞으로	앞/ncn+으로/jca
상당수의	상당/ncn+수/xsn+의/jcm
종금사들이	종금/ncn+사/xsn+들/xsn+이/jcs
문을	문/ncn+을/jco
닫을	닫/pvg+을/etm
경우	경우/ncn
기업에	기업/ncn+에/jca
빌려준	빌리/pvg+어/ecx+주/px+ㄴ/etm
돈을	돈/ncn+을/jco
강제로	강제/ncn+로/jca
회수하는	회수/ncpa+하/xsv+는/etm
등	등/nbn
자금	자금/ncn
사정이	사정/ncn+이/jcs
크게	크/paa+게/ecs
악화될	악화/ncpa+되/xsv+ㄹ/etm
것이기	것/nbn+이/jp+기/etn
때문입니다.	때문/nbn+이/jp+ㅂ니다/ef+./sf
기업들은	기업/ncn+들/xsn+은/jxc
정부가	정부/ncn+가/jcs
종금사들을	종금/ncn+사/xsn+들/xsn+을/jco
정리하더라도	정리/ncpa+하/xsv+더라도/ecs
기업들의	기업/ncn+들/xsn+의/jcm
자금	자금/ncn
조달원이	조달/ncn+원/xsn+이/jcs
한꺼번에	한꺼번에/mag
막히는	막히/pvg+는/etm
피해를	피해/ncn+를/jco
최소화하도록	최소/ncpa+화/xsn+하/xsv+도록/ecs
보완책이	보완/ncn+책/xsn+이/jcs
마련되어야	마련/ncpa+되/xsv+어야/ecs
할	하/pvg+ㄹ/etm
것이라고	것/nbn+이/jp+라/ef+고/jcr
말하고	말/ncpa+하/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
그러나	그러나/maj
보다	보다/mag
우려하는	우려/ncpa+하/xsv+는/etm
대목은	대목/ncn+은/jxc
재벌구조에	재벌/ncn+구조/ncn+에/jca
대한	대하/pvg+ㄴ/etm
IMF의	IMF/f+의/jcm
개혁요구입니다.	개혁/ncn+요구/ncn+이/jp+ㅂ니다/ef+./sf
이에	이/npd+에/jca
대해	대하/pvg+어/ecs
재계는	재계/ncn+는/jxc
하루아침에	하루/ncn+아침/ncn+에/jca
이런	이런/mmd
변화를	변화/ncn+를/jco
꾀하는	꾀하/pvg+는/etm
것은	것/nbn+은/jxc
바람직하지	바람직/ncps+하/xsm+지/ecx
않다는	않/px+다/ef+는/etm
반응입니다.	반응/ncn+이/jp+ㅂ니다/ef+./sf
급격한	급격/ncps+하/xsm+ㄴ/etm
변화를	변화/ncn+를/jco
수용할	수용/ncpa+하/xsv+ㄹ/etm
만한	만/nbn+하/paa+ㄴ/etm
태세가	태세/ncn+가/jcc
되어	되/pvg+어/ecx
있지	있/px+지/ecx
않기	않/px+기/etn
때문에	때문/nbn+에/jca
앞으로	앞/ncn+으로/jca
차기	차기/ncn
정부에서	정부/ncn+에서/jca
장기적인	장기/ncn+적/xsn+이/jp+ㄴ/etm
정책	정책/ncn
대안을	대안/ncn+을/jco
가지고	가지/pvg+고/ecc
재계와	재계/ncn+와/jct
논의해서	논의/ncpa+하/xsv+어서/ecs
해결해야	해결/ncpa+하/xsv+어야/ecs
되지	되/pvg+지/ecx
않나	않/px+나/ef
하는	하/pvg+는/etm
생각을	생각/ncn+을/jco
하고	하/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
특히	특히/mag
재벌의	재벌/ncn+의/jcm
소유	소유/ncn
구조	구조/ncn
문제와	문제/ncn+와/jcj
계열사간의	계열/ncn+사/xsn+간/xsn+의/jcm
지급	지급/ncn
보증에	보증/ncn+에/jca
대해	대하/pvg+어/ecs
정부가	정부/ncn+가/jcs
메스를	메스를/ncn
댈	대/pvg+ㄹ/etm
것으로	것/nbn+으로/jca
알려지자,	알리/pvg+어/ecx+지/px+자/ecc+,/sp
재계는	재계/ncn+는/jxc
더욱	더욱/mag
불안해하고	불안/ncps+하/xsm+어/ecx+하/px+고/ecx
있습니다.	있/px+습니다/ef+./sf
이에	이/npd+에/jca
따라	따르/pvg+아/ecs
30대	30/nnc+대/nbn
그룹은	그룹/ncn+은/jxc
모레	모레/ncn
전경련	nq[전경련/nq
회관에서	회관/ncn]nq+에서/jca
각	각/mma
그룹	그룹/ncn
기획	기획/ncn
조정실장이	조정/ncn+실장/ncn+이/jcs
참석한	참석/ncpa+하/xsv+ㄴ/etm
가운데	가운데/ncn
재계의	재계/ncn+의/jcm
구조조정에	구조/ncn+조정/ncn+에/jca
대한	대하/pvg+ㄴ/etm
입장을	입장/ncn+을/jco
정리할	정리/ncpa+하/xsv+ㄹ/etm
방침입니다.	방침/ncn+이/jp+ㅂ니다/ef+./sf
MBC	MBC/f
뉴스	뉴스/ncn
양찬승입니다.	양찬승/nq+이/jp+ㅂ니다/ef+./sf
갑자기	갑자기/mag
추워진	춥/paa+어/ecx+지/px+ㄴ/etm
날씨에	날씨/ncn+에/jca
어젯밤	어젯밤/mag
서울의	서울/nq+의/jcm
몇몇	몇몇/nnc
아파트에서	아파트/ncn+에서/jca
난방	난방/ncn
사고가	사고/ncn+가/jcs
나서	나/pvg+서/ecs
주민들이	주민/ncn+들/xsn+이/jcs
밤새	밤새/mag
추위에	추위/ncn+에/jca
떨었습니다.	떨/pvg+었/ep+습니다/ef+./sf
사고의	사고/ncn+의/jcm
원인은	원인/ncn+은/jxc
모두	모두/mag
관리	관리/ncn
부주의였습니다.	부/xp+주의/ncn+이/jp+었/ep+습니다/ef+./sf
연보흠	연보흠/nq
기자입니다.	기자/ncn+이/jp+ㅂ니다/ef+./sf
어젯밤	어젯밤/mag
11시쯤	11/nno+시/nbu+쯤/xsn
서울	서울/nq
등촌동	등촌동/nq
KIT아파트	nq[KIT/f+아파트/ncn]nq
옥상에	옥상/ncn+에/jca
있는	있/paa+는/etm
난방용	난방/ncn+용/xsn
굴뚝이	굴뚝/ncn+이/jcs
갑자기	갑자기/mag
폭발했습니다.	폭발/ncpa+하/xsv+었/ep+습니다/ef+./sf
다행히	다행/ncn+히/xsa
인명피해는	인명/ncn+피해/ncn+는/jxc
없었지만	없/paa+었/ep+지만/ecs
차량	차량/ncn
10여대가	10/nnc+여/xsn+대/nbu+가/jcs
굴뚝	굴뚝/ncn
파편에	파편/ncn+에/jca
맞아	맞/pvg+아/ecs
심하게	심하/paa+게/ecs
부서졌고	부수/pvg+어/ecx+지/px+었/ep+고/ecc
주민들이	주민/ncn+들/xsn+이/jcs
놀라	놀라/pvg+아/ecs
대피하는	대피/ncpa+하/xsv+는/etm
소동을	소동/ncn+을/jco
빚었습니다.	빚/pvg+었/ep+습니다/ef+./sf
또	또/maj
이	이/mmd
아파트	아파트/ncn
120	120/nnc
세대인	세대/nbu+이/jp+ㄴ/etm
난방과	난방/ncn+과/jcj
가스	가스/ncn
공급이	공급/ncn+이/jcs
오늘	오늘/ncn
오후까지	오후/ncn+까지/jxc
끊겨	끊기/pvg+어/ecs
주민들의	주민/ncn+들/xsn+의/jcm
불편이	불편/ncn+이/jcs
컸습니다.	크/paa+었/ep+습니다/ef+./sf
감기	감기/ncn
걸렸어요.	걸리/pvg+었/ep+어/ef+요/jxf+./sf
얘도	얘/ncn+도/jxc
걸리고...	걸리/pvg+고/ecc+.../se
다리가	다리/ncn+가/jcs
아프다고	아프/paa+다/ef+고/jcr
그래요...	그러/pvd+어/ef+요/jcf+.../se
그리고	그리고/maj
아침에	아침/ncn+에/jca
일어나니까	일/pvg+어/ecx+나/px+니까/ecs
가스를	가스/ncn+를/jco
키니까	키/pvg+니까/ecs
안	안/mag
나오더라고요.	나오/pvg+더/ep+라고/ef+요/jxf+./sf
당황해	당황하/pvg+어/ecx
가지고	가지/px+고/ecc
그냥...	그냥/mag+.../se
다들	다/ncn+들/xsn
밥들도	밥/ncn+들/xsn+도/jxc
못	못/mag
잡수고	잡수/pvg+고/ecc
나갔죠.	나가/pvg+았/ep+지/ef+요/jxf+./sf
경찰은	경찰/ncn+은/jxc
보일러	보일러/ncn
가동에	가동/ncn+에/jca
앞서	앞서/mag
굴뚝에	굴뚝/ncn+에/jca
찬	차/pvg+ㄴ/etm
가스를	가스/ncn+를/jco
빼	빼/pvg+어/ecx
내야	내/px+어야/ecs
하는데도	하/pvg+는데/ecs+도/jxc
관리자가	관리/ncn+자/xsn+가/jcs
이를	이/npd+를/jco
어기고	어기/pvg+고/ecc
갑자기	갑자기/mag
보일러를	보일러/ncn+를/jco
작동시켜	작동/ncpa+시키/xsv+어/ecs
사고가	사고/ncn+가/jcs
난	나/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
보고	보/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
아파트	아파트/ncn
보일러	보일러/ncn
사고는	사고/ncn+는/jxc
대부분의	대부분/ncn+의/jcm
무자격자가	무/xp+자격/ncn+자/xsn+가/jcs
관리를	관리/ncn+를/jco
하고	하/pvg+고/ecx
있기	있/px+기/etn
때문에	때문/nbn+에/jca
발생하고	발생/ncpa+하/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
이럴	이렇/pad+ㄹ/etm
경우에는	경우/ncn+에/jca+는/jxc
큰	크/paa+ㄴ/etm
사고가	사고/ncn+가/jcs
발생할	발생/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있기	있/paa+기/etn
때문에...	때문/nbn+에/jca+.../se
또	또/maj
오늘	오늘/ncn
새벽	새벽/ncn
0시	0/nno+시/nbu
반쯤	반/nnc+쯤/xsn
서울	서울/nq
삼성동	삼성동/nq
청구	nq[청구/nq
아파트에서는	아파트/ncn]nq+에서/jca+는/jxc
지반침하로	지반/ncn+침하/ncn+로/jca
도시가스	도시/ncn+가스/ncn
배관	배관/ncn
이음세가	이음세/ncn+가/jcs
어긋나면서	어긋나/pvg+면서/ecs
가스	가스/ncn
공급이	공급/ncn+이/jcs
중단되어	중단/ncpa+되/xsv+어/ecs
30여	30/nnc+여/xsn
세대	세대/nbu
주민들이	주민/ncn+들/xsn+이/jcs
3	3/nnc
시간	시간/nbu
가까이	가깝/paa+이/xsa
추위에	추위/ncn+에/jca
떨었습니다.	떨/pvg+었/ep+습니다/ef+./sf
아파트	아파트/ncn
앞에	앞/ncn+에/jca
지하철	지하철/ncn
공사를	공사/ncn+를/jco
하면서	하/pvg+면서/ecc
진입로가	진입/ncn+로/xsn+가/jcs
갈라지는	가르/pvg+아/ecx+지/px+는/etm
등	등/nbn
땅이	땅/ncn+이/jcs
꺼졌는데도,	꺼지/pvg+었/ep+는데/ecs+도/jxc+,/sp
지하철	지하철/ncn
건설	건설/ncn
본부	본부/ncn
측이	측/nbn+이/jcs
무리하게	무리/ncps+하/xsm+게/ecs
공사를	공사/ncn+를/jco
하다	하/pvg+다/ecs
일어난	일/pvg+어/ecx+나/px+ㄴ/etm
사고였습니다.	사고/ncn+이/jp+었/ep+습니다/ef+./sf
경비실도	경비/ncn+실/xsn+도/jxc
내려앉아	내리/pvg+어/ecs+앉/pvg+아/ecx
가지고	가지/px+고/ecc
문이	문/ncn+이/jcs
안	안/mag
닫혀	닫히/pvg+어/ecx
가지고	가지/px+고/ecc
지룃대를	지룃대/ncn+를/jco
받쳐	받치/pvg+어/ecx
가지고...	가지/px+고/ecc+.../se
겨울	겨울/ncn
추위로	추위/ncn+로/jca
난방이	난방/ncn+이/jcs
제대로	제대로/mag
되야	되/pvg+야/ecs
할	하/pvg+ㄹ/etm
때쯤	때/ncn+쯤/xsn
일어나는	일/pvg+어/ecx+나/px+는/etm
이같은	이/npd+같/paa+은/etm
사고는	사고/ncn+는/jxc
결국	결국/mag
관련	관련/ncn
시설을	시설/ncn+을/jco
철저히	철저/ncn+히/xsa
관리	관리/ncn
점검하지	점검/ncpa+하/xsv+지/ecx
않았다는	않/px+았/ep+다/ef+는/etm
반증입니다.	반증/ncn+이/jp+ㅂ니다/ef+./sf
MBC	MBC/f
뉴스	뉴스/ncn
연보흠입니다.	연보흠/nq+이/jp+ㅂ니다/ef+./sf
지금	지금/mag
우리가	우리/npp+가/jcs
겪고	겪/pvg+고/ecx
있는	있/px+는/etm
경제	경제/ncn
위기를	위기/ncn+를/jco
얘기하면서	얘기/ncpa+하/xsv+면서/ecc
흔히	흔히/mag
과소비를	과/xp+소비/ncn+를/jco
그	그/mmd
원인의	원인/ncn+의/jcm
하나로	하나/nnc+로/jca
지적하기도	지적/ncpa+하/xsv+기/etn+도/jxc
합니다마는	하/px+ㅂ니다/ef+마는/jxf
최근	최근/mag
소비자	nq[소비/ncn+자/xsn
보호원의	보호/ncn+원/xsn]nq+의/jcm
조사를	조사/ncn+를/jco
보면	보/pvg+면/ecs
이런	이런/mmd
지적이	지적/ncn+이/jcs
수긍할만하다는	수긍/ncpa+하/xsv+ㄹ/etm+만/nbn+하/paa+다/ef+는/etm
생각이	생각/ncn+이/jcs
듭니다.	들/pvg+ㅂ니다/ef+./sf
먹고	먹/pvg+고/ecc
마시고	마시/pvg+고/ecc
입고	입/pvg+고/ecc
그리고	그리고/maj
해외로	해외/ncn+로/jca
여행을	여행/ncn+을/jco
다니는데	다니/pvg+는데/ecs
쓴	쓰/pvg+ㄴ/etm
돈이	돈/ncn+이/jcs
선진국보다도	선진/ncn+국/xsn+보다/jca+도/jxc
더	더/mag
많았습니다.	많/paa+았/ep+습니다/ef+./sf
홍기백	홍기백/nq
기자입니다.	기자/ncn+이/jp+ㅂ니다/ef+./sf
국내에서	국내/ncn+에서/jca
유통되고	유통/ncpa+되/xsv+고/ecx
있는	있/px+는/etm
외국의	외국/ncn+의/jcm
옷	옷/ncn
상표는	상표/ncn+는/jxc
무려	무려/mag
580개.	580/nnc+개/nbu+./sf
전국이	전국/ncn+이/jcs
외재	외재/ncn
상표	상표/ncn
전시장이나	전시/ncn+장/xsn+이나/jxc
다름없습니다.	다름/ncn+없/paa+습니다/ef+./sf
게다가	게다가/mag
가격마저	가격/ncn+마저/jxc
외국보다	외국/ncn+보다/jca
턱없이	턱없/paa+이/xsa
비쌉니다.	비싸/paa+ㅂ니다/ef+./sf
바로	바로/mag
한국은	한국/nq+은/jxc
세계의	세계/ncn+의/jcm
봉이라는	봉/ncn+이/jp+라/ef+는/etm
비아냥을	비아냥/ncn+을/jco
들어온	들/pvg+어/ecx+오/px+ㄴ/etm
이유입니다.	이유/ncn+이/jp+ㅂ니다/ef+./sf
이탈리아제	이탈리아/nq+제/xsn
조지	nq[조지/nq
아르마니나	아르마니]nq+나/jxc
베르사체	베르사체/nq
코트는	코트/ncn+는/jxc
밀라노나	밀라노/nq+나/jxc
뉴욕보다	뉴욕/nq+보다/jca
3배에서	3/nnc+배/nbu+에서/jca
5배정도	5/nnc+배/nbu+정도/ncn
비쌉니다.	비싸/paa+ㅂ니다/ef+./sf
비싸면	비싸/paa+면/ecs
좋은	좋/paa+은/etm
거라고	거/nbn+이/jp+라/ef+고/jcr
생각하고	생각/ncpa+하/xsv+고/ecc
사게	사/pvg+게/ecx
되지요.	되/px+지/ef+요/jxf+./sf
사람들이	사람/ncn+들/xsn+이/jcs
생각하기에	생각/ncpa+하/xsv+기/etn+에/jca
외국	외국/ncn
브랜드가	브랜드/ncn+가/jcs
무조건	무조건/mag
좋고	좋/paa+고/ecc
물건도	물건/ncn+도/jxc
뛰어나고	뛰어나/pvg+고/ecc
이렇게	이렇/pad+게/ecs
생각을	생각/ncn+을/jco
하니까...	하/pvg+니까/ef+.../se
지난	지나/pvg+ㄴ/etm
5년동안	5/nnc+년/nbu+동안/ncn
먹고	먹/pvg+고/ecc
마시는	마시/pvg+는/etm
산업도	산업/ncn+도/jxc
크게	크/paa+게/ecx
번창했습니다.	번창/ncpa+하/xsv+었/ep+습니다/ef+./sf
곳곳에	곳곳/ncn+에/jca
들어선	들/pvg+어/ecs+서/pvg+ㄴ/etm
대형	대형/ncn
음식점만	음식/ncn+점/xsn+만/jxc
세계	세계/ncn
수준에	수준/ncn+에/jca
손색이	손색/ncn+이/jcs
없습니다.	없/paa+습니다/ef+./sf
지난해	지나/pvg+ㄴ/etm+해/ncn
가구당	가구/ncn+당/xsn
한달	한/nnc+달/nbu
평균	평균/ncn
외식비용은	외식/ncn+비용/ncn+은/jxc
14만원.	14만/nnc+원/nbu+./sf
~	~/sd
우리	우리/npp
소득에	소득/ncn+에/jca
3배가	3/nnc+배/nbu+가/jcs
넘는	넘/pvg+는/etm
일본보다	일본/nq+보다/jca
많은	많/paa+은/etm
액수입니다.	액수/ncn+이/jp+ㅂ니다/ef+./sf
양주	양주/ncn
수요도	수요/ncn+도/jxc
해마다	해/ncn+마다/jxc
폭발적으로	폭발/ncn+적/xsn+으로/jca
늘고	늘/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
91년	91/nno+년/nbu
이후	이후/nbn
매년	매년/mag
40%	40/nnc+%/su
가량	가량/ncn
늘었습니다.	늘/pvg+었/ep+습니다/ef+./sf
지난해에는	지나/pvg+ㄴ/etm+해/ncn+에/jca+는/jxc
2억달러를	2억/nnc+달러/nbu+를/jco
넘었습니다.	넘/pvg+었/ep+습니다/ef+./sf
그러나	그러나/maj
비싼	비싸/paa+ㄴ/etm
양주	양주/ncn
폭탄주는	폭탄주/ncn+는/jxc
여전한	여전/ncps+하/xsm+ㄴ/etm
음주행태입니다.	음주/ncn+행태/ncn+이/jp+ㅂ니다/ef+./sf
대체로	대체로/mag
발렌타인	발렌타인/nq
(수입양주만	(/sl+수입/ncn+양주/ncn+만/jxc
찾고)	찾/pvg+고/ecc+)/sr
썸씽(국산양주)등은	썸씽(국산/ncn+양주/ncn+)/nq+등/nbn+은/jxc
나가지도	나가/pvg+지/ecx+도/jxc
않는다.	않/px+는다/ef+./sf
해외에서의	해외/ncn+에서/jca+의/jcm
씀씀이도	씀씀이/ncn+도/jxc
세계	세계/ncn
최고입니다.	최고/ncn+이/jp+ㅂ니다/ef+./sf
지난	지난/mma
한	한/nnc
해동안	해/nbu+동안/ncn
한	한/nnc
사람이	사람/ncn+이/jcs
평균	평균/ncn
1,600달러를	1/nnc+,/sp+600/nnc+달러/nbu+를/jco
썼습니다.	쓰/pvg+었/ep+습니다/ef+./sf
독일인의	독일/nq+인/xsn+의/jcm
3배에	3/nnc+배/nbu+에/jca
가깝습니다.	가깝/paa+습니다/ef+./sf
서구	서구/ncn
언론들은	언론/ncn+들/xsn+은/jxc
이	이/mmd
때문에	때문/nbn+에/jca
한국인의	한국/nq+인/xsn+의/jcm
소득은	소득/ncn+은/jxc
1만	1만/nnc
달러지만	달러/nbu+이/jp+지만/ecs
소비는	소비/ncn+는/jxc
2만달러	2만/nnc+달러/nbu
이상이라고	이상/ncn+이/jp+라/ef+고/jcr
꼬집습니다.	꼬집/pvg+습니다/ef+./sf
우리	우리/npp
국민에	국민/ncn+에/jca
소비	소비/ncn
행태에	행태/ncn+에/jca
관한	관하/pvg+ㄴ/etm
이	이/mmd
조사	조사/ncn
결과는	결과/ncn+는/jxc
그	그/mmd
동안의	동안/ncn+의/jcm
과소비	과/xp+소비/ncn
행태를	행태/ncn+를/jco
수치로	수치/ncn+로/jca
드러내면서	들/pvg+어/ecx+내/px+면서/ecs
국민	국민/ncn
모두의	모두/ncn+의/jcm
자성을	자성/ncn+을/jco
요구하고	요구/ncpa+하/xsv+고/ecx
있습니다	있/px+습니다/ef
MBC	MBC/f
뉴스	뉴스/ncn
홍기백입니다.	홍기백/nq+이/jp+ㅂ니다/ef+./sf
장애아동	장애/ncn+아동/ncn
복지	복지/ncn
시설인	시설/ncn+이/jp+ㄴ/etm
다니앨	nq[다니앨/nq
학교가	학교/ncn]nq+가/jcs
4년여동안	4/nnc+년/nbu+여/xsn+동안/ncn
이전할	이전/ncpa+하/xsv+ㄹ/etm
장소를	장소/ncn+를/jco
찾지	찾/pvg+지/ecx
못해	못하/px+어/ecs
애를	애/ncn+를/jco
태우다	태우/pvg+다/ecs
오늘	오늘/ncn
서울	서울/nq
내곡동에	내곡동/nq+에/jca
새로운	새롭/paa+ㄴ/etm
보금자리를	보금자리/ncn+를/jco
마련했습니다.	마련/ncpa+하/xsv+었/ep+습니다/ef+./sf
특히	특히/mag
처음에는	처음/ncn+에/jca+는/jxc
학교	학교/ncn
설치를	설치/ncn+를/jco
반대하던	반대/ncpa+하/xsv+던/etm
주민들이	주민/ncn+들/xsn+이/jcs
오히려	오히려/mag
편견을	편견/ncn+을/jco
버리고	버리/pvg+고/ecc
오히려	오히려/mag
학교이전을	학교/ncn+이전/ncn+을/jco
축하해줘	축하/ncpa+하/xsv+어/ecx+주/px+어/ecs
장애아들의	장애/ncn+아들/ncn+의/jcm
기쁨이	기쁨/ncn+이/jcs
더욱	더욱/mag
컸습니다.	크/paa+었/ep+습니다/ef+./sf
유상하	유상하/nq
기자입니다.	기자/ncn+이/jp+ㅂ니다/ef+./sf
서울	서울/nq
광장동에	광장동/nq+에/jca
20년이	20/nnc+년/nbu+이/jcs
넘은	넘/pvg+은/etm
낡은	낡/paa+은/etm
시설에서	시설/ncn+에서/jca
생활해온	생활/ncpa+하/xsv+어/ecx+오/px+ㄴ/etm
다니엘	nq[다니엘/nq
학교의	학교/ncn]nq+의/jcm
장애아들	장애/ncn+아들/ncn
지난	지난/mma
92년부터	92/nno+년/nbu+부터/jxc
새	새/mma
건물을	건물/ncn+을/jco
지어	짓/pvg+어/ecs
이전할	이전/ncpa+하/xsv+ㄹ/etm
장소를	장소/ncn+를/jco
찾았지만	찾/pvg+았/ep+지만/ecs
어느	어느/mmd
곳에서나	곳/ncn+에서/jca+나/jxc
주민들의	주민/ncn+들/xsn+의/jcm
반대에	반대/ncn+에/jca
부딪쳐야	부딪치/pvg+어야/ecs
했습니다.	하/pvg+었/ep+습니다/ef+./sf
어렵게	어렵/paa+게/ecs
내곡동에	내곡동/nq+에/jca
이전부지를	이전/ncn+부지/ncn+를/jco
마련했지만	마련/ncpa+하/xsv+었/ep+지만/ecs
마을	마을/ncn
발전에	발전/ncn+에/jca
지장을	지장/ncn+을/jco
줄	주/pvg+ㄹ/etm
것이라는	것/nbn+이/jp+라/ef+는/etm
주민들의	주민/ncn+들/xsn+의/jcm
반대가	반대/ncn+가/jcs
거셌습니다.	거세/paa+ㅆ/ep+습니다/ef+./sf
그러나	그러나/maj
학교측은	학교/ncn+측/xsn+은/jxc
좌절하지	좌절/ncpa+하/xsv+지/ecx
않고	않/px+고/ecc
반대하는	반대/ncpa+하/xsv+는/etm
주민들을	주민/ncn+들/xsn+을/jco
일일이	일일이/mag
찾아다니며	찾/pvg+아/ecs+다니/pvg+며/ecc
설득했습니다.	설득/ncpa+하/xsv+었/ep+습니다/ef+./sf
주민들을	주민/ncn+들/xsn+을/jco
학교로	학교/ncn+로/jca
초청해	초청/ncpa+하/xsv+어/ecs
낡은	낡/paa+은/etm
시설을	시설/ncn+을/jco
보여주며,	보이/pvg+어/ecx+주/px+며/ecc+,/sp
사랑을	사랑/ncn+을/jco
베풀어	베풀/pvg+어/ecx
줄	주/px+ㄹ/etm
것을	것/nbn+을/jco
호소하기도	호소/ncpa+하/xsv+기/etn+도/jxc
했습니다.	하/pvg+었/ep+습니다/ef+./sf
그러기를	그러/pvd+기/etn+를/jco
4년.	4/nnc+년/nbu+./sf
몸도	몸/ncn+도/jxc
불편한	불편/ncps+하/xsm+ㄴ/etm
그분들을	그분/npp+들/xsn+을/jco
갖다가	갖/pvg+다가/ecs
마음까지	마음/ncn+까지/jxc
아프게	아프/paa+게/ecx
해서	하/px+어서/ecs
소외감을	소외감/ncn+을/jco
심어줘서는	심/pvg+어/ecx+주/px+어서/ecs+는/jxc
안	안/mag
되거든요.	되/pvg+거든/ef+요/jxf+./sf
주민들을	주민/ncn+들/xsn+을/jco
설득하는데에는	설득/ncpa+하/xsv+는데/ecs+에/jca+는/jxc
구청장도	구청/ncn+장/xsn+도/jxc
한몫했습니다.	한몫/ncpa+하/xsv+었/ep+습니다/ef+./sf
격렬하게	격렬/ncps+하/xsm+게/ecs
반대를	반대/ncn+를/jco
하고	하/pvg+고/ecc
선거에	선거/ncn+에/jca
표는	표/ncn+는/jxc
정말	정말/mag
하나도	하나/nnc+도/jxc
안	안/mag
온다고	오/pvg+ㄴ다/ef+고/jcr
했을	하/pvg+었/ep+을/etm
적에	적/nbn+에/jca
그랬습니다.	그러/pvd+었/ep+습니다/ef+./sf
사랑을	사랑/ncn+을/jco
모르는	모르/pvg+는/etm
분들의	분/nbn+들/xsn+의/jcm
표는	표/ncn+는/jxc
안	안/mag
받아도	받/pvg+아/ecs+도/jxc
좋다.	좋/paa+다/ef+./sf
우여곡절	우여곡절/ncn
끝에	끝/ncn+에/jca
보금자리를	보금자리/ncn+를/jco
꾸미게	꾸미/pvg+게/ecx
된	되/px+ㄴ/etm
이곳	이/mmd+곳/ncn
다니엘	nq[다니엘/nq
학교의	학교/ncn]nq+의/jcm
아이들은	아이/ncn+들/xsn+은/jxc
새건물에	새/mma+건물/ncn+에/jca
들어온	들/pvg+어/ecs+오/pvg+ㄴ/etm
것이	것/nbn+이/jcs
마냥	마냥/mag
즐겁고	즐겁/paa+고/ecc
뿌듯하기만	뿌듯/ncps+하/xsm+기/etn+만/jxc
합니다.	하/pvg+ㅂ니다/ef+./sf
방도	방/ncn+도/jxc
따듯하고요.	따듯/ncps+하/xsm+고/ef+요/jxf+./sf
학교도	학교/ncn+도/jxc
좋고요.	좋/paa+고/ef+요/jxff+./sf
교실도	교실/ncn+도/jxc
크고요	크/paa+고/ef+요/jxf
책상도	책상/ncn+도/jxc
좋고요...	좋/paa+고/ef+요/jxf+.../se
하지만	하지만/maj
따뜻하고	따뜻/ncps+하/xsm+고/ecc
