<tdmsfile>
<tdmsfile>
Chosun2. 2차 수정 hwp
새로운	새롭/paa+ㄴ/etm
사회불안을	사회/ncn+불안/ncn+을/jco
가중시킨	가중/ncn+시키/xsv+ㄴ/etm
국가반역자로	국가/ncn+반역/ncn+자/xsn+로/jca
규탄받았다고	규탄/ncn+받/xsv+았/ep+다/ef+고/jcr
아사히는	아사히/nq+는/jxc
전했다.	전/ncpa+하/xsv+었/ep+다/ef+./sf
서의	서/nq+의/jcm
처형과	처형/ncn+과/jct
동시에	동시에/mag
농업	농업/ncn
관계자	관계/ncn+자/xsn
5백여명도	5백/nnc+여/xsn+명/nbu+도/jxc
중노동의	중노동/ncn+의/jcm
엄한	엄/ncps+하/xsm+ㄴ/etm
처분을	처분/ncn+을/jco
받았다고	받/pvg+았/ep+다/ef+고/jcr
아사히는	아사히/nq+는/jxc
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
닛케이는	닛케이/nq+는/jxc
"몇달전부터	"/sl+몇/nnc+달/nbu+전/nbn+부터/jxc
북한이	북한/nq+이/jcs
노동당원증	노동/ncn+당원/ncn+증/xsn
일제	일제/ncn
반납	반납/ncn
및	및/maj
갱신령을	갱신/ncn+령/xsn+을/jco
내렸으며	내리/pvg+었/ep+으며/ecc
이	이/mmd
과정에서	과정/ncn+에서/jca
당원	당원/ncn
백여명이	백/nnc+여/xsn+명/nbu+이/jcs
체포됐다는	체포/ncpa+되/xsv+었/ep+다/ef+는/etm
정보가	정보/ncn+가/jcs
있다"며	있/paa+다/ef+"/sr+며/ecc
"숙청후	"/sl+숙청/ncn+후/ncn
대규모	대/xp+규모/ncn
인사가	인사/ncn+가/jcs
연내에	연내/ncn+에/jca
있을	있/paa+을/etm
가능성이	가능/ncn+성/xsn+이/jcs
높다"고	높/paa+다/ef+"/sr+고/jcr
관측했다.	관측/ncpa+하/xsv+었/ep+다/ef+./sf
극심한	극심/ncps+하/xsm+ㄴ/etm
침체에	침체/ncn+에/jca
빠진	빠지/pvg+ㄴ/etm
국내	국내/ncn
PC업계가	PC/f+업계/ncn+가/jcs
기업용PC로	기업/ncn+용/xsn+PC/f+로/jca
돌파구를	돌파/ncn+구/xsn+를/jco
찾고	찾/pvg+고/ecx
있다.	있/px+다/ef+./sf
삼보컴퓨터는	삼보컴퓨터/nq+는/jxc
기업용	기업/ncn+용/xsn
PC시장을	PC/f+시장/ncn+을/jco
겨냥,	겨냥/ncn+,/sp
'사이버넥스	'nq[사이버넥스/nq
1000'이라는	1000/nnc]nq+'/sr+이/jp+라/ef+는/etm
제품을	제품/ncn+을/jco
지난	지나/pvg+ㄴ/etm
9월	9/nno+월/nbu
출시했다.	출시/ncpa+하/xsv+었/ep+다/ef+./sf
이	이/mmd
제품은	제품/ncn+은/jxc
사운드와	사운드/ncn+와/jcj
비디오칩이	비디오/ncn+칩/ncn+이/jcs
하나로	하나/ncn+로/jca
통합된	통합/ncpa+되/xsv+ㄴ/etm
사이릭스사의	사이릭스사/nq+의/jcm
저가	저가/ncn
형	형/xsn
펜티엄	펜티엄/nq
호환칩인	호환/ncn+칩/ncn+이/jp+ㄴ/etm
'미디어GX'를	'/sl+nq[미디어/ncn+GX/f]nq+'/sr+를/jco
채용했다.	채용/ncpa+하/xsv+었/ep+다/ef+./sf
사무실에서	사무/ncn+실/xsn+에서/jca
공간을	공간/ncn+을/jco
최대한	최대한/ncn
활용할	활용/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있도록	있/paa+도록/ecs
본체	본체/ncn
크기를	크기/ncn+를/jco
최소화한	최소/ncn+화/xsn+하/xsv+ㄴ/etm
것이	것/nbn+이/jcs
특징으로	특징/ncn+으로/jca
본체가격이	본체/ncn+가격/ncn+이/jcs
1백30만원선.	1백/nnc+30만/nnc+원/nbu+선/ncn+./sf
삼보측은	삼보/nq+측/xsn+은/jxc
드림시스	nq[드림시스/nq
61	61/nnc
체인지업PC도	체인지업/nq+PC/f]nq+도/jxc
내부사양을	내부/ncn+사양/ncn+을/jco
최소화해	최소/ncn+화/xsn+하/xsv+어/ecs
사무용PC로	사무/ncn+용/xsn+PC/f+로/jca
출시할	출시/ncpa+하/xsv+ㄹ/etm
계획이다.	계획/ncn+이/jp+다/ef+./sf
LG-IBM도	nq[LG/f+-/sd+IBM/f]nq+도/jxc
기업용	기업/ncn+용/xsn
PC인	PC/f+이/jp+ㄴ/etm
멀티넷300GL을	nq[멀티넷/nq+300/nnc+GL/f]nq+을/jco
내놨다.	내/pvg+어/ecs+놓/pvg+았/ep+다/ef+./sf
기업내	기업/ncn+내/nbn
전산실에서	전산/ncn+실/xsn+에서/jca
사내전산망을	사내/ncn+전산/ncn+망/ncn+을/jco
통해	통하/pvg+어/ecs
사내	사내/ncn
전체	전체/ncn
PC를	PC/f+를/jco
관리할	관리/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
네트워크	네트워크/ncn
기능을	기능/ncn+을/jco
강화한	강화/ncpa+하/xsv+ㄴ/etm
것이	것/nbn+이/jcs
특징.	특징/ncn+./sf
LG-IBM은	nq[LG/f+-/sd+IBM/f]nq+은/jxc
"직원들이	"/sl+직원/ncn+들/xsn+이/jcs
퇴근한	퇴근/ncpa+하/xsv+ㄴ/etm
후에도	후/ncn+에/jca+도/jxc
전산실에서	전산/ncn+실/xsn+에서/jca
통신망을	통신/ncn+망/ncn+을/jco
통해	통하/pvg+어/ecs
PC를	PC/f+를/jco
켜거나	켜/pvg+거나/ecc
끄면서	끄/pvg+면서/ecc
프로그램을	프로그램/ncn+을/jco
업그레이드	업그레이드/ncn
하는	하/pvg+는/etm
등	등/nbn
관리가	관리/ncn+가/jcs
가능,	가능/ncn+,/sp
유지비용을	유지/ncn+비용/ncn+을/jco
절감할수	절감/ncpa+하/xsv+ㄹ/etm+수/nbn
있다"고	있/paa+다/ef+"/sr+고/jcr
밝혔다.	밝히/pvg+었/ep+다/ef+./sf
대우통신도	대우통신/nq+도/jxc
웹스테이션이란	웹스테이션/ncn+이란/jxc
홈PC를	홈/ncn+PC/f+를/jco
업무용으로	업무/ncn+용/xsn+으로/jca
개조,	개조/ncn+,/sp
1백20만원선으로	1백/nnc+20만/nnc+원/nbu+선/ncn+으로/jca
내놓을	내/pvg+어/ecs+놓/pvg+을/etm
계획이다.	계획/ncn+이/jp+다/ef+./sf
이	이/mmd
제품도	제품/ncn+도/jxc
펜티엄호환칩인	펜티엄/nq+호환/ncn+칩/ncn+이/jp+ㄴ/etm
사이릭스의	사이릭스/nq+의/jcm
미디어GX칩을	nq[미디어/ncn+GX/f+칩/ncn]nq+을/jco
CPU로	CPU/f+로/jca
사용하고	사용/ncpa+하/xsv+고/ecx
있다.	있/px+다/ef+./sf
한전은	한전/nq+은/jxc
해저케이블과	해저/ncn+케이블/ncn+과/jct
함께	함께/mag
광통신	광/ncn+통신/ncn
케이블	케이블/ncn
2회선도	2/nnc+회선/ncn+도/jxc
함께	함께/mag
준공했다.	준공/ncpa+하/xsv+었/ep+다/ef+./sf
한전은"	한전/nq+은/jxc+"/sl
앞으로	앞/ncn+으로/jca
PC통신,	PC/f+통신/ncn+,/sp
케이블TV,	케이블/ncn+TV/f+,/sp
원격화상전화,	원격/ncn+화상/ncn+전화/ncn+,/sp
초고속	초/xp+고속/ncn
인터넷	인터넷/ncn
서비스	서비스/ncn
등	등/nbn
최첨단	최첨단/ncn
멀티미디어서비스를	멀티미디어/ncn+서비스/ncn+를/jco
제공하는데	제공/ncpa+하/xsv+는데/ecs
큰	크/paa+ㄴ/etm
기여를	기여/ncn+를/jco
할	하/pvg+ㄹ/etm
것"이라고	것/nbn+"/sr+이/jp+라/ef+고/jcr
설명했다.	설명/ncpa+하/xsv+었/ep+다/ef+./sf
지난	지나/pvg+ㄴ/etm
4월	4/nno+월/nbu
고려증권에서	고려증권/nq+에서/jca
상무유니폼으로	상무/nq+유니폼/ncn+으로/jca
갈아	갈/pvg+아/ecs
입은	입/pvg+은/etm
이수동이	이수동/nq+이/jcs
예전의	예전/ncn+의/jcm
하얀	하얗/paa+ㄴ/etm
새치를	새치/ncn+를/jco
머리에	머리/ncn+에/jca
이고	이/pvg+고/ecc
전남	전남/nq
여천에서	여천/nq+에서/jca
열리고	열리/pvg+고/ecx
있는	있/px+는/etm
97한국배구대제전에서	97/nno+nq[한국/ncn+배구/ncn+대/xp+제전/ncn]nq+에서/jca
종횡무진	종횡무진/ncn
코트를	코트/ncn+를/jco
누비고	누비/pvg+고/ecx
있다	있/px+다/ef
이수동은	이수동/nq+은/jxc
전통의	전통/ncn+의/jcm
배구명가	배구/ncn+명가/ncn
대한항공,	대한항공/nq+,/sp
고려증권,	고려증권/nq+,/sp
LG화재를	nq[LG/f+화재/ncn]nq+를/jco
차례로	차례/ncn+로/jca
격침시키고	격침/ncpa+시키/xsv+고/ecc
상무를	상무/nq+를/jco
3연승으로	3/nnc+연승/ncn+으로/jca
4강에	4/nno+강/nbu+에/jca
진출시켰다	진출/ncn+시키/xsv+었/ep+다/ef
이수동의	이수동/nq+의/jcm
활약은	활약/ncn+은/jxc
눈부셨다.	눈/ncn+부시/paa+었/ep+다/ef+./sf
4일	4/nno+일/nbu
친정팀인	친정/ncn+팀/ncn+이/jp+ㄴ/etm
고려증권전.	고려증권/nq+전/xsn+./sf
상대의	상대/ncn+의/jcm
왼쪽	왼쪽/ncn
공격라인을	공격/ncn+라인/ncn+을/jco
철통같이	철통/ncn+같/paa+이/xsa
봉쇄하며	봉쇄/ncpa+하/xsv+며/ecc
블로킹만으로	블로킹/ncn+만/jxc+으로/jca
7득점	7/nnc+득점/ncn
2득권을	2/nnc+득권/ncn+을/jco
올렸다.	올리/pvg+었/ep+다/ef+./sf
또	또/maj
위력적인	위력/ncn+적/xsn+이/jp+ㄴ/etm
오픈강타를	오픈/ncn+강타/ncn+를/jco
친정팀	친정/ncn+팀/ncn
코트에	코트/ncn+에/jca
꽂아	꽂/pvg+아/ecs
넣으며	넣/pvg+으며/ecc
양팀선수중	양팀/ncn+선수/ncn+중/nbn
최다인	최다/ncn+이/jp+ㄴ/etm
12득점	12/nnc+득점/ncn
20득권을	20/nnc+득권/ncn+을/jco
기록.	기록/ncn+./sf
6일	6/nno+일/nbu
LG화재전에서도	nq[LG/f+화재/ncn]nq+전/xsn+에서/jca+도/jxc
고비마다	고비/nq+마다/jxc
블로킹과	블로킹/ncn+과/jcj
강타로	강타/ncn+로/jca
11득점	11/nnc+득점/ncn
15득권으로	15/nnc+득권/ncn+으로/jca
승리의	승리/ncn+의/jcm
주역이	주역/ncn+이/jcs
됐다.	되/pvg+었/ep+다/ef+./sf
상무는	상무/nq+는/jxc
지난	지나/pvg+ㄴ/etm
3월	3/nno+월/nbu
97슈퍼리그	nq[97/nno+슈퍼리그/nq]nq
이후	이후/ncn
실업대회에	실업/ncn+대회/ncn+에/jca
출전조차	출전/ncn+조차/jxc
하지않은	하/pvg+지/ecx+않/px+은/etm
팀.	팀/ncn+./sf
선수들의	선수/ncn+들/xsn+의/jcm
잇단	잇달/pvg+ㄴ/etm
입-제대로	입/ncn+-/sd+제대/ncn+로/jca
팀구성이	팀/ncn+구성/ncn+이/jcs
어려웠던	어렵/paa+었/ep+던/etm
것.	것/nbn+./sf
그러나	그러나/maj
이수동	이수동/nq
등	등/nbn
신참트리오의	신참/ncn+트리오/ncn+의/jcm
가세로	가세/ncn+로/jca
공격과	공격/ncn+과/jcj
수비,	수비/ncn+,/sp
그리고	그리고/maj
서브	서브/ncn
리시브까지	리시브/ncn+까지/jxc
안정감을	안정/ncn+감/xsn+을/jco
가지면서	가지/pvg+면서/ecc
전력이	전력/ncn+이/jcs
급상승했다는	급상승/ncpa+하/xsv+었/ep+다/ef+는/etm
평이다.	평/ncn+이/jp+다/ef+./sf
이수동은	이수동/nq+은/jxc
늦깎이였다.	늦깎이/ncn+이/jp+었/ep+다/ef+./sf
경북사대부중-고를	경북사대부중/nq+-/sd+고/ncn+를/jco
졸업할때까지	졸업/ncpa+하/xsv+ㄹ/etm+때/ncn+까지/jxc
초라한	초라/ncps+하/xsm+ㄴ/etm
학창시절을	학창/ncn+시절/ncn+을/jco
보냈다.	보내/pvg+었/ep+다/ef+./sf
결국	결국/mag
대학도	대학/ncn+도/jxc
내로라하는	내/pvg+로라/ef+하/pvg+는/etm
대학팀의	대학/ncn+팀/ncn+의/jcm
외면속에	외면/ncn+속/ncn+에/jca
홍익대에	홍익대/nq+에/jca
묻어서	묻/pvg+어서/ecs+(/sl+?/sf+)/sr
입학했을	입학/ncpa+하/xsv+었/ep+을/etm
정도.	정도/ncn+./sf
홍익대	홍익대/nq
졸업무렵에도	졸업/ncn+무렵/nbn+에/jca+도/jxc
스카우트	스카우트/ncn
손짓을	손짓/ncn+을/jco
하는	하/pvg+는/etm
실업팀은	실업/ncn+팀/ncn+은/jxc
없었다.	없/paa+었/ep+다/ef+./sf
단돈	단돈/ncn
2,000만원에	2,000만/nnc+원/nbu+에/jca
고려증권에	고려증권/nq+에/jca
입단했다.	입단/ncpa+하/xsv+었/ep+다/ef+./sf
3억5,000만원에	3억/nnc+5,000만/nnc+원/nbu+에/jca
현대자동차써비스에	현대자동차써비스/nq+에/jca
입단한	입단/ncpa+하/xsv+ㄴ/etm
임도헌과는	임도헌/nq+과/jct+는/jxc
실업동기생.	실업/ncn+동기/ncn+생/xsn+./sf
진준택감독만이	진준택/nq+감독/ncn+만/jxc+이/jcs
이수동의	이수동/nq+의/jcm
가능성을	가능/ncn+성/xsn+을/jco
믿고	믿/pvg+고/ecc
스카우트,	스카우트/ncn+,/sp
혹독한	혹독/ncps+하/xsm+ㄴ/etm
조련으로	조련/ncn+으로/jca
변신을	변신/ncn+을/jco
이끌었다.	이끌/pvg+었/ep+다/ef+./sf
그러나	그러나/maj
그의	그/npp+의/jcm
시대는	시대/ncn+는/jxc
열리지	열리/pvg+지/ecx
않았다.	않/px+았/ep+다/ef+./sf
94년	94/nno+년/nbu
슈퍼리그는	슈퍼리그/nq+는/jxc
아예	아예/mag
출전조차	출전/ncn+조차/jxc
하지못했고	하/pvg+지/ecx+못/ncpa+하/xsv+었/ep+고/ecc
95시즌엔	95/nnc+시즌/ncn+엔/jxc
초반에	초반/ncn+에/jca
몇	몇/mma
게임	게임/ncn
뛰다가	뛰/pvg+다/ef+가/ecc
왼쪽발목을	왼쪽/ncn+발목/ncn+을/jco
다쳐	다치/pvg+어/ecs
벤치워머로	벤치워머/ncn+로/jca
실업초년기를	실업/ncn+초년/ncn+기/xsn+를/jco
보냈다.	보내/pvg+었/ep+다/ef+./sf
그에게	그/npp+에게/jca
때가	때/ncn+가/jcs
온	오/pvg+ㄴ/etm
건	것/nbn+은/jxc
96슈퍼리그.	nq[96/nno+슈퍼리그/nq]nq+./sf
통산	통산/ncn
5회우승의	5/nnc+회/nbu+우승/ncn+의/jcm
고려증권의	고려증권/nq+의/jcm
레프트로	레프트/ncn+로/jca
나서	나서/pvg+어/ecs
타의	타/ncn+의/jcm
추종을	추종/ncn+을/jco
불허하는	불허/ncpa+하/xsv+는/etm
주무기인	주/mma+무기/ncn+이/jp+ㄴ/etm
C퀵으로	C/f+퀵/ncn+으로/jca
상대코트를	상대/ncn+코트/ncn+를/jco
쑥대밭으로	쑥대밭/ncn+으로/jca
만든	만들/pvg+ㄴ/etm
것.	것/nbn+./sf
96슈퍼리그	nq[96/nno+슈퍼리그/nq]nq
우승을	우승/ncn+을/jco
거머쥔	거머쥐/pvg+ㄴ/etm
뒤	뒤/ncn
이수동은	이수동/nq+은/jxc
"실업	"/sl+실업/ncn
3년만에	3/nnc+년/nbu+만/jxc+에/jca
배구를	배구/ncn+를/jco
보는	보/pvg+는/etm
눈이	눈/ncn+이/jcs
생겼다"고	생기/pvg+었/ep+다/ef+"/sr+고/jcr
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
이수동은	이수동/nq+은/jxc
비교적	비교/ncn+적/xsn
편한(?	편한/ncn+(?/sy
)	)/sr
공익근무요원을	공익/ncn+근무/ncn+요원/ncn+을/jco
마다하고	말/pvg+다/ef+하/pvg+고/ecc
상무유니폼을	상무/nq+유니폼/ncn+을/jco
입었다.	입/pvg+었/ep+다/ef+./sf
"배구를	"/sl+배구/ncn+를/jco
할	하/pvg+ㄹ/etm
수	수/nbn
있잖아요.	있/paa+잖아요/ef+./sf
".	"/sr+./sf
이수동의	이수동/nq+의/jcm
짧은	짧/paa+은/etm
대답이다.	대답/ncn+이/jp+다/ef+./sf
시사	시사/ncn
주간지	주간/ncn+지/xsn
타임이	타임/nq+이/jcs
선정하는	선정/ncpa+하/xsv+는/etm
'세기의	'/sl+세기/ncn+의/jcm
인물'로는	인물/ncn+'/sr+로/jca+는/jxc
누가	누구/npp+가/jcs
적절할까.	적절/ncps+하/xsm+ㄹ까/ef+./sf
다른	다르/paa+ㄴ/etm
인물들은	인물/ncn+들/xsn+은/jxc
꿈도	꿈/ncn+도/jxc
못	못/mag
꿀	꾸/pvg+ㄹ/etm
것	것/nbn
같다.	같/paa+다/ef+./sf
지난	지나/pvg+ㄴ/etm
6일	6/nno+일/nbu
하루만도	하루/ncn+만/jxc+도/jxc
모두	모두/mag
20만통에	20만/nnc+통/nbu+에/jca
달하는	달하/pvg+는/etm
편지와	편지/ncn+와/jcj
엽서,	엽서/ncn+,/sp
전자우편	전자/ncn+우편/ncn
등이	등/nbn+이/jcs
'제3의	'/sl+제/xp+3/nno+의/jcm
인물'을	인물/ncn+'/sr+을/jco
꼽았다.	꼽/pvg+았/ep+다/ef+./sf
바로	바로/mag
근대	근대/ncn
터키의	터키/nq+의/jcm
아버지인	아버지/ncn+이/jp+ㄴ/etm
무스타파	nq[무스타파/nq
케말	케말/nq
아타튀르크.	아타튀르크/nq]nq+./sf
아타튀르크는	아타튀르크/nq+는/jxc
터키	터키/nq
공화국을	공화/ncn+국/xsn+을/jco
세웠다.	세우/pvg+었/ep+다/ef+./sf
독재자였으나	독재/ncn+자/xsn+이/jp+었/ep+으나/ecs
그는	그/npp+는/jxc
문맹	문맹/ncn
퇴치와	퇴치/ncn+와/jcj
중혼제	중혼/ncn+제/xsn
폐지를	폐지/ncn+를/jco
이룩하고	이룩하/pvg+고/ecc
여성에게	여성/ncn+에게/jca
참정권을	참정/ncn+권/xsn+을/jco
주는	주/pvg+는/etm
등	등/nbn
터키를	터키/nq+를/jco
서방화	서방/ncn+화/xsn
한	하/pvg+ㄴ/etm
인물이다.	인물/ncn+이/jp+다/ef+./sf
그러나	그러나/maj
그를	그/npp+를/jco
지지하는	지지/ncpa+하/xsv+는/etm
'우편	'/sl+우편/ncn
홍수'는	홍수/ncn+'/sr+는/jxc
순전히	순전/ncn+히/xsa
터키의	터키/nq+의/jcm
극성	극성/ncn
독자들	독자/ncn+들/xsn
덕분.	덕분/nbn+./sf
타임사는	타임사/nq+는/jxc
지난	지나/pvg+ㄴ/etm
6월	6/nno+월/nbu
CBS	CBS/f
방송과	방송/ncn+과/jct
함께	함께/mag
20세기의	20/nno+세기/nbu+의/jcm
위인	위인/ncn
1백인을	1백/nnc+인/xsn+을/jco
뽑는다는	뽑/pvg+는다/ef+는/etm
세기말	세기/ncn+말/ncn
기획을	기획/ncn+을/jco
발표했다.	발표/ncpa+하/xsv+었/ep+다/ef+./sf
이후	이후/ncn
8월부터	8/nno+월/nbu+부터/jxc
터키	터키/nq
언론들이	언론/ncn+들/xsn+이/jcs
자국민에게	자국/ncn+민/xsn+에게/jca
케말파샤가	케말파샤/nq+가/jcs
타임지	타임지/nq
선정	선정/ncn
20세기의	20/nno+세기/nbu+의/jcm
인물로	인물/ncn+로/jca
뽑히게	뽑히/pvg+게/ecx
하자고	하/px+자/ef+고/ecs
독려했던	독려/ncpa+하/xsv+었/ep+던/etm
것.	것/nbn+./sf
물론	물론/mag
독자들의	독자/ncn+들/xsn+의/jcm
최대	최대/ncn
지지표가	지지/ncn+표/ncn+가/jcs
곧	곧/mag
'세기의	'/sl+세기/ncn+의/jcm
인물'	인물/ncn+'/sr
선정을	선정/ncn+을/jco
뜻하지는	뜻하/pvg+지/ecx+는/jxc
않는다.	않/paa+ㄴ다/ef+./sf
이는	이/npd+는/jxc
어디까지나	어디/npd+까지/jxc+나/jxc
타임사와	타임사/nq+와/jcj
CBS의	CBS/f+의/jcm
고유	고유/ncn
권한.	권한/ncn+./sf
하지만	하지만/maj
타임의	타임/nq+의/jcm
월터	nq[월터/nq
아이작슨	아이작슨/nq]nq
편집국장은	편집/ncn+국장/ncn+은/jxc
"다른	"/sl+다르/paa+ㄴ/etm
특집호에서	특집/ncn+호/ncn+에서/jca
그를	그/npp+를/jco
따로	따로/mag
다뤄	다루/pvg+어/ecx
볼	보/px+ㄹ/etm
필요는	필요/ncn+는/jxc
있는	있/paa+는/etm
것	것/nbn
같다"고	같/paa+다/ef+"/sr+고/jcr
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
입냄새를	입/ncn+냄새/ncn+를/jco
기계로	기계/ncn+로/jca
측정해	측정/ncpa+하/xsv+어/ecs
수치화한다.	수치/ncn+화/xsn+하/xsv+ㄴ다/ef+./sf
입냄새	입/ncn+냄새/ncn
측정기는	측정/ncn+기/xsn+는/jxc
입냄새	입/ncn+냄새/ncn
주범인	주범/ncn+이/jp+ㄴ/etm
황화수소를	황화수소/ncn+를/jco
측정해	측정/ncpa+하/xsv+어/ecs
수치로	수치/ncn+로/jca
보여주는	보이/pvg+어/ecx+주/px+는/etm
기계.	기계/ncn+./sf
측정은	측정/ncn+은/jxc
이를	이/ncn+를/jco
닦고	닦/pvg+고/ecc
행군	헹구/pvg+ㄴ/etm
뒤	뒤/ncn
3분간	3/nnc+분/nbu+간/xsn
입은	입/ncn+은/jxc
다문	다물/pvg+ㄴ/etm
다음	다음/ncn
기계에	기계/ncn+에/jca
입을	입/ncn+을/jco
대는	대/pvg+는/etm
방식으로	방식/ncn+으로/jca
진행된다.	진행/ncpa+되/xsv+ㄴ다/ef+./sf
3회	3/nnc+회/nbu
측정해서	측정/ncpa+하/xsv+어서/ecs
나온	나오/pvg+ㄴ/etm
평균값이	평균/ncn+값/ncn+이/jcs
기준치가	기준/ncn+치/xsn+가/jcc
된다.	되/pvg+ㄴ다/ef+./sf
1차	1/nno+차/nbu
치료는	치료/ncn+는/jxc
스케일링과	스케일링/ncn+과/jcj
잇몸질환	잇몸/ncn+질환/ncn
치료.	치료/ncn+./sf
유기준	유기준/nq
원장은	원장/ncn+은/jxc
"이	"/sl+이/mmd
정도	정도/ncn
치료로도	치료/ncn+로/jca+도/jxc
80%	80/nnc+%/su
이상	이상/ncn
입냄새	입/ncn+냄새/ncn
치료가	치료/ncn+가/jcs
가능하다	가능/ncps+하/xsm+다/ef
"고	"/sl+고/jcr
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
이후	이후/ncn
구취용액과	구취/ncn+용액/ncn+과/jcj
혀닦는	혀/ncn+닦/pvg+는/etm
기구를	기구/ncn+를/jco
이용한다.	이용/ncpa+하/xsv+ㄴ다/ef+./sf
오는	오/pvg+는/etm
2001년	2001/nno+년/nbu
인터넷을	인터넷/ncn+을/jco
통한	통하/pvg+ㄴ/etm
국제	국제/ncn
상거래	상거래/ncn
규모가	규모/ncn+가/jcs
2천억달러를	2천억/nnc+달러/nbu+를/jco
돌파할	돌파/ncpa+하/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
예측됐다.	예측/ncpa+되/xsv+었/ep+다/ef+./sf
IDC사의	nq[IDC/f+사/xsn]nq+의/jcm
분석자료는	분석/ncn+자료/ncn+는/jxc
세계	세계/ncn
1만1천여	1만/nnc+1천/nnc+여/xsn
기업경영진을	기업/ncn+경영/ncn+진/xsn+을/jco
대상으로	대상/ncn+으로/jca
실시한	실시/ncpa+하/xsv+ㄴ/etm
설문조사를	설문/ncn+조사/ncn+를/jco
토대로	토대/ncn+로/jca
작성됐다.	작성/ncpa+되/xsv+었/ep+다/ef+./sf
IDC사는	nq[IDC/f+사/xsn]nq+는/jxc
미국이	미국/nq+이/jcs
인터넷	인터넷/ncn
거래규모면에서	거래/ncn+규모/ncn+면/ncn+에서/jca
세계	세계/ncn
시장을	시장/ncn+을/jco
석권할	석권/ncpa+하/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
보이지만	보이/pvg+지만/ecs
세계	세계/ncn
전체	전체/ncn
인터넷	인터넷/ncn
거래에서	거래/ncn+에서/jca
미국이	미국/nq+이/jcs
차지하는	차지/ncpa+하/xsv+는/etm
비중은	비중/ncn+은/jxc
올해	올해/ncn
80%에서	80/nnc+%/su+에서/jca
2001년에는	2001/nno+년/nbu+에/jca+는/jxc
70%로	70/nnc+%/su+로/jca
낮아질	낮/pvg+아/ecx+지/px+ㄹ/etm
것으로	것/nbn+으로/jca
분석됐다.	분석/ncpa+되/xsv+었/ep+다/ef+./sf
또한	또한/maj
인터넷	인터넷/ncn
사용자는	사용/ncn+자/xsn+는/jxc
현재	현재/ncn
5천만명	5천만/nnc+명/nbu
수준에서	수준/ncn+에서/jca
2001년에는	2001/nno+년/nbu+에/jca+는/jxc
1억7천4백만명으로	1억7천4백만/nnc+명/nbu+으로/jca
늘어날	늘/pvg+어/ecx+나/px+ㄹ/etm
것으로	것/nbn+으로/jca
전망된다.	전망/ncpa+되/xsv+ㄴ다/ef+./sf
인터넷의	인터넷/ncn+의/jcm
중요성에	중요/ncn+성/xsn+에/jca
대한	대하/pvg+ㄴ/etm
기업의	기업/ncn+의/jcm
인지도면에서는	인지/ncn+도/xsn+면/ncn+에서/jca+는/jxc
일본을	일본/nq+을/jco
제외한	제외/ncpa+하/xsv+ㄴ/etm
아시아.	아시아/nq+./sf
서유럽의	서유럽/nq+의/jcm
경우	경우/ncn
이탈리아는	이탈리아/nq+는/jxc
14%,	14/nnc+%/su+,/sp
스칸디나비아는	스칸디나비아/nq+는/jxc
22%	22/nnc+%/su
등으로	등/nbn+으로/jca
중국(39%)	중국/nq+(/sl+39/nnc+%/su+)/sr
보다도	보다/jca+도/jxc
인지도가	인지/ncn+도/xsn+가/jcs
낮았다.	낮/paa+았/ep+다/ef+./sf
기업의	기업/ncn+의/jcm
인터넷	인터넷/ncn
홈페이지	홈페이지/ncn
개설현황은	개설/ncn+현황/ncn+은/jxc
일본이	일본/nq+이/jcs
53%를	53/nnc+%/su+를/jco
기록,	기록/ncn+,/sp
미국(37%)을	미국/nq+(/sl+37/nnc+%/su+)/sr+을/jco
앞섰으며	앞/ncn+서/pvg+었/ep+으며/ecc
일본을	일본/nq+을/jco
제외한	제외/ncpa+하/xsv+ㄴ/etm
아시아태평양지역도	아시아/nq+태평양/nq+지역/ncn+도/jxc
38%로	38/nnc+%/su+로/jca
미국과	미국/nq+과/jct
거의	거의/mag
비슷한	비슷/ncps+하/xsm+ㄴ/etm
수준을	수준/ncn+을/jco
나타냈다.	나타내/pvg+었/ep+다/ef+./sf
IDC사는	nq[IDC/f+사/xsn]nq+는/jxc
인터넷이	인터넷/ncn+이/jcs
앞으로	앞/ncn+으로/jca
기업의	기업/ncn+의/jcm
순위와	순위/ncn+와/jcj
국가간의	국가/ncn+간/nbn+의/jcm
경제력	경제/ncn+력/xsn
순위에도	순위/ncn+에/jca+도/jxc
큰	크/paa+ㄴ/etm
변화를	변화/ncn+를/jco
가져오게	가지/pvg+어/ecs+오/pvg+게/ecx
할	하/px+ㄹ/etm
것이라고	것/nbn+이/jp+라/ef+고/jcr
지적하면서	지적/ncpa+하/xsv+면서/ecc
특히	특히/mag
인터넷	인터넷/ncn
활용에	활용/ncn+에/jca
적극적인	적극/ncn+적/xsn+이/jp+ㄴ/etm
태도를	태도/ncn+를/jco
보이고	보이/pvg+고/ecx
있는	있/px+는/etm
