<tdmsfile>
<tdmsfile>
Han3.hwp
먼저	먼저/mag
그룹	그룹/ncn
본관과	본관/ncn+과/jcj
삼성생명	삼성생명/nq
사옥,	사옥/ncn+,/sp
삼성빌딩	삼성/nq+빌딩/ncn
3개	3/nnc+개/nbu
건물의	건물/ncn+의/jcm
지하공간을	지하/ncn+공간/ncn+을/jco
연결해	연결/ncpa+하/xsv+어/ecs
삼성플라자	삼성플라자/nq
2호점을	2/nno+호/nbu+점/xsn+을/jco
열	열/pvg+ㄹ/etm
계획이다.	계획/ncn+이/jp+다/ef+./sf
삼성은	삼성/nq+은/jxc
내년에도	내년/ncn+에/jca+도/jxc
옛	옛/mma
화신백화점	화신백화점/nq
자리에	자리/ncn+에/jca
들어설	들/pvg+어/ecs+서/pvg+ㄹ/etm
삼성플라자	삼성플라자/nq
종로점과	종로/nq+점/xsn+과/jcj
홈플러스	홈플러스/nq
수원점	수원/nq+점/xsn
등으로	등/nbn+으로/jca
매장을	매장/ncn+을/jco
늘려나갈	늘리/pvg+어/ecx+나가/px+ㄹ/etm
계획이다.	계획/ncn+이/jp+다/ef+./sf
엘지그룹은	엘지그룹/nq+은/jxc
뉴코아가	뉴코아/nq+가/jcs
내놓은	내/pvg+어/ecs+놓/pvg+은/etm
서울	서울/nq
잠원동	잠원동/nq
본점	본점/ncn
매입을	매입/ncn+을/jco
통해	통하/pvg+어/ecs
그동안	그/mmd+동안/ncn
부천과	부천/nq+과/jcj
안산	안산/nq
등	등/nbn
수도권	수도/ncn+권/xsn
외곽에서	외곽/ncn+에서/jca
머물던	머물/pvg+던/etm
백화점	백화/ncn+점/xsn
사업을	사업/ncn+을/jco
서울	서울/nq
도심으로	도심/ncn+으로/jca
입성시킬	입성/ncpa+시키/xsv+ㄹ/etm
작정이다.	작정/ncn+이/jp+다/ef+./sf
또	또/maj
경기도	경기도/nq
구리점을	구리/nq+점/xsn+을/jco
내년	내년/ncn
5월	5/nno+월/nbu
개점하고	개점/ncpa+하/xsv+고/ecc
뉴코아로부터	뉴코아/nq+로부터/jca
이미	이미/mag
사들인	사/pvg+들이/pvg+ㄴ/etm
평촌	평촌/nq
부지에도	부지/ncn+에/jca+도/jxc
백화점을	백화/ncn+점/xsn+을/jco
세울	세우/pvg+ㄹ/etm
예정이다.	예정/ncn+이/jp+다/ef+./sf
전국에	전국/ncn+에/jca
66개	66/nnc+개/nbu
점포를	점포/ncn+를/jco
거느린	거느리/pvg+ㄴ/etm
엘지유통과	엘지유통/nq+과/jcj
할인점	할인/ncn+점/xsn
엘지마트를	엘지마트/nq+를/jco
운영중인	운영/ncn+중/nbn+이/jp+ㄴ/etm
엘지상사를	엘지상사/nq+를/jco
통해	통하/pvg+어/ecs
해태쪽이	해태/nq+쪽/nbn+이/jcs
내놓은	내/pvg+어/ecs+놓/pvg+은/etm
매장을	매장/ncn+을/jco
매입할	매입/ncpa+하/xsv+ㄹ/etm
계획도	계획/ncn+도/jxc
추진중이어서	추진/ncn+중/nbn+이/jp+어서/ecs
엘지는	엘지/nq+는/jxc
조만간	조만간/mag
종합유통그룹의	종합/ncn+유통/ncn+그룹/ncn+의/jcm
면모를	면모/ncn+를/jco
갖출	갖추/pvg+ㄹ/etm
전망이다.	전망/ncn+이/jp+다/ef+./sf
지난달	지나/pvg+ㄴ/etm+달/ncn
`넥스토아'란	`/sr+넥스토아/nq+'/sr+라/ef+ㄴ/etm
상호로	상호/ncn+로/jca
통신판매	통신/ncn+판매/ncn
사업을	사업/ncn+을/jco
개시해	개시/ncpa+하/xsv+어/ecs
유통업에	유통/ncn+업/xsn+에/ncn
슬며시	슬며시/mag
발을	발/ncn+을/jco
들여놓은	들이/pvg+어/ecs+놓/pvg+은/etm
대우는	대우/nq+는/jxc
오는	오/pvg+는/etm
28일	28/nno+일/nbu
마산에서	마산/nq+에서/jca
`대우백화점'	`/sl+대우백화점/nq+'/sr
1호점을	1/nno+호/nbu+점/xsn+을/jco
여는	열/pvg+는/etm
것을	것/nbn+을/jco
시작으로	시작/ncn+으로/jca
2000년까지	2000/nno+년/nbu+까지/jxc
부산	부산/nq
광주	광주/nq
청주	청주/nq
등	등/nbn
대도시에서	대/xp+도시/ncn+에서/jca
5개	5/nnc+개/nbu
매장을	매장/ncn+을/jco
운영할	운영/ncpa+하/xsv+ㄹ/etm
예정이다.	예정/ncn+이/jp+다/ef+./sf
또	또/maj
내년	내년/ncn
상반기중	상반/ncn+기/xsn+중/nbn
서울	서울/nq
면목동에	면목동/nq+에/jca
`대우하이퍼마켓'	`/sl+대우하이퍼마켓/nq+'/sr
1호점을	1/nno+호/nbu+점/xsn+을/jco
여는	열/pvg+는/etm
것을	것/nbn+을/jco
시작으로	시작/ncn+으로/jca
청주	청주/nq
광주	광주/nq
군산	군산/ncn
등	등/nbn
전국에	전국/ncn+에/jca
14개	14/nnc+개/nbu
할인점을	할인/ncn+점/xsn+을/jco
열어	열/pvg+어/ecs
2000년대에는	2000/nnc+년대/nbu+에/jca+는/jxc
종합생활문화기업으로	종합/ncn+생활/ncn+문화/ncn+기업/ncn+으로/jca
부상한다는	부상/ncpa+하/xsv+ㄴ다/ef+는/etm
전략이다.	전략/ncn+이/jp+다/ef+./sf
이에	이/npd+에/jca
따라	따르/pvg+아/ecs
국내	국내/ncn
유통시장은	유통/ncn+시장/ncn+은/jxc
백화점	백화/ncn+점/xsn
사업에	사업/ncn+에/jca
일찌감치	일찌감치/mag
기반을	기반/ncn+을/jco
다져온	다지/pvg+어/ecx+오/px+ㄴ/etm
현대를	현대/nq+를/jco
비롯한	비롯/ncpa+하/xsv+ㄴ/etm
삼성	삼성/nq
엘지	엘지/nq
대우	대우/nq
등	등/nbn
4대	4/nnc+대/nbu
그룹의	그룹/ncn+의/jcm
공세를	공세/ncn+를/jco
롯데	롯데/nq
신세계	신세계/nq
한화	한화/nq
등	등/nbn
기존	기존/ncn
유통재벌이	유통/ncn+재벌/ncn+이/jcs
방어하는	방어/ncpa+하/xsv+는/etm
이분구도에	이분/ncn+구도/ncn+에/jca
까르푸	까르푸/nq
마크로	마크로/nq
등	등/nbn
외국계	외국/ncn+계/xsn
업체가	업체/ncn+가/jcs
가세하는	가세/ncpa+하/xsv+는/etm
형세가	형세/ncn+가/jcs
이루어지고	이루/pvg+어/ecx+지/px+고/ecx
있다.	있/px+다/ef+./sf
통상산업부는	통상산업부/nq+는/jxc
5일	5/nno+일/nbu
두	두/nnc
품목에	품목/ncn+에/jca
대한	대하/pvg+ㄴ/etm
반덤핑	반/xp+덤핑/ncn
조처	조처/ncn
관련	관련/ncn
협상이	협상/ncn+이/jcs
진전이	진전/ncn+이/jcs
없어	없/paa+어/ecx
오는	오/pvg+는/etm
18일에	18/nno+일/nbu+에/jca
열리는	열리/pvg+는/etm
분쟁해결기구	분쟁/ncn+해결/ncn+기구/ncn
회의에서	회의/ncn+에서/jca
미국	미국/nq
조처의	조처/ncn+의/jcm
합법성을	합법/ncn+성/xsn+을/jco
평가할	평가/ncpa+하/xsv+ㄹ/etm
조사위원회	조사/ncn+위원/ncn+회/xsn
설치를	설치/ncn+를/jco
요청하기로	요청/ncpa+하/xsv+기/etn+로/jca
했다고	하/pvg+었/ep+다/ef+고/jcr
밝혔다.	밝히/pvg+었/ep+다/ef+./sf
정부의	정부/ncn+의/jcm
조사위원회	조사/ncn+위원/ncn+회/xsn
설치	설치/ncn
요청은	요청/ncn+은/jxc
우리나라가	우리/npp+나라/ncn+가/jcs
지난	지나/pvg+ㄴ/etm
67년	67/nno+년/nbu
관세와	nq[관세/ncn+와/jcj
무역에	무역/ncn+에/jca
관한	관하/pvg+ㄴ/etm
일반협정(GATT)	일반/ncn+협정/ncn]nq+(/sl+GATT/f+)/sr
체제에	체제/ncn+에/jca
가입한	가입/ncpa+하/xsv+ㄴ/etm
이후	이후/ncn
첫	첫/mma
사례이다.	사례/ncn+이/jp+다/ef+./sf
통산부는	통산부/nq+는/jxc
미국이	미국/nq+이/jcs
위원회	위원/ncn+회/xsn
설치를	설치/ncn+를/jco
한번에	한/nnc+번/nbn+에/jca
한해	한하/pvg+어/ecs
거부할	거부/ncpa+하/xsv+ㄹ/etm
권한이	권한/ncn+이/jcs
있어	있/paa+어/ecs
위원회가	위원/ncn+회/xsn+가/jcs
본격	본격/ncn
활동에	활동/ncn+에/jca
들어가는	들/pvg+어/ecs+가/pvg+는/etm
것은	것/nbn+은/jxc
내년초에나	내년/ncn+초/ncn+에/jca+나/jxc
가능하고,	가능/ncps+하/xsm+고/ecc+,/sp
조사가	조사/ncn+가/jcs
끝나려면	끝나/pvg+려면/ecs
다시	다시/mag
6~9개월이	6/nnc+~/sd+9/nnc+개월/nbu+이/jcs
걸려	걸리/pvg+어/ecs
내년	내년/ncn
하반기가	하반/ncn+기/xsn+가/jcc
돼야	되/pvg+어야/ecs
세계무역기구	세계/ncn+무역/ncn+기구/ncn
차원의	차원/ncn+의/jcm
결론이	결론/ncn+이/jcs
날	나/pvg+ㄹ/etm
것으로	것/nbn+으로/jca
내다봤다.	내다보/pvg+았/ep+다/ef+./sf
삼성에버랜드는	삼성에버랜드/nq+는/jxc
빌딩영업	빌딩/ncn+영업/ncn
6개	6/nnc+개/nbu
부문에서	부문/ncn+에서/jca
국제	국제/ncn
인증심사기관인	인증/ncn+심사/ncn+기관/ncn+이/jp+ㄴ/etm
영국	영국/nq
BVQI와	BVQI/f+와/jcj
한국능률협회	한국능률협회/nq
인증원으로	인증/ncn+원/xsn+으로/jca
부터	부터/jxc
ISO	ISO/f
9001과	9001/nnc+과/jcj
14001	14001/nnc
인증을	인증/ncn+을/jco
받았다.	받/pvg+았/ep+다/ef+./sf
에스케이(주)는	에스케이/nq+(/sl+주/ncn+)/sr+는/jxc
이달	이/mmd+달/ncn
울산공장에서	울산/nq+공장/ncn+에서/jca
하루	하루/ncn
7500배럴의	7500/nnc+배럴/nbu+의/jcm
중질유를	중질유/ncn+를/jco
추가로	추가/ncn+로/jca
분해할	분해/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
증설공사에	증설/ncn+공사/ncn+에/jca
들어가	들/pvg+어/ecs+가/pvg+아/ecx
오는	오/pvg+는/etm
99년	99/nno+년/nbu
7월	7/nno+월/nbu
완공할	완공/ncpa+하/xsv+ㄹ/etm
예정이다.	예정/ncn+이/jp+다/ef+./sf
(주)대우는	(/sl+주/ncn+)/sr+대우/nq+는/jxc
미얀마	미얀마/nq
수도	수도/ncn
양곤시에	양곤시/nq+에/jca
합작	합작/ncn
중장비	중장비/ncn
임대법인인	임대/ncn+법인/ncn+이/jp+ㄴ/etm
MDCM사를	nq[MDCM/f+사/xsn]nq+를/jco
설립했다.	설립/ncpa+하/xsv+었/ep+다/ef+./sf
두산백화는	두산백화/nq+는/jxc
유명	유명/ncn
산지	산지/ncn
수확	수확/ncn
매실을	매실/ncn+을/jco
원료로	원료/ncn+로/jca
사용하고	사용/ncpa+하/xsv+고/ecx
와인	와인/ncn
제조	제조/ncn
때	때/ncn
사용하는	사용/ncpa+하/xsv+는/etm
`저온침출공법'을	`/sl+저온/ncn+침출/ncn+공법/ncn+'/sr+을/jco
적용한	적용/ncpa+하/xsv+ㄴ/etm
고급	고급/ncn
매실주	매실/ncn+주/xsn
'설중매'를	'/sl+설중매/nq+'/sr+를/jco
내놓았다.	내/pvg+어/ecs+놓/pvg+았/ep+다/ef+./sf
동부그룹(회장	동부그룹/nq+(/sl+회장/ncn
김준기)이	김준기/nq+)/sr+이/jcs
5일	5/nno+일/nbu
반도체사업	반도체/ncn+사업/ncn
진출을	진출/ncn+을/jco
공식	공식/ncn
선언했다.	선언/ncpa+하/xsv+었/ep+다/ef+./sf
한신혁	한신혁/nq
동부전자	동부전자/nq
사장은	사장/ncn+은/jxc
이날	이/mmd+날/ncn
낮	낮/ncn
서울	서울/nq
롯데호텔에서	롯데호텔/nq+에서/jca
기자회견을	기자/ncn+회견/ncn+을/jco
갖고	갖/pvg+고/ecc
최근	최근/mag
미국IBM사와	미국/nq+nq[IBM/f+사/xsn]nq+와/jcj
메모리	메모리/ncn
반도체	반도체/ncn
기술이전	기술/ncn+이전/ncn
및	및/maj
제품구매계약을	제품/ncn+구매/ncn+계약/ncn+을/jco
체결하고	체결/ncpa+하/xsv+고/ecc
내년까지	내년/ncn+까지/jxc
공장설비를	공장/ncn+설비/ncn+를/jco
완료한후	완료/ncpa+하/xsv+ㄴ/etm+후/ncn
오는	오/pvg+는/etm
99년부터	99/nno+년/nbu+부터/jxc
차세대	차세대/ncn
메모리	메모리/ncn
제품인	제품/ncn+이/jp+ㄴ/etm
64메가D램과	64/nnc+메가/nbu+D/f+램/ncn+과/jcj
256메가D램	256/nnc+메가/nbu+D/f+램/ncn
제품을	제품/ncn+을/jco
양산할	양산/ncpa+하/xsv+ㄹ/etm
계획이라고	계획/ncn+이/jp+라고/ecs
발표했다.	발표/ncpa+하/xsv+었/ep+다/ef+./sf
동부그룹은	동부그룹/nq+은/jxc
지난	지나/pvg+ㄴ/etm
5월	5/nno+월/nbu
충북	충북/nq
음성군	음성군/nq
감곡면	감곡면/nq
일대	일대/ncn
부지	부지/ncn
30만평에	30만/nnc+평/nbu+에/jca
공장건설공사를	공장/ncn+건설/ncn+공사/ncn+를/jco
시작,	시작/ncn+,/sp
이미	이미/mag
부지조성공사를	부지/ncn+조성/ncn+공사/ncn+를/jco
마무리하고	마무리/ncn+하/xsv+고/ecc
내년	내년/ncn
5월까지는	5/nno+월/nbu+까지/jxc+는/jxc
시설	시설/ncn
및	및/maj
설비공사까지	설비/ncn+공사/ncn+까지/jxc
완료할	완료/ncpa+하/xsv+ㄹ/etm
계획이라고	계획/ncn+이/jp+라/ef+고/jcr
밝혔다.	밝히/pvg+었/ep+다/ef+./sf
동부는	동부/nq+는/jxc
시설투자비와	시설/ncn+투자/ncn+비/xsn+와/jcj
기술료,	기술/ncn+료/xsn+,/sp
운영자금	운영/ncn+자금/ncn
등	등/nbn
총	총/xp
2조원이	2조/nnc+원/nbu+이/jcs
소요될	소요/ncpa+되/xsv+ㄹ/etm
것으로	것/nbn+으로/jca
추산하고	추산/ncpa+하/xsv+고/ecc
이중	이/mmd+중/nbn
6천억원은	6천억/nnc+원/nbu+은/jxc
자기자본으로	자기/npp+자본/ncn+으로/jca
조달하고	조달/ncpa+하/xsv+고/ecc
나머지	나머지/ncn
사업자금은	사업/ncn+자금/ncn+은/jxc
외화차입금	외화/ncn+차입/ncn+금/xsn
11억달러,	11억/nnc+달러/nbu+,/sp
국내차입금	국내/ncn+차입/ncn+금/xsn
7천억원을	7천억/nnc+원/nbu+을/jco
조달,	조달/ncn+,/sp
충당할	충당/ncpa+하/xsv+ㄹ/etm
계획이라고	계획/ncn+이/jp+라/ef+고/jcr
설명했다.	설명/ncpa+하/xsv+었/ep+다/ef+./sf
동부는	동부/nq+는/jxc
또	또/maj
현재	현재/ncn
다른	다르/paa+ㄴ/etm
반도체업체들이	반도체/ncn+업체/ncn+들/xsn+이/jcs
개발을	개발/ncn+을/jco
고려중인	고려/ncn+중/nbn+이/jp+ㄴ/etm
128메가D램	128/nnc+메가/nbu+D/f+램/ncn
디자인에	디자인/ncn+에/jca
대해서도	대하/pvg+어서/ecs+도/jxc
기술을	기술/ncn+을/jco
이전받기로	이전/ncn+받/xsv+기/etn+로/jca
했다고	하/pvg+었/ep+다/ef+고/jcr
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
동부는	동부/nq+는/jxc
또	또/mag
원활한	원활/ncps+하/xsm+ㄴ/etm
기술이전을	기술/ncn+이전/ncn+을/jco
위해	위하/pvg+어/ecs
IBM에	IBM/f+에/jca
연인원	연/ncn+인원/ncn
500여명을	500/nnc+여/xsn+명/nbu+을/jco
파견,	파견/ncn+,/sp
기술연수를	기술/ncn+연수/ncn+를/jco
시키는	시키/pvg+는/etm
동시에	동시/ncn+에/jca
IBM도	IBM/f+도/jxc
같은	같/paa+은/etm
규모의	규모/ncn+의/jcm
기술진을	기술/ncn+진/xsn+을/jco
국내에	국내/ncn+에/jca
파견,	파견/ncn+,/sp
기술지도를	기술/ncn+지도/ncn+를/jco
하기로	하/pvg+기/etn+로/jca
했다고	하/pvg+었/ep+다/ef+고/jcr
덧붙였다.	덧붙이/pvg+었/ep+다/ef+./sf
한편	한편/maj
기존	기존/ncn
반도체업계는	반도체/ncn+업계/ncn+는/jxc
동부그룹의	동부그룹/nq+의/jcm
반도체	반도체/ncn
사업	사업/ncn
진출에	진출/ncn+에/jca
대해	대하/pvg+어/ecs
공급과잉으로	공급/ncn+과잉/ncn+으로/jca
반도체	반도체/ncn
경기가	경기/ncn+가/jcs
침체된	침체/ncpa+되/xsv+ㄴ/etm
상태인	상태/ncn+이/jp+ㄴ/etm
만큼	만큼/nbn
동부의	동부/nq+의/jcm
진출은	진출/ncn+은/jxc
더욱	더욱/mag
치열한	치열/ncps+하/xsm+ㄴ/etm
경쟁을	경쟁/ncn+을/jco
촉발하고	촉발/ncpa+하/xsv+고/ecc
기술이전	기술/ncn+이전/ncn
명목으로	명목/ncn+으로/jca
해외대기업의	해외/ncn+대/xp+기업/ncn+의/jcm
하청업체로	하청/ncn+업체/ncn+로/jca
전락할	전락/ncpa+하/xsv+ㄹ/etm
우려	우려/ncn
등을	등/nbn+을/jco
들어	들/pvg+어/ecs
부정적인	부정/ncn+적/xsn+이/jp+ㄴ/etm
입장을	입장/ncn+을/jco
보이고	보이/pvg+고/ecx
있다.	있/px+다/ef+./sf
주가가	주가/ncn+가/jcs
전일에	전일/ncn+에/jca
이어	잇/pvg+어/ecs
상승세를	상승/ncn+세/xsn+를/jco
보이고	보이/pvg+고/ecx
있다.	있/px+다/ef+./sf
5일	5/nno+일/nbu
주식시장은	주식/ncn+시장/ncn+은/jxc
수급여건이	수급/ncn+여건/ncn+이/jcs
호전되고	호전/ncpa+되/xsv+고/ecx
있는	있/px+는/etm
가운데	가운데/ncn
외국인	외국/ncn+인/xsn
투자자들의	투자/ncn+자/xsn+들/xsn+의/jcm
매도세가	매도/ncn+세/xsn+가/jcs
한도확대를	한도/ncn+확대/ncn+를/jco
계기로	계기/ncn+로/jca
주춤거리고	주춤거리/pvg+고/ecx
있는데	있/px+는데/ecs
따라	따르/pvg+아/ecs
투자심리가	투자/ncn+심리/ncn+가/jcs
호전돼	호전/ncpa+되/xsv+어/ecs
종합주가지수가	종합/ncn+주가/ncn+지수/ncn+가/jcs
전일보다	전일/ncn+보다/jca
10.32포인트	10.32/nnc+포인트/nbu
상승한	상승/ncpa+하/xsv+ㄴ/etm
552.45로	552.45/nnc+로/jca
전장을	전장/ncn+을/jco
마감했다.	마감/ncpa+하/xsv+었/ep+다/ef+./sf
이날	이/mmd+날/ncn
주가지수는	주가/ncn+지수/ncn+는/jxc
장중	장/ncn+중/nbn
한때	한때/ncn
23포인트까지	23/nnc+포인트/nbu+까지/jxc
오르기도	오르/pvg+기/etn+도/jxc
했으나	하/pvg+었/ep+으나/ecs
560선의	560/nnc+선/nbu+의/jcm
저항으로	저항/ncn+으로/jca
시간이	시간/ncn+이/jcs
지나면서	지나/pvg+면서/ecs
오름폭이	오름/ncn+폭/ncn+이/jcs
줄었다.	줄/pvg+었/ep+다/ef+./sf
악성	악성/ncn
신용매물의	신용/ncn+매물/ncn+의/jcm
정리로	정리/ncn+로/jca
시장	시장/ncn
2부소속	2/nno+부/nbu+소속/ncn
종목들과	종목/ncn+들/xsn+과/jcj
소형주들이	소형/ncn+주/ncn+들/xsn+이/jcs
크게	크/paa+게/ecs
상승했고	상승/ncpa+하/xsv+었/ep+고/ecc
1차금속,	1/nno+차/nbu+금속/ncn+,/sp
철강,	철강/ncn+,/sp
건설,	건설/ncn+,/sp
증권	증권/ncn
등을	등/nbn+을/jco
제외한	제외/ncpa+하/xsv+ㄴ/etm
대부분의	대부분/ncn+의/jcm
업종이	업종/ncn+이/jcs
상승세를	상승/ncn+세/xsn+를/jco
보였다.	보이/pvg+었/ep+다/ef+./sf
SK텔레콤과	nq[SK/f+텔레콤/ncn]nq+과/jcj
삼성전자가	삼성전자/nq+가/jcs
가격제한폭까지	가격/ncn+제한/ncn+폭/ncn+까지/jxc
오른	오르/pvg+ㄴ/etm
것을	것/nbn+을/jco
비롯해	비롯하/pvg+어/ecs
지수비중이	지수/ncn+비중/ncn+이/jcs
높은	높/paa+은/etm
대형블루칩들이	대형/ncn+블루칩/ncn+들/xsn+이/jcs
대부분	대부분/ncn
상승세를	상승/ncn+세/xsn+를/jco
보였다.	보이/pvg+었/ep+다/ef+./sf
주가가	주가/ncn+가/jcs
오른	오르/pvg+ㄴ/etm
종목은	종목/ncn+은/jxc
상한가	상한/ncn+가/xsn
159개를	159/nnc+개/nbu+를/jco
포함해	포함/ncpa+하/xsv+어/ecs
492개에	492/nnc+개/nbu+에/jca
달한	달하/pvg+ㄴ/etm
반면	반면/maj
내린	내리/pvg+ㄴ/etm
종목은	종목/ncn+은/jxc
하한가	하한/ncn+가/xsn
19개	19/nnc+개/nbu
등	등/nbn
293개,	293/nnc+개/nbu+,/sp
보합은	보합/ncn+은/jxc
90개였다.	90/nnc+개/nbu+이/jp+었/ep+다/ef+./sf
거래량과	거래/ncn+량/ncn+과/jcj
거래대금은	거래/ncn+대금/ncn+은/jxc
4472만주,	4472만/nnc+주/nbu+,/sp
5009억원으로	5009억/nnc+원/nbu+으로/jca
거래가	거래/ncn+가/jcs
매우	매우/mag
활발했다.	활발하/pvg+었/ep+다/ef+./sf
정보사회에서	정보/ncn+사회/ncn+에서/jca
점차	점차/mag
대형범죄로까지	대형/ncn+범죄/ncn+로/jca+까지/jxc
번질	번지/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
해킹에	해킹/ncn+에/jca
대한	대하/pvg+ㄴ/etm
경계심을	경계/ncn+심/xsn+을/jco
표현한	표현/ncpa+하/xsv+ㄴ/etm
것이다.	것/nbn+이/jp+다/ef+./sf
인터넷	인터넷/ncn
시장에서의	시장/ncn+에서/jca+의/jcm
우위를	우위/ncn+를/jco
이용,	이용/ncn+,/sp
독점적	독점/ncn+적/xsn
상행위를	상/ncn+행위/ncn+를/jco
한다는	하/pvg+ㄴ다는/etm
비난을	비난/ncn+을/jco
받아온	받/pvg+아/ecx+오/px+ㄴ/etm
마이크로	nq[마이크로/nq
소프트사(MS)가	소프트/nq+사/xsn]nq+(/sl+MS/f+)/sr+가/jcc
상원	상원/ncn
청문회에	청문/ncn+회/xsn+에/jca
회부됐다.	회부/ncpa+되/xsv+었/ep+다/ef+./sf
법원	법원/ncn
기록에	기록/ncn+에/jca
따르면	따르/pvg+면/ecs
MS는	MS/f+는/jxc
컴팩사에	컴팩사/nq+에/jca
대해	대하/pvg+어/ecs
넷스케이프사의	넷스케이프사/nq+의/jcm
브라우저를	브라우저/nq+를/jco
장치할	장치/ncpa+하/xsv+ㄹ/etm
경우MS의	경우/ncn+MS/f+의/jcm
윈도	윈도/ncn
프로그램	프로그램/ncn
사용을	사용/ncn+을/jco
금지시키겠다고	금지/ncn+시키/xsv+겠/ep+다/ef+고/jcr
위협했다.	위협/ncpa+하/xsv+었/ep+다/ef+./sf
전	전/mma
세계적으로	세계/ncn+적/xsn+으로/jca
팔리고	팔리/pvg+고/ecx
있는	있/px+는/etm
PC의	PC/f+의/jcm
85%가	85/nnc+%/su+가/jcs
MS의	MS/f+의/jcm
윈도를	윈도/ncn+를/jco
이용하고	이용/ncpa+하/xsv+고/ecx
있기	있/px+기/etn
때문에	때문/nbn+에/jca
이의사용을	이의/ncn+사용/ncn+을/jco
금지하면	금지/ncpa+하/xsv+면/ecs
컴팩	컴팩/nq
같은	같/paa+은/etm
컴퓨터	컴퓨터/ncn
제조회사들은	제조/ncn+회사/ncn+들/xsn+은/jxc
문을	문/ncn+을/jco
닫아야한다.	닫/pvg+아야/ecx+하/px+ㄴ다/ef+./sf
해치	해치/nq
위원장은	위원/ncn+장/xsn+은/jxc
이번	이/mmd+번/nbn
청문회를	청문/ncn+회/xsn+를/jco
통해	통하/pvg+어/ecs
급팽창하는	급팽창/ncpa+하/xsv+는/etm
첨단기업의	첨단/ncn+기업/ncn+의/jcm
실태를	실태/ncn+를/jco
파악,	파악/ncn+,/sp
공정거래법과	공정/ncn+거래/ncn+법/ncn+과/jcj
지적	지적/ncn
재산보호법을	재산/ncn+보호/ncn+법/ncn+을/jco
어떻게	어떻게/mad
적용할	적용/ncpa+하/xsv+ㄹ/etm
것인지를	것/nbn+이/jp+ㄴ지를/ecs
판단하겠다고	판단/ncpa+하/xsv+겠/ep+다/ef+고/jcr
말했다.	말/ncpa+하/xsv+었/ep+다/ef+./sf
미	미/nq
법무부는	법무부/nq+는/jxc
MS에	MS/f+에/jca
대한	대하/pvg+ㄴ/etm
법적	법적/ncn
조치를	조치/ncn+를/jco
취하기	취하/pvg+기/etn
전	전/ncn
확실한	확실/ncps+하/xsm+ㄴ/etm
증거가	증거/ncn+가/jcs
없고	없/paa+고/ecc
증인	증인/ncn
확보가	확보/ncn+가/jcs
어렵다는	어렵/paa+다는/etm
이유로	이유/ncn+로/jca
MS의	MS/f+의/jcm
독점	독점/ncn
관행을	관행/ncn+을/jco
방관하다가	방관/ncpa+하/xsv+다가/ecc
직무를	직무/ncn+를/jco
유기한다는	유기/ncn+하/xsm+ㄴ다는/etm
혹독한	혹독/ncps+하/xsm+ㄴ/etm
비난을	비난/ncn+을/jco
바	받/pvg+은/etm+바/nbn
있다.	있/paa+다/ef+./sf
오스트리아주재	오스트리아/nq+주재/ncn
미국	미국/nq
대사관이	대사/ncn+관/xsn+이/jcs
북한	북한/nq
대사관	대사/ncn+관/xsn
고위	고위/ncn
관리의	관리/ncn+의/jcm
전화를	전화/ncn+를/jco
도청한	도청/ncpa+하/xsv+ㄴ/etm
사실이	사실/ncn+이/jcs
적발돼	적발/ncpa+되/xsv+어/ecs
미국과	미국/nq+과/jcj
오스트리아	오스트리아/nq
정부가	정부/ncn+가/jcs
외교경로를	외교/ncn+경로/ncn+를/jco
통해	통하/pvg+어/ecs
문제를	문제/ncn+를/jco
해결했다고	해결/ncpa+하/xsv+었/ep+다고/ecs
현지	현지/ncn
신문	신문/ncn
<쿠리어>가                     </sl+쿠리어/nq+>/sr+가/jcs
5일	5/nno+일/nbu
폭로했다.	폭로/ncpa+하/xsv+었/ep+다/ef+./sf
<쿠리어>는                     </sl+쿠리어/nq+>/sr+는/jxc
미	미/nq
대사관	대사/ncn+관/xsn
직원이	직원/ncn+이/jcs
지난	지나/pvg+ㄴ/etm
주	주/ncn
빈의	빈/nq+의/jcm
한	한/nnc
아파트에서	아파트/ncn+에서/jca
북한	북한/nq
대사관	대사/ncn+관/xsn
소속	소속/ncn
1등서기관의	1/nno+등/nbu+서기/ncn+관/xsn+의/jcm
개인전화기와	개인/ncn+전화/ncn+기/xsn+와/jct
연결된	연결/ncpa+되/xsv+ㄴ/etm
도청녹음기에	도청/ncn+녹음/ncn+기/xsn+에/jca
카세트	카세트/ncn
테이프를	테이프/ncn+를/jco
교환하다가	교환/ncpa+하/xsv+다가/ecc
경찰에	경찰/ncn+에/jca
체포됐다고	체포/ncpa+되/xsv+었/ep+다고/ecs
보도했다.	보도/ncpa+하/xsv+었/ep+다/ef+./sf
지난	지나/pvg+ㄴ/etm
6월부터	6/nno+월/nbu+부터/jxc
도청	도청/ncn
가능성을	가능/ncn+성/xsn+을/jco
인지한	인지/ncpa+하/xsv+ㄴ/etm
빈	빈/nq
경찰은	경찰/ncn+은/jxc
몇주일	몇/nnc+주일/nbu
동안	동안/nbn
문제의	문제/ncn+의/jcm
아파트를	아파트/ncn+를/jco
감시해	감시/ncpa+하/xsv+어/ecx
오다가	오/px+다가/ecc
