<tdmsfile>


자연이	자연/ncn+이/jcs
안쪽으로	안/ncn+쪽/nbn+으로/jca
기름이	기름/ncn+이/jcs
녹아	녹/pvg+아/ecx
있게	있/px+게/ecx
해줍니다	하/px+어/ecx+주/px+ㅂ니다/ef
.	./sf
그런데	그런데/maj
센물에는	센물/ncn+에/jca+는/jxc
Ca2	Ca/f+2/nnc
+	+/sy
나	나/jcj
Mg2	Mg2/f
+	+/sy
같은	같/paa+은/etm
양이온이	양이온/ncn+이/jcs
많이	많/paa+이/xsa
녹아	녹/pvg+아/ecx
있어	있/px+어/ecs
비누가	비누/ncn+가/jcs
물에	물/ncn+에/jca
녹으면서	녹/pvg+으면서/ecs
만든	만들/pvg+ㄴ/etm
음이온과	음이온/ncn+과/jct
결합해서	결합/ncpa+하/xsv+어서/ecs
물에	물/ncn+에/jca
잘	잘/mag
안	안/mag
녹는	녹/pvg+는/etm
염을	염/ncn+을/jco
만듭니다	만들/pvg+ㅂ니다/ef
.	./sf
학자들은	학자/ncn+들/xsn+은/jxc
센물에	센물/ncn+에/jca
녹아	녹/pvg+아/ecx
있는	있/px+는/etm
Ca	Ca/f
+	+/sy
2	2/nnc
Mg	Mg/f
+	+/sy
2	2/nnc
등의	등/nbn+의/jcm
양이온의	양이온/ncn+의/jcm
농도는	농도/ncn+는/jxc
알아내어	알/pvg+아/ecx+내/px+어/ecs
경도	경도/ncn
라는	라/ef+는/etm
수치로	수치/ncn+로/jca
표현합니다	표현/ncpa+하/xsv+ㅂ니다/ef
.	./sf
또한	또한/maj
센물	센물/ncn
중에서도	중/nbn+에서/jca+도/jxc
가열만	가열/ncn+만/jxc
하면	하/pvg+면/ecs
쉽게	쉽/paa+게/ecs
단물로	단물/ncn+로/jca
돌아가는	돌/pvg+아/ecs+가/pvg+는/etm
경우가	경우/ncn+가/jcs
있습니다	있/paa+습니다/ef
.	./sf
탄산수소마그네슘	탄산수소마그네슘/ncn
(	(/sl
MgHCO3	MgHCO3/f
)	)/sr
과	과/jcj
탄산수소칼슘	탄산수소칼슘/ncn
(	(/sl
CaHCO3	CaHCO3/f
)	)/sr
을	을/jco
포함한	포함/ncpa+하/xsv+ㄴ/etm
물이	물/ncn+이/jcs
바로	바로/mag
그예에	그/mmd+예/ncn+에/jca
해당하는데	해당/ncpa+하/xsv+는데/ecs
이런	이런/mmd
물을	물/ncn+을/jco
[	[/sl
일시적인	일시/ncn+적/xsn+이/jp+ㄴ/etm
센물	센물/ncn
]	]/sr
이라고	이/jp+라/ef+고/jcr
합니다	하/pvg+ㅂ니다/ef
.	./sf
예를	예/ncn+를/jco
들면	들/pvg+면/ecs
황산마그네슘	황산마그네슘/ncn
(	(/sl
MgSO4	MgSO4/f
)	)/sr
과	과/jcj
황산칼슘	황산칼슘/ncn
(	(/sl
CaSO4	CaSO4/f
)	)/sr
을	을/jco
포함하고	포함/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
물을	물/ncn+을/jco
말하는데	말/ncpa+하/xsv+는데/ecs
이런	이런/mmd
물은	물/ncn+은/jxc
[	[/sl
영구적인	영구/ncn+적/xsn+이/jp+ㄴ/etm
센물	센물/ncn
]	]/sr
이라고	이/jp+라/ef+고/jcr
부릅니다	부르/pvg+ㅂ니다/ef
.	./sf
보통	보통/mag
지하수나	지하수/ncn+나/jcj
냇물은	냇물/ncn+은/jxc
센물이	센물/ncn+이/jcs
많고	많/paa+고/ecs
,	,/sp
이	이/mmd
센물로	센물/ncn+로/jca
비눗방울을	비눗방울/ncn+을/jco
만들려	만들/pvg+려/ecs
해도	하/px+어도/ecs
잘	잘/mag
되지	되/pvg+지/ecx
않습니다	않/px+습니다/ef
.	./sf
위에서	위/ncn+에서/jca
설명했듯이	설명/ncpa+하/xsv+었/ep+듯이/ecs
센물에	센물/ncn+에/jca
녹아	녹/pvg+아/ecx
있는	있/px+는/etm
칼슘과	칼슘/ncn+과/jcj
마그네슘이	마그네슘/ncn+이/jcs
비누의	비누/ncn+의/jcm
지방산과	지방/ncn+산/ncn+과/jct
결합하여	결합/ncpa+하/xsv+여/ecs
물에	물/ncn+에/jca
녹지	녹/pvg+지/ecx
않기	않/px+기/etn
때문입니다	때문/nbn+이/jp+ㅂ니다/ef
.	./sf
그	그/mmd
과정을	과정/ncn+을/jco
자세히	자세/ncn+히/xsa
살펴보면	살피/pvg+어/ecx+보/px+면/ecs
화학반응이	화학/ncn+반응/ncn+이/jcs
일어나기	일어나/pvg+기/etn
때문이라는	때문/nbn+이/jp+라/ef+는/etm
것을	것/nbn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
Ca2	Ca2/f
++	+/sy++/sy
2	2/nnc
CH3	CH3/f
(	(/sl
CH2	CH2/f
)	)/sr
16	16/nnc
COO	COO/f
-	-/sd
Ca	Ca/f
이럴	이렇/pad+ㄹ/etm
땐	때/ncn+ㄴ/jxc
물을	물/ncn+을/jco
끓여서	끓이/pvg+어서/ecs
해보든지	하/pvg+어/ecx+보/px+든지/ecc
아니면	아니/paa+면/ecs
다른	다르/paa+ㄴ/etm
물을	물/ncn+을/jco
찾아보아야	찾/pvg+아/ecx+보/px+아야/ecs
할	하/px+ㄹ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
센물에도	센물/ncn+에/jca+도/jxc
잘	잘/mag
녹는	녹/pvg+는/etm
비누를	비누/ncn+를/jco
만들기	만들/pvg+기/etn
위한	위하/pvg+ㄴ/etm
노력은	노력/ncn+은/jxc
물의	물/ncn+의/jcm
질이	질/ncn+이/jcs
좋지	좋/paa+지/ecx
않아	않/px+아/ecs
고생을	고생/ncn+을/jco
했던	하/pvg+었/ep+던/etm
독일에서	독일/nq+에서/jca
시작되었습니다	시작/ncpa+되/xsv+었/ep+습니다/ef
.	./sf
세탁물에	세탁/ncn+물/xsn+에/jca
있던	있/paa+던/etm
기름때보다	기름/ncn+때/ncn+보다/jca
칼슘염을	칼슘염/ncn+을/jco
떼어	떼/pvg+어/ecx
내기가	내/px+기/etn+가/jcs
어려워	어렵/paa+어/ecs
센물에서는	센물/ncn+에서/jca+는/jxc
비눗물이	비눗물/ncn+이/jcs
잘	잘/mag
녹지	녹/pvg+지/ecx
않는다는	않/px+는다/ef+는/etm
것을	것/nbn+을/jco
알았습니다	알/pvg+았/ep+습니다/ef
.	./sf
센물에서	센물/ncn+에서/jca
침전되는	침전/ncpa+되/xsv+는/etm
것을	것/nbn+을/jco
막기	막/pvg+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
칼슘이나	칼슘/ncn+이나/jcj
마그네슘	마그네슘/ncn
이온과	이온/ncn+과/jcj
난용성염을	난용성염/ncn+을/jco
잘	잘/mag
만들지	만들/pvg+지/ecx
않는	않/px+는/etm
세제를	세제/ncn+를/jco
개발해야	개발/ncpa+하/xsv+어야/ecs
합니다	하/px+ㅂ니다/ef
.	./sf
냇물도	냇물/ncn+도/jxc
산	산/ncn
맨	맨/mma
윗부분은	윗부분/ncn+은/jxc
단물이고	단물/ncn+이/jp+고/ecs
아래로	아래/ncn+로/jca
내려갈수록	내리/pvg+어/ecs+가/pvg+ㄹ수록/ecs
점차	점차/mag
센물이	센물/ncn+이/jcc
됩니다	되/pvg+ㅂ니다/ef
.	./sf
물이	물/ncn+이/jcs
흙이나	흙/ncn+이나/jcj
바위	바위/ncn
속에	속/ncn+에/jca
녹아	녹/pvg+아/ecx
있던	있/px+던/etm
금속이온을	금속/ncn+이온/ncn+을/jco
녹여내서	녹이/pvg+어/ecx+내/px+서/ecs
물에	물/ncn+에/jca
많은	많/paa+은/etm
양의	양/ncn+의/jcm
Ca2	Ca2/f
+	+/sy
나	나/jcj
Mg	Mg/f
+	+/sy
2	2/nnc
을	을/jco
포함하기	포함/ncpa+하/xsv+기/etn
때문입니다	때문/nbn+이/jp+ㅂ니다/ef
.	./sf
요즈음은	요즈음/ncn+은/jxc
대기중의	대기/ncn+중/nbn+의/jcm
아황산가스의	아황산/ncn+가스/ncn+의/jcm
농도가	농도/ncn+가/jcs
높아져	높/paa+아/ecx+지/px+어/ecs
바위나	바위/ncn+나/jcj
토양	토양/ncn
속에	속/ncn+에/jca
포함되어	포함/ncpa+되/xsv+어/ecx
있던	있/px+던/etm
양이온이	양이온/ncn+이/jcs
녹아나오는	녹/pvg+아/ecs+나오/pvg+는/etm
속도가	속도/ncn+가/jcs
더	더/mag
빨라졌기	빠르/paa+아/ecx+지/px+었/ep+기/etn
때문에	때문/nbn+에/jca
이런	이런/mmd
현상은	현상/ncn+은/jxc
더욱	더욱/mag
심각하게	심각/ncpa+하/xsv+게/ecs
되었습니다	되/pvg+었/ep+습니다/ef
.	./sf
단물의	단물/ncn+의/jcm
대표적인	대표/ncpa+적/xsn+이/jp+ㄴ/etm
예로	예/ncn+로/jca
빗물을	빗물/ncn+을/jco
분석해	분석/ncpa+하/xsv+어/ecx
보면	보/px+면/ecs
빗물	빗물/ncn
1	1/nnc
리터에는	리터/nbu+에/jca+는/jxc
0	0/nnc
.	./sf
결론적으로	결론/ncn+적/xsn+으로/jca
,	,/sp
아름답고	아름/ncps+답/xsm+고/ecc
오래가는	오래/mag+가/pvg+는/etm
비눗방울을	비눗방울/ncn+을/jco
만들려면	만들/pvg+려면/ecs
물에도	물/ncn+에/jca+도/jxc
주의해야	주의/ncpa+하/xsv+어야/ecs
한다는	하/px+ㄴ다/ef+는/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
엄밀히	엄밀/ncn+히/xsa
말하면	말/ncpa+하/xsv+면/ecs
,	,/sp
물에	물/ncn+에/jca
포함되어	포함/ncpa+되/xsv+어/ecx
있는	있/px+는/etm
여러	여러/mma
가지	가지/nbu
화학물질을	화학/ncn+물질/ncn+을/jco
그	그/mmd
비등점을	비등/ncn+점/ncn+을/jco
이용하여	이용/ncpa+하/xsm+여/ecs
분류하는	분류/ncpa+하/xsv+는/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
가정용	가정/ncn+용/xsn
세제에	세제/ncn+에/jca
대하여	대하/pvg+여/ecs
일반적으로	일반/ncn+적/xsn+으로/jca
가정에서는	가정/ncn+에서/jca+는/jxc
비누와	비누/ncn+와/jcj
합성세제를	합성/ncn+세제/ncn++를/jco
사용하고	사용/ncpa+하/xsv+고/ecx
있습니다	있/px+습니다/ef
.	./sf
합성세제는	합성/ncn+세제/ncn++는/jxc
여러	여러/mma
가지로	가지/nbu+로/jca
연구되어	연구/ncpa+되/xsv+어/ecs
확실하고	확실/ncps+하/xsm+고/ecc
깨끗하게	깨끗/ncps+하/xsm+게/ecs
오물도	오물/ncn+도/jxc
잘	잘/mag
씻어내지만	씻/pvg+어/ecx+내/px+지만/ecs
,	,/sp
인간의	인간/ncn+의/jcm
피부와	피부/ncn+와/jcj
점막에	점막/ncn+에/jca
닿으면	닿/pvg+으면/ecs
심한	심하/paa+ㄴ/etm
독성을	독성/ncn+을/jco
나타냅니다	나타내/pvg+ㅂ니다/ef
.	./sf
약	약/mma
10	10/nnc
여	여/xsn
년	년/nbu
전의	전/ncn+의/jcm
일이지만	일/ncn+이/jp+지만/ecs
우리도	우리/npp+도/jxc
분말세제를	분말/ncn+세제/ncn+를/jco
대량으로	대량/ncn+으로/jca
사용하여	사용/ncpa+하/xsv+여/ecs
비눗방울을	비눗방울/ncn+을/jco
만들었습니다	만들/pvg+었/ep+습니다/ef
.	./sf
일주일	일/nnc+주일/nbu
동안	동안/ncn
같이	같/paa+이/xsa
작업을	작업/ncn+을/jco
하고	하/pvg+고/ecx
나면	나/px+면/ecs
왠지	왠지/mag
모르게	모르/pvg+게/ecs
짜증이나며	짜증/ncn+이/jcs+나/pvg+며/ecs
두	두/nnc
사람	사람/ncn
사이가	사이/ncn+가/jcs
좋지	좋/paa+지/ecx
않게	않/px+게/ecs
되었습니다	되/pvg+었/ep+습니다/ef
.	./sf
세제	세제/ncn
때문에	때문/nbn+에/jca
눈도	눈/ncn+도/jxc
쉽게	쉽/paa+게/ecs
피로해지고	피로/ncps+하/xsm+어/ecx+지/px+고/ecc
피부도	피부/ncn+도/jxc
거칠어지며	거칠/paa+어/ecx+지/px+며/ecc
몸	몸/ncn
전체가	전체/ncn+가/jcs
좋지	좋/paa+지/ecx
않게	않/px+게/ecs
되었던	되/pvg+었/ep+던/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
비누는	비누/ncn+는/jxc
소나	소/ncn+나/jcj
돼지기름으로	돼지기름/ncn+으로/jca
만들어서	만들/pvg+어서/ecs
그런지	그렇/pad+ㄴ지/ef
가끔	가끔/mag
쥐들이	쥐/ncn+들/xsn+이/jcs
먹은	먹/pvg+은/etm
흔적이	흔적/ncn+이/jcs
있습니다	있/paa+습니다/ef
.	./sf
쥐도	쥐/ncn+도/jxc
안	안/mag
먹는	먹/pvg+는/etm
걸	거/nbn+ㄹ/jc
사람이	사람/ncn+이/jcs
잘못해서	잘못/ncpa+하/xsv+어서/ecs
먹는다면	먹/pvg+는다/ef+면/ecs
큰	크/paa+ㄴ/etm
화를	화/ncn+를/jco
당하겠지요	당하/pvg+겠/ep+지/ef+요/jxf
.	./sf
여섯째	여섯째/nno
,	,/sp
체내에	체내/ncn+에/jca
흡수된	흡수/ncpa+되/xsv+ㄴ/etm
중금속의	중금속/ncn+의/jcm
체내	체내/ncn
흡수를	흡수/ncn+를/jco
촉진시킬	촉진/ncpa+시키/xsv+ㄹ/etm
뿐	뿐/nbn
아니라	아니/paa+라/ecs
콜레스테롤의	콜레스테롤/ncn+의/jcm
흡수율을	흡수/ncn+율/xsn+을/jco
높여	높이/pvg+어/ecs
고혈압을	고/xp+혈압/ncn+을/jco
유발시킵니다	유발/ncpa+시키/xsv+ㅂ니다/ef
.	./sf
이	이/mmd
밖에도	밖에/jxc+도/jxc
합성세제가	합성/ncn+세제/ncn++가/jcs
축적되면	축적/ncpa+되/xsv+면/ecs
장내의	장내/ncn+의/jcm
미생물의	미생물/ncn+의/jcm
균형이	균형/ncn+이/jcs
깨져	깨/pvg+어/ecx+지/px+어/ecs
설사	설사/ncn
,	,/sp
구토	구토/ncn
등을	등/nbn+을/jco
일으킬	일으키/pvg+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
그러므로	그러므로/maj
비눗방울을	비눗방울/ncn+을/jco
만들	만들/pvg+ㄹ/etm
때는	때/ncn+는/jxc
성과가	성과/ncn+가/jcs
별로	별로/mag
좋지	좋/paa+지/ecx
않아도	않/px+아도/ecs
합성세제보다	합성/ncn+세제/ncn++보다/jca
비누를	비누/ncn+를/jco
사용하는	사용/ncpa+하/xsv+는/etm
것이	것/nbn+이/jcs
좋습니다	좋/paa+습니다/ef
.	./sf
주부습진에	주부/ncn+습진/ncn+에/jca
대한	대하/pvg+ㄴ/etm
대책	대책/ncn
세제를	세제/ncn+를/jco
사용한	사용/ncpa+하/xsv+ㄴ/etm
뒤	뒤/ncn
손을	손/ncn+을/jco
잘	잘/mag
씻지	씻/pvg+지/ecx
않으면	않/px+으면/ecs
세제가	세제/ncn+가/jcs
남아	남/pvg+아/ecs
이것이	이것/npd+이/jcs
습진을	습진/ncn+을/jco
일으킵니다	일으키/pvg+ㅂ니다/ef
.	./sf
반지를	반지/ncn+를/jco
끼었을	끼/pvg+었/ep+을/etm
경우	경우/ncn
,	,/sp
그	그/mmd
틈에	틈/ncn+에/jca
세제의	세제/ncn+의/jcm
성분이	성분/ncn+이/jcs
남아	남/pvg+아/ecx
있어	있/px+어/ecs
손가락	손가락/ncn
사이와	사이/ncn+와/jcj
반지를	반지/ncn+를/jco
낀	끼/pvg+ㄴ/etm
자리를	자리/ncn+를/jco
중심으로	중심/ncn+으로/jca
습진이	습진/ncn+이/jcs
번지기도	번지/pvg+기/etn+도/jxc
합니다	하/pvg+ㅂ니다/ef
.	./sf
샴푸도	샴푸/ncn+도/jxc
세제와	세제/ncn+와/jct
같은	같/paa+은/etm
성분이므로	성분/ncn+이/jp+므로/ecs
예민한	예민/ncps+하/xsm+ㄴ/etm
피부의	피부/ncn+의/jcm
경우엔	경우/ncn+에/jca+ㄴ/jxc
깨끗이	깨끗/ncn+이/xsa
씻지	씻/pvg+지/ecx
않으면	않/px+으면/ecs
간혹	간혹/mag
손가락	손가락/ncn
끝에	끝/ncn+에/jca
습진이	습진/ncn+이/jcs
생겨	생기/pvg+어/ecs
번지기도	번지/pvg+기/etn+도/jxc
합니다	하/pvg+ㅂ니다/ef
.	./sf
핸드크림은	핸드크림/ncn+은/jxc
혈행을	혈행/ncn+을/jco
좋게	좋/paa+게/ecx
하고	하/px+고/ecc
피부를	피부/ncn+를/jco
촉촉한	촉촉/ncps+하/xsm+ㄴ/etm
상태로	상태/ncn+로/jca
유지하는	유지/ncpa+하/xsv+는/etm
데에는	데/nbn+에/jca+는/jxc
효과가	효과/ncn+가/jcs
있지만	있/paa+지만/ecs
근본적인	근본/ncn+적/xsn+이/jp+ㄴ/etm
치료는	치료/ncn+는/jxc
되지	되/pvg+지/ecx
않고	않/px+고/ecs
증상만	증상/ncn+만/jxc
약간	약간/mag
경감시키므로	경감/ncpa+시키/xsv+므로/ecs
치료를	치료/ncn+를/jco
철저히	철저/ncn+히/xsa
하지	하/pvg+지/ecx
않게	않/px+게/ecs
되어	되/pvg+어/ecs
오히려	오히려/mag
습진증상을	습진/ncn+증상/ncn+을/jco
악화시킬	악화/ncpa+시키/xsv+ㄹ/etm
수도	수/nbn+도/jxc
있다는	있/paa+다/ef+는/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
생리적으로	생리/ncn+적/xsn+으로/jca
거칠어진	거칠/paa+어/ecx+지/px+ㄴ/etm
피부와	피부/ncn+와/jcj
주부습진은	주부/ncn+습진/ncn+은/jxc
비전문가가	비/xp+전문/ncn+가/xsn+가/jcs
보기엔	보/pvg+기/etn+에/jca+ㄴ/jxc
구별하기	구별/ncpa+하/xsv+기/etn
어려우므로	어렵/paa+으므로/ecs
핸드크림을	핸드크림/ncn+을/jco
꼭	꼭/mag
발라도	바르/pvg+아도/ecs
낫지	낫/pvg+지/ecx
않으면	않/px+으면/ecs
즉시	즉시/mag
중단하고	중단/ncpa+하/xsv+고/ecs
전문의에게	전문의/ncn+에게/jca
보이는	보이/pvg+는/etm
것이	것/nbn+이/jcs
바람직합니다	바라/pvg+ㅁ직하/xsm+ㅂ니다/ef
.	./sf
78	78/nnc
(	(/sl
2	2/nnc
)	)/sr
합성세제와	합성/ncn+세제/ncn+와/jcj
녹는	녹/pvg+는/etm
상태	상태/ncn
합성세제의	합성/ncn+세제/ncn+의/jcm
종류와	종류/ncn+와/jcj
녹는	녹/pvg+는/etm
상태에	상태/ncn+에/jca
대하여	대하/pvg+여/ecs
간단히	간단/ncn+히/xsa
설명하겠습니다	설명/ncpa+하/xsv+겠/ep+습니다/ef
.	./sf
세제는	세제/ncn+는/jxc
계면활성제와	계면/ncn+활성/ncn+제/xsn+와/jcj
조제로	조제/ncn+로/jca
이루어지며	이루/pvg+어/ecx+지/px+며/ecs
,	,/sp
세척을	세척/ncn+을/jco
목적으로	목적/ncn+으로/jca
하여	하/pvg+여/ecs
사용되는	사용/ncpa+되/xsv+는/etm
계면활성제를	계면/ncn+활성/ncn+제/xsn+를/jco
세제라고	세제/ncn+라/ef+고/jcr
합니다	하/pvg+ㅂ니다/ef
.	./sf
세제의	세제/ncn+의/jcm
세척작용은	세척/ncn+작용/ncn+은/jxc
주로	주로/mag
계면활성제의	계면/ncn+활성/ncn+제/xsn+의/jcm
역할에	역할/ncn+에/jca
의한	의하/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
빨래에	빨래/ncn+에/jca
붙어	붙/pvg+어/ecx
있는	있/px+는/etm
때와	때/ncn+와/jcj
세척액	세척/ncn+액/ncn
사이의	사이/ncn+의/jcm
표면장력을	표면/ncn+장력/ncn+을/jco
줄여	줄이/pvg+어/ecs
세제의	세제/ncn+의/jcm
습윤침투작용에	습윤/ncn+침투/ncn+작용/ncn+에/jca
의해	의하/pvg+어/ecs
때를	때/ncn+를/jco
분리시킵니다	분리/ncpa+시키/xsv+ㅂ니다/ef
.	./sf
중성세제	중성/ncn+세제/ncn
조제로	조제/ncn+로/jca
가해	가하/pvg+어/ecx
주는	주/px+는/etm
성분을	성분/ncn+을/jco
중성에	중성/ncn+에/jca
가깝도록	가깝/paa+도록/ecs
만들어	만들/pvg+어/ecs
탈지성이	탈지/ncn+성/xsn+이/jcs
적고	적/paa+고/ecc
세척력이	세척/ncn+력/xsn+이/jcs
우수합니다	우수/ncps+하/xsm+ㅂ니다/ef
.	./sf
비인온성	비/xp+인온/ncn+성/xsn
세제는	세제/ncn+는/jxc
경수	경수/ncn
바닷물에서도	바닷물/ncn+에서/jca+도/jxc
안정하고	안정/ncpa+하/xsv+고/ecc
저농도에서도	저/xp+농도/ncn+에서/jca+도/jxc
침투력	침투/ncn+력/xsn
,	,/sp
세척력이	세척/ncn+력/xsn+이/jcs
우수하며	우수/ncps+하/xsm+며/ecs
거품이	거품/ncn+이/jcs
크게	크/paa+게/ecs
일지	일/pvg+지/ecx
않아	않/px+아/ecs
드라이	드라이/ncn
클리닝의	클리닝/ncn+의/jcm
차지	차지/ncn
비누	비누/ncn
(	(/sl
charge	charge/f
soap	soap/f
)	)/sr
나	나/jcj
벤젠	벤젠/ncn
비누를	비누/ncn+를/jco
만들기	만들/pvg+기/etn
쉬우나	쉽/paa+으나/ecs
,	,/sp
가격이	가격/ncn+이/jcs
비싸고	비싸/paa+고/ecc
분말로	분말/ncn+로/jca
만들기가	만들/pvg+기/etn+가/jcs
어려워	어렵/paa+어/ecs
대규모로	대/xp+규모/ncn+로/jca
쓰이지는	쓰이/pvg+지/ecx+는/jxc
못하고	못하/px+고/ecx
있습니다	있/px+습니다/ef
.	./sf
역시	역시/mag
비누는	비누/ncn+는/jxc
알칼리성을	알칼리/ncn+성/xsn+을/jco
띠는	띠/pvg+는/etm
센물에는	센물/ncn+에/jca+는/jxc
잘	잘/mag
녹지	녹/pvg+지/ecx
않지만	않/px+지만/ecs
,	,/sp
단물에는	단물/ncn+에/jca+는/jxc
잘	잘/mag
녹아듭니다	녹/pvg+아/ecx+들/px+ㅂ니다/ef
.	./sf
세제는	세제/ncn+는/jxc
용도에	용도/ncn+에/jca
맞는	맞/pvg+는/etm
것을	것/nbn+을/jco
선택해서	선택/ncpa+하/xsv+어서/ecs
사용해야	사용/ncpa+하/xsv+어야/ecs
하고	하/px+고/ecs
,	,/sp
사용량의	사용/ncn+량/ncn+의/jcm
최적농도	최적/ncn+농도/nc
및	및/maj
최적온도에서	최적/ncn+온도/ncn+에서/jca
사용해야	사용/ncpa+하/xsv+어야/ecs
합니다	하/px+ㅂ니다/ef
.	./sf
또	또/maj
세제의	세제/ncn+의/jcm
독성을	독성/ncn+을/jco
고려해서	고려/ncpa+하/xsv+어서/ecs
충분히	충분/ncn+히/xsa
헹구고	헹구/pvg+고/ecs
사용할	사용/ncpa+하/xsv+ㄹ/etm
때는	때/ncn+는/jxc
반드시	반드시/mag
고무장갑을	고무/ncn+장갑/ncn+을/jco
끼고	끼/pvg+고/ecc
해야	하/pvg+어야/ecs
합니다	하/px+ㅂ니다/ef
.	./sf
ABS	ABS/f
계	계/xsn
합성세제는	합성/ncn+세제/ncn++는/jxc
미생물이	미생물/ncn+이/jcs
분해할	분해/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없으므로	없/paa+으므로/ecs
수질을	수질/ncn+을/jco
오염시켜	오염/ncpa+시키/xsv+어/ecs
간접적인	간접/ncn+적/xsn+이/jp+ㄴ/etm
인체	인체/ncn
오염을	오염/ncn+을/jco
가져오므로	가지/pvg+어/ecs+오/pvg+므로/ecs
자연분해되는	자연/ncn+분해/ncpa+되/xsv+는/etm
LAS	LAS/f
계	계/xsn
합성세제	합성/ncn+세제/ncn
개발이	개발/ncn+이/jcs
필요합니다	필요/ncps+하/xsm+ㅂ니다/ef
.	./sf
그러나	그러나/maj
LAS	LAS/f
계도	계/xsn+도/jxc
하천	하천/ncn
밑바닥의	밑바닥/ncn+의/jcm
히드라나	히드라/ncn+나/jcj
어패류의	어패/ncn+류/xsn+의/jcm
체내	체내/ncn
축적이	축적/ncn+이/jcs
일어나는	일어나/pvg+는/etm
것이	것/nbn+이/jcs
밝혀져	밝히/pvg+어/ecx+지/px+어/ecs
앞으로의	앞/ncn+으로/jca+의/jcm
연구개발이	연구/ncn+개발/ncn+이/jcs
더	더/mag
필요하다고	필요/ncps+하/xsm+다/ef+고/jcr
합니다	하/pvg+ㅂ니다/ef
(	(/sl
동아	nq[동아/nq
세계대백과	세계/ncn+대/xp+백과/ncn
사전	사전/ncn]nq
권	권/ncn
,	,/sp
p	p/f
.	./sf
비누를	비누/ncn+를/jco
쓰임새에	쓰임새/ncn+에/jca
따라	따르/pvg+아/ecs
분류하면	분류/ncpa+하/xsv+면/ecs
먼저	먼저/mag
알칼리	알칼리/ncn
비누	비누/ncn
,	,/sp
금속	금속/ncn
비누	비누/ncn
,	,/sp
잡종	잡종/ncn
비누	비누/ncn
등으로	등/nbn+으로/jca
나눌	나누/pvg+ㄹ/etm
수	수/nbn
있지요	있/paa+지/ef+요/jxf
.	./sf
먼저	먼저/mag
알칼리	알칼리/ncn
비누는	비누/ncn+는/jxc
우리가	우리/npp+가/jcs
보통	보통/mag
비누라고	비누/ncn+라/ef+고/jcr
부르는	부르/pvg+는/etm
것인데	것/nbn+이/jp+ㄴ데/ecs
각종	각종/ncn
지방산에	지방/ncn+산/ncn+에/jca
알칼리로	알칼리/ncn+로/jca
중화하여	중화/ncpa+하/xsv+여/ecs
얻습니다	얻/pvg+습니다/ef
.	./sf
비누는	비누/ncn+는/jxc
물에	물/ncn+에/jca
녹아	녹/pvg+아/ecs
고루	고루/mag
분산되어	분산/ncpa+되/xsv+어/ecs
농도가	농도/ncn+가/jcs
진해지면	진하/paa+어/ecx+지/px+면/ecs
기름을	기름/ncn+을/jco
중심으로	중심/ncn+으로/jca
미셸이라는	미셸/ncn+이/jp+라/ef+는/etm
구조를	구조/ncn+를/jco
갖게	갖/pvg+게/ecs
됩니다	되/pvg+ㅂ니다/ef
.	./sf
비누의	비누/ncn+의/jcm
원료유지로는	원료/ncn+유지/ncn+로/jca+는/jxc
우지	우지/ncn
,	,/sp
야자유	야자유/ncn
,	,/sp
팜유	팜유/ncn
,	,/sp
미강유가	미강유/ncn+가/jcs
주로	주로/mag
쓰이며	쓰이/pvg+며/ecs
,	,/sp
쓰인	쓰이/pvg+ㄴ/etm
연료에	연료/ncn+에/jca
따라	따르/pvg+아/ecs
고체지방과	고체/ncn+지방/ncn+과/jcj
불건성유를	불/xp+건성유/ncn+를/jco
사용한	사용/ncpa+하/xsv+ㄴ/etm
경성비누	경성/ncn+비누/ncn
,	,/sp
반건성유를	반/xp+건성유/ncn+를/jco
일부	일부/ncn
배합해서	배합/ncpa+하/xsv+어서/ecs
만드는	만들/pvg+는/etm
연성비누	연성/ncn+비누/nc
등으로	등/nbn+으로/jca
나눕니다	나누/pvg+ㅂ니다/ef
.	./sf
화장비누는	화장/ncn+비누/ncn+는/jxc
비누	비누/ncn
중에서	중/nbn+에서/jca
값도	값/ncn+도/jxc
비싸고	비싸/paa+고/ecs
특성도	특성/ncn+도/jxc
우수하며	우수/ncps+하/xsm+며/ecs
,	,/sp
수용액은	수용액/ncn+은/jxc
알칼리성입니다	알칼리/ncn+성/xsn+이/jp+ㅂ니다/ef
.	./sf
겔	겔/ncn
상태이며	상태/ncn+이/jp+며/ecs
피마자유나	피마자유/ncn+나/jcj
로진	로진/ncn
,	,/sp
글리세린	글리세린/ncn
등을	등/nbn+을/jco
