아들은	아들/ncn+은/jxc
갖추어야	갖추/pvg+어야/ecs
할	하/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
예를	예/ncn+를/jco
들면	들/pvg+면/ecs
상대자의	상대/ncn+자/xsn+의/jcm
인격이	인격/ncn+이/jcs
타인보다도	타인/ncn+보다/jca+도/jxc
월등하고앞으로	월등/ncps+하/xsm+고/ecc+앞/ncn+으로/jca
이런	이런/mmd
사람을	사람/ncn+을/jco
만나기	만나/pvg+기/etn
어렵다든가	어렵/paa+다든가/ecc
아니면	아니/paa+면/ecs
그	그/mmd
사람	사람/ncn
없이는	없/paa+이/xsa+는/jxc
살	살/pvg+ㄹ/etm
수	수/nbn
없을	없/paa+을/etm
정도로	정도/ncn+로/jca
깊이	깊/paa+이/xsa
사랑한다면	사랑/ncpa+하/xsv+ㄴ다/ef+면/ecs
문제는	문제/ncn+는/jxc
다르다	다르/paa+다/ef
.	./sf
최근엔	최근/ncn+에/jca+ㄴ/jxc
줄어들었지만	줄/pvg+어/ecx+들/px+었/ep+지만/ecs
친족	친족/ncn
중	중/nbn
아내를	아내/ncn+를/jco
맞이하면	맞이/ncn+하/pvg+면/ecs
가정이	가정/ncn+이/jcs
원만해진다든지	원만/ncpa+하/xsv+어/ecx+지/px+ㄴ다든지/ecs
하는	하/pvg+는/etm
경우도	경우/ncn+도/jxc
문제가	문제/ncn+가/jcc
될	되/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
S	S/f
부인이	부인/ncn+이/jcs
돌아가고	돌/pvg+아/ecx+가/px+고/ecx
난	나/px+ㄴ/etm
직후	직후/ncn
D	D/f
씨가	씨/xsn+가/jcs
찾아	찾/pvg+아/ecx
와서	오/px+아서/ecs
상담은	상담/ncn+은/jxc
그치지	그치/pvg+지/ecx
않고	않/px+고/ecs
계속되었다	계속/ncpa+되/xsv+었/ep+다/ef
.	./sf
상담	상담/ncn
내용은	내용/ncn+은/jxc
S	S/f
부인과	부인/ncn+과/jct
같은	같/paa+은/etm
내용이었으므로	내용/ncn+이/jp+었/ep+으므로/ecs
결국	결국/mag
같은	같/paa+은/etm
설명을	설명/ncn+을/jco
되풀이할	되풀이/ncpa+하/xsv+ㄹ/etm
수	수/nbn
밖에	밖에/jxc
없었다	없/paa+었/ep+다/ef
.	./sf
여러	여러/mma
모로	모/ncn+로/jca
생각도	생각/ncn+도/jxc
하고	하/pvg+고/ecs
또	또/maj
상대자와	상대/ncn+자/xsn+와/jct
상의도	상의/ncn+도/jxc
했지만	하/pvg+었/ep+지만/ecs
가령	가령/mag
아기에게	아기/ncn+에게/jca
다소	다소/mag
위험이	위험/ncn+이/jcs
있다고	있/paa+다/ef+고/jcr
해도	하/pvg+어도/ecs
배우자로서	배우/ncn+자/xsn+로서/jca
딴	딴/mma
사람을	사람/ncn+을/jco
생각할	생각/ncpa+하/xsv+ㄹ/etm
수는	수/nbn+는/jxc
없으니	없/paa+으니/ecs
결혼을	결혼/ncn+을/jco
결심했다고	결심/ncpa+하/xsv+었/ep+다/ef+고/jcr
한다	하/pvg+ㄴ다/ef
.	./sf

오랜	오랜/mma
동안	동안/ncn
생각해	생각/ncpa+하/xsv+어/ecx
보았으나	보/px+았/ep+으나/ecs
역시	역시/mag
태어날	태어나/pvg+ㄹ/etm
아기에	아기/ncn+에/jca
대한	대하/pvg+ㄴ/etm
걱정	걱정/ncn
때문에	때문/nbn+에/jca
사촌간의	사촌/ncn+간/nbn+의/jcm
결혼을	결혼/ncn+을/jco
단념키로	단념/ncpa+하/xsv+기/etn+로/jca
했다는	하/pvg+었/ep+다/ef+는/etm
것	것/nbn
이다	이/jp+다/ef
.	./sf
S	S/f
부인과	부인/ncn+과/jcj
D	D/f
씨에게	씨/xsn+에게/jca
똑같은	똑/mag+같/paa+은/etm
설명을	설명/ncn+을/jco
하였고	하/pvg+었/ep+고/ecs
그들은	그/npp+들/xsn+은/jxc
둘	둘/nnc
다	다/mag
충분히	충분/ncn+히/xsa
이해하였을	이해/ncpa+하/xsv+었/ep+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그리고	그리고/maj
그들	그/npp+들/xsn
인생의	인생/ncn+의/jcm
행복도	행복/ncn+도/jxc
그	그/mma
운명에	운명/ncn+에/jca
따라	따르/pvg+아/ecs
각기	각기/mag
다르게	다르/paa+게/ecx
결정될	결정/ncpa+되/xsv+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
결혼에	결혼/ncn+에/jca
대한	대하/pvg+ㄴ/etm
부부와	부부/ncn+와/jcj
자식의	자식/ncn+의/jcm
비중	비중/ncn
같은	같/paa+은/etm
입장에	입장/ncn+에/jca
있으면서	있/paa+으면서/ecs
한	한/nnc
사람은	사람/ncn+은/jxc
친족	친족/ncn
결혼을	결혼/ncn+을/jco
택하고	택하/pvg+고/ecc
다른	다르/paa+ㄴ/etm
사람은	사람/ncn+은/jxc
이것을	이것/npd+을/jco
피하게	피하/pvg+게/ecx
된	되/px+ㄴ/etm
것은	것/nbn+은/jxc
결혼에	결혼/ncn+에/jca
대한	대하/pvg+ㄴ/etm
마음의	마음/ncn+의/jcm
자세가	자세/ncn+가/jcs
서로	서로/mag
다르기	다르/paa+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
S	S/f
부인의	부인/ncn+의/jcm
결혼관에는	결혼/ncn+관/xsn+에/jca+는/jxc
부부의	부부/ncn+의/jcm
비중이	비중/ncn+이/jcs
크며	크/paa+며/ecs
D	D/f
씨의	씨/xsn+의/jcm
경우에는	경우/ncn+에/jca+는/jxc
자식과의	자식/ncn+과/jct+의/jcm
관계에	관계/ncn+에/jca
관심이	관심/ncn+이/jcs
기울어진	기울/pvg+어/ecx+지/px+ㄴ/etm
듯하	듯하/px+다/ef
.	./sf
8	8/nno
쌍둥이는	쌍둥이/ncn+는/jxc
유전인가	유전/ncn+이/jp+ㄴ가/ef
황금의	황금/ncn+의/jcm
일요일	일요일/ncn
,	,/sp
집에서	집/ncn+에서/jca
쉬고	쉬/pvg+고/ecx
있는데	있/px+는데/ecs
친척	친척/ncn
부인에게서	부인/ncn+에게서/jca
전화가	전화/ncn+가/jcs
왔다	오/pvg+았/ep+다/ef
.	./sf
내용인	내용/ncn+이/jp+ㄴ/etm
즉	즉/nbn
자기	자기/npp
아들이	아들/ncn+이/jcs
쌍동이	쌍동이/ncn
딸과	딸/ncn+과/jct
혼담이	혼담/ncn+이/jcs
있는데	있/paa+는데/ecs
혹시	혹시/mag
유전성이라면	유전/ncn+성/xsn+이/jp+라면/ecs
달리	다르/paa+이/xsa
생각하겠다는	생각/ncpa+하/xsv+겠/ep+다/ef+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
최초엔	최초/ncn+에/jca+ㄴ/jxc
한	한/nnc
개의	개/nbu+의/jcm
난자와	난자/ncn+와/jcj
한	한/nnc
개의	개/nbu+의/jcm
정자가	정자/ncn+가/jcs
결합해서	결합/ncpa+하/xsv+어서/ecs
한	한/nnc
개의	개/nbu+의/jcm
수정란이	수정란/ncn+이/jcc
되는	되/pvg+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그	그/mmd
후	후/ncn
두	두/nnc
개의	개/nbu+의/jcm
세포로	세포/ncn+로/jca
불리되어	불리/ncpa+되/xsv+어/ecs
4	4/nnc
개	개/nbu
,	,/sp
8	8/nnc
개로	개/nbu+로/jca
세포의	세포/ncn+의/jcm
수가	수/nbn+가/jcs
불어나	불/pvg+어/ecx+나/px+아/ecs
그대로	그대로/mag
발육하면	발육/ncpa+하/xsv+면/ecs
한	한/nnc
사람의	사람/ncn+의/jcm
아기가	아기/ncn+가/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
그런데	그런데/maj
발생	발생/ncn
초기에	초기/ncn+에/jca
뭔가	뭔가/mag
잘못으로	잘못/ncn+으로/jca
두	두/nnc
개의	개/nbu+의/jcm
세포군	세포/ncn+군/xsn
(	(/sl
細胞群	細胞群/ncn
)	)/sr
으로	으로/jca
불리되면	불리/ncpa+되/xsv+면/ecs
그러한	그러하/pad+ㄴ/etm
세포군이	세포/ncn+군/xsn+이/jcs
한	한/nnc
사람씩의	사람/ncn+씩/xsn+의/jcm
아기로	아기/ncn+로/jca
육성되어	육성/ncpa+되/xsv+어/ecx
1란성	1란성/ncn
쌍둥이로서	쌍둥이/ncn+로서/jca
태어난다	태어나/pvg+ㄴ다/ef
.	./sf
1란성	1란성/ncn
(	(/sl
一卵性	一卵性/ncn
)	)/sr
에	에/jca
비해	비하/pvg+어/ecs
2란성	2란성/ncn+은/jxc
한	한/nnc
번에	번/nbu+에/jca
두	두/nnc
개의	개/nbu+의/jcm
난자가	난자/ncn+가/jcs
배란되어	배란/ncpa+되/xsv+어/ecs
각각	각각/mag
다른	다르/paa+ㄴ/etm
정자에	정자/ncn+에/jca
의하여	의하/pvg+어/ecs
수정된	수정/ncpa+되/xsv+ㄴ/etm
것이므로	것/nbn+이/jp+므로/ecs
최초부터	최초/ncn+부터/jxc
독립한	독립/ncpa+하/xsv+ㄴ/etm
수정란으로	수정란/ncn+으로/jca
출발한	출발/ncpa+하/xsv+ㄴ/etm
독립한	독립/ncpa+하/xsv+ㄴ/etm
각각의	각각/ncn+의/jcm
개체이다	개체/ncn+이/jp+다/ef
.	./sf
가지고	가지/pvg+고/ecx
있는	있/px+는/etm
유전자의	유전/ncn+자/xsn+의/jcm
조합	조합/ncn
(	(/sl
組合	組合/ncn
)	)/sr
으로	으로/jca
말하면	말/ncpa+하/xsv+면/ecs
보통	보통/ncn
형제자매와	형제/ncn+자매/ncn+와/jct
마찬가지로	마찬가지/ncn+로/jca
닮을	닮/pvg+을/etm
뿐이다	뿐/nbn+이/jp+다/ef
.	./sf
1란성	1란성/ncn
쌍뚱이를	쌍뚱이/ncn+를/jco
낳은	낳/pvg+은/etm
엄마들을	엄마/ncn+들/xsn+을/jco
조사해	조사/ncpa+하/xsv+어/ecx
보면	보/px+면/ecs
쌍둥이는	쌍둥이/ncn+는/jxc
결코	결코/mag
많지	많/paa+지/ecx
않다	않/px+다/ef
.	./sf
재미있는	재미/ncn+있/paa+는/etm
일은	일/ncn+은/jxc
쌍둥이가	쌍둥이/ncn+가/jcs
태어나는	태어나/pvg+는/etm
율은	율/ncn+은/jxc
세계	세계/ncn
민족간에	민족/ncn+간/nbn+에/jca
큰	크/paa+ㄴ/etm
차이가	차이/ncn+가/jcs
있는데	있/paa+는데/ecs
1란성	1란성/ncn
쌍둥이의	쌍둥이/ncn+의/jcm
출생률에는	출생/ncn+률/xsn+에/jca+는/jxc
거의	거의/mag
차이가	차이/ncn+가/jcs
없고	없/paa+고/ecs
대략	대략/mag
250	250/nnc
회의	회/nbu+의/jcm
출산에	출산/ncn+에/jca
1	1/nnc
회의	회/nbu+의/jcm
배유로	배유/ncn+로/jca
나타나	나타나/pvg+아/ecx
있다	있/px+다/ef
.	./sf
1란성	1란성/ncn
쌍둥이가	쌍둥이/ncn+가/jcs
태어나는	태어나/pvg+는/etm
것은	것/nbn+은/jxc
유전적	유전/ncn+적/xsn
성질이	성질/ncn+이/jcc
아니라	아니/paa+라/ecs
뭔가	뭐/npd+ㄴ가/jcs
다른	다르/paa+ㄴ/etm
사고로	사고/ncn+로/jca
밖에	밖에/jxc
볼	보/pvg+ㄹ/etm
수가	수/nbn+가/jcs
없다	없/paa+다/ef
.	./sf
2란성	2란성/ncn
쌍둥이를	쌍둥이/ncn+를/jco
낳은	낳/pvg+은/etm
엄마는	엄마/ncn+는/jxc
그	그/mmd
다음	다음/ncn
출산	출산/ncn
때도	때/ncn+도/jxc
일반	일반/ncn
부인들에	부인/ncn+들/xsn+에/jca
비해서	비하/pvg+어서/ecs
쌍둥이를	쌍둥이/ncn+를/jco
출산할	출산/ncpa+하/xsv+ㄹ/etm
확률이	확률/ncn+이/jcs
2	2/nnc
배나	배/nbu+나/jcj
3	3/nnc
배	배/nbu
쯤	쯤/xsn
높	높/paa
다	다/ef
.	./sf
그런데	그런데/maj
이	이/mmd
부인과	부인/ncn+과/jct
쌍둥이의	쌍둥이/ncn+의/jcm
언니와는	언니/ncn+와/jct+는/jxc
남이	남/ncn+이/jcs
보아도	보/pvg+아도/ecs
전혀	전혀/mag
틀린	틀리/pvg+ㄴ/etm
얼굴이었다	얼굴/ncn+이/jp+었/ep+다/ef
.	./sf
동물	동물/ncn
실험에서	실험/ncn+에서/jca
뇌하수체	뇌하수체/ncn
호르몬을	호르몬/ncn+을/jco
암컷에게	암컷/ncn+에게/jca
주사하면	주사/ncpa+하/xsv+면/ecs
한	한/nnc
번에	번/nbu+에/jca
배란되는	배란/ncpa+되/xsv+는/etm
난자의	난자/ncn+의/jcm
수가	수/nbn+가/jcs
늘어난다	늘/pvg+어/ecx+나/px+ㄴ다/ef
.	./sf
2란성	2란성/ncn
쌍둥이는	쌍둥이/ncn+는/jxc
민족에	민족/ncn+에/jca
따라	따르/pvg+아/ecs
다르다	다르/paa+다/ef
.	./sf
한국인은	한국/nq+인/xsn+은/jxc
비교적	비교/ncn+적/xsn
적은	적/paa+은/etm
편으로	편/ncn+으로/jca
500	500/nnc
회의	회/nbu+의/jcm
해산	해산/ncn
(	(/sl
解散	解散/ncn
)	)/sr
에	에/jca
1	1/nnc
회	회/nbu
정도이지만	정도/ncn+이/jp+지만/ecs
백인	백인/ncn
(	(/sl
북구라파인	북구라파/nq+인/xsn
)	)/sr
이나	이나/jcj
흑인은	흑인/ncn+은/jxc
100	100/nnc
회에	회/nbu+에/jca
1	1/nnc
회	회/nbu
정도이다	정도/ncn+이/jp+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
차이는	차이/ncn+는/jxc
물론	물론/mag
유전성이며	유전/ncn+성/xsn+이/jp+며/ecs
또한	또한/maj
엄마	엄마/ncn
축이	축/nbn+이/jcs
어느	어느/mmd
민족	민족/ncn
출신이었느냐에	출신/ncn+이/jp+었/ep+느냐/ef+에/jca
따라	따르/pvg+아/ecs
각각	각각/mag
다르게	다르/paa+게/ecs
결정된다	결정/ncpa+되/xsv+ㄴ다/ef
.	./sf
가령	가령/mag
한국	한국/nq
여성과	여성/ncn+과/jcj
백인	백인/ncn
남성과의	남성/ncn+과/jct+의/jcm
결혼에서는	결혼/ncn+에서/jca+는/jxc
2란성	2란성/nbu
쌍둥이가	쌍둥이/ncn+가/jcs
태어나는	태어나/pvg+는/etm
일이	일/ncn+이/jcs
극히	극히/mag
드물며	드물/paa+며/ecs
,	,/sp
이	이/mmd
경우에는	경우/ncn+에/jca+는/jxc
한국인끼리의	한국/nq+인/xsn+끼리/xsn+의/jcm
결혼과	결혼/ncn+과/jct
거의	거의/mag
동일한	동일/ncpa+하/xsv+ㄴ/etm
정도이다	정도/ncn+이/jp+다/ef
.	./sf
한편	한편/maj
백인	백인/ncn
여자와	여자/ncn+와/jcj
한국남성과의	한국/nq+남성/ncn+과/jct+의/jcm
결혼에서는	결혼/ncn+에서/jca+는/jxc
쌍둥이	쌍둥이/ncn
출산	출산/ncn
,	,/sp
특히	특히/mag
2란성의	2란성/ncn+의/jcm
출산이	출산/ncn+이/jcs
많아서	많/paa+아서/ecs
백인	백인/ncn
남녀의	남녀/ncn+의/jcm
결혼과	결혼/ncn+과/jct
동등하게	동등/ncps+하/xsm+게/ecs
나타난다	나타나/pvg+ㄴ다/ef
.	./sf
이것으로도	이것/npd+으로/jca+도/jxc
알	알/pvg+ㄹ/etm
수	수/nbn
있듯이	있/paa+듯이/ecs
2란성	2란성/ncn
쌍둥이를	쌍둥이/ncn+를/jco
낳는	낳/pvg+는/etm
경향은	경향/ncn+은/jxc
엄마	엄마/ncn
측의	측/nbn+의/jcm
출산에	출산/ncn+에/jca
따른	따르/pvg+ㄴ/etm
성질이며	성질/ncn+이/jp+며/ecs
아빠	아빠/ncn
측은	측/nbn+은/jxc
아무런	아무렇/pad+ㄴ/etm
관계가	관계/ncn+가/jcs
없다	없/paa+다/ef
.	./sf
그러므로	그러므로/maj
남편이	남편/ncn+이/jcs
2란성	2란성/ncn
쌍둥이라	쌍둥이/ncn+라/jxc
할지라도	하/pvg+ㄹ지라/ef+도/jxc
자식이	자식/ncn+이/jcs
쌍둥이가	쌍둥이/ncn+가/jcc
되는	되/pvg+는/etm
확률은	확률/ncn+은/jxc
결코	결코/mag
높지	높/paa+지/ecx
않다	않/px+다/ef
.	./sf
따라서	따라서/maj
쌍둥이인	쌍둥이/ncn+이/jp+ㄴ/etm
여성과	여성/ncn+과/jct
결혼하였을	결혼/ncpa+하/xsv+었/ep+을/etm
때	때/ncn
쌍둥이	쌍둥이/ncn
자식을	자식/ncn+을/jco
낳을	낳/pvg+을/etm
가능성을	가능/ncn+성/xsn+을/jco
알려면	알/pvg+려면/ecs
먼저	먼저/mag
쌍둥이인	쌍둥이/ncn+이/jp+ㄴ/etm
여성과	여성/ncn+과/jct
1란성인지	1란성/ncn+이/jp+ㄴ지/ecs
2란성인지를	2란성/ncn+이/jp+ㄴ지/ecs+를/jco
구별해야	구별/ncpa+하/xsv+어야/ecs
한다	하/pvg+ㄴ다/ef
.	./sf
1란성과	1란성/ncn+과/jcj
2란성을	2란성/ncn+을/jco
구별하는	구별/ncpa+하/xsv+는/etm
방법	방법/ncn
갓난	갓나/pvg+ㄴ/etm
두	두/nnc
아이가	아이/ncn+가/jcs
하나의	하나/nnc+의/jcm
양막	양막/ncn
(	(/sl
羊膜	羊膜/ncn
)	)/sr
에	에/jca
함께	함께/mag
싸여	싸이/pvg+어/ecx
있다면	있/px+다/ef+면/ecs
이는	이/npd+는/jxc
1	1/nnc
란성임에	란성/nbu+이/jp+ㅁ/etn+에/jca
틀림이	틀림/ncn+이/jcs
없다	없/paa+다/ef
.	./sf
그러나	그러나/maj
따로따로	따로따로/mag
직모막	직모막/ncn
(	(/sl
織毛膜	織毛膜/ncn
)	)/sr
에	에/jca
싸여	싸이/pvg+어/ecx
있을	있/px+을/etm
때에는	때/ncn+에/jca+는/jxc
1란성일	1란성/ncn+이/jp+ㄹ/etm
수도	수/nbn+도/jxc
있고	있/paa+고/ecs
2란성일	2란성/ncn+이/jp+ㄹ/etm
수도	수/nbn+도/jxc
있으므로	있/paa+으므로/ecs
선뜻	선뜻/mag
구별하기가	구별/ncpa+하/xsv+기/etn+가/jcs
어렵다	어렵/paa+다/ef
.	./sf
또한	또한/maj
산부인과	산부인/ncn+과/ncn
의사나	의사/ncn+나/jcj
조산부가	조산부/ncn+가/jcs
거기까지	거기/npd+까지/jxc
관찰해서	관찰/ncpa+하/xsv+어서/ecs
기록을	기록/ncn+을/jco
남겨	남기/pvg+어/ecx
준	주/px+ㄴ/etm
예도	예/ncn+도/jxc
없다	없/paa+다/ef
.	./sf
옛날에는	옛날/ncn+에/jca+는/jxc
태반의	태반/ncn+의/jcm
수가	수/ncn+가/jcs
하나면	하나/nnc+면/ecs
1란성이고	1란성/ncn+이/jp+고/ecs
두	두/nnc
개면	개/nbu+면/ecs
2란성이라고	2란성/ncn+이/jp+라/ef+고/jcr
생각하는	생각/ncpa+하/xsv+는/etm
경우가	경우/ncn+가/jcs
많았으며	많/paa+았/ep+으며/ecs
,	,/sp
산부인과	산부인/ncn+과/ncn
의사	의사/ncn
중에는	중/nbn+에/jca+는/jxc
지금도	지금/ncn+도/jxc
이	이/mmd
설	설/ncn
(	(/sl
說	說/ncn
)	)/sr
을	을/jco
믿고	믿/pvg+고/ecx
있는	있/px+는/etm
사람도	사람/ncn+도/jxc
있다	있/paa+다/ef
.	./sf
태반의	태반/ncn+의/jcm
수를	수/nbn+를/jco
통해서	통하/pvg+어서/ecs
난성	난성/ncn
(	(/sl
卵性	卵性/ncn
)	)/sr
을	을/jco
알	알/pvg+ㄹ/etm
수는	수/nbn+는/jxc
없기	없/paa+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
그것보다도	그것/npd+보다/jca+도/jxc
1란성인지	1란성/nbu+이/jp+ㄴ지/ecs
2란성인지를	2란성/nbu+이/jp+ㄴ지/ecs+를/jco
구별하는	구별/ncpa+하/xsv+는/etm
가장	가장/mag
쉬운	쉽/paa+ㄴ/etm
방법으로는	방법/ncn+으로/jca+는/jxc
쌍둥이의	쌍둥이/ncn+의/jcm
서로	서로/mag
닮은	닮/pvg+은/etm
상태를	상태/ncn+를/jco
비교하는	비교/ncpa+하/xsv+는/etm
일이다	일/ncn+이/jp+다/ef
.	./sf
1란성이면	1란성/ncn+이/jp+면/ecs
반드시	반드시/mag
동성	동성/ncn
(	(/sl
同性	同性/ncn
)	)/sr
이지만	이/jp+지만/ecs
2란성일	2란성/nbu+이/jp+ㄹ/etm
때는	때/ncn+는/jxc
동성도	동성/ncn+도/jxc
있고	있/paa+고/ecs
이성	이성/ncn
(	(/sl
異性	異性/ncn
)	)/sr
도	도/jxc
있다	있/paa+다/ef
.	./sf
그러므로	그러므로/maj
쌍둥이가	쌍둥이/ncn+가/jcs
남녀의	남녀/ncn+의/jcm
조합	조합/ncn
(	(/sl
組合	組合/ncn
)	)/sr
이라면	이/jp+라면/ecs
그것만으로도	그것/npd+만/jxc+으로/jca+도/jxc
2란성이라는	2란성/ncn+이/jp+라/ef+는/etm
사실을	사실/ncn+을/jco
알	알/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
유전성을	유전/ncn+성/xsn+을/jco
조사하는데	조사/ncpa+하/xsv+는데/ecs
있어서	있/paa+어서/ecs
혈액형이	혈액/ncn+형/xsn+이/jcs
사용되는	사용/ncpa+되/xsv+는/etm
경우는	경우/ncn+는/jxc
10	10/nnc
종류	종류/ncn
이상이	이상/ncn+이/jcc
된다	되/pvg+ㄴ다/ef
.	./sf
최근에는	최근/ncn+에/jca+는/jxc
혈액형	혈액/ncn+형/xsn
이외에도	이외/ncn+에/jca+도/jxc
혈액이나	혈액/ncn+이나/jcj
뇨	뇨/ncn
(	(/sl
尿	尿/ncn
)	)/sr
의	의/jcm
성분을	성분/ncn+을/jco
조사해서	조사/ncpa+하/xsv+어서/ecs
유전자의	유전/ncn+자/xsn+의/jcm
서로	서로/mag
다름을	다르/paa+ㅁ/etn+을/jco
판정하는	판정/ncpa+하/xsv+는/etm
방법도	방법/ncn+도/jxc
많이	많/paa+이/xsa
있다	있/paa+다/ef
.	./sf
이런	이런/mma
여러	여러/mma
가지	가지/nbu
검사	검사/ncn
결과	결과/ncn
단	단/mma
한	한/nnc
종류라도	종류/ncn+라/ef+도/jxc
쌍둥이간에	쌍둥이/ncn+간/nbn+에/jca
서로	서로/mag
다른	다르/paa+ㄴ/etm
점이	점/ncn+이/jcs
있다면	있/paa+다/ef+면/ecs
2란성이라고	2란성/ncn+이/jp+라/ef+고/jcr
단정할	단정/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
이와	이/npd+와/jct
같이	같/paa+이/xsa
검사	검사/ncn
항목을	항목/ncn+을/jco
넓혀가면	넓히/pvg+어/ecx+가/px+면/ecs
2란성이	2란성/ncn+이/jcs
차츰	차츰/mag
제외되고	제외/ncpa+되/xsv+고/ecs
결국	결국/mag
남게	남/pvg+게/ecx
되는	되/px+는/etm
대부분이	대부분/ncn+이/jcs
1란성이라고	1란성/ncn+이/jp+라/ef+고/jcr
할	하/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
그러나	그러나/maj
2란성일지라도	2란성/ncn+이/jp+ㄹ지라/ef+도/jxc
우연히	우연/ncn+히/xsa
모든	모든/mma
항목이	항목/ncn+이/jcs
일치될	일치/ncpa+되/xsv+ㄹ/etm
수도	수/nbn+도/jxc
있으므로	있/paa+으므로/ecs
소수의	소수/ncn+의/jcm
2란성이	2란성/ncn+이/jcs
끼어드는	끼/pvg+어/ecx+들/px+는/etm
것을	것/nbn+을/jco
피할	피하/pvg+ㄹ/etm
수는	수/nbn+는/jxc
없다	없/paa+다/ef
.	./sf
학창시절에	학창/ncn+시절/ncn+에/jca
선생님이	선생/ncn+님/xsn+이/jcs
동무들이	동무/ncn+들/xsn+이/jcs
구별하기	구별/ncpa+하/xsv+기/etn
어려울	어렵/paa+ㄹ/etm
만큼	만큼/nbn
닮았다면	닮/pvg+았/ep+다/ef+면/ecs
1란성의	1란성/ncn+의/jcm
가능성은	가능/ncn+성/xsn+은/jxc
매우	매우/mag
높다고	높/paa+다/ef+고/jcr
볼	보/pvg+ㄹ/etm
수	수/nbn
있다	있/paa+다/ef
.	./sf
쌍둥이와의	쌍둥이/ncn+와/jct+의/jcm
결혼은	결혼/ncn+은/jxc
위험한	위험/ncpa+하/xsv+ㄴ/etm
것인가	것/nbn+이/jp+ㄴ가/ef
다시	다시/mag
처음으로	처음/ncn+으로/jca
돌아가	돌/pvg+아/ecx+가/px+아/ecs
전화로	전화/ncn+로/jca
상담을	상담/ncn+을/jco
요청해	요청/ncpa+하/xsv+어/ecx
온	오/px+ㄴ/etm
부인에게는	부인/ncn+에게/jca+는/jxc
상대방	상대방/ncn
아가씨들	아가씨/ncn+들/xsn
쌍둥이의	쌍둥이/ncn+의/jcm
닮은	닮/paa+은/etm
정도를	정도/ncn+를/jco
면밀히	면밀/ncn+히/xsa
확인하도록	확인/ncpa+하/xsv+도록/ecs
권유했다	권유/ncpa+하/xsv+었/ep+다/ef
.	./sf
이	이/mma
경우	경우/ncn
절대로	절대로/mag
없다고	없/paa+다/ef+고/jcr
단정할	단정/ncpa+하/xsv+ㄹ/etm
수는	수/nbn+는/jxc
없지만	없/paa+지만/ecs
2란성의	2란성/nbu+의/jcm
농도에	농도/ncn+에/jca
비해	비하/pvg+어/ecs
3	3/nnc
분의	분/nbn+의/jcm
1	1/nnc
,	,/sp
즉	즉/mag
150	150/nnc
회	회/nbu
출산에	출산/ncn+에/jca
1	1/nnc
회	회/nbu
정도	정도/ncn
쌍둥이가	쌍둥이/ncn+가/jcs
태어난다고	태어나/pvg+ㄴ다/ef+고/jcr
생각하면	생각/ncpa+하/xsv+면/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
혹시	혹시/mag
별로	별로/mag
닮지	닮/pvg+지/ecx
않았다면	않/px+았/ep+다면/ecs
2란성일	2란성/nbu+이/jp+ㄹ/etm
가능성이	가능/ncn+성/xsn+이/jcs
많아지므로	많/paa+아/ecx+지/px+므로/ecs
100	100/nnc
회	회/nbu
출산에	출산/ncn+에/jca
1	1/nnc
회	회/nbu
정도로	정도/ncn+로/jca
쌍둥이를	쌍둥이/ncn+를/jco
낳을	낳/pvg+을/etm
확률이	확률/ncn+이/jcs
높아진다	높/paa+아/ecx+지/px+ㄴ다/ef
.	./sf
단	단/mma
,	,/sp
쌍둥이를	쌍둥이/ncn+를/jco
낳는	낳/pvg+는/etm
확률이	확률/ncn+이/jcs
낮고	낮/paa+고/ecs
나이를	나이/ncn+를/jco
더해갈수록	더하/pvg+어/ecx+가/px+ㄹ수록/ecs
점점	점점/mag
높아져서	높/paa+아/ecx+지/px+어서/ecs
35	35/nnc
세를	세/nbu+를/jco
넘은	넘/pvg+은/etm
부인은	부인/ncn+은/jxc
20	20/nnc
세	세/nbu
전후에	전후/ncn+에/jca
비하여	비하/pvg+어/ecs
2란성	2란성/ncn
쌍둥이를	쌍둥이/ncn+를/jco
출산할	출산/ncpa+하/xsv+ㄹ/etm
확률이	확률/ncn+이/jcs
3	3/nnc
4	4/nnc
배쯤	배/nbu+쯤/xsn
높아진다	높/paa+아/ecx+지/px+ㄴ다/ef
.	./sf
아무튼	아무튼/mag
쌍둥이를	쌍둥이/ncn+를/jco
낳은	낳/pvg+은/etm
것이	것/nbn+이/jcs
염려되면	염려/ncpa+되/xsv+면/ecs
젊었을	젊/paa+었/ep+을/etm
때	때/ncn
출산을	출산/ncn+을/jco
