<tdmsfile>
sbs.hwp
외환당국	외환/ncn+당국/ncn
긴	길/paa+ㄴ/etm
볏을	볏/ncn+을/jco
가진	가지/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
알려진	알리/pvg+어/ecx+지/px+ㄴ/etm
공룡	공룡/ncn
파라사우롤로푸스의	파라사우롤로푸스/nq+의/jcm
소리를	소리/ncn+를/jco
재생시키는	재생/ncpa+시키/xsv+는/etm
데	데/nbn
성공했습니다.	성공/ncpa+하/xsv+었/ep+습니다/ef+./sf
지금까지	지금/ncn+까지/jxc
파라사우롤로푸스는	파라사우롤로푸스/nq+는/jxc
가늘고	가늘/paa+고/ecc
긴	길/paa+ㄴ/etm
관악기처럼	관악기/ncn+처럼/jca
생긴	생기/pvg+ㄴ/etm
볏을	볏/ncn+을/jco
통해	통하/pvg+어/ecs
기이한	기이/ncps+하/xsm+ㄴ/etm
울음	울음/ncn
소리를	소리/ncn+를/jco
내는	내/pvg+는/etm
것으로	것/nbn+으로/jca
추정돼	추정/ncpa+되/xsv+어/ecx
왔습니다.	오/px+았/ep+습니다/ef+./sf
고생물학자들은	고/xp+생물/ncn+학자/ncn+들/xsn+은/jxc
지난	지나/pvg+ㄴ/etm
95년	95/nno+년/nbu
뉴멕시코주에서	뉴멕시코주/nq+에서/jca
발굴된	발굴/ncpa+되/xsv+ㄴ/etm
이	이/mmd
공룡의	공룡/ncn+의/jcm
화석을	화석/ncn+을/jco
통해	통하/pvg+어/ecs
관볏	관/ncn+볏/ncn
내부에	내부/ncn+에/jca
있는	있/paa+는/etm
미세한	미세/ncps+하/xsm+ㄴ/etm
소리	소리/ncn
경로를	경로/ncn+를/jco
발견했고,	발견/ncpa+하/xsv+었/ep+고/ecs+,/sp
컴퓨터로	컴퓨터/ncn+로/jca
공명	공명/ncn
실험을	실험/ncn+을/jco
거듭한	거듭/ncpa+하/xsv+ㄴ/etm
끝에	끝/ncn+에/jca
'잃어버린'	'/sl+잃/pvg+어/ecs+버리/pvg+ㄴ/etm+'/sl
공룡	공룡/ncn
소리를	소리/ncn+를/jco
재생해	재생/ncpa+하/xsv+어/ecx
냈습니다.	내/px+었/ep+습니다/ef+./sf
SBS	SBS/f
이정앱니다.	이정애/nq+ㅂ니다/ef+./sf
고려증권,	고려증권/nq+,/sp
고객피해	고객/ncn+피해/ncn
없다	없/paa+다/ef
어제	어제/ncn
최종부도처리된	최종/ncn+부도/ncn+처리/ncpa+되/xsv+ㄴ/etm
고려증권의	고려증권/nq+의/jcm
고객들은	고객/ncn+들/xsn+은/jxc
맡긴	맡기/pvg+ㄴ/etm
돈이나	돈/ncn+이나/jcj
유가증권을	유가/ncn+증권/ncn+을/jco
늦어도	늦/pvg+어도/ecs
오는	오/pvg+는/etm
9일까지는	9/nno+일/nbu+까지/jxc+는/jxc
전부	전부/mag
돌려받을	돌리/pvg+어/ecs+받/pvg+을/etm
수	수/nbn
있게	있/paa+게/ecs
됐습니다.	되/pvg+었/ep+습니다/ef+./sf
그러나	그러나/maj
고려증권의	고려증권/nq+의/jcm
주식을	주식/ncn+을/jco
매입한	매입/ncpa+하/xsv+ㄴ/etm
투자자들은	투자/ncn+자/xsn+들/xsn+은/jxc
환금성에	환금/ncn+성/xsn+에/jca
제약을	제약/ncn+을/jco
받거나	받/pvg+거나/ecs
증권이	증권/ncn+이/jcs
휴지조각이	휴지/ncn+조각/ncn+이/jcs
될	되/pvg+ㄹ/etm
수도	수/nbn+도/jxc
있어	있/paa+어/ecs
손실을	손실/ncn+을/jco
피하기	피하/pvg+기/etn
어려울	어렵/paa+ㄹ/etm
것으로	것/nbn+으로/jca
보입니다.	보이/pvg+ㅂ니다/ef+./sf
강선우	강선우/nq
기자가	기자/ncn+가/jcs
보도합니다.	보도/ncpa+하/xsv+ㅂ니다/ef+./sf
침통한	침통/ncpa+하/xsv+ㄴ/etm
분위기에	분위기/ncn+에/jca
휩싸여	휩싸이/pvg+어/ecx
있는	있/px+는/etm
고려증권	고려증권/nq
여의도	여의도/nq
본사에는	본사/ncn+에/jca+는/jxc
오늘	오늘/ncn
고객들의	고객/ncn+들/xsn+의/jcm
문의전화가	문의/ncn+전화/ncn+가/jcs
쇄도했습니다.	쇄도/ncpa+하/xsv+었/ep+습니다/ef+./sf
증권회사의	증권/ncn+회사/ncn+의/jcm
부도라는	부도/ncn+라/ef+는/etm
초유의	초유/ncn+의/jcm
사태에	사태/ncn+에/jca
투자자들은	투자/ncn+자/xsn+들/xsn+은/jxc
자신의	자신/npp+의/jcm
예탁금과	예탁/ncn+금/xsn+과/jcj
증권을	증권/ncn+을/jco
찾을	찾/pvg+을/etm
수	수/nbn
있을지	있/paa+을지/ecs
불안감을	불안/ncn+감/xsn+을/jco
떨치지	떨치/pvg+지/ecx
못했기	못하/px+었/ep+기/etn
때문입니다.	때문/nbn+이/jp+ㅂ니다/ef+./sf
고려증권측은	고려증권/nq+측/nbn+은/jxc
예탁금의	예탁/ncn+금/xsn+의/jcm
경우	경우/ncn
늦어도	늦/paa+어도/ecs
9일	9/nno+일/nbu
오전까지는	오전/ncn+까지/jxc+는/jxc
증권회사들의	증권/ncn+회사/ncn+들/xsn+의/jcm
안전판	안전/ncn+판/ncn
역할을	역할/ncn+을/jco
하는	하/pvg+는/etm
증권금융이	증권/ncn+금융/ncn+이/jcs
내주는	내/pvg+어/ecs+주/pvg+는/etm
자금으로	자금/ncn+으로/jca
객장에서	객장/ncn+에서/jca
전액	전액/ncn
돌려받을	돌리/pvg+어/ecs+받/pvg+을/etm
수	수/nbn
있다고	있/paa+다/ef+고/jcr
밝혔습니다.	밝히/pvg+었/ep+습니다/ef+./sf
최봉환	최봉환/nq
상무	상무/ncn
"유가증권도	"/sl+유가/ncn+증권/ncn+도/jxc
피해없이	피해/ncn+없/paa+이/ecs
돌려받을	돌리/pvg+어/ecs+받/pvg+을/etm
수	수/nbn
있다"	있/paa+다/ef+"/sr
이와	이/npd+와/jct
관련해	관련/ncpa+하/xsv+어/ecs
증권감독원은	증권감독원/nq+은/jxc
오늘	오늘/ncn
고려증권에	고려증권/nq+에/jca
유가증권을	유가/ncn+증권/ncn+을/jco
맡긴	맡기/pvg+ㄴ/etm
고객들은	고객/ncn+들/xsn+은/jxc
다른	다르/paa+ㄴ/etm
증권사를	증권/ncn+사/xsn+를/jco
지정해	지정/ncpa+하/xsv+어/ecs
계좌를	계좌/ncn+를/jco
이체하는	이체/ncpa+하/xsv+는/etm
방식으로	방식/ncn+으로/jca
해당	해당/ncn
증권을	증권/ncn+을/jco
돌려받을	돌리/pvg+어/ecs+받/pvg+을/etm
수	수/nbn
있다고	있/paa+다/ef+고/jcr
밝혔습니다.	밝히/pvg+었/ep+습니다/ef+./sf
그러나	그러나/maj
적어도	적어도/mag
월요일까지는	월요일/ncn+까지/jxc+는/jxc
고려증권	고려증권/nq
창구를	창구/ncn+를/jco
통한	통하/pvg+ㄴ/etm
주식매매가	주식/ncn+매매/ncn+가/jcs
중단되기	중단/ncpa+되/xsv+기/etn
때문에	때문/nbn+에/jca
주식을	주식/ncn+을/jco
팔	팔/pvg+ㄹ/etm
기회를	기회/ncn+를/jco
놓친	놓치/pvg+ㄴ/etm
투자자들이	투자/ncn+자/xsn+들/xsn+이/jcs
피해보상을	피해/ncn+보상/ncn+을/jco
요구할	요구/ncpa+하/xsv+ㄹ/etm
경우	경우/ncn
파문이	파문/ncn+이/jcs
예상되고	예상/ncpa+되/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
또	또/maj
고려증권	고려증권/nq
주식을	주식/ncn+을/jco
매입한	매입/ncpa+하/xsv+ㄴ/etm
투자자들은	투자/ncn+자/xsn+들/xsn+은/jxc
환금성에	환금/ncn+성/xsn+에/jca
제약을	제약/ncn+을/jco
받게돼	받/pvg+게/ecs+되/pvg+어/ecs
상당한	상당/ncps+하/xsm+ㄴ/etm
손실을	손실/ncn+을/jco
피할	피하/pvg+ㄹ/etm
수	수/nbn
없을	없/paa+을/etm
것으로	것/nbn+으로/jca
보입니다.	보이/pvg+ㅂ니다/ef+./sf
더욱이	더욱이/mag
최악의	최악/ncn+의/jcm
상황으로	상황/ncn+으로/jca
고려증권이	고려증권/nq+이/jcs
상장폐지될	상장/ncn+폐지/ncpa+되/xsv+ㄹ/etm
경우에는	경우/ncn+에/jca+는/jxc
주권이	주권/ncn+이/jcs
휴지조각으로	휴지/ncn+조각/ncn+으로/jca
전락하게	전락/ncpa+하/xsv+게/ecs
될	되/pvg+ㄹ/etm
가능성도	가능/ncn+성/xsn+도/jxc
있습니다.	있/paa+습니다/ef+./sf
고려증권측은	고려증권/nq+측/nbn+은/jxc
부도가	부도/ncn+가/jcs
난	나/pvg+ㄴ/etm
이후	이후/ncn
관심을	관심/ncn+을/jco
표명한	표명/ncpa+하/xsv+ㄴ/etm
몇몇	몇몇/mma
회사가	회사/ncn+가/jcs
있어	있/paa+어/ecs
제3자인수를	제/xp+3/nno+자/nbu+인수/ncn+를/jco
적극	적극/mag
추진하기로	추진/ncpa+하/xsv+기/etn+로/jca
했다고	하/pvg+었/ep+다/ef+고/jcr
밝혔습니다.	밝히/pvg+었/ep+습니다/ef+./sf
만약	만약/mag
제3자인수가	제/xp+3/nno+자/nbu+인수/ncn+가/jcs
성사되지	성사/ncpa+되/xsv+지/ecx
못할	못하/px+ㄹ/etm
경우	경우/ncn
부동산	부동산/ncn
매각	매각/ncn
등	등/nbn
자구노력을	자구/ncn+노력/ncn+을/jco
펼칠	펼치/pvg+ㄹ/etm
계획이지만	계획/ncn+이/jp+지만/ecs
자체	자체/ncn
회생	회생/ncn
가능성은	가능/ncn+성/xsn+은/jxc
그다지	그다지/mag
높지	높/paa+지/ecx
않은	않/px+은/etm
것으로	것/nbn+으로/jca
평가되고	평가/ncpa+되/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
에스비에스	에스비에스/nq
강선웁니다.	강선우/nq+ㅂ니다/ef+./sf
시민단체,	시민/ncn+단체/ncn+,/sp
경제파탄	경제/ncn+파탄/ncn
규탄	규탄/ncn
집회	집회/ncn
전국연합을	전국/ncn+연합/ncn+을/jco
비롯한	비롯/ncpa+하/xsv+ㄴ/etm
18개	18/nnc+개/nbu
시민단체로	시민/ncn+단체/ncn+로/jca
구성된	구성/ncpa+되/xsv+ㄴ/etm
민주연대는	민주/ncn+연대/ncn+는/jxc
오늘	오늘/ncn
오후	오후/ncn
서울	서울/nq
종묘공원에서	종묘공원/nq+에서/jca
집회를	집회/ncn+를/jco
갖고	갖/pvg+고/ecs
경제	경제/ncn
파탄에	파탄/ncn+에/jca
책임있는	책임/ncn+있/paa+는/etm
경제관료와	경제/ncn+관료/ncn+와/jcj
금융기관장들의	금융/ncn+기관/ncn+장/xsn+들/xsn+의/jcm
사퇴를	사퇴/ncn+를/jco
촉구했습니다.	촉구/ncpa+하/xsv+었/ep+습니다/ef+./sf
민주연대는	민주/ncn+연대/ncn+는/jxc
또	또/mag
경제파탄의	경제/ncn+파탄/ncn+의/jcm
책임을	책임/ncn+을/jco
서민들에게	서민/ncn+들/xsn+에게/jca
전가해선	전가/ncpa+하/xsv+어서/ecs+ㄴ/jxc
안된다고	안되/pvg+ㄴ다/ef+고/jcr
주장하고	주장/ncpa+하/xsv+고/ecs
정부는	정부/ncn+는/jxc
고용안정대책을	고용/ncn+안정/ncn+대책/ncn+을/jco
서둘러	서둘러/mag
마련하라고	마련/ncpa+하/xsv+라/ef+고/jcr
요구했습니다.	요구/ncpa+하/xsv+었/ep+습니다/ef+./sf
미디어교육	미디어/ncn+교육/ncn
전국대회	전국/ncn+대회/ncn
개최	개최/ncn
청소년들의	청소년/ncn+들/xsn+의/jcm
대중매체	대중/ncn+매체/ncn
활용능력을	활용/ncn+능력/ncn+을/jco
기르고	기르/pvg+고/ecs
정보화	정보/ncn+화/xsn
사회를	사회/ncn+를/jco
올바르게	올바르/paa+게/ecs
이해하기	이해/ncpa+하/xsv+기/etn
위한	위하/pvg+ㄴ/etm
제1회	제/xp+1/nno+회/nbu
미디어교육	미디어/ncn+교육/ncn
전국대회가	전국/ncn+대회/ncn+가/jcs
오늘	오늘/ncn
오후	오후/ncn
서강대에서	서강대/nq+에서/jca
열렸습니다.	열리/pvg+었/ep+습니다/ef+./sf
SBS와	SBS/f+와/jcj
서강대	서강대/nq
언론대학원이	언론/ncn+대학/ncn+원/xsn+이/jcs
공동	공동/ncn
주최한	주최/ncpa+하/xsv+ㄴ/etm
오늘	오늘/ncn
대회에서는	대회/ncn+에서/jca+는/jxc
초중고	초중고/ncn
교사들이	교사/ncn+들/xsn+이/jcs
실시한	실시/ncpa+하/xsv+ㄴ/etm
미디어	미디어/ncn
교육의	교육/ncn+의/jcm
성공	성공/ncn
사례를	사례/ncn+를/jco
발표하고,	발표/ncpa+하/xsv+고/ecs+,/sp
사회	사회/ncn
단체와	단체/ncn+와/jcj
종교	종교/ncn
단체의	단체/ncn+의/jcm
미디어교육	미디어/ncn+교육/ncn
활용방안이	활용/ncn+방안/ncn+이/jcs
소개됐습니다.	소개/ncpa+되/pvg+었/ep+습니다/ef+./sf
장기려박사	장기려/nq+박사/ncn
추모행사	추모/ncn+행사/ncn
평생을	평생/ncn+을/jco
가난한	가난/ncps+하/xsm+ㄴ/etm
사람들을	사람/ncn+들/xsn+을/jco
위해	위하/pvg+어/ecs
인술을	인술/ncn+을/jco
베풀다	베풀/pvg+다/ecs
숨진	숨/ncn+지/pvg+ㄴ/etm
장기려박사의	장기려/nq+박사/ncn+의/jcm
2주기	2/nno+주기/nbu
추모행사가	추모/ncn+행사/ncn+가/jcs
오늘	오늘/ncn
서울대병원	서울대병원/nq
함춘	함춘/nq
기독	기독/ncn
봉사관에서	봉사/ncn+관/xsn+에서/jca
열렸습니다.	열리/pvg+었/ep+습니다/ef+./sf
장기려	장기려/nq
박사	박사/ncn
기념사업회는	기념/ncn+사업/ncn+회/xsn+는/jxc
장	장/nq
박사의	박사/ncn+의/jcm
호를	호/ncn+를/jco
딴	따/pvg+ㄴ/etm
'성산	'/sl+nq[성산/nq
생명의료윤리연구소'를	생명/ncn+의료/ncn+윤리/ncn+연구/ncn+소/xsn]nq+'/sr+를
생명의료윤리연구소'를	/jco
창립해	창립/ncpa+하/xsv+어/ecs
인간생명을	인간/ncn+생명/ncn+을/jco
중시한	중시/ncpa+하/xsv+ㄴ/etm
고인의	고인/ncn+의/jcm
뜻을	뜻/ncn+을/jco
기리기로	기리/pvg+기/etn+로/jca
했습니다.	하/pvg+었/ep+습니다/ef+./sf
프로농구,	프로/ncn+농구/ncn+,/sp
현대	현대/nq
동양꺾고	동양/nq+꺾/pvg+고/ecs
6연승	6/nnc+연승/nbu
행진	행진/ncn
프로농구에서	프로/ncn+농구/ncn+에서/jca
현대	nq[현대/nq
다이냇이	다이냇/nq]nq+이/jcs
동양	nq[동양/nq
오리온스를	오리온스/nq]nq+를/jco
꺾고	꺾/pvg+고/ecs
6연승을	6/nnc+연승/ncn+을/jco
달렸습니다.	달리/pvg+었/ep+습니다/ef+./sf
현대는	현대/nq+는/jxc
이상민	이상민/nq
등	등/nbn
주전들의	주전/ncn+들/xsn+의/jcm
고른	고르/paa+ㄴ/etm
활약으로	활약/ncn+으로/jca
동양에	동양/nq+에/jca
117대	117/nnc+대/nbn
106으로	106/nnc+으로/jca
승리해	승리/ncpa+하/xsv+어/ecs
9승2패로	9/nnc+승/nbu+2/nnc+패/nbu+로/jca
선두를	선두/ncn+를/jco
굳게	굳/pvg+게/ecs
지켰습니다.	지키/pvg+었/ep+습니다/ef+./sf
삼성은	삼성/nq+은/jxc
SK를	SK/f+를/jco
103대101로	103/nnc+대/nbn+101/nnc+로/jca
물리치고	물리치/pvg+고/ecs
2위를	2/nno+위/nbu+를/jco
유지했습니다.	유지/ncpa+하/xsv+었/ep+습니다/ef+./sf
나래는	나래/nq+는/jxc
SBS를	SBS/f+를/jco
116대107로,	116/nnc+대/nbn+107/nnc+로/jca+,/sp
LG는	LG/f+는/jxc
대우를	대우/nq+를/jco
93대70으로	93/nnc+대/nbn+70/nnc+으로/jca
각각	각각/mag
물리쳤습니다.	물리치/pvg+었/ep+습니다/ef+./sf
자동차	자동/ncn+차/ncn
업계도	업계/ncn+도/jxc
빅뱅	빅뱅/ncn
가시화.	가시/ncn+화/xsn+./sf
대우자동차와	대우자동차/nq+와/jcj
쌍용자동차,	쌍용자동차/nq+,/sp
현대와	현대/nq+와/jcj
삼성자동차가	삼성자동차/nq+가/jcs
인수합병	인수/ncn+합병/ncn
협상을	협상/ncn+을/jco
벌이는	벌이/pvg+는/etm
등	등/nbn
금융기관에	금융/ncn+기관/ncn+에/jca
이어	잇/pvg+어/ecs
자동차	자동/ncn+차/ncn
업계의	업계/ncn+의/jcm
대지각변동이	대/xp+지각/ncn+변동/ncn+이/jcs
가시화되고	가시/ncn+화/xsn+되/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
이번	이/mmd+번/nbn
자동차	자동/ncn+차/ncn
업계의	업계/ncn+의/jcm
빅뱅이	빅뱅/ncn+이/jcs
실현될	실현/ncpa+되/xsv+ㄹ/etm
경우	경우/ncn
IMF	IMF/f
체제하에서	체제/ncn+하/nbn+에서/jca
우리	우리/npp
기업들의	기업/ncn+들/xsn+의/jcm
유일한	유일/ncps+하/xsm+ㄴ/etm
생존방법은	생존/ncn+방법/ncn+은/jxc
구조조정	구조/ncn+조정/ncn
밖에	밖에/jxc
없다는	없/paa+다/ef+는/etm
사실을	사실/ncn+을/jco
대변해	대변/ncpa+하/xsv+어/ecx
주는	주/px+는/etm
것으로	것/nbn+으로/jca
다른업계에서도	다르/paa+ㄴ/etm+업계/ncn+에서/jca+도/jxc
큰	크/paa+ㄴ/etm
파장이	파장/ncn+이/jcs
예상됩니다.	예상/ncpa+되/xsv+ㅂ니다/ef+./sf
강선우	강선우/nq
기자가	기자/ncn+가/jcs
보도합니다.	보도/ncpa+하/xsv+ㅂ니다/ef+./sf
쌍용그룹은	쌍용그룹/nq+은/jxc
오늘	오늘/ncn
대우의	대우/nq+의/jcm
김우중	김우중/nq
회장과	회장/ncn+과/jcj
쌍용의	쌍용/nq+의/jcm
김석준	김석준/nq
회장이	회장/ncn+이/jcs
만나	만나/pvg+아/ecs
쌍용자동차의	쌍용자동차/nq+의/jcm
대우	대우/nq
인수	인수/ncn
문제를	문제/ncn+를/jco
논의했다고	논의/ncpa+하/xsv+었/ep+다/ef+고/jcr
공식적으로	공식/ncn+적/xsn+으로/jca
밝혔습니다.	밝히/pvg+었/ep+습니다/ef+./sf
대우그룹	대우그룹/nq
관계자도	관계/ncn+자/xsn+도/jxc
인수협상이	인수/ncn+협상/ncn+이/jcs
현재	현재/ncn
진행중이며	진행/ncpa+중/nbn+이/jp+며/ecs
부채문제와	부채/ncn+문제/ncn+와/jcj
벤츠사와의	벤츠사/nq+와/jct+의/jcm
제휴문제	제휴/ncn+문제/ncn
등이	등/nbn+이/jcs
해결될	해결/ncpa+되/xsv+ㄹ/etm
경우	경우/ncn
합병	합병/ncn
가능성이	가능/ncn+성/xsn+이/jcs
있다고	있/paa+다/ef+고/jcr
말했습니다.	말/ncpa+하/xsv+었/ep+습니다/ef+./sf
쌍용그룹은	쌍용그룹/nq+은/jxc
3조원에	3조/nnc+원/nbu+에/jca
달하는	달하/pvg+는/etm
자동차의	자동/ncn+차/ncn+의/jcm
막대한	막대/ncps+하/xsm+ㄴ/etm
부채가	부채/ncn+가/jcs
그룹	그룹/ncn
전체를	전체/ncn+를/jco
위태롭게	위태롭/paa+게/ecs
하고	하/pvg+고/ecx
있고	있/px+고/ecs
대우는	대우/nq+는/jxc
종합자동차	종합/ncn+자동/ncn+차/ncn
회사로서의	회사/ncn+로서/jca+의/jcm
위상	위상/ncn
강화를	강화/ncn+를/jco
위해	위하/pvg+어/ecs
협상을	협상/ncn+을/jco
추진하고	추진/ncpa+하/xsv+고/ecx
있는	있/px+는/etm
것으로	것/nbn+으로/jca
분석되고	분석/ncpa+되/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
또	또/maj
현대자동차와	현대자동차/nq+와/jcj
삼성자동차	삼성자동차/nq
사이에도	사이/ncn+에/jca+도/jxc
인수협상	인수/ncn+협상/ncn
문제가	문제/ncn+가/jcs
거론됐던	거론/ncpa+되/xsv+었/ep+던/etm
것으로	것/nbn+으로/jca
알려졌습니다.	알리/pvg+어/ecx+지/px+었/ep+습니다/ef+./sf
이와	이/npd+와/jct
관련해	관련/ncpa+하/xsv+어/ecs
이건희	이건희/nq
삼성그룹	삼성그룹/nq
회장은	회장/ncn+은/jxc
어제	어제/mag
동아일보와의	동아일보/nq+와/jct+의/jcm
회견에서	회견/ncn+에서/jca
삼성자동차가	삼성자동차/nq+가/jcs
다른	다르/paa+ㄴ/etm
업체를	업체/ncn+를/jco
합병할	합병/ncpa+하/xsv+ㄹ/etm
수도	수/nbn+도/jxc
거꾸로	거꾸로/mag
합병될	합병/ncpa+되/xsv+ㄹ/etm
수도	수/nbn+도/jxc
있다고	있/paa+다/ef+고/jcr
밝혀	밝히/pvg+어/ecs
협상	협상/ncn
사실을	사실/ncn+을/jco
뒷받침해주고	뒷받침/ncpa+하/xsv+어/ecx+주/px+고/ecx
있습니다.	있/px+습니다/ef+./sf
이에대해	이/npd+에/jca+대하/pvg+어/ecs
삼성자동차	삼성자동차/nq
관계자는	관계/ncn+자/xsn+는/jxc
오늘	오늘/mag
현대자동차와의	현대자동차/nq+와/jct+의/jcm
협상문제에	협상/ncn+문제/ncn+에/jca
대해	대하/pvg+어/ecs
아는	알/pvg+는/etm
바	바/nbn
없다고	없/paa+다/ef+고/jcr
말했습니다.	말/ncpa+하/xsv+었/ep+습니다/ef+./sf
진념	진념/nq
기아그룹	기아그룹/nq
회장도	회장/ncn+도/jxc
취임한달을	취임/ncn+한/nnc+달/nbu+을/jco
맞아	맞/pvg+아/ecs
가진	가지/pvg+ㄴ/etm
기자회견에서	기자/ncn+회견/ncn+에서/jca
자동차	자동/ncn+차/ncn
업계의	업계/ncn+의/jcm
구조조정이	구조/ncn+조정/ncn+이/jcs
불가피하다고	불가피/ncps+하/xsm+다/ef+고/jcr
밝혀	밝히/pvg+어/ecs
빅뱅	빅뱅/ncn
가능성을	가능/ncn+성/xsn+을/jco
내비쳤습니다.	내비치/pvg+었/ep+습니다/ef+./sf
진념	진념/nq
회장,	회장/ncn+,/sp
전략적	전략/ncn+적/xsn
제휴	제휴/ncn
필요하다	필요/ncps+하/xsm+다/ef
결국	결국/mag
IMF	IMF/f
체제하에서	체제/ncn+하/nbn+에서/jca
재계에는	재계/ncn+에/jca+는/jxc
자동차를	자동/ncn+차/ncn+를/jco
시작으로	시작/ncn+으로/jca
반도체와	반도체/ncn+와/jcj
중공업	중공업/ncn
부문에서도	부문/ncn+에서/jca+도/jxc
잇따라	잇따르/pvg+아/ecs
대규모	대/xp+규모/ncn
인수합병의	인수/ncn+합병/ncn+의/jcm
태풍이	태풍/ncn+이/jcs
불	불/pvg+ㄹ/etm
것으로	것/nbn+으로/jca
보입니다.	보이/pvg+ㅂ니다/ef+./sf
에스비에스	에스비에스/nq
강선웁니다.	강선우/nq+ㅂ니다/ef+./sf
한라그룹,	한라그룹/nq+,/sp
현대	현대/nq
인수	인수/ncn
유력	유력/ncn
한라그룹의	한라그룹/nq+의/jcm
부도로	부도/ncn+로/jca
주력계열사인	주력/ncn+계열/ncn+사/xsn+이/jp+ㄴ/etm
한라중공업의	한라중공업/nq+의/jcm
처리문제가	처리/ncn+문제/ncn+가/jcs
초미의	초미/ncn+의/jcm
관심사로	관심/ncn+사/xsn+로/jca
떠오르고	뜨/pvg+어/ecs+오르/pvg+고/ecx
있는	있/px+는/etm
가운데,	가운데/ncn+,/sp
현대그룹이	현대그룹/nq+이/jcs
가장	가장/mag
유력한	유력/ncps+하/xsm+ㄴ/etm
인수기업으로	인수/ncn+기업/ncn+으로/jca
떠오르고	뜨/pvg+어/ecs+오르/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
허윤석	허윤석/nq
기자가	기자/ncn+가/jcs
보도합니다.	보도/ncpa+하/xsv+ㅂ니다/ef+./sf
한라그룹은	한라그룹/nq+은/jxc
2조5천억원의	2조/nnc+5천억/nnc+원/nbu+의/jcm
거대부채를	거대/ncn+부채/ncn+를/jco
떠안고	떠안/pvg+고/ecs
있는	있/paa+는/etm
한라중공업은	한라중공업/nq+은/jxc
법정관리를	법정/ncn+관리/ncn+를/jco
거쳐	거치/pvg+어/ecs
3자에게	3/nno+자/nbu+에게/jca
넘길	넘기/pvg+ㄹ/etm
계획인	계획/ncn+이/jp+ㄴ/etm
것으로	것/nbn+으로/jca
알려졌습니다.	알리/pvg+어/ecx+지/px+었/ep+습니다/ef+./sf
전남	전남/nq
목포의	목포/nq+의/jcm
삼호조선소의	삼호조선소/nq+의/jcm
입지가	입지/ncn+가/jcs
좋고	좋/paa+고/ecs
조선수주도	조선/nq+수주/ncn+도/jxc
호조를	호조/ncn+를/jco
보이고	보이/pvg+고/ecx
있어	있/px+어/ecs
3자인수는	3/nno+자/nbu+인수/ncn+는/jxc
그다지	그다지/mag
어렵지	어렵/paa+지/ecx
않을	않/px+을/etm
것으로	것/nbn+으로/jca
예상됩니다.	예상/ncpa+되/xsv+ㅂ니다/ef+./sf
인수업체로는	인수/nq+업체/ncn+로/jca+는/jxc
형제그룹인	형제/ncn+그룹/ncn+이/jp+ㄴ/etm
현대가	현대/nq+가/jcs
1순위로	1/nno+순위/nbu+로/jca
손꼽히고	손/ncn+꼽히/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
한라그룹이	한라그룹/nq+이/jcs
속으로	속/ncn+으로/jca
현대의	현대/nq+의/jcm
인수를	인수/ncn+를/jco
바라고	바라/pvg+고/ecx
있는데다,	있/px+는데다/ecs+,/sp
엄청난	엄청나/paa+ㄴ/etm
부채탓에	부채/ncn+탓/ncn+에/jca
현실적으로	현실/ncn+적/xsn+으로/jca
현대중공업말고는	현대중공업/nq+말/pvg+고/ecs+는/jxc
다른	다르/paa+ㄴ/etm
그룹이	그룹/ncn+이/jcs
인수하기	인수/ncpa+하/xsv+기/etn
힘들기때문입니다.	힘/ncn+들/pvg+기/etn+때문/nbn+이/jp+ㅂ니다/ef+./sf
한편	한편/maj
조만간	조만간/mag
화의를	화의/ncn+를/jco
신청할	신청/ncpa+하/xsv+ㄹ/etm
만도기계와	만도기계/nq+와/jcj
한라시멘트,	한라시멘트/nq+,/sp
한라건설은	한라건설/nq+은/jxc
주거래은행인	주/mma+거래/ncn+은행/ncn+이/jp+ㄴ/etm
외환은행이	외환은행/nq+이/jcs
화의를	화의/ncn+를/jco
받아들일	받/pvg+아/ecx+들이/px+ㄹ/etm
가능성이	가능/ncn+성/xsn+이/jcs
높은	높/paa+은/etm
것으로	것/nbn+으로/jca
예상됩니다.	예상/ncpa+되/xsv+ㅂ니다/ef+./sf
특히	특히/mag
만도기계는	만도기계/nq+는/jxc
회생전망이	회생/ncn+전망/ncn+이/jcs
가장	가장/mag
밝은	밝/paa+은/etm
것으로	것/nbn+으로/jca
점쳐집니다.	점치/pvg+어/ecx+지/px+ㅂ니다/ef+./sf
자동차생산에	자동/ncn+차/ncn+생산/ncn+에/jca
필요한	필요/ncps+하/xsm+ㄴ/etm
거의	거의/mag
모든	모든/mma
부품을	부품/ncn+을/jco
생산하는	생산/ncpa+하/xsv+는/etm
국내	국내/ncn
최대의	최대/ncn+의/jcm
자동차부품업체인데다,	자동/ncn+차/ncn+부품/ncn+업체/ncn+이/jp+ㄴ데다/ecs+,/sp
지난해	지나/pvg+ㄴ/etm+해/ncn
그룹내에서도	그룹/ncn+내/nbn+에서/jca+도/jxc
