<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0451.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0451.txt </filename>
<title>재미있는 물리실험이야기  </title>
<author>L. J. 가리펠시타인 저 ; 장경룡 역</author>
<date>1993  </date>
<publisher>팬더북 </publisher>
<kdc>420  </kdc>
<ddc>530 </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
제	제/xp
누르면	누르/pvg+면/ecs
변	변/ncn
AB	AB/f
가	가/jcs
AE	AE/f
의	의/jcm
위치로	위치/ncn+로/jca
일어나도록	일/pvg+어/ecx+나/px+도록/ecs
이	이/mmd
골패짝을	골패/ncn+짝/ncn+을/jco
재빨리	재빨리/mag
일으킬	일으키/pvg+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
그	그/mmd
때	때/ncn
C	C/f
점은	점/ncn+은/jxc
문	문/ncn
위에	위/ncn+에/jca
건너	건너/ncn
질러	지르/pvg+어/ecs
다리가	다리/ncn+가/jcs
되어	되/pvg+어/ecx
있는	있/px+는/etm
아래쪽	아래/ncn+쪽/nbn
골패짝을	골패/ncn+짝/ncn+을/jco
칩니다	치/pvg+ㅂ니다/ef
.	./sf
만일	만일/mag
골패짝을	골패/ncn+짝/ncn+을/jco
재빨르게	재빨르/pvg+게/ecs
힘있게	힘있/pvg+게/ecs
일으키면	일으키면/ncn
문	문/ncn
위에	위/ncn+에/jca
있는	있/paa+는/etm
골패짝은	골패/ncn+짝/ncn+은/jxc
화살표	화살/ncn+표/ncn
F	F/f
의	의/jcm
방향으로	방향/ncn+으로/jca
튀어	튀/pvg+어/ecx
나오고	나오/px+고/ecc
,	,/sp
위층은	위층/ncn+은/jxc
무너지지	무너지/pvg+지/ecx
않은	않/px+은/etm
채	채/nbn
아랫문	아랫문/ncn
위에	위/ncn+에/jca
내려	내리/pvg+어/ecs
앉을	앉/pvg+을/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
여러분은	여러분/npp+은/jxc
앞에서	앞/ncn+에서/jca
한	하/pvg+ㄴ/etm
실험에서	실험/ncn+에서/jca
코인	코인/ncn
밑에서	밑/ncn+에서/jca
엽서를	엽서/ncn+를/jxc
튕겨	튕기/pvg+어/ecs
날아가게	날/pvg+아/ecx+가/px+게/ecs
했지요	하/pvg+었/ep+지요/ef
.	./sf
힘껏	힘껏/mag
세게	세/pvg+게/ecs
튕길	튕기/pvg+ㄹ/etm
수가	수/nbn+가/jcs
있다면	있/paa+다면/ecs
달걀	달걀/ncn
밑에서	밑/ncn+에서/jca
엽서를	엽서/ncn+를/jxc
튕겨	튕기/pvg+어/ecs
날릴	날리/pvg+ㄹ/etm
수도	수/nbn+도/jxc
있습니다	있/paa+습니다/ef
.	./sf
컵	컵/ncn
속에	속/ncn+에/jca
절반쯤	절반/ncn+쯤/xsn
물을	물/ncn+을/jco
넣고	넣/pvg+고/ecc
그	그/mmd
위에	위/ncn+에/jca
엽서를	엽서/ncn+를/jxc
올려	올리/pvg+어/ecs
놓은	놓/pvg+은/etm
다음	다음/ncn
작은	작/paa+은/etm
테	테/ncn
(	(/sl
금속이나	금속/ncn+이나/jcj
플라스틱으로	플라스틱/ncn+으로/jca
된	되/pvg+ㄴ/etm
것	것/nbn
)	)/sr
같은	같/paa+은/etm
것을	것/nbn+을/jco
올려	올리/pvg+어/ecx
놓습니다	놓/px+습니다/ef
.	./sf
그	그/mmd
위에	위/ncn+에/jca
달걀을	달걀/ncn+을/jco
세워	세우/pvg+어/ecx
놓습니다	놓/px+습니다/ef
.	./sf
손가락으로	손가락/ncn+으로/jca
세게	세/pvg+게/ecs
탁	탁/mag
튕긴다	튕기/pvg+ㄴ다/ef
달걀은	달걀/ncn+은/jxc
컵	컵/ncn
속에	속/ncn+에/jca
퐁당	퐁당/ncn
!	!/sf
여러분의	여러분/npp+의/jcm
솜씨를	솜씨/ncn+를/jco
의심하는	의심/ncpa+하/xsv+는/etm
것은	것/nbn+은/jxc
아닙니다만	아니/paa+ㅂ니다/ef+만/jxc
,	,/sp
달걀은	달걀/ncn+은/jxc
날달걀이	날달걀/ncn+이/jcs
아니라	아니/paa+라/ecs
푹	푹/mag
삶은	삶/pvg+은/jxc
달걀이	달걀/ncn+이/jcs
좋으리라	좋/paa+으리라/ef
나는	나/npp+는/jxc
생각합니다만	생각/ncpa+하/xsv+ㅂ니다/ef+만/jxc
.	./sf
5	5/nno
.	./sf
이것이	이것/npd+이/jcs
종이	종이/ncn
기술이다	기술/ncn+이/jp+다/ef
!	!/sf
한	한/nnc
개의	개/nbu+의/jcm
막대기와	막대/ncn+기/xsn+와/jct
두	두/nnc
개의	개/nbu+의/jcm
나이프로	나이프/ncn+로/jca
놀라운	놀랍/paa+ㄴ/etm
실험을	실험/ncn+을/jco
해	하/pvg+어/ecx
보이겠습니다	보이/px+겠/ep+습니다/ef
.	./sf
사실은	사실/ncn+은/etm
당장에	당장/mag+에/jca
할	하/pvg+ㄹ/etm
수	수/nbn
있게	있/paa+게/ecs
되지는	되/pvg+지/ecx+는/jxc
않으므로	않/px+으므로/ecs
약간	약간/mag
수업을	수업/ncn+을/jco
쌓지	쌓/pvg+지/ecx
않으면	않/px+으면/ecs
안됩니다만	안/mag+되/pvg+ㅂ니다/ef+만/jxc
.	./sf
우선	우선/mag
1	1/nno
미터쯤	미터/nbu+쯤/xsn
되는	되/pvg+는/etm
길이의	길이/ncn+의/jcm
가늘고	가늘/paa+고/ecc
잘	잘/mag
마른	마르/pvg+ㄴ/etm
막대기	막대기/ncn
(	(/sl
처음에는	처음/ncn+에/jca+는/jxc
잘	잘/mag
부러지는	부러지/pvg+는/etm
막대기가	막대/ncn+기/xsn+가/jcs
좋습니다	좋/paa+습니다/ef
)	)/sr
를	를/jco
찾아	찾/pvg+아/ecs
가지고	가지/pvg+고/ecx
와야	오/px+아야/ecx
합니다	하/px+ㅂ니다/ef
.	./sf
다음에는	다음/ncn+에/jca+는/jxc
종이로	종이/ncn+로/jca
테를	테/ncn+를/jco
두	두/nnc
개	개/nbu
만들어	만들/pvg+어/ecs
,	,/sp
누군가	누구/npd+ㄴ/etm+가/jcs
두	두/nnc
사람에게	사람/ncn+에게/jca
부탁하여	부탁/ncpa+하/xsv+어/ecs
그림에	그림/ncn+에/jca
그려진	그리/pvg+어/ecx+지/px+ㄴ/etm
것과	것/nbn+과/jct
같은	같/paa+은/etm
모양으로	모양/ncn+으로/jca
종이	종이/ncn
테를	테/ncn+를/jco
나이프의	나이프/ncn+의/jcm
날에	날/ncn+에/jca
걸쳐	걸치/pvg+어/ecs
들고	들/pvg+고/ecx
있게	있/px+게/ecx
합니다	하/px+ㅂ니다/ef
.	./sf
그리고	그리고/maj
막대기의	막대/ncn+기/xsn+의/jcm
양	양/ncn
끝을	끝/ncn+을/jco
그	그/mmd
테에	테/ncn+에/jca
넣어	넣/pvg+어/ecs
걸칩니다	걸치/pvg+ㅂ니다/ef
.	./sf
다음에는	다음/ncn+에/jca+는/jxc
튼튼한	튼튼/ncps+하/xsm+ㄴ/etm
막대기를	막대/ncn+기/xsn+를/jco
찾아	찾/pvg+아/ecs
가지고	가지/pvg+고/ecx
와서	오/px+아서/ecs
매달린	매달리/pvg+ㄴ/etm
막대기의	막대/ncn+기/xsn+의/jcm
한가운데를	한가운데/ncn+를/jxc
단숨에	단숨/ncn+에/jca
내려	내리/pvg+어/ecs
칩니다	치/pvg+ㅂ니다/ef
.	./sf
검도를	검도/ncn+를/jco
알고	알/pvg+고/ecx
있는	있/px+는/etm
사람이라면	사람/ncn+이/jp+라면/ecs
실제로	실제로/mag
칼로	칼/ncn+로/jca
치듯이	치/pvg+듯이/ecs
쳐내리면	치/pvg+어/ecs+내리/pvg+면/ecs
되는	되/pvg+는/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
종이가	종이/ncn+가/jxc
끊어지지	끊/pvg+어/ecx+지/px+지/ecx
않을까	않/px+ㄹ까/ef
하고	하/pvg+고/ecc
걱정할	걱정/ncpa+하/xsv+ㄹ/etm
것은	것/nbn+은/jxc
없습니다	없/paa+습니다/ef
.	./sf
그	그/mmd
내려치는	내리/pvg+어/ecs+치/pvg+는/jxc
기세가	기세/ncn+가/jcs
강하면	강하/paa+면/ecs
강할수록	강하/paa+ㄹ수록/ecs
종이테는	종이/ncn+테/ncn+는/jxc
끊어지지	끊/pvg+어/ecx+지/px+지/ecx
않습니다	않/px+습니다/ef
.	./sf
종이는	종이/ncn+는/etm
끊어지지	끊/pvg+어/ecx+지/px+지/ecx
않고	않/px+고/ecc
매달린	매달리/pvg+ㄴ/etm
막대기만이	막대/ncn+기/xsn+만/nbn+이/jcs
부러져	부러지/pvg+어/ecx
버리고	버리/px+고/ecx
맙니다	말/px+ㅂ니다/ef
.	./sf
수련을	수련/ncn+을/jco
많이	많/paa+이/xsa
쌓으면	쌓/pvg+으면/ecs
,	,/sp
이	이/mmd
실험은	실험/ncn+은/jxc
보통의	보통/ncn+의/jcm
종이가	종이/ncn+가/jxc
아니라	아니/paa+라/ecs
얇은	얇/paa+은/etm
종이나	종이/ncn+나/jcj
머리카락으로	머리카락/ncn+으로/jca
테를	테/ncn+를/jco
만들어	만들/pvg+어/ecs
가지고	가지/pvg+고/ecx
해도	하/px+어/ecs+도/jxc
성공할	성공/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있습니다	있/paa+습니다/ef
.	./sf
원인은	원인/ncn+은/jxc
이것	이것/npd
역시	역시/mag
관성	관성/ncn
입니다	이/pvg+ㅂ니다/ef
.	./sf
매달려	매/pvg+어/ecx+달/px+려/ecx
있는	있/px+는/etm
막대기는	막대/ncn+기/xsn+는/jxc
정지	정지/ncn
상태를	상태/ncn+를/jco
유지하려고	유지/ncpa+하/xsv+려고/ecx
합니다	하/px+ㅂ니다/ef
.	./sf
힘껏	힘껏/mag
내리치는	내리칠/pvg+는/etm
일격에	일격/ncn+에/jca
의해서	의하/pvg+어서/ecs
생기는	생기/pvg+는/etm
누르는	누르/paa+는/etm
힘은	힘/ncn+은/jxc
딴	따/pvg+ㄴ/etm
곳에	곳/ncn+에/jca
전해질	전하/pvg+어/ecx+지/px+ㄹ/etm
여유가	여유/ncn+가/jcs
없습니다	없/paa+습니다/ef
.	./sf
그	그/mmd
힘이	힘/ncn+이/jcs
막대기의	막대/ncn+기/xsn+의/jcm
양	양/ncn
끝에	끝/ncn+에/jca
전해지기도	전하/pvg+어/ecx+지/px+기/etn+도/jxc
전에	전/ncn+에/jca
막대기가	막대/ncn+기/xsn+가/jcs
부러져	부러지/pvg+어/ecx
버립니다	버리/px+ㅂ니다/ef
.	./sf
6	6/nno
.	./sf
에스컬레이터의	에스컬레이터/ncn+의/jcm
진기한	진기/ncps+하/xsm+ㄴ/etm
사건	사건/ncn
에스컬레이터란	에스컬레이터/ncn+란/etm
어떤	어떤/mmd
것인지	것/nbn+이/jp+ㄴ지/ecs
여러분은	여러분/npp+은/jxc
물론	물론/mag
알고	알/pvg+고/ecc
있겠지요	있/paa+겠/ep+지요/ef
.	./sf
그것은	그것/npd+은/jxc
움직이는	움직이/pvg+는/etm
층계입니다	층계/ncn+이/jp+ㅂ니다/ef
.	./sf
에스컬레이터는	에스컬레이터/ncn+는/jxc
지하철역이나	지하철/ncn+역/ncn+이나/jcj
큰	크/paa+ㄴ/etm
상점에	상점/ncn+에/jca
가면	가/pvg+면/ecs
대개	대개/ncn
다	다/mma
있습니다	있/paa+습니다/ef
.	./sf
매일같이	매일/ncn+같/paa+이/xsa
수많은	수많/paa+은/etm
사람이	사람/ncn+이/jcs
이것을	이것/npd+을/jco
이용하고	이용/ncpa+하/xsv+고/ecx
있습니다만	있/px+습니다/ef+만/jxc
,	,/sp
이	이/mmd
에스컬레이터라고	에스컬레이터/ncn+라고/jcr
하는	하/pvg+는/etm
것은	것/nbn+은/jxc
기분	기분/ncn
좋게	좋/paa+게/ecs
탈	타/pvg+ㄹ/etm
수	수/nbn
있고	있/paa+고/ecc
안전하기도	안전/ncpa+하/xsv+기/etn+도/jxc
합니다	하/px+ㅂ니다/ef
.	./sf
그런데	그런데/maj
어느	어느/mmd
날	날/ncn
약간	약간/mag
진기한	진기/ncps+하/xsm+ㄴ/etm
사건이	사건/ncn+이/jcs
일어났습니다	일/pvg+어/ecx+나/px+았/ep+습니다/ef
.	./sf
어떤	어떤/mmd
멍청이가	멍청이/ncn+가/jcs
길쭉한	길쭉/ncps+하/xsm+ㄴ/etm
빨래통을	빨래/ncn+통/ncn+을/jco
들고	들/pvg+고/ecc
내려가는	내리/pvg+어/ecx+가/px+는/etm
에스컬레이터를	에스컬레이터/ncn+를/jco
탔습니다	타/pvg+았/ep+습니다/ef
.	./sf
그런데	그런데/maj
들고	들/pvg+고/ecx
있던	있/px+던/etm
통을	통/nbu+을/jco
무심코	무심코/mag
떨어뜨리고	떨어뜨리/pvg+고/ecx
만	말/px+ㄴ/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
길쭉한	길쭉/ncps+하/xsm+ㄴ/etm
통은	통/nbu+은/jxc
언덕	언덕/ncn
위에서	위/ncn+에/jca+서/jxc
썰매가	썰매/ncn+가/jcs
미끄러져	미끄러져/mag
내리듯이	내리/pvg+듯이/ecs
에스컬레이터의	에스컬레이터/ncn+의/jcm
층계를	층계/ncn+를/jco
아래를	아래/ncn+를/jco
향해서	향하/pvg+어서/ecs
미끄러져	미끄러져/mag
내려갔습니다	내리/pvg+어/ecs+가/ecs+았/ep+습니다/ef
.	./sf
그리고	그리고/maj
속도가	속도/ncn+가/jcs
붙게	붙/pvg+게/ecx
된	되/pvg+ㄴ/etm
통은	통/nbu+은/jxc
상품을	상품/ncn+을/jco
안은	안/pvg+은/jxc
뚱뚱보	뚱뚱보/ncn
손님의	손님/ncn+의/jcm
발에	발/ncn+에/jca
부딪쳤습니다	부딪치/pvg+었/ep+습니다/ef
.	./sf
그	그/mmd
똥뚱보	똥뚱보/ncn
손님은	손님/ncn+은/jxc
발에	발/ncn+에/jca
통이	통/nbu+이/jcs
걸리는	걸리/pvg+는/etm
바람에	바람/ncn+에/jca
엉덩방아를	엉덩방아/ncn+를/jco
찧고	찧/pvg+고/ecx
말았습니다	말/px+았/ep+습니다/ef
.	./sf
어디에	어디/npd+에/jca
엉덩방아를	엉덩방아/ncn+를/jco
찌었느냐구요	찌/pvg+었/ep+느냐구요/ef
?	?/sf
물론	물론/mag
통	통/ncn
속이죠	속/ncn+이/jp+죠/ef
!	!/sf
종이	종이/ncn
테	테/ncn
위에	위/ncn+에/jca
있는	있/paa+는/etm
코인이	코인/ncn+이/jcs
테가	테/ncn+가/jcs
빠져나가자	빠지/pvg+어/ecx+나/px+아/ecx+가/px+자/ecs
바로	바로/mag
밑에	밑/ncn+에/jca
있는	있/paa+는/etm
통속에	통속/ncn+에/jca
떨어졌듯이	떨어지/pvg+었/ep+듯이/ecs
손님은	손님/ncn+은/jxc
통	통/nbu
속에	속/ncn+에/jca
넘어지고	넘/pvg+어/ecx+지/px+고/ecx
말았던	말/px+았/ep+던/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
이	이/mmd
책임은	책임/ncn+은/jxc
관성	관성/ncn
에	에/jca
있었습니다	있/paa+었/ep+습니다/ef
.	./sf
만일	만일/mag
이	이/mmd
뚱뚱보	뚱뚱보/ncn
손님이	손님/ncn+이/jcs
정지	정지/ncn
상태를	상태/ncn+를/jco
유지하려고	유지/ncpa+하/xsv+려고/ecx
하지	하/px+지/ecx
않는다면	않/px+는다면/ecs
(	(/sl
관성이	관성/ncn+이/jcs
작용하지	작용/ncpa+하/xsv+지/ecx
않는다면	않/px+는다면/ecs
)	)/sr
손님은	손님/ncn+은/jxc
한	한/nnc
순간에	순간/ncn+에/jca
움직이기	움직이/pvg+기/etn
시작하여	시작/ncpa+하/xsv+어/ecs
발이	발/ncn+이/jcs
걸리더라도	걸리/pvg+더라도/ecs
통에	통/nbu+에/jca
넘어지지	넘/pvg+어/ecx+지/px+지/ecx
않고	않/px+고/ecc
통	통/nbu
앞에	앞/ncn+에/jca
미끄러지고	미끄러지/pvg+고/ecx
말았을	말/px+았/ep+을/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
어쨌든	어쨌든/mag
관성	관성/ncn
은	은/jxc
자기의	자기/npp+의/jcm
임무를	임무/ncn+를/jco
완수했고	완수/ncpa+하/xsv+었/ep+고/ecc
,	,/sp
그	그/mmd
뚱뚱보	뚱뚱보/ncn
손님은	손님/ncn+은/jxc
손발을	손발/ncn+을/jco
버둥거리고	버둥거리/pvg+고/ecc
비명을	비명/ncn+을/jco
지르면서	지르/pvg+면서/ecs
미끄러져	미끄러져/mag
내려갔으며	내리/pvg+어/ecs+가/pvg+았/ep+으며/ecs
,	,/sp
아래층에	아래/ncn+층/ncn+에/jca
있던	있/paa+던/etm
사람들을	사람/ncn+들/xsn+을/jco
흩어지게	흩어지/pvg+게/ecx
했습니다	하/px+었/ep+습니다/ef
.	./sf
그리고	그리고/maj
에스컬레이터를	에스컬레이터/ncn+를/jco
끝까지	끝/ncn+까지/jxc
다	다/mag
내려가고	내리/pvg+어/ecx+가/px+고/ecc
나서도	나/px+서/jca+도/jxc
비명과	비명/ncn+과/jct
떠들썩한	떠들썩/ncps+하/xsm+ㄴ/etm
소리를	소리/ncn+를/jco
실은	싣/pvg+은/etm
통은	통/nbu+은/jxc
돌로	돌/ncn+로/jca
된	되/pvg+ㄴ/etm
마룻바닥을	마룻바닥/ncn+을/jco
몇	몇/mma
미터나	미터/ncn+나/jca
더	더/mag
미끄러져	미끄러져/mag
나갔던	나가/pvg+았/ep+던/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
통이	통/ncu+이/jcs
갑자기	갑자기/mag
멈춰	멈추/pvg+어/ecs
서자	서/pvg+자/ecs
그	그/mmd
뚱뚱보	뚱뚱보/ncn
손님은	손님/ncn+은/jxc
갓난아기가	갓난아기/ncn+가/jcs
요람에서	요람/ncn+에서/jca
내던져지듯이	내던져지/pvg+듯이/ecs
그	그/mmd
통에서	통/nbu+에서/jca
내던져지고	내던지/pvg+어/ecx+지/px+고/ecx
말았습니다	말/px+았/ep+습니다/ef
.	./sf
이	이/mmd
이야기가	이야기/ncn+가/jcs
사실인지	사실/ncn+이/jp+ㄴ지/ecs
어떤지	어떻/pad+ㄴ지/ecs
나는	나/npp+는/jxc
모릅니다	모르/pvg+ㅂ니다/ef
.	./sf
너무나도	너무나/mag+도/jxc
잘	잘/mag
꾸며진	꾸미/pvg+어/ecx+지/px+ㄴ/etm
이야기처럼	이야기/ncn+처럼/nbn
생각됩니다만	생각/ncpa+되/xsv+ㅂ니다/ef+만/jxc
하지만	하지만/maj
정말로	정말로/mag
일어난다고	일/pvg+어/ecs+나/pvg+ㄴ다고/ecs
한다면	하/pvg+ㄴ다면/ecs
이	이/mmd
이야기	이야기/ncn
같은	같/paa+은/etm
진기한	진기/ncps+하/xsm+ㄴ/etm
사태가	사태/ncn+가/jcs
되겠지요	되/pvg+겠/ep+지요/ef
.	./sf
이	이/mmd
진기한	진기/ncps+하/xsm+ㄴ/etm
사건의	사건/ncn+의/jcm
마지막	마지막/ncn
대목에서	대목/ncn+에서/jca
뚱뚱보	뚱뚱보/ncn
손님이	손님/ncn+이/jcs
통	통/nbu
속에서	속/ncn+에서/jca
밖으로	밖/ncn+으로/jca
내던져지는	내던지/pvg+어/ecx+지/px+는/etm
장면이	장면/ncn+이/jcs
있었지요	있/paa+었/ep+지요/ef
?	?/sf
이것은	이것/npd+은/jxc
여러분은	여러분/npp+은/jxc
버스에	버스/ncn+에/jca
타고	타/pvg+고/ecx
있을	있/px+을/etm
때	때/ncn
버스가	버스/ncn+가/jcs
갑자기	갑자기/mag
브레이크를	브레이크/ncn+를/jco
건	걸/pvg+ㄴ/etm
순간	순간/ncn
,	,/sp
여러분이	여러분/npp+이/jcs
경험하는	경험/ncpa+하/xsv+는/etm
것과	것/nbn+과/jct
아주	아주/mag
똑같은	똑같/paa+은/etm
일이	일/ncn+이/jcs
일어나고	일/pvg+어/ecx+나/px+고/ecx
있는	있/px+는/etm
것입니다	것/nbn+이/jp+ㅂ니다/ef
.	./sf
돌로	돌/ncn+로/jca
된	되/pvg+ㄴ/etm
마룻바닥	마룻바닥/ncn
위에	위/ncn+에/jca
갑자기	갑자기/mag
멎어	멎/pvg+어/ecx
버린	버리/px+ㄴ/etm
통과	통/ncn+과/jct
마찬가지로	마찬가지/ncn+로/jca
버스의	버스/ncn+의/jcm
움직임도	움직임/ncn+도/jxc
정지합니다	정지/ncpa+하/xsv+ㅂ니다/ef
.	./sf
그러면	그러면/maj
그	그/mmd
뚱뚱보	뚱뚱보/ncn
손님처럼	손님/ncn+처럼/jca
앞쪽으로	앞/ncn+쪽/nbn+으로/jca
쑥	쑥/mag
튀어나가고	튀/pvg+어/ecx+나/px+아/ecx+가/px+고/ecx
맙니다	말/px+ㅂ니다/ef
.	./sf
이것도	이것/npd+도/jxc
관성	관성/ncn
일까요	이/jp+ㄹ까요/ef
?	?/sf
그렇습니다	그렇/pad+습니다/ef
.	./sf
이것도	이것/npd+도/jxc
관성	관성/ncn
입니다	이/jp+ㅂ니다/ef
.	./sf
관성	관성/ncn
에는	에/jva+는/jxc
정지의관성	정지의관성/ncn
만이	만/nbn+이/jcs
아니라	아니/paa+라/ecs
운동의	운동/ncn+의/jcm
관성	관성/ncn
도	도/jxc
있습니다	있/paa+습니다/ef
.	./sf
물체는	물체/ncn+는/jxc
그것이	그것/npd+이/jcs
처음부터	처음/ncn+부터/jca
정지해	정지/ncpa+하/xsv+어/ecx
있을	있/px+을/etm
경우에만	경우/ncn+에/jca+만/jxc
그	그/mmd
정지	정지/ncn
상태를	상태/ncn+를/jco
유지하려고	유지/ncpa+하/xsv+려고/ecx
합니다	하/px+ㅂ니다/ef
.	./sf
반대로	반대/ncn+로/jca
,	,/sp
물체가	물체/ncn+가/jcs
처음부터	처음/ncn+부터/jxc
운동을	운동/ncn+을/jco
하고	하/pvg+고/ecx
있을	있/px+을/etm
경우에는	경우/ncn+에/jca+는/jxc
그	그/mmd
운동을	운동/ncn+을/jco
그대로	그대로/mag
계속하려고	계속/ncpa+하/xsv+려고/ecx
합니다	하/px+ㅂ니다/ef
.	./sf
7	7/nno
.	./sf
공포의	공포/ncn+의/jcm
캐터펄트	캐터펄트/ncn
관성	관성/ncn
에	에/jca
대해서	대하/pvg+어서/ecs
좀더	좀더/mag
자세히	자세/ncn+히/xsa
연구하기	연구/ncpa+하/xsv+기/etn
위해서	위하/pvg+어서/ecs
실험을	실험/ncn+을/jco
해	하/pvg+어/ecs
봅시다	보/px+ㅂ시다/ef
.	./sf
여러분은	여러분/npp+은/jxc
에스컬레이터의	에스컬레이터/ncn+의/jcm
진기한	진기/ncps+하/xsm+ㄴ/etm
사건을	사건/ncn+을/jco
실제로	실제로/mag
해	하/pvg+어/ecx
보고	보/px+고/ecx
싶은	싶/px+은/etm
기분이	기분/ncn+이/jcs
들	들/pvg+ㄹ/etm
것입니다만	것/nbn+이/jp+ㅂ니다/ef+만/jxc
,	,/sp
그것은	그것/npd+은/jxc
일단	일단/mag
단념하기로	단념/ncpa+하/xsv+기/etn+로/jca
하고	하/pvg+고/ecc
,	,/sp
그	그/mmd
대신에	대신/ncn+에/jca
고대의	고대/ncn+의/jcm
캐터펄트	캐터펄트/ncn
(	(/sl
투사기	투사기/ncn
)	)/sr
를	를/jco
만들	만들/pvg+ㄹ/etm
계획을	계획/ncn+을/jco
세웁시다	세우/pvg+ㅂ시다/ef
.	./sf
이것은	이것/npd+은/jxc
대단히	대단/ncn+히/xsa
재미있는	재미/ncps+있/xsm+는/etm
장치입니다	장치/ncn+이/jp+ㅂ니다/ef
.	./sf
하지만	하지만/maj
캐터펄트란	캐터펄트/ncn+란/jca
어떤	어떤/mmd
것인지	것/nbn+이/jp+ㄴ지/ecs
여러분은	여러분/npp+은/jxc
잘	잘/mag
알지	알/pvg+지/ecx
못할지도	못하/px+ㄹ지/ecs+도/jxc
모르겠군요	모르/ncn
.	./sf
그럼	그럼/ncn
,	,/sp
시간을	시간/ncn+을/jco
거술러	거술러/mag
올라가	오르/pvg+아/ecx+가/px+아/ecx
보기로	보/px+기/etn+로/jca
합시다	합시/ncn+다/jca
.	./sf
여러분은	여러분/npp+은/jxc
에스컬레이터	에스컬레이터/ncn
위에서	위/ncn+에서/jca
약	약/ncn
2	2/nno
천	천/ncn
년	년/nbu
전의	전/ncn+의/jcm
옛날을	옛날/ncn+을/jco
향해서	향하/pvg+어서/ecs
미끄러져	미끄러져/mag
내렸다고	내리/pvg+었/ep+다고/ecs
생각해	생각/ncpa+하/xsv+어/ecx
주십시오	주/px+십시오/ef
.	./sf
그런	그렇/pad+ㄴ/etm
까닭으로	까닭/ncn+으로/jca
해서	하/pvg+어서/ecs
우리는	우리/npp+는/jxc
과거의	과거/ncn+의/jcm
시대로	시대/ncn+로/jca
되돌아가	되돌/pvg+아/ecx+가/px+아/ecx
있습니다	있/px+습니다/ef
.	./sf
보십시오	보/pvg+십시오/ef
,	,/sp
전쟁이	전쟁/ncn+이/jcs
일어나고	일/pvg+어/ecx+나/px+고/ecx
있습니다	있/px+습니다/ef
!	!/sf
고대의	고대의/maj
로마군이	로마/nq+군/ncn+이/jcs
도시를	도시/ncn+를/jco
포위하고	포위/ncpa+하/xsv+고/ecx
있어요	있/px+어요/ef
.	./sf
저것	저것/npd
보세요	보/pvg+시/ep+어요/ef
.	./sf
로마	로마/nq
군단은	군단/ncn+은/jxc
돌격을	돌격/ncn+을/jco
개시했습니다	개시/ncpa+하/xsv+었/ep+습니다/ef
.	./sf
그러나	그러나/maj
그	그/mmd
도시는	도시/ncn+는/jxc
그저	그저/mag
예사로운	예사롭/paa+ㄴ/etm
도시는	도시/ncn+는/jxc
아닙니다	아니/paa+ㅂ니다/ef
.	./sf
과연	과연/mag
도시는	도시/ncn+는/jxc
굵은	굵/paa+은/etm
통나무로	통나무/ncn+로/jca
만들어진	만들/pvg+어/ecx+지/px+ㄴ/etm
담을	담/ncn+을/jco
에워싸여	에우/pvg+어/ecs+싸이/pvg+어/ecx
있습니다	있/px+습니다/ef
.	./sf
그리고	그리고/maj
모퉁이마다	모퉁이/ncn+마다/jxc
삼엄한	삼엄/ncps+하/xsm+ㄴ/etm
망루	망루/ncn
(	(/sl
望樓	望樓/ncn
)	)/sr
가	가/jcs
서	서/pvg+어/ecx
있고	있/px+고/ecc
,	,/sp
굳게	굳/paa+게/ecs
잠겨	잠기/pvg+어/ecx
있는	있/px+는/etm
망루의	망루/ncn+의/jcm
묵직한	묵직/ncps+하/xsm+ㄴ/etm
문에는	문/ncn+에/jca+는/jxc
튼튼한	튼튼/ncps+하/xsm+ㄴ/etm
빗장	빗장/ncn
(	(/sl
가로대	가로/ncn+대/xsn
)	)/sr
이	이/jcs
질려져	질/pvg+려/ecx+지/px+어/ecx
있습니다	있/px+습니다/ef
.	./sf
시민들은	시민/ncn+들/xsn+은/jxc
있는	있/paa+는/etm
힘을	힘/ncn+을/jco
다하여	다하/pvg+어/ecs
방어하고	방어/ncpa+하/xsv+고/ecx
있습니다	있/px+습니다/ef
.	./sf
노예가	노예/ncn+가/jcs
되는	되/pvg+는/etm
일을	일/ncn+을/jco
누가	누/ncn+가/jcs
바라겠습니까	바라/pvg+겠/ep+습니까/ef
?	?/sf
화살이	화살/ncn+이/jcs
비오듯이	비/ncn+오/pvg+듯이/ecs
