<tdmsfile>
sbsns.hwp
이렇게	이렇/pad+게/ecs
가장	가장/mag
심각합니다.	심각/ncps+하/xsm+ㅂ니다/ef+./sf
"우선	"/sl+우선/mag
기피제를	기피/ncn+제/xsn+를/jco
활용해	활용/ncpa+하/xsv+어/ecs
퇴치해	퇴치/ncpa+하/xsv+어/ecx
나가겠다"	나가/px+겠/ep+다/ef+"/sr
그동안	그/mmd+동안/ncn
희귀야생동물로	희귀/ncn+야생/ncn+동물/ncn+로/jca
도민과	도민/ncn+과/jcj
관광객의	관광/ncn+객/xsn+의/jcm
사랑을	사랑/ncn+을/jco
한몸에	한몸/ncn+에/jca
받아온	받/pvg+아/ecx+오/px+ㄴ/etm
노루가	노루/ncn+가/jcs
이제는	이제/ncn+는/jxc
경계의	경계/ncn+의/jcm
대상이	대상/ncn+이/jcs
되고	되/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
제주에서	제주/nq+에서/jca
sbs	SBS/f
이용탁입니다.	이용탁/nq+이/jp+ㅂ니다/ef+./sf
어제	어제/mag
인천에서	인천/nq+에서/jca
대량으로	대량/ncn+으로/jca
발견된	발견/ncpa+되/xsv+ㄴ/etm
만원권	만/nnc+원/nbu+권/ncn
위조지폐를	위조/ncn+지폐/ncn+를/jco
제조한	제조/ncpa+하/xsv+ㄴ/etm
용의자가	용의/ncn+자/xsn+가/jcs
오늘	오늘/mag
붙잡혔습니다.	붙잡히/pvg+었/ep+습니다/ef+./sf
경찰은	경찰/ncn+은/jxc
이번	이/mmd+번/nbn
위폐가	위폐/ncn+가/jcs
대구와	대구/nq+와/jcj
경북지역에서	경북/nq+지역/ncn+에서/jca
발견된	발견/ncpa+되/xsv+ㄴ/etm
위폐와	위폐/ncn+와/jcj
일련번호가	일련/ncn+번호/ncn+가/jcs
같아	같/paa+아/ecs
관련자들이	관련/ncn+자/xsn+들/xsn+이/jcs
더	더/mag
있을것으로	있/paa+을/etm+것/nbn+으로/jca
보고	보/pvg+고/ecs
수사를	수사/ncn+를/jco
확대하고	확대/ncpa+하/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
남상우기자가	남상우/nq+기자/ncn+가/jcs
보도합니다.	보도/ncpa+하/xsv+ㅂ니다/ef+./sf
인천	인천/nq
중부경찰서는	중부/ncn+경찰/ncn+서/xsn+는/jxc
오늘	오늘/ncn
컬러복사기를	컬러/ncn+복사/ncn+기/xsn+를/jco
이용해	이용/ncpa+하/xsv+어/ecs
만원권	만/nnc+원/nbu+권/ncn
위조지폐를	위조/ncn+지폐/ncn+를/jco
대량으로	대량/ncn+으로/jca
제조해	제조/ncpa+하/xsv+어/ecs
사용한	사용/ncpa+하/xsv+ㄴ/etm
34살	34/nnc+살/nbu
최영남씨를	최영남/nq+씨/xsn+를/jco
긴급	긴급/ncn
체포했습니다.	체포/ncpa+하/xsv+었/ep+습니다/ef+./sf
또	또/maj
위폐를	위폐/ncn+를/jco
만드는데	만들/pvg+는데/ecs
사용한	사용/ncpa+하/xsv+ㄴ/etm
컬러복사기를	컬러/ncn+복사/ncn+기/xsn+를/jco
증거품으로	증거/ncn+품/xsn+으로/jca
압수했습니다.	압수/ncpa+하/xsv+었/ep+습니다/ef+./sf
최씨는	최/nq+씨/xsn+는/jxc
지난	지나/pvg+ㄴ/etm
7월말	7/nnc+월/nbu+말/ncn
컬러복사기를	컬러/ncn+복사/ncn+기/xsn+를/jco
구입한	구입/ncpa+하/xsv+ㄴ/etm
뒤	뒤/ncn
만원권	만/nnc+원/nbu+권/xsn
1장을	1/nnc+장/nbu+을/jco
가지고	가지/pvg+고/ecs
나흘동안	나흘/ncn+동안/ncn
만원권	만/nnc+원/nbu+권/xsn
위폐	위폐/ncn
9백여장을	9백/nnc+여/xsn+장/nbu+을/jco
복사했습니다.	복사/ncpa+하/xsv+었/ep+습니다/ef+./sf
경찰은	경찰/ncn+은/jxc
그러나	그러나/maj
대구와	대구/nq+와/jcj
구미에서	구미/nq+에서/jca
일련번호가	일련/ncn+번호/ncn+가/jcs
같은	같/paa+은/etm
위폐가	위폐/ncn+가/jcs
이미	이미/mag
발견돼	발견/ncpa+되/xsv+어/ecs
최씨가	최/nq+씨/xsn+가/jcs
전국적으로	전국/ncn+적/xsn+으로/jca
유통시켰을	유통/ncn+시키/xsv+었/ep+을/etm
것으로	것/nbn+으로/jca
보고	보/pvg+고/ecs
수사를	수사/ncn+를/jco
확대하고	확대/ncpa+하/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
이번	이/mmd+번/nbn
위폐제조사건은	위폐/ncn+제조/ncn+사건/ncn+은/jxc
어제	어제/mag
최씨의	최/nq+씨/xsn+의/jcm
아내	아내/ncn
권모씨가	권/nq+모/ncn+씨/xsn+가/jcs
집에	집/ncn+에/jca
있던	있/paa+던/etm
위조지폐를	위조/ncn+지폐/ncn+를/jco
인천시	인천시/nq
북성동	북성동/nq
새마을	nq[새/mma+마을/ncn
금고에	금고/ncn]nq+에/jca
입금하면서	입금/ncpa+하/xsv+면서/ecs
밝혀졌습니다.	밝히/pvg+어/ecx+지/px+었/ep+습니다/ef+./sf
에스비에스	에스비에스/nq
남상우입니다.	남상우/nq+이/jp+ㅂ니다/ef+./sf
환율	환율/ncn
급등에도	급등/ncn+에/jca+도/jxc
해외	해외/ncn
여행객들의	여행/ncn+객/xsn+들/xsn+의/jcm
짐은	짐/ncn+은/jxc
아직도	아직도/mag
너무	너무/mag
무겁습니다.	무겁/paa+습니다/ef+./sf
너무	너무/mag
많은	많/paa+은/etm
물품을	물품/ncn+을/jco
사오다	사/pvg+아/ecx+오/px+다/ef
김포	김포/nq
세관에서	세관/ncn+에서/jca
적발돼	적발/ncpa+되/xsv+어/ecs
유치된	유치/ncpa+되/xsv+ㄴ/etm
물품이	물품/ncn+이/jcs
올	올/ncn
들어서만	들/pvg+어/ecx+서/px+만/jxc
백만	백만/nnc
킬로그램,	킬로그램/nbu+,/sp
천	천/nnc
톤이	톤/nbu+이/jcs
훨씬	훨씬/mag
넘는다고	넘/pvg+는다/ef+고/jcr
합니다.	하/pvg+ㅂ니다/ef+./sf
김용철	김용철/nq
기자가	기자/ncn+가/jcs
취재했습니다	취재/ncpa+하/xsv+었/ep+습니다/ef
해외	해외/ncn
여행객들이	여행/ncn+객/xsn+들/xsn+이/jcs
한참	한참/mag
돌아오는	돌/pvg+아/ecs+오/pvg+는/etm
아침시간,	아침/ncn+시간/ncn+,/sp
김포공항	김포공항/nq
수하물	수하/ncn+물/xsn
대기장에는	대기/ncn+장/xsn+에/jca+는/jxc
흡사	흡사/mag
화물기가	화물/ncn+기/xsn+가/jcs
도착한	도착/ncpa+하/xsv+ㄴ/etm
듯	듯/nbn
끊임없이	끊임/ncn+없/paa+이/jca
외제품들이	외제/ncn+품/xsn+들/xsn+이/jcs
쏟아집니다.	쏟/pvg+아/ecx+지/px+ㅂ니다/ef+./sf
요즘	요즘/mag
호주	호주/nq
여행객들	여행/ncn+객/xsn+들/xsn
사이에	사이/ncn+에/jca
양모이불은	양모/ncn+이불/ncn+은/jxc
필수	필수/ncn
쇼핑	쇼핑/ncn
품목,	품목/ncn+,/sp
한사람에	한/nnc+사람/ncn+에/jca
한	한/nnc
장	장/nbu
씩만	씩/xsn+만/jxc
허용되지만	허용/ncpa+되/xsv+지만/ecs
서너장씩	서너/nnc+장/nbu+씩/xsn
사오는	사/pvg+아/ecx+오/px+는/etm
사람이	사람/ncn+이/jcs
많습니다.	많/paa+습니다/ef+./sf
인형에서	인형/ncn+에서/jca
골프채와	골프/ncn+채/ncn+와/jca
빗자루	빗자루/ncn
까지	까지/jxc
이	이/mmd
여행객의	여행/ncn+객/xsn+의/jcm
가방은	가방/ncn+은/jxc
만물상자	만물/ncn+상자/ncn
같습니다.	같/paa+습니다/ef+./sf
잡다한	잡다/ncps+하/xsm+ㄴ/etm
옷가지를	옷가지/ncn+를/jco
사오는	사/pvg+아/ecx+오/px+는/etm
사람,	사람/ncn+,/sp
북한산	북한산/nq
버섯이나	버섯/ncn+이나/jcj
죽도를	죽도/ncn+를/jco
사오는	사/pvg+아/ecx+오/px+는/etm
사람,	사람/ncn+,/sp
비싼	비싸/paa+ㄴ/etm
보석류나	보석/ncn+류/xsn+나/jcj
모피를	모피/ncn+를/jco
사오다	사/pvg+아/ecx+오/px+다/ecs
세관직원과	세관/ncn+직원/ncn+과/jcj
실랑이를	실랑이/ncn+를/jco
벌이는	벌이/pvg+는/etm
사람도	사람/ncn+도/jxc
많습니다.	많/paa+습니다/ef+./sf
BRIDGE	BRIDGE/f
:	:/sp
조금전	조금/ncn+전/ncn
도착한	도착/ncpa+하/xsv+ㄴ/etm
한	한/nnc
비행기에서	비행/ncn+기/xsn+에서/jca
유치된	유치/ncpa+되/xsv+ㄴ/etm
물품들입니다.	물품/ncn+들/xsn+이/jp+ㅂ니다/ef+./sf
옷과	옷/ncn+과/jcj
화장품,	화장/ncn+품/xsn+,/sp
양주에서	양주/ncn+에서/jca
골프채까지	골프/ncn+채/ncn+까지/jxc
종류도	종류/ncn+도/jxc
다양합니다.	다양/ncps+하/xsm+ㅂ니다/ef+./sf
올들어	올/ncn+들/xsn+어/ncn
지난달까지	지나/pvg+ㄴ/etm+달/ncn+까지/jxc
김포세관에	김포/nq+세관/ncn+에/jca
유치된	유치/ncpa+되/xsv+ㄴ/etm
골프채는	골프/ncn+채/ncn+는/jxc
3만개,	3만/nnc+개/nbu+,/sp
양주는	양주/nq+는/jxc
만4천병,	만/nnc+4천/nnc+병/nbu+,/sp
대형	대형/ncn
칼라TV는	칼라/ncn+TV/f+는/jxc
4천2백대가	4천/nnc+2백/nnc+대/nbu+가/jcs
넘습니다.	넘/pvg+습니다/ef+./sf
김포공항에서만	김포공항/nq+에서/jca+만/jxc
6만7천명이	6만/nnc+7천/nnc+명/nbu+이/jcs
과다한	과다/ncps+하/xsm+ㄴ/etm
물건을	물건/ncn+을/jco
사오다	사/pvg+아/ecx+오/px+다/ef
적발돼,	적발/ncpa+되/xsv+어/ecs+,/sp
모두	모두/mag
천톤이	천/nnc+톤/nbu+이/jcs
넘는	넘/pvg+는/etm
양이	양/ncn+이/jcs
세관에	세관/ncn+에/jca
유치됐습니다.	유치/ncpa+하/xsv+었/ep+습니다/ef+./sf
"아직도	"/sl+아직도/mag
많은	많/paa+은/etm
여행객들이	여행/ncn+객/xsn+들/xsn+이/jcs
너무	너무/mag
많은	많/paa+은/etm
물건을	물건/ncn+을/jco
사옵니다"	사/pvg+아/ecs+오/pvg+ㅂ니다/ef+"/sr
해외여행객들은	해외/ncn+여행/ncn+객/xsn+들/xsn+은/jxc
1인	1/nnc+인/nbu
당	당/ncn
1682$를	1682/nnc+$/su+를/jco
써	쓰/pvg+어/ecs
지난	지나/pvg+ㄴ/etm
해	해/ncn
보다	보다/mag
오히려	오히려/mag
75$	75/nnc+$/su
늘었습니다.	늘/pvg+었/ep+습니다/ef+./sf
한사람이	한/nnc+사람/ncn+이/jcs
사올	사/pvg+아/ecx+오/px+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
물품	물품/ncn
한도가	한도/ncn+가/jcs
4백달러	4백/nnc+달러/nbu
어치라는	어치/xsn+라/ef+는/etm
규정은	규정/ncn+은/jxc
일부	일부/ncn
여행객들에겐	여행/ncn+객/xsn+들/xsn+에게/jca+ㄴ/jxc
남의	남/ncn+의/jcm
일일	일/ncn+이/jp+ㄹ/etm
뿐입니다.	뿐/nbn+이/jp+ㅂ니다/ef+./sf
SBS	SBS/f
김용철입니다.	김용철/nq+이/jp+ㅂ니다/ef+./sf
불법폐기물	불법/ncn+폐기/ncn+물/xsn
반입을	반입/ncn+을/jco
막기위해	막/pvg+기/etn+위하/pvg+어/ecs
주민들이	주민/ncn+들/xsn+이/jcs
만든	만들/pvg+ㄴ/etm
수도권대책위원회가	수도/ncn+권/xsn+대책/ncn+위원/ncn+회/xsn+가/jcs
관련	관련/ncn
지방자치단체와	지방/ncn+자치/ncn+단체/ncn+와/jcj
환경업체로부터	환경/ncn+업체/ncn+로/jca+부터/jxc
금품을	금품/ncn+을/jco
받아	받/pvg+아/ecx
온	오/px+ㄴ/etm
혐의가	혐의/ncn+가/jcs
드러나	드러나/pvg+아/ecs
경찰이	경찰/ncn+이/jcs
수사에	수사/ncn+에/jca
나섰습니다.	나서/pvg+었/ep+습니다/ef+./sf
그렇지만	그렇지만/maj
이들은	이/npd+들/xsn+은/jxc
인사치레로	인사/ncn+치레/ncn+로/jca
돈을	돈/ncn+을/jco
받았을	받/pvg+았/ep+을/etm
뿐	뿐/nbn
편의에	편의/ncn+에/jca
대한	대하/pvg+ㄴ/etm
대가는	대가/ncn+는/jxc
아니라고	아니/paa+라/ef+고/jcr
말하고	말/ncpa+하/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
채홍기	채홍기/nq
기자의	기자/ncn+의/jcm
보돕니다.	보도/ncn+이/jp+ㅂ니다/ef+./sf
수도권매립지의	수도/ncn+권/xsn+매립/ncn+지/xsn+의/jcm
간부였던	간부/ncn+이/jp+었/ep+던/etm
하모씨가	하/nq+모/ncn+씨/xsn+가/jcs
작성해온	작성/ncpa+하/xsv+어/ecx+오/px+ㄴ/etm
일깁니다.	일기/ncn+ㅂ니다/ef+./sf
개인적인	개인/ncn+적/xsn+이/jp+ㄴ/etm
일과	일/ncn+과/jct
함께	함께/mag
매립지	매립/ncn+지/xsn
대책위원회의	대책/ncn+위원/ncn+회/xsn+의/jcm
일들을	일/ncn+들/xsn+을/jco
기록해	기록/ncpa+하/xsv+어/ecx
놓았습니다.	놓/px+았/ep+습니다/ef+./sf
94년	94/nnc+년/nbu
11월	11/nnc+월/nbu
인천의	인천/nq+의/jcm
한	한/nnc
업체가	업체/ncn+가/jcs
백27만원을	백27만/nnc+원/nbu+을/jco
가져왔다고	가지/pvg+어/ecx+오/px+았/ep+다/ef+고/jcr
기록돼	기록/ncpa+되/xsv+어/ecx
있습니다.	있/px+습니다/ef+./sf
또	또/maj
한	한/nnc
업체는	업체/ncn+는/jxc
20만원을	20만/nnc+원/nbu+을/jco
건네준	건네/pvg+어/ecs+주/pvg+ㄴ/etm
것으로	것/nbn+으로/jca
나타났습니다.	나타나/pvg+았/ep+습니다/ef+./sf
명절때는	명절/ncn+때/ncn+는/jxc
여러	여러/mma
곳에서	곳/ncn+에서/jca
선물도	선물/ncn+도/jxc
들어	들/pvg+어/ecx
왔습니다.	오/px+았/ep+습니다/ef+./sf
또	또/maj
서울과	서울/nq+과/jcj
인천	인천/nq
경기도등	경기도/nq+등/nbn
이곳에	이곳/npd+에/jca
쓰레기를	쓰레기/ncn+를/jco
버리는	버리/pvg+는/etm
지역의	지역/ncn+의/jcm
공무원들도	공무/ncn+원/xsn+들/xsn+도/jxc
이들에게	이/npd+들/xsn+에게/jca
돈을	돈/ncn+을/jco
주었습니다.	주/pvg+었/ep+습니다/ef+./sf
-얼마	-/sd+얼마/ncn
주셨어요?	주/px+시/ep+었/ep+어/ef+요/jxf+?/sf
그때	그/mmd+때/ncn
"백만원,94년12월	"/sl+백만/nnc+원/nbu+,/sp+94/nnc+년/nbu+12/nnc+월/nbu
일거예요.	일거/ncn+예/ncn+요/ncn+./sf
"	"/sl
-무슨	-무슨/ncn
명목으로	명목/ncn+으로/jca
주신	주/pvg+시/ep+ㄴ/etm
겁니까?	거/nbn+ㅂ니까/ef+?/sf
그	그/mmd
사람들	사람/ncn+들/xsn
그	그/mmd
당시	당시/ncn
성금으로...	성금/ncn+으로/jca+.../se
"	"/sl
백만원,94년	백만/nnc+원/nbu+,/sp+94/nnc+년/nbu
12월일거예요.	12/nnc+월/nbu+이/jp+ㄹ/etm+거/nbn+예/ef+요/jxf+./sf
그사람들	그/mmd+사람/ncn+들/xsn
그당시	그/mmd+당시/ncn
성금으로다.	성금/ncn+으로다/jca+./sf
""	"/sl+"/sr
경찰은	경찰/ncn+은/jxc
이들이	이/npd+들/xsn+이/jcs
지난	지나/pvg+ㄴ/etm
92년	92/nnc+년/nbu
매립지	매립/ncn+지/xsn
운영이	운영/ncn+이/jcs
시작되면서부터	시작/ncpa+되/xsv+면서/ecs+부터/jxc
지금까지	지금/ncn+까지/jxc
모두	모두/mag
5천4백만원을	5천4백만/nnc+원/nbu+을/jco
받았다고	받/pvg+았/ep+다/ef+고/jcr
발표했습니다.	발표/ncpa+하/xsv+었/ep+습니다/ef+./sf
위법	위법/ncn
폐기물	폐기/ncn+물/xsn
반입을	반입/ncn+을/jco
눈감아주거나	눈감/pvg+아/ecx+주/px+거나/ecc
편의를	편의/ncn+를/jco
봐	보/pvg+아/ecx
주고	주/px+고/ecc
돈을	돈/ncn+을/jco
받았다고	받/pvg+았/ep+다/ef+고/jcr
경찰은	경찰/ncn+은/jxc
밝혔습니다.	밝히/pvg+었/ep+습니다/ef+./sf
직접적으로	직접/ncn+적/xsn+으로/jca
요구한	요구/ncpa+하/xsv+ㄴ/etm
적은	적/nbn+은/jxc
없었습니다.	없/paa+었/ep+습니다/ef+./sf
그렇지만	그렇지만/maj
그렇게	그렇/pad+게/ecs
하도록	하/pvg+도록/ecs
횡포를	횡포/ncn+를/jco
부렸습니다.	부리/pvg+었/ep+습니다/ef+./sf
"	"/sl
그렇지만	그렇지만/maj
이들은	이/npd+들/xsn+은/jxc
인사치레로	인사/ncn+치레/ncn+로/jca
건네주는	건네/pvg+어/ecs+주/pvg+는/etm
돈을	돈/ncn+을/jco
받았을	받/pvg+았/ep+을/etm
뿐이라고	뿐/nbn+이/jp+라고/ecs
대가성	대가/ncn+성/xsn
금품수수를	금품/ncn+수수/ncn+를/jco
부인하고	부인/ncpa+하/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
배임으로	배임/ncn+으로/jca
보는	보/pvg+는/etm
경찰과	경찰/ncn+과/jcj
이에	이/npd+에/jca
맞서는	맞서/pvg+는/etm
대책위원회,수사결과가	대책/ncn+위원/ncn+회/xsn+,/sp+수사/ncn+결과/ncn+가/jcs
주목되고	주목/ncpa+되/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
SBS	SBS/f
채홍깁니다.	채홍기/nq+ㅂ니다/ef+./sf
한때	한/ncn+때/ncn
동양	동양/ncn
최대의	최대/ncn+의/jcm
철새	철새/ncn
도래지던	도래/ncn+지/xsn+던/etm
였지만	이/jp+었/ep+지만/ecs
이젠	이제/ncn+ㄴ/jxc
철새의	철새/ncn+의/jcm
그림자조차	그림/ncn+자/xsn+조차/jxc
찾아보기	찾/pvg+아/ecs+보/pvg+기/etn
힘듭니다.	힘/ncn+들/pvg+ㅂ니다/ef+./sf
대신	대신/mag
지난	지나/pvg+ㄴ/etm
장마때	장마/ncn+때/ncn
낙동강에서	낙동강/nq+에서/jca
쓸려	쓸리/pvg+어/ecs
내려온	내리/pvg+어/ecs+오/pvg+ㄴ/etm
쓰레기들이	쓰레기/ncn+들/xsn+이/jcs
철새들이	철새/ncn+들/xsn+이/jcs
떠나간	뜨/pvg+어/ecs+나가/pvg+ㄴ/etm
빈자리를	비/paa+ㄴ/etm+자리/ncn+를/jco
가득	가득/mag
채우고	채우/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
사람들의	사람/ncn+들/xsn+의/jcm
발길이	발길/ncn+이/jcs
닿지	닿/pvg+지/ecx
않던	않/px+던/etm
이곳	이곳/npd
무인도에	무인/ncn+도/xsn+에/jca
오늘	오늘/ncn
5백여명의	5백/nnc+여/xsn+명/nbu+의/jcm
시민들이	시민/ncn+들/xsn+이/jcs
찾아와	찾/pvg+아/ecs+오/pvg+아/ecs
대대적인	대대/ncn+적/xsn+이/jp+ㄴ/etm
자연정화	자연/ncn+정화/ncn
활동을	활동/ncn+을/jco
벌였습니다.	벌이/pvg+었/ep+습니다/ef+./sf
농약병과	농약/ncn+병/ncn+과/jcj
플라스틱병을	플라스틱/ncn+병/ncn+을/jco
포함해	포함/ncpa+하/xsv+어/ecs
TV와	TV/f+와/jcj
냉장고,	냉장고/ncn+,/sp
폐타이어에	폐타이어/ncn+에/jca
이르기까지	이르/pvg+기/etn+까지/jxc
갖가지	갖가지/mma
종류의	종류/ncn+의/jcm
쓰레기들로	쓰레기/ncn+들/xsn+로/jca
뒤덮힌	뒤덮히/pvg+ㄴ/etm
섬은	섬/ncn+은/jxc
마치	마치/mag
난지도	난지도/nq
쓰레기장을	쓰레기/ncn+장/ncn+을/jco
방불케	방불/ncps+하/xsm+게/ecx
합니다.	하/px+ㅂ니다/ef+./sf
정화	정화/ncn
활동을	활동/ncn+을/jco
벌인지	벌이/pvg+ㄴ지/ecs
30여분만에	30/nnc+여/xsn+분/nbu+만/jxc+에/jca
수십여톤에	수십/nnc+여/xsn+톤/nbu+에/jca
이르는	이르/paa+는/etm
쓰레기들이	쓰레기/ncn+들/xsn+이/jcs
이렇게	이렇/pad+게/ecs
쌓이기	쌓이/pvg+기/etn
시작했습니다.	시작/ncpa+하/xsv+었/ep+습니다/ef+./sf
헬기와	헬기/ncn+와/jcj
잠수부까지	잠수/ncn+부/xsn+까지/jxc
동원된	동원/ncpa+되/xsv+ㄴ/etm
오늘	오늘/ncn
정화활동에서	정화/ncn+활동/ncn+에서/jca
수거한	수거/ncpa+하/xsv+ㄴ/etm
쓰레기는	쓰레기/ncn+는/jxc
모두	모두/mag
백여톤!	백/nnc+여/xsn+톤/nbu+!/sf
그러나	그러나/maj
낙동강	낙동강/nq
하구에	하구/ncn+에/jca
있는	있/paa+는/etm
10여개의	10/nnc+여/xsn+개/nbu+의/jcm
크고	크/paa+고/ecc
작은	작/paa+은/etm
섬들에는	섬/ncn+들/xsn+에/jca+는/jxc
아직까지	아직까지/mag
수백톤의	수백/nnc+톤/nbu+의/jcm
쓰레기들이	쓰레기/ncn+들/xsn+이/jcs
방치되고	방치/ncpa+되/xsv+고/ecx
있습니다.	있/px+습니다/ef+./sf
철새들은	철새/ncn+들/xsn+은/jxc
점차	점차/mag
보금자리를	보금자리/ncn+를/jco
잃어	잃/pvg+어/ecs
사람의	사람/ncn+의/jcm
곁에서	곁/ncn+에서/jca
떠나가고...	뜨/pvg+어/ecs+나가/pvg+고/ecs+.../se
동양최대의	동양/ncn+최대/ncn+의/jcm
철새도래지라는	철새/ncn+도래/ncn+지/xsn+라/ef+는/etm
옛말은	옛말/ncn+은/jxc
갈수록	가/pvg+ㄹ수록/ecs
부끄러워지고	부끄럽/paa+어/ecx+지/px+고/ecs
있는	있/paa+는/etm
현실입니다.	현실/ncn+이/jp+ㅂ니다/ef+./sf
PSB뉴스	PSB/f+뉴스/ncn
이기훈입니다.	이기훈/nq+이/jp+ㅂ니다/ef+./sf
철새	철새/ncn
도래지로	도래지/ncn+로/jca
이름난	이름/ncn+나/pvg+ㄴ/etm
부산	부산/nq
을숙도	을숙도/nq
등	등/nbn
낙동강	낙동강/nq
하구에서는	하구/ncn+에서/jca+는/jxc
오늘	오늘/ncn
5백여명의	5백/nnc+여/xsn+명/nbu+의/jcm
시민들이	시민/ncn+들/xsn+이/jcs
대대적인	대대/ncn+적/xsn+이/jp+ㄴ/etm
정화활동을	정화/ncn+활동/ncn+을/jco
펼쳤습니다.	펼치/pvg+었/ep+습니다/ef+./sf
그러나	그러나/maj
생활쓰레기로	생활/ncn+쓰레기/ncn+로/jca
뒤범벅이	뒤범벅/ncn+이/jcs
되다시피한	되다시피한/nq
낙동강	낙동강/nq
하구는	하구/ncn+는/jxc
더	더/mag
이상	이상/ncn
철새의	철새/ncn+의/jcm
낙원이	낙원/ncn+이/jcs
아니었습니다.	아니/paa+었/ep+습니다/ef+./sf
부산방송	부산방송/nq
이기훈	이기훈/nq
기자입니다.	기자/ncn+이/jp+ㅂ니다/ef+./sf
오늘	오늘/mag
한양대	한양대/nq
병원	병원/ncn
노조가	노조/ncn+가/jcs
파업에	파업/ncn+에/jca
들어갔습니다.	들/pvg+어/ecs+가/pvg+았/ep+습니다/ef+./sf
이	이/mmd
때문에	때문/nbn+에/jca
애궂은	애궂/paa+은/etm
환자들만	환자/ncn+들/xsn+만/jxc
큰	크/paa+ㄴ/etm
불편을	불편/ncn+을/jco
겪고	겪/pvg+고/ecx
있습니다.	있/px+습니다/ef+./sf
최선호	최선호/nq
기자의	기자/ncn+의/jcm
보돕니다.	보도/ncn+이/jp+ㅂ니다/ef+./sf
서울	서울/nq
한양대	한양대/nq
부속병원.	부속/ncn+병원/ncn+./sf
오늘	오늘/ncn
오전	오전/ncn
6시부터	6/nnc+시/nbu+부터/jxc
노조원	노조/ncn+원/xsn
2백여명이	2백/nnc+여/xsn+명/nbu+이/jcs
해고된	해고/ncpa+되/xsv+ㄴ/etm
전임	전임/ncn
노조위원장의	노조/ncn+위원/ncn+장/xsn+의/jcm
복직을	복직/ncn+을/jco
요구하며	요구/ncpa+하/xsv+며/ecs
파업에	파업/ncn+에/jca
들어갔습니다.	들/pvg+어/ecs+가/pvg+았/ep+습니다/ef+./sf
"노사가	"/sl+노사/ncn+가/jcs
복직을	복직/ncn+을/jco
약속했는데	약속/ncpa+하/xsv+었/ep+다/ef+는데/ecs
어겨서	어기/pvg+어서/ecs
파업에	파업/ncn+에/jca
들어갈	들/pvg+어/ecs+가/pvg+ㄹ/etm
수	수/nbn
밖에	밖/ncn+에/jca
없었습니다.	없/paa+었/ep+습니다/ef+./sf
""	"/sl+"/sr
병원측은	병원/ncn+측/nbn+은/jxc
형사처벌을	형사/ncn+처벌/ncn+을/jco
받은	받/pvg+은/etm
사람은	사람/ncn+은/jxc
바로	바로/mag
복직시킬	복직/ncpa+시키/xsv+ㄹ/etm
수	수/nbn
없다는	없/paa+다/ef+는/etm
재단의	재단/ncn+의/jcm
정관	정관/ncn
때문에	때문/nbn+에/jca
약속을	약속/ncn+을/jco
지킬	지키/pvg+ㄹ/etm
수	수/nbn
없었다고	없/paa+었/ep+다/ef+고/jcr
설명합니다.	설명/ncpa+하/xsv+ㅂ니다/ef+./sf
"학원의	"/sl+학원/ncn+의/jcm
정관에	정관/ncn+에/jca
문제가	문제/ncn+가/jcs
있어서	있/paa+어서/ecs
2000천년까지	2000천/nnc+년/nbu+까지/jxc
유보할	유보/ncpa+하/xsv+ㄹ/etm
수	수/nbn
밖에	밖/ncn+에/jca
없었고"	없/paa+었/ep+고/ecs+"/sr
양측의	양측/ncn+의/jcm
실력	실력/ncn
대결로	대결/ncn+로/jca
정작	정작/mag
피해를	피해/ncn+를/jco
보는	보/pvg+는/etm
사람들은	사람/ncn+들/xsn+은/jxc
9백여명의	9백/nnc+여/xsn+명/nbu+의/jcm
입원	입원/ncn
환자들.	환자/ncn+들/xsn+./sf
이번	이/mmd+번/nbn
파업에는	파업/ncn+에/jca+는/jxc
특히	특히/mag
식당	식당/ncn
근무자	근무/ncn+자/nbn
전원과	전원/ncn+과/jcj
청소부들이	청소/ncn+부/xsn+들/xsn+이/jcs
대거	대거/mag
참가해	참가/ncpa+하/xsv+어/ecs
환자들이	환자/ncn+들/xsn+이/jcs
식사도	식사/ncn+도/jxc
제때	제때/ncn
못하는	못하/pvg+는/etm
등	등/nbn
큰	크/paa+ㄴ/etm
불편을	불편/ncn+을/jco
겪었습니다.	겪/pvg+었/ep+습니다/ef+./sf
"돈	"/sl+돈/ncn
내고있는	내/pvg+고/ecx+있/px+는/etm
건데,	거/nbn+이/jp+ㄴ데/ecs+,/sp
밥은	밥/ncn+은/jxc
줘야지.	주/pvg+어야지/ef+./sf
당연히"	당연/ncn+히/xsa+"/sl
김밥이	김밥/ncn+이/jcs
모자라	모자라/paa+아/ecs
집에서	집/ncn+에서/jca
도시락을	도시락/ncn+을/jco
싸	싸/pvg+아/ecx
오거나	오/px+거나/ecc
식이요법이	식이/ncn+요법/ncn+이/jcs
필요한	필요/ncps+하/xsm+ㄴ/etm
