<tdmsfile>
<tdmsfile>
<project>  </project>
<class> Corpus </class>
<language> Korean </language>
<textcode> KSC-5601-1988 </textcode>
<process>  pos </process>
<version>  </version>
<serialnumber> 96-kaist_corpus_96_explanation_pos_mh2-0009.txt </serialnumber>
<filename> kaistcorpus_written_pos_or_generality_explanation95_mh2-0009.txt </filename>
<title>임상의학의 탄생  </title>
<author>미셸 푸꼬 저 ; 홍성민 역  </author>
<date>1993  </date>
<publisher>인간사랑  </publisher>
<kdc>166.8  </kdc>
<ddc>194  </ddc>
<typist>  </typist>
<inputstatus>  </inputstatus>
<note>  </note>
<tdmsfiletext>
제목	제목/ncn
등장하는	등장/ncpa+하/xsv+는/etm
것이기에	것/nbn+이/jp+기/etn+에/jca
,	,/sp
자신이	자신/ncn+이/jcs
존재하기	존재/ncpa+하/xsv+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
인간을	인간/ncn+을/jco
밝게	밝/paa+게/ecs
비추는	비추/pvg+는/etm
계몽의	계몽/ncn+의/jcm
빛줄기를	빛줄기/ncn+를/jco
필요로	필요/ncn+로/jca
한다	하/pvg+ㄴ다/ef
.	./sf
따라서	따라서/maj
전제정치가	전제/ncn+정치/ncn+가/jcs
그럴듯하게	그럴듯하/paa+게/ecs
자신의	자신/ncn+의/jcm
모습을	모습/ncn+을/jco
가장할	가장/ncpa+하/xsv+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
것은	것/nbn+은/jxc
단지	단지/mag
인간이	인간/ncn+이/jcs
잠들어	잠들/pvg+어/ecx
있을	있/px+을/etm
때	때/ncn
뿐이다	뿐/nbn+이/jp+다/ef
.	./sf
정치적	정치/ncn+적/xsn
권위나	권위/ncn+나/jcj
정부의	정부/ncn+의/jcm
억압이	억압/ncn+이/jcc
아니라	아니/paa+라/ecs
당신의	당신/npp+의/jcm
능력과	능력/ncn+과/jcj
계몽정신에	계몽/ncn+정신/ncn+에/jca
의해서	의하/pvg+어서/ecs
다른	다르/paa+ㄴ/etm
종족을	종족/ncn+을/jco
일어나게	일어나/pvg+게/ecs
만들어야	만들/pvg+어야/ecs
한다	하/px+ㄴ다/ef
.	./sf
독재가	독재/ncn+가/jcs
가능한	가능/ncps+하/xsm+ㄴ/etm
것은	것/nbn+은/jxc
국민들	국민/ncn+들/xsn
스스로가	스스로/ncn+가/jcs
폭군에게	폭군/ncn+에게/jca
굴복하는	굴복/ncpa+하/xsv+는/etm
정치적	정치/ncn+적/xsn
억압에	억압/ncn+에/jca
대해서	대하/pvg+어서/ecs
혐오감을	혐오/ncn+감/xsn+을/jco
느끼지	느끼/pvg+지/ecx
않을	않/px+을/etm
때뿐이다	때/ncn+뿐/jxc+이/jp+다/ef
.	./sf
이것이	이것/npd+이/jcs
전제정치의	전제/ncn+정치/ncn+의/jcm
전형이다	전형/ncn+이/jp+다/ef
.	./sf
1789	1789/nno
부터	부터/jxc
테르미도르	테르미도르/nq
2	2/nno
년	년/nbu
(	(/sl
Termidor	Termidor/f
an	an/f
)	)/sr
까지	까지/jxc
의학구조의	의학/ncn+구조/ncn+의/jcm
개편을	개편/ncn+을/jco
주도하던	주도/ncpa+하/xsv+던/etm
이데올로기는	이데올로기/ncn+는/jxc
진실에	진실/ncn+에/jca
대한	대하/pvg+ㄴ/etm
자유를	자유/ncn+를/jco
갈망하던	갈망/ncpa+하/xsv+던/etm
이러한	이러하/pad+ㄴ/etm
시대	시대/ncn
정신의	정신/ncn+의/jcm
반영이었다	반영/ncn+이/jp+었/ep+다/ef
.	./sf
계몽정신의	계몽/ncn+정신/ncn+의/jcm
막강한	막강/ncps+하/xsm+ㄴ/etm
힘은	힘/ncn+은/jxc
특권적인	특권/ncn+적/xsn+이/jp+ㄴ/etm
지식이	지식/ncn+이/jcs
가지고	가지/pvg+고/ecx
있던	있/px+던/etm
어둠의	어둠/ncn+의/jcm
왕국을	왕국/ncn+을/jco
말끔히	말끔/ncn+히/xsa
쳐부수고	치/pvg+어/ecs+부수/pvg+고/ecc
,	,/sp
아무런	아무렇/paa+ㄴ/etm
방해도	방해/ncn+도/jxc
없는	없/paa+는/etm
새로운	새롭/paa+ㄴ/etm
시선의	시선/ncn+의/jcm
제국을	제국/ncn+을/jco
세워	세우/pvg+어/ecx
놓았던	놓/px+았/ep+던/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
1	1/nno
.	./sf
병원	병원/ncn
구조의	구조/ncn+의/jcm
개편	개편/ncn
국민의회의	국민/ncn+의회/ncn+의/jcm
빈민대책위원회	빈민/ncn+대책/ncn+위원/ncn+회/xsn
(	(/sl
Le	Le/f
Comite	Comite/f
de	de/f
Mendicite	Mendicite/f
de	de/f
l	l/f
'	'/sr
Assemblee	Assemblee/f
Nationale	Nationale/f
)	)/sr
는	는/jxc
경제전문가	경제/ncn+전문/ncn+가/xsn
뿐만	뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
의사들의	의사/ncn+들/xsn+의/jcm
자문도	자문/ncn+도/jxc
받는	받/pvg+는/etm
기관이었다	기관/ncn+이/jp+었/ep+다/ef
.	./sf
그런데	그런데/maj
여기서	여기/npd+서/jca
나온	나오/pvg+ㄴ/etm
계획안에	계획/ncn+안/ncn+에/jca
따르면	따르/pvg+면/ecs
,	,/sp
질병을	질병/ncn+을/jco
치료하는	치료/ncpa+하/xsv+는/etm
가장	가장/mag
좋은	좋/pvg+은/etm
장소는	장소/ncn+는/jxc
사회적	사회/ncn+적/xsn
삶이	삶/ncn+이/jcs
가장	가장/mag
자연스럽게	자연/ncps+스럽/xsm+게/ecs
보장된	보장/ncpa+되/xsv+ㄴ/etm
곳이	곳/ncn+이/jcs
가정이라고	가정/ncn+이/jp+라/ef+고/jcr
생각했다	생각/ncpa+하/xsv+었/ep+다/ef
.	./sf
국가	국가/ncn
차원에서	차원/ncn+에서/jca
보면	보/pvg+면/ecs
가정에서	가정/ncn+에서/jca
환자를	환자/ncn+를/jco
치료하는	치료/ncpa+하/xsv+는/etm
경우의	경우/ncn+의/jcm
비용이	비용/ncn+이/jcs
가장	가장/mag
최소한	최소/ncps+하/xsm+ㄴ/etm
것이며	것/nbn+이/jp+며/ecc
,	,/sp
의사들의	의사/ncn+들/xsn+의/jcm
알량한	알량/ncps+하/xsm+ㄴ/etm
조작	조작/ncn
때문에	때문/nbn+에/jca
합병증을	합병/ncn+증/xsn+을/jxc
앓을	앓/pvg+을/etm
우려도	우려/ncn+도/jxc
없고	없/paa+고/ecc
,	,/sp
또	또/maj
병원에서	병원/ncn+에서/jca
흔히	흔히/mag
일어나는	일어나/pvg+는/etm
것처럼	것/nbn+처럼/jca
질병의	질병/ncn+의/jcm
모습이	모습/ncn+이/jcs
이리저리	이리저리/mag
왜곡되는	왜곡/ncpa+되/xsv+는/etm
위협성도	위협/ncn+성/xsn+도/jxc
피할	피하/pvg+ㄹ/etm
수	수/nbn
있다는	있/paa+다/ef+는/etm
것이었다	것/nbn+이/jp+었/ep+다/ef
.	./sf
질병이란	질병/ncn+이/jp+란/jxc
가정에서는	가정/ncn+에서/jca+는/jxc
자연상태의	자연/ncn+상태/ncn+의/jcm
그대로이며	그대로/mag+이/jp+며/ecs
,	,/sp
사람들은	사람/ncn+들/xsn+은/jxc
자연적인	자연/ncn+적/xsn+이/jp+ㄴ/etm
회복능력에	회복/ncn+능력/ncn+에/jca
따라	따르/pvg+아/ecs
환자가	환자/ncn+가/jcs
회복하기를	회복/ncpa+하/xsv+기/etn+를/jco
기다릴	기다리/pvg+ㄹ/etm
뿐이다	뿐/nbn+이/jp+다/ef
.	./sf
또한	또한/maj
가족들이	가족/ncn+들/xsn+이/jcs
환자를	환자/ncn+를/jco
돌보게	돌보/pvg+게/ecs
됨에	되/pvg+ㅁ/etn+에/jca
따라	따르/pvg+아/ecs
환자는	환자/ncn+는/jxc
보다	보다/mag
안락하고	안락/ncps+하/xsm+고/ecc
신중한	신중/ncps+하/xsm+ㄴ/etm
간호를	간호/ncn+를/jco
받을	받/pvg+을/etm
수도	수/nbn+도/jxc
있다	있/paa+다/ef
.	./sf
가정	가정/ncn
안에서	안/ncn+에서/jca
안락한	안락/ncps+하/xsm+ㄴ/etm
보호를	보호/ncn+를/jco
받게	받/pvg+게/ecs
되는	되/pvg+는/etm
환자를	환자/ncn+를/jco
보게	보/pvg+게/ecs
되면	되/pvg+면/ecs
사람들의	사람/ncn+들/xsn+의/jcm
마음	마음/ncn
속에	속/ncn+에/jca
그	그/mmd
환자가	환자/ncn+가/jcs
위로와	위로/ncn+와/jcj
휴식을	휴식/ncn+을/jco
절실히	절실/ncn+히/xsa
필요로	필요/ncn+로/jca
하고	하/pvg+고/ecx
있다는	있/px+다/ef+는/etm
것을	것/nbn+을/jco
느끼게	느끼/pvg+게/ecs
된다	되/pvg+ㄴ다/ef
.	./sf
더구나	더구나/mag
자신의	자신/ncn+의/jcm
은신처에서	은신/ncn+처/xsn+에서/jca
간호를	간호/ncn+를/jco
받는	받/pvg+는/etm
환자는	환자/ncn+는/jxc
개별적인	개별/ncn+적/xsn+이/jp+ㄴ/etm
간호를	간호/ncn+를/jco
받는	받/pvg+는/etm
경우보다	경우/ncn+보다/jca
경제적이다	경제/ncn+적/xsn+이/jp+다/ef
.	./sf
그래도	그렇/pad+어도/ecs
환자를	환자/ncn+를/jco
병원에	병원/ncn+에/jca
가둘	가두/pvg+ㄹ/etm
것인가	것/nbn+이/jp+ㄴ가/ef
?	?/sf
그렇다면	그렇/pad+다/ef+면/ecs
이러한	이러하/pad+ㄴ/etm
경제적	경제/ncn+적/xsn
요인은	요인/ncn+은/jxc
금방	금방/mag
사라지고	사라지/pvg+고/ecx
말	말/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
물론	물론/mag
가족이	가족/ncn+이/jcs
없는	없/paa+는/etm
환자가	환자/ncn+가/jcs
있을	있/paa+을/etm
수	수/nbn
있고	있/paa+고/ecc
,	,/sp
가족이	가족/ncn+이/jcs
있을지라도	있/paa+을지라도/ecs
가정환경이	가정/ncn+환경/ncn+이/jcs
열악하여	열악/ncps+하/xsm+여/ecs
환자를	환자/ncn+를/jco
집에서	집/ncn+에서/jca
돌볼	돌보/pvg+ㄹ/etm
수	수/nbn
없는	없/paa+는/etm
경우도	경우/ncn+도/jxc
있을	있/paa+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이러한	이러하/pad+ㄴ/etm
환자들을	환자/ncn+들/xsn+을/jco
대비하여	대비/ncpa+하/xsv+여/ecs
'	'/sl
환자들을	환자/ncn+들/xsn+을/jco
위한	위하/pvg+ㄴ/etm
공동거주지	공동/ncn+거주/ncn+지/xsn
'(	'/sr+(/sl
maison	maison/f
communal	communal/f
-	-/sd
es	es/f
de	de/f
malades	malades/f
)	)/sr
를	를/jco
세워야	세우/pvg+어야/ecs
할	하/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
여기서는	여기/npd+서/jca+는/jxc
가정을	가정/ncn+을/jco
대신하여	대신/ncpa+하/xsv+여/ecs
환자들	환자/ncn+들/xsn
상호간에	상호/ncn+간/nbn+에/jca
동병상련의	동병상련/ncn+의/jcm
시선	시선/ncn
(	(/sl
le	le/f
regard	regard/f
de	de/f
la	la/f
compassion	compassion/f
)	)/sr
을	을/jco
주고	주/pvg+고/ecc
받을	받/pvg+을/etm
수	수/nbn
있게	있/paa+게/ecs
될	되/pvg+ㄹ/etm
것이며	것/nbn+이/jp+며/ecc
,	,/sp
또한	또한/maj
가난한	가난/ncps+하/xsm+ㄴ/etm
사람들은	사람/ncn+들/xsn+은/jxc
자신의	자신/ncn+의/jcm
처지와	처지/ncn+와/jct
별반	별반/mag
다를	다르/paa+ㄹ/etm
것이	것/nbn+이/jcs
없는	없/paa+는/etm
동지들을	동지/ncn+들/xsn+을/jco
만나	만나/pvg+아/ecs
인간애를	인간/ncn+애/xsn+를/jco
나눌	나누/pvg+ㄹ/etm
수도	수/nbn+도/jxc
있을	있/paa+을/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
가정이나	가정/ncn+이나/jcj
공동거주지	공동/ncn+거주/ncn+지/xsn
,	,/sp
바로	바로/mag
이것이	이것/npd+이/jcs
지령이	지령/ncn+이/jcs
원하는	원하/pvg+는/etm
자연	자연/ncn
그대로의	그대로/mag+의/jcm
장소이며	장소/ncn+이/jp+며/ecc
,	,/sp
여기서	여기/npd+서/jca
질병은	질병/ncn+은/jxc
아무런	아무렇/pad+ㄴ/etm
방해	방해/ncn
없이	없/paa+이/xsa
진행되어	진행/ncpa+되/xsv+어/ecx
가다가	가/px+다가/ecs
그렇게	그렇/pad+게/ecs
사라지고	사라지/pvg+고/ecx
말	말/px+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
그러나	그러나/maj
빈민대책위원회의	nq[빈민/ncn+대책/ncn+위원/ncn+회/xsn]nq+의/jcm
이러한	이러하/pad+ㄴ/etm
생각도	생각/ncn+도/jxc
따지고	따지/pvg+고/ecx
보면	보/px+면/ecs
질병을	질병/ncn+을/jco
사회적	사회/ncn+적/xsn
차원에서	차원/ncn+에서/jca
다루려고	다루/pvg+려고/ecs
했던	하/px+었/ep+던/etm
국가정책과	국가/ncn+정책/ncn+과/jct
밀접한	밀접/ncps+하/xsm+ㄴ/etm
연관을	연관/ncn+을/jco
가지고	가지/pvg+고/ecx
있다	있/px+다/ef
.	./sf
가정이	가정/ncn+이/jcs
환자를	환자/ncn+를/jco
자연상태에서	자연/ncn+상태/ncn+에서/jca
치료하려고	치료/ncpa+하/xsv+려고/ecs
했던	하/px+었/ep+던/etm
장소라면	장소/ncn+라면/ecs
국가는	국가/ncn+는/jxc
환자에게	환자/ncn+에게/jca
원조를	원조/ncn+를/jco
제공해야	제공/ncpa+하/xsv+어야/ecs
하는	하/pvg+는/etm
사회적이며	사회/ncn+적/xsn+이/jp+며/ecc
집단적인	집단/ncn+적/xsn+이/jp+ㄴ/etm
책임감을	책임/ncn+감/xsn+을/jco
담당한	담당/ncpa+하/xsv+ㄴ/etm
존재이다	존재/ncn+이/jp+다/ef
.	./sf
그러므로	그러므로/maj
경제적인	경제/ncn+적/xsn+이/jp+ㄴ/etm
차원에서	차원/ncn+에서/jca
비효율적인	비/xp+효율/ncn+적/xsn+이/jp+ㄴ/etm
병원의	병원/ncn+의/jcm
재정은	재정/ncn+은/jxc
개별	개별/ncn
환자에게	환자/ncn+에게/jca
언제든지	언제/npd+든지/jxc
필요한	필요/ncps+하/xsm+ㄴ/etm
도움을	도움/ncn+을/jco
줄	주/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
국가재정으로	국가/ncn+재정/ncn+으로/jca
대치되어야	대치/ncpa+되/xsv+어야/ecs
한다	하/px+ㄴ다/ef
.	./sf
국가는	국가/ncn+는/jxc
병원의	병원/ncn+의/jcm
재정을	재정/ncn+을/jco
흡수하여	흡수/ncpa+하/xsv+여/ecs
공동재산을	공동/ncn+재산/ncn+을/jco
조성해아만	조성/ncpa+하/xsv+어야/ecs+만/jxc
하는	하/px+는/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
물론	물론/mag
이러한	이러하/pad+ㄴ/etm
공동재산을	공동/ncn+재산/ncn+을/jco
관리할	관리/ncpa+하/xsv+ㄹ/etm
행정기구도	행정/ncn+기구/ncn+도/jxc
마련해야	마련/ncpa+하/xsv+어야/ecs
할	하/px+ㄹ/etm
것이고	것/nbn+이/jp+고/ecc
,	,/sp
또	또/maj
이러한	이러하/pad+ㄴ/etm
기구는	기구/ncn+는/jxc
경제요인과	경제/ncn+요인/ncn+과/jct
맞물린	맞물리/pvg+ㄴ/etm
국가의	국가/ncn+의/jcm
의학정책의	의학/ncn+정책/ncn+의/jcm
방향을	방향/ncn+을/jco
제시할	제시/ncpa+하/xsv+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
다시	다시/mag
말해	말/ncn+하/xsv+어/ecs
,	,/sp
이러한	이러하/pad+ㄴ/etm
행정기구들을	행정/ncn+기구/ncn+들/xsn+을/jco
통해	통하/pvg+어/ecs
질병에	질병/ncn+에/jca
대한	대하/pvg+ㄴ/etm
보편적인	보편/ncn+적/xsm+이/jp+ㄴ/etm
상	상/ncn
(	(/sl
像	像/ncn
)	)/sr
이	이/jcs
만들어질	만들/pvg+어/ecx+지/px+ㄹ/etm
것이고	것/nbn+이/jp+고/ecc
,	,/sp
환자들이	환자/ncn+들/xsn+이/jcs
가장	가장/mag
시급하게	시급/ncps+하/xsm+게/ecs
필요로	필요/ncn+로/jca
하는	하/pvg+는/etm
것이	것/nbn+이/jcs
무엇인지	무엇/npd+이/jp+ㄴ지/ecs
알게	알/pvg+게/ecs
될	되/pvg+ㄹ/etm
것이다	것/nbn+이/jp+다/ef
.	./sf
이것이	이것/npd+이/jcs
바로	바로/mag
빈곤을	빈곤/ncn+을/jco
책임진	책임/ncn+지/pvg+ㄴ/etm
커다란	커다랗/paa+ㄴ/etm
시선	시선/ncn
(	(/sl
Le	Le/f
grand	grand/f
CEil	CEil/f
de	de/f
la	la/f
Misere	Misere/f
)	)/sr
이다	이/jp+다/jca
.	./sf
이곳을	이/mmd+곳/ncn+을/jco
통해서	통하/pvg+어서/ecs
환자들	환자/ncn+들/xsn
뿐만	뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
빈곤한	빈곤/ncps+하/xsm+ㄴ/etm
사람들을	사람/ncn+들/xsn+을/jco
돕기	돕/pvg+기/etn
위해	위하/pvg+어/ecs
정확하고도	정확/ncps+하/xsm+고/ecc+도/jxc
충분한	충분/ncps+하/xsm+ㄴ/etm
액수의	액수/ncn+의/jcm
돈이	돈/ncn+이/jcs
배분되었다	배분/ncpa+되/xsv+었/ep+다/ef
.	./sf
또한	또한/maj
공동거주지에	공동/ncn+거주/ncn+지/xsn+에/jca
예산을	예산/ncn+을/jco
지급하고	지급/ncpa+하/xsv+고/ecc
환자를	환자/ncn+를/jco
집에서	집/ncn+에서/jca
돌보는	돌보/pvg+는/etm
가정에서	가정/ncn+에서/jca
적절한	적절/ncps+하/xsm+ㄴ/etm
도움을	도움/ncn+을/jco
줄	주/pvg+ㄹ/etm
수	수/nbn
있는	있/paa+는/etm
곳도	곳/ncn+도/jxc
바로	바로/mag
이곳이다	이/mmd+곳/ncn+이/jp+다/ef
.	./sf
그렇지만	그렇지만/maj
이러한	이러하/pad+ㄴ/etm
구상은	구상/ncn+은/jxc
두	두/nnc
가지	가지/nbu
이유	이유/ncn
때문에	때문/nbn+에/jca
실패했다	실패/ncpa+하/xsv+었/ep+다/ef
.	./sf
병원재정의	병원/ncn+재정/ncn+의/jcm
양도를	양도/ncn+를/jco
둘러싼	두르/pvg+어/ecs+싸/pvg+ㄴ/etm
정치	정치/ncn
-	-/sd
경제적인	경제/ncn+적/xsn+이/jp+ㄴ/etm
문제가	문제/ncn+가/jcs
그	그/mmd
첫째이고	첫째/nno+이/jp+고/ecc
,	,/sp
둘째로	둘째/nno+로/jca
의료행위와	의료/ncn+행위/ncn+와/jct
관련하여	관련/ncpa+하/xsv+여/ecs
이러한	이러하/pad+ㄴ/etm
구상을	구상/ncn+을/jco
통해서는	통하/pvg+어서/ecs+는/jxc
전염병이나	전염/ncn+병/ncn+이나/jcj
합병증과	합병/ncn+증/xsn+과/jct
같은	같/paa+은/etm
복잡한	복잡/ncpa+하/xsv+ㄴ/etm
질병을	질병/ncn+을/jco
치료할	치료/ncpa+하/xsv+ㄹ/etm
수	수/nbn
없다는	없/paa+다/ef+는/etm
문제가	문제/ncn+가/jcs
제기되었다	제기/ncpa+되/xsv+었/ep+다/ef
.	./sf
그러나	그러나/maj
입법의회는	입법/ncn+의회/ncn+는/jxc
다시	다시/mag
병원재정의	병원/ncn+재정/ncn+의/jcm
국유화	국유/ncn+화/xsn
문제를	문제/ncn+를/jco
거론한다	거론/ncpa+하/xsv+ㄴ다/ef
.	./sf
이번에는	이/mmd+번/nbn+에/jca+는/jxc
병원이	병원/ncn+이/jcs
벌어들이는	벌/pvg+어/ecs+들이/pvg+는/etm
수입을	수입/ncn+을/jco
원조예산으로	원조/ncn+예산/ncn+으로/jca
관리하자는	관리/ncpa+하/xsv+자/ef+는/etm
것이었다	것/nbn+이/jp+었/ep+다/ef
.	./sf
그리고	그리고/maj
환자의	환자/ncn+의/jcm
갖가지	갖가지/ncn
요구를	요구/ncn+를/jco
해결하는	해결/ncpa+하/xsv+는/etm
문제를	문제/ncn+를/jco
중앙행정기구에	중앙/ncn+행정/ncn+기구/ncn+에/jca
맡겨	맡기/pvg+어/ecx
둘	두/px+ㄹ/etm
수만은	수/nbn+만/jxc+은/jxc
없었다	없/paa+었/ep+다/ef
.	./sf
단일한	단일/ncps+하/xsm+ㄴ/etm
행정기구가	행정/ncn+기구/ncn+가/jcs
수많은	수/ncn+많/paa+은/etm
환자를	환자/ncn+를/jco
관리하기에는	관리/ncpa+하/xsv+기/etn+에/jca+는/jxc
그	그/mmd
범위와	범위/ncn+와/jcj
조직의	조직/ncn+의/jcm
탄력성이	탄력/ncn+성/xsn+이/jca
지나치게	지나치/paa+게/ecs
비대해지게	비대/ncps+하/xsm+어/ecx+지/px+게/ecs
마련이다	마련/ncn+이/jp+다/ef
.	./sf
따라서	따라서/maj
질병과	질병/ncn+과/jcj
빈곤을	빈곤/ncn+을/jco
대하는	대하/pvg+는/etm
의식이	의식/ncn+이/jcs
보다	보다/mag
신속하고	신속/ncps+하/xsm+고/ecc
탄력적이	탄력/ncn+적/xsn+이/jcc
되기	되/pvg+기/etn
위해서는	위하/pvg+어서/ecs+는/jxc
지형적으로	지형/ncn+적/xsn+으로/jca
(	(/sl
gegraphiquement	gegraphiquement/f
)	)/sr
잘게	잘/paa+게/ecs
세분화된	세분/ncn+화/xsn+되/xsv+ㄴ/etm
체제를	체제/ncn+를/jco
가져야만	가지/pvg+어야/ecs+만/jxc
한다	하/px+ㄴ다/ef
.	./sf
그러기에	그러하/pad+기/etn+에/jca
입법의회는	입법/ncn+의회/ncn+는/jxc
중앙집권적인	중앙/ncn+집권/ncn+적/xsn+이/jp+ㄴ/etm
행정체제에서	행정/ncn+체제/ncn+에서/jca
보다	보다/mag
느슨한	느슨/ncps+하/xsm+ㄴ/etm
영국식	영국/nq+식/xsn
의료행정체제를	의료/ncn+행정/ncn+체제/ncn+를/jco
선택하기에	선택/ncpa+하/xsv+기/etn+에/jca
이른다	이르/pvg+ㄴ다/ef
.	./sf
영국식	영국/nq+식/xsn
의료행정체제란	의료/ncn+행정/ncn+체제/ncn+란/jxc
지역을	지역/ncn+을/jco
담당하는	담당/ncpa+하/xsv+는/etm
하부조직을	하부/ncn+조직/ncn+을/jco
육성하여	육성/ncpa+하/xsv+여/ecs
환자와	환자/ncn+와/jcj
가난한	가난/ncps+하/xsm+ㄴ/etm
자들의	자/nbn+들/xsn+의/jcm
요구사항을	요구/ncn+사항/ncn+을/jco
가장	가장/mag
가까이에서	가깝/paa+이/xsa+에서/jca
파악하고	파악/ncpa+하/xsv+고/ecc
예산의	예산/ncn+의/jcm
마련까지	마련/ncn+까지/jxc
하부조직에서	하부/ncn+조직/ncn+에서/jca
담당하는	담당/ncpa+하/xsv+는/etm
것을	것/nbn+을/jco
말하는	말/ncpa+하/xsv+는/etm
것으로	것/nbn+으로/jca
,	,/sp
여기에는	여기/npd+에/jca+는/jxc
다양한	다양/ncps+하/xsm+ㄴ/etm
감시조직도	감시/ncn+조직/ncn+도/jxc
마련되어	마련/ncps+되/xsv+어/ecx
있다	있/px+다/ef
.	./sf
이것이	이것/npd+이/jcs
집정내각시대	집정/ncn+내각/ncn+시대/ncn
(	(/sl
Directoire	Directoire/f
)	)/sr
에	에/jca
등장한	등장/ncpa+하/xsv+ㄴ/etm
원조의	원조/ncn+의/jcm
지역화	지역/ncn+화/xsn
원칙이다	원칙/ncn+이/jp+다/ef
.	./sf
그렇지만	그렇지만/maj
여기에서도	여기/npd+에서/jca+도/jxc
문제가	문제/ncn+가/jcs
완전히	완전/ncn+히/xsa
해결된것은	해결/ncpa+되/xsv+ㄴ/etm+것/nbn+은/jxc
아니었는데	아니/paa+었/ep+는데/ecs
,	,/sp
그것은	그것/npd+은/jxc
지역적으로	지역/ncn+적/xsn+으로/jca
분산된	분산/ncpa+되/xsv+ㄴ/etm
원조체제가	원조/ncn+체제/ncn+가/jcs
범죄자를	범죄/ncn+자/xsn+를/jco
처벌하는	처벌/ncpa+하/xsv+는/etm
기능까지는	기능/ncn+까지/jxc+는/jxc
제대로	제대로/mag
소화하지	소화/ncpa+하/xsv+지/ecx
못했기	못하/px+었/ep+기/etn
때문이다	때문/nbn+이/jp+다/ef
.	./sf
따라서	따라서/maj
원조의	원조/ncn+의/jcm
문제와	문제/ncn+와/jcj
범죄를	범죄/ncn+를/jco
막는	막/pvg+는/etm
문제는	문제/ncn+는/jxc
별개의	별개/ncn+의/jcm
것으로	것/nbn+으로/jca
다루어야만	다루/pvg+어야/ecs+만/jxc
했다	하/px+었/ep+다/ef
.	./sf
비세트르	비세트르/nq
(	(/sl
Biceure	Biceure/f
)	)/sr
가	가/jcs
제기한	제기/ncpa+하/xsv+ㄴ/etm
문제를	문제/ncn+를/jco
어떻게	어떻/pad+게/ecs
해결할	해결/ncpa+하/xsv+ㄹ/etm
것인가로	것/nbn+이/jp+ㄴ가/ef+로/jca
고민하던	고민/ncpa+하/xsv+던/etm
테농	테농/nq
(	(/sl
Tenon	Tenon/f
)	)/sr
은	은/jxc
입법의회가	입법/ncn+의회/ncn+가/jcs
'	'/sl
병원과	병원/ncn+과/jcj
구치소를	구치소/ncn+를/jco
위한	위하/pvg+ㄴ/etm
위원회	위원/ncn+회/xsn
'(	'/sr+(/sl
comite	comite/f
deshopitaux	deshopitaux/f
et	et/f
des	des/f
maisons	maisons/f
d	d/f
'	'/sr
arrestation	arrestation/f
)	)/sr
를	를/jco
만들어	만들/pvg+어/ecs
,	,/sp
이곳에서	이/mmd+곳/ncn+에서/jca
일반적인	일반/ncn+적/xsn+이/jp+ㄴ/etm
병원의	병원/ncn+의/jcm
기능	기능/ncn
뿐만	뿐/nbn+만/jxc
아니라	아니/paa+라/ecs
범죄자나	범죄/ncn+자/xsn+나/jcj
부랑자	부랑자/ncn
혹은	혹은/maj
전염병자들을	전염/ncn+병자/ncn+들/xsn+을/jco
동시에	동시에/mag
관리할	관리/ncpa+하/xsv+ㄹ/etm
것을	것/nbn+을/jco
제안한다	제안/ncpa+하/xsv+ㄴ다/ef
.	./sf
그러나	그러나/maj
입법의회는	입법/ncn+의회/ncn+는/jxc
이에	이/npd+에/jca
반대했는데	반대/ncpa+하/xsv+었/ep+는데/ecs
,	,/sp
이유는	이유/ncn+는/jxc
범죄자들과	범죄/ncn+자/xsn+들/xsn+과/jcj
환자들을	환자/ncn+들/xsn+을/jco
같은	같/paa+은/etm
곳에서	곳/ncn+에서/jca
관리함으로써	관리/ncpa+하/xsv+ㅁ/etn+으로써/jca
범죄를	범죄/ncn+를/jco
몰랐던	모르/pvg+았/ep+던/etm
환자들을	환자/ncn+들/xsn+을/jco
타락시킨다는	타락/ncpa+시키/xsv+ㄴ다/ef+는/etm
것이었다	것/nbn+이/jp+었/ep+다/ef
.	./sf
이제	이제/mag
질병과	질병/ncn+과/jcj
원조에	원조/ncn+에/jca
대한	대하/pvg+ㄴ/etm
의식이	의식/ncn+이/jcs
바뀌어	바뀌/pvg+어/ecs
그것을	그것/npd+을/jco
반드시	반드시/mag
국가가	국가/ncn+가/jcs
담당할	담당/ncpa+하/xsv+ㄹ/etm
필요는	필요/ncn+는/jxc
없으며	없/paa+으며/ecs
,	,/sp
질병이란	질병/ncn+이/jp+란/jxc
인간이	인간/ncn+이/jcs
짊어지고	짊어지/pvg+고/ecs
